Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-10-23,09:05:00,71.98,72.21,71.44,72,2828,0
2017-10-23,09:10:00,72.11,72.12,71.8,71.94,659,0
2017-10-23,09:15:00,71.63,71.69,71.33,71.33,330,0
2017-10-23,09:20:00,71.48,71.52,71.22,71.22,177,0
2017-10-23,09:25:00,71.51,71.7,71.51,71.7,779,0
2017-10-23,09:30:00,71.66,71.74,71.32,71.74,337,0
2017-10-23,09:35:00,71.74,71.75,71.19,71.5,969,0
2017-10-23,09:40:00,71.34,71.44,71.2,71.43,373,0
2017-10-23,09:45:00,71.43,71.5,70.62,70.62,2368,0
2017-10-23,09:50:00,71.13,71.44,71.01,71.13,791,0
2017-10-23,09:55:00,71.22,71.7,71.22,71.7,501,0
2017-10-23,10:00:00,71.55,71.9,71.55,71.8,1425,0
2017-10-23,10:05:00,71.99,72,71.34,71.5,4420,0
2017-10-23,10:10:00,71.26,71.55,71.25,71.5,392,0
2017-10-23,10:15:00,71.55,71.55,71.22,71.22,1129,0
2017-10-23,10:20:00,71.55,71.55,70.81,71.01,1224,0
2017-10-23,10:25:00,71.32,71.35,71.32,71.35,171,0
2017-10-23,10:30:00,71.35,71.97,71.35,71.97,511,0
2017-10-23,10:35:00,72,72.4,71.59,72,938,0
2017-10-23,10:40:00,72,72,71.6,71.62,1808,0
2017-10-23,10:45:00,71.93,72,71.54,71.54,433,0
2017-10-23,10:50:00,71.53,72,71.35,71.95,507,0
2017-10-23,10:55:00,71.93,72,71.93,72,380,0
2017-10-23,11:00:00,72,72.2,71.84,72.2,708,0
2017-10-23,11:05:00,72.19,72.2,72.19,72.2,57,0
2017-10-23,11:10:00,72.2,72.37,72.15,72.37,2568,0
2017-10-23,11:15:00,72.31,72.5,72.25,72.5,1772,0
2017-10-23,11:20:00,72.35,72.45,72.1,72.2,3024,0
2017-10-23,11:25:00,72.44,72.5,72.12,72.34,668,0
2017-10-23,11:30:00,72.5,73.22,72.36,72.47,3289,0
2017-10-23,11:35:00,72.47,72.47,72.47,72.47,100,0
2017-10-23,11:40:00,72.4,72.77,72,72,4032,0
2017-10-23,11:45:00,71.85,72,71.75,72,1131,0
2017-10-23,11:50:00,71.99,72,71.99,72,591,0
2017-10-23,11:55:00,72.28,73.05,72.19,72.19,3463,0
2017-10-23,12:00:00,72.05,72.37,71.5,71.65,7173,0
2017-10-23,12:05:00,71.76,72.24,71.7,72,2580,0
2017-10-23,12:10:00,72,72.3,71.36,71.71,2198,0
2017-10-23,12:15:00,71.72,72,71.43,71.43,490,0
2017-10-23,12:20:00,71.9,71.9,71.25,71.73,584,0
2017-10-23,12:25:00,71.8,72,71.66,71.66,385,0
2017-10-23,12:30:00,71.72,71.75,71.31,71.31,105,0
2017-10-23,12:35:00,71.68,71.8,71.3,71.3,4170,0
2017-10-23,12:40:00,71.66,72.01,71.6,72,986,0
2017-10-23,12:45:00,72.28,72.28,72.28,72.28,28,0
2017-10-23,12:50:00,72.28,72.28,72.28,72.28,11,0
2017-10-23,12:55:00,72.28,72.3,72.28,72.3,139,0
2017-10-23,13:00:00,72.3,72.3,72.3,72.3,1,0
2017-10-23,13:05:00,72.1,72.1,72.1,72.1,7,0
2017-10-23,13:10:00,72.3,72.3,72.1,72.1,680,0
2017-10-23,13:15:00,72.3,72.3,72.12,72.12,65,0
2017-10-23,13:20:00,72.13,72.13,72.13,72.13,102,0
2017-10-23,13:25:00,72.3,72.3,72.15,72.3,191,0
2017-10-23,13:30:00,72.3,72.34,72.3,72.34,40,0
2017-10-23,13:40:00,72.1,72.1,72.1,72.1,30,0
2017-10-23,13:45:00,72.1,72.1,72.1,72.1,30,0
2017-10-23,13:50:00,72.19,72.2,72.04,72.04,517,0
2017-10-23,13:55:00,72,72.5,71.8,72.11,2189,0
2017-10-23,14:00:00,72.12,72.12,72.1,72.1,153,0
2017-10-23,14:05:00,72,72.19,72,72.19,312,0
2017-10-23,14:10:00,72.28,72.5,72.28,72.29,1150,0
2017-10-23,14:15:00,72.49,72.5,72.22,72.22,499,0
2017-10-23,14:20:00,72.39,72.39,72.39,72.39,100,0
2017-10-23,14:25:00,72.39,72.4,72.35,72.39,150,0
2017-10-23,14:30:00,72.39,72.39,72.39,72.39,5,0
2017-10-23,14:35:00,72.39,72.39,72.39,72.39,71,0
2017-10-23,14:40:00,72.3,72.3,72.3,72.3,48,0
2017-10-23,14:45:00,72.4,72.4,72.4,72.4,429,0
2017-10-23,14:50:00,72.4,72.4,72.39,72.4,348,0
2017-10-23,14:55:00,72.4,72.4,72.4,72.4,95,0
2017-10-23,15:00:00,72.5,72.5,72.5,72.5,50,0
2017-10-23,15:05:00,72.5,72.55,72.5,72.5,597,0
2017-10-23,15:10:00,72.64,72.65,72.64,72.65,50,0
2017-10-23,15:15:00,72.65,72.65,72.65,72.65,591,0
2017-10-23,15:20:00,72.65,72.65,72.65,72.65,4,0
2017-10-23,15:25:00,72.65,72.65,72.65,72.65,338,0
2017-10-23,15:30:00,72.65,72.65,72.64,72.64,290,0
2017-10-23,15:35:00,72.65,72.98,72.65,72.89,1492,0
2017-10-23,15:40:00,72.88,73.26,72.84,73.07,1470,0
2017-10-23,15:45:00,73.07,73.07,72.7,72.86,403,0
2017-10-23,15:50:00,72.84,73.18,72.81,73.18,448,0
2017-10-23,15:55:00,73,73.05,73,73.05,265,0
2017-10-23,16:00:00,73.1,73.2,72.85,73.17,1767,0
2017-10-23,16:05:00,73,73.46,73,73.43,412,0
2017-10-23,16:10:00,73.2,73.5,72.86,73.42,1939,0
2017-10-23,16:15:00,73.42,73.42,73.14,73.14,175,0
2017-10-23,16:20:00,73.41,73.78,73.41,73.74,1078,0
2017-10-23,16:25:00,73.75,73.75,73.75,73.75,24,0
2017-10-23,16:30:00,73.7,73.8,73.7,73.75,409,0
2017-10-23,16:35:00,73.74,73.74,73.24,73.24,892,0
2017-10-23,16:40:00,73.24,73.3,73,73.3,545,0
2017-10-23,16:45:00,73.43,73.53,73.18,73.37,1343,0
2017-10-23,16:50:00,73.34,73.34,73.09,73.09,11,0
2017-10-23,16:55:00,73.31,73.5,73.27,73.3,903,0
2017-10-23,17:00:00,73.42,73.42,73.38,73.4,79,0
2017-10-23,17:05:00,73.4,74.55,72.75,72.96,6229,0
2017-10-23,17:10:00,72.96,73,72.81,72.82,648,0
2017-10-23,17:15:00,72.99,72.99,72.99,72.99,10,0
2017-10-23,17:20:00,72.99,73.72,72.99,73.58,942,0
2017-10-23,17:25:00,73.5,73.53,73.28,73.3,831,0
2017-10-23,17:30:00,73.06,73.53,72.84,73.3,2132,0
2017-10-24,09:05:00,73.73,73.73,73.23,73.51,1387,0
