Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-06-08,09:05:00,1.35,1.35,1.35,1.35,595,0
2017-06-08,16:05:00,1.352,1.352,1.352,1.352,110,0
2017-06-08,17:15:00,1.352,1.352,1.352,1.352,900,0
2017-06-09,09:05:00,1.369,1.369,1.369,1.369,2000,0
2017-06-09,09:15:00,1.36,1.36,1.36,1.36,150,0
2017-06-09,10:25:00,1.36,1.36,1.36,1.36,5350,0
2017-06-09,10:45:00,1.368,1.37,1.368,1.37,10000,0
2017-06-09,10:50:00,1.37,1.37,1.37,1.37,786,0
2017-06-09,12:45:00,1.368,1.371,1.368,1.371,25594,0
2017-06-09,13:20:00,1.371,1.371,1.371,1.371,667,0
2017-06-09,14:15:00,1.371,1.371,1.371,1.371,3327,0
2017-06-09,17:30:00,1.37,1.37,1.37,1.37,2000,0
2017-06-12,10:05:00,1.38,1.38,1.38,1.38,5000,0
2017-06-12,11:55:00,1.38,1.38,1.38,1.38,1500,0
2017-06-12,16:05:00,1.372,1.372,1.372,1.372,1210,0
2017-06-12,16:50:00,1.38,1.38,1.375,1.375,3191,0
2017-06-12,16:55:00,1.371,1.371,1.371,1.371,109,0
2017-06-13,09:10:00,1.372,1.372,1.372,1.372,3000,0
2017-06-13,09:15:00,1.388,1.39,1.388,1.39,12000,0
2017-06-13,11:25:00,1.388,1.391,1.388,1.391,35000,0
2017-06-13,11:30:00,1.391,1.391,1.391,1.391,19413,0
2017-06-13,11:35:00,1.409,1.42,1.409,1.42,13087,0
2017-06-13,11:40:00,1.411,1.411,1.411,1.411,16000,0
2017-06-13,11:50:00,1.411,1.43,1.411,1.43,10900,0
2017-06-13,12:30:00,1.43,1.43,1.43,1.43,1000,0
2017-06-13,13:15:00,1.43,1.43,1.43,1.43,11970,0
2017-06-13,13:25:00,1.439,1.439,1.439,1.439,44,0
2017-06-13,13:50:00,1.43,1.43,1.401,1.401,10000,0
2017-06-13,13:55:00,1.438,1.438,1.438,1.438,200,0
2017-06-13,14:05:00,1.402,1.402,1.402,1.402,50,0
2017-06-13,14:20:00,1.437,1.437,1.437,1.437,3000,0
2017-06-13,14:50:00,1.406,1.406,1.403,1.403,14752,0
2017-06-13,15:05:00,1.42,1.434,1.42,1.434,6500,0
2017-06-13,15:30:00,1.419,1.438,1.419,1.438,10000,0
2017-06-13,16:00:00,1.382,1.407,1.38,1.407,25860,0
2017-06-13,16:05:00,1.429,1.429,1.429,1.429,100,0
2017-06-13,16:10:00,1.429,1.429,1.429,1.429,1073,0
2017-06-13,17:25:00,1.381,1.381,1.381,1.381,1757,0
2017-06-13,17:30:00,1.381,1.419,1.381,1.419,2490,0
2017-06-14,09:05:00,1.41,1.41,1.41,1.41,2800,0
2017-06-14,09:20:00,1.41,1.41,1.41,1.41,30,0
2017-06-14,10:00:00,1.41,1.419,1.4,1.419,9390,0
2017-06-14,10:30:00,1.4,1.4,1.4,1.4,375,0
2017-06-14,10:35:00,1.37,1.37,1.358,1.358,6760,0
2017-06-14,11:05:00,1.38,1.38,1.38,1.38,1500,0
2017-06-14,11:15:00,1.36,1.379,1.36,1.379,7546,0
2017-06-14,12:05:00,1.379,1.4,1.379,1.4,11318,0
2017-06-14,14:10:00,1.396,1.396,1.396,1.396,3800,0
2017-06-14,17:25:00,1.389,1.39,1.389,1.39,9500,0
2017-06-14,17:30:00,1.38,1.38,1.38,1.38,6000,0
2017-06-15,09:05:00,1.358,1.358,1.358,1.358,1,0
2017-06-15,10:55:00,1.393,1.42,1.393,1.42,19573,0
2017-06-15,11:00:00,1.43,1.47,1.416,1.416,70508,0
2017-06-15,11:10:00,1.46,1.46,1.451,1.451,1500,0
2017-06-15,11:40:00,1.459,1.459,1.459,1.459,1000,0
2017-06-15,11:50:00,1.449,1.449,1.428,1.428,30027,0
2017-06-15,11:55:00,1.43,1.43,1.43,1.43,16500,0
2017-06-15,12:00:00,1.43,1.43,1.43,1.43,5468,0
2017-06-15,12:10:00,1.43,1.43,1.43,1.43,2032,0
2017-06-15,13:00:00,1.445,1.445,1.445,1.445,4250,0
