Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-01-22,09:25:00,28.001,28.006,28.001,28.006,96,0
2016-01-26,11:45:00,27.617,27.617,27.617,27.617,425,0
2016-01-26,14:40:00,27.128,27.128,27.128,27.128,3,0
2016-01-26,15:25:00,27.128,27.128,27.128,27.128,189,0
2016-01-26,15:30:00,27.132,27.132,27.132,27.132,64,0
2016-01-26,17:30:00,27.236,27.818,27.236,27.818,276,0
2016-01-27,09:50:00,28.19,28.19,28.19,28.19,96,0
2016-01-27,17:05:00,27.654,27.654,27.654,27.654,32,0
2016-01-28,14:30:00,27.724,27.724,27.724,27.724,21,0
2016-01-29,15:35:00,27.372,27.372,27.217,27.217,927,0
2016-01-29,16:45:00,26.319,26.319,26.314,26.314,47,0
2016-01-29,16:50:00,27.156,27.156,27.156,27.156,53,0
2016-01-29,17:10:00,26.319,26.319,26.314,26.314,150,0
2016-01-29,17:30:00,27.156,27.156,27.156,27.156,53,0
2016-02-02,13:55:00,26.408,26.408,26.408,26.408,106,0
2016-02-02,14:00:00,27.203,27.203,27.203,27.203,65,0
2016-02-03,09:10:00,26.71,26.71,26.71,26.71,425,0
2016-02-03,14:35:00,26.319,26.319,26.061,26.061,798,0
2016-02-09,09:05:00,23.777,23.777,23.777,23.777,200,0
2016-02-09,10:15:00,23.829,23.829,23.777,23.777,449,0
2016-02-09,10:20:00,23.777,23.777,23.777,23.777,82,0
2016-02-09,10:30:00,23.496,23.496,23.477,23.477,213,0
2016-02-09,10:35:00,24.764,24.764,23.194,23.194,524,0
2016-02-09,10:40:00,24.764,24.764,24.764,24.764,5,0
2016-02-09,12:15:00,22.133,22.555,21.898,22.546,1584,0
2016-02-09,12:35:00,22.461,22.461,22.461,22.461,106,0
2016-02-09,12:45:00,22.086,22.086,22.086,22.086,43,0
2016-02-09,13:25:00,21.663,21.663,21.635,21.635,329,0
2016-02-09,15:10:00,22.546,22.546,22.546,22.546,106,0
2016-02-09,16:55:00,22.424,23.021,22.424,23.021,588,0
2016-02-09,17:00:00,22.555,22.555,22.555,22.555,192,0
2016-02-09,17:30:00,22.555,22.555,22.555,22.555,396,0
2016-02-10,09:05:00,22.555,22.555,22.555,22.555,106,0
2016-02-10,10:10:00,23.026,23.026,23.026,23.026,159,0
2016-02-10,11:05:00,23.241,23.241,23.241,23.241,425,0
2016-02-10,12:20:00,23.162,23.162,23.162,23.162,163,0
2016-02-10,12:50:00,23.772,23.772,23.772,23.772,53,0
2016-02-10,13:10:00,23.03,23.03,23.03,23.03,20,0
2016-02-10,13:35:00,23.772,23.772,23.772,23.772,109,0
2016-02-10,17:15:00,23.824,23.965,23.824,23.965,659,0
2016-02-11,10:05:00,22.865,23.965,22.865,23.36,521,0
2016-02-11,10:15:00,23.679,23.679,22.969,22.969,394,0
2016-02-11,11:00:00,23.03,23.03,23.03,23.03,190,0
2016-02-11,13:10:00,22.823,22.823,22.818,22.818,198,0
2016-02-11,14:55:00,23.383,23.383,23.383,23.383,106,0
2016-02-11,15:05:00,22.555,22.555,22.555,22.555,324,0
2016-02-11,16:05:00,22.795,22.795,22.79,22.79,159,0
2016-02-11,17:30:00,22.555,22.555,22.555,22.555,663,0
2016-02-12,12:00:00,23.35,23.35,23.35,23.35,106,0
2016-02-15,13:20:00,23.683,23.683,23.683,23.683,106,0
2016-02-16,11:25:00,23.918,23.918,23.918,23.918,106,0
2016-02-16,17:00:00,24.247,24.247,24.247,24.247,106,0
2016-02-17,11:10:00,24.557,25.389,24.557,25.389,692,0
2016-02-17,11:15:00,25.483,25.483,25.483,25.483,159,0
2016-02-17,15:25:00,24.717,24.717,24.717,24.717,64,0
2016-02-18,11:30:00,25.229,25.352,25.229,25.352,532,0
2016-02-22,10:15:00,24.435,24.435,24.435,24.435,6,0
2016-02-22,15:25:00,24.812,24.812,24.812,24.812,106,0
2016-02-22,15:35:00,25.337,25.337,25.337,25.337,4,0
2016-02-24,13:20:00,25.182,25.182,25.182,25.182,3,0
2016-02-24,15:45:00,24.906,24.906,24.431,24.431,532,0
2016-02-25,11:50:00,24.383,24.383,24.379,24.379,32,0
2016-02-26,14:05:00,25.186,25.186,25.186,25.186,69,0
2016-02-29,09:30:00,24.247,24.247,24.2,24.2,532,0
2016-02-29,12:55:00,24.336,24.336,24.336,24.336,96,0
2016-02-29,15:10:00,24.336,24.336,24.336,24.336,106,0
2016-03-01,10:35:00,23.965,23.965,23.965,23.965,2,0
2016-03-01,14:05:00,23.965,23.965,23.965,23.965,22,0
2016-03-01,17:30:00,24.069,24.069,24.069,24.069,487,0
2016-03-04,11:25:00,24.609,24.609,24.609,24.609,106,0
2016-03-04,16:25:00,24.717,24.717,24.717,24.717,516,0
2016-03-04,16:40:00,24.717,24.717,24.717,24.717,122,0
2016-03-07,09:40:00,24.722,24.722,24.722,24.722,213,0
2016-03-07,09:55:00,24.764,24.764,24.764,24.764,106,0
