Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-10-25,09:05:00,11.205,11.24,11.135,11.175,38222,0
2017-10-25,09:10:00,11.205,11.26,11.15,11.185,15094,0
2017-10-25,09:15:00,11.205,11.205,11.12,11.195,36486,0
2017-10-25,09:20:00,11.195,11.265,11.195,11.24,32412,0
2017-10-25,09:25:00,11.23,11.31,11.225,11.3,50851,0
2017-10-25,09:30:00,11.29,11.31,11.29,11.31,6668,0
2017-10-25,09:35:00,11.29,11.29,11.245,11.245,6072,0
2017-10-25,09:40:00,11.23,11.24,11.2,11.215,20216,0
2017-10-25,09:45:00,11.225,11.245,11.225,11.245,5592,0
2017-10-25,09:50:00,11.245,11.245,11.205,11.205,8151,0
2017-10-25,09:55:00,11.19,11.205,11.175,11.2,45450,0
2017-10-25,10:00:00,11.19,11.195,11.185,11.19,4066,0
2017-10-25,10:05:00,11.205,11.245,11.205,11.245,6688,0
2017-10-25,10:10:00,11.25,11.25,11.23,11.23,3825,0
2017-10-25,10:15:00,11.22,11.22,11.185,11.19,3467,0
2017-10-25,10:25:00,11.19,11.225,11.19,11.22,9525,0
2017-10-25,10:30:00,11.225,11.245,11.225,11.235,2250,0
2017-10-25,10:35:00,11.24,11.26,11.24,11.26,6152,0
2017-10-25,10:40:00,11.265,11.275,11.255,11.265,2209,0
2017-10-25,10:45:00,11.255,11.27,11.25,11.27,2052,0
2017-10-25,10:50:00,11.27,11.27,11.25,11.26,3569,0
2017-10-25,10:55:00,11.245,11.245,11.245,11.245,600,0
2017-10-25,11:00:00,11.25,11.3,11.25,11.3,59387,0
2017-10-25,11:05:00,11.305,11.35,11.3,11.34,71430,0
2017-10-25,11:10:00,11.36,11.39,11.36,11.39,29290,0
2017-10-25,11:15:00,11.385,11.39,11.355,11.375,7246,0
2017-10-25,11:20:00,11.37,11.39,11.36,11.39,6835,0
2017-10-25,11:25:00,11.395,11.4,11.385,11.385,22030,0
2017-10-25,11:30:00,11.38,11.395,11.36,11.36,15856,0
2017-10-25,11:35:00,11.365,11.365,11.335,11.335,3607,0
2017-10-25,11:40:00,11.335,11.36,11.32,11.355,9946,0
2017-10-25,11:45:00,11.345,11.35,11.345,11.35,1072,0
2017-10-25,11:50:00,11.35,11.35,11.315,11.325,14256,0
2017-10-25,11:55:00,11.335,11.335,11.28,11.28,4709,0
2017-10-25,12:00:00,11.28,11.285,11.275,11.28,21708,0
2017-10-25,12:05:00,11.285,11.305,11.285,11.3,4880,0
2017-10-25,12:10:00,11.295,11.295,11.275,11.29,5850,0
2017-10-25,12:15:00,11.28,11.3,11.28,11.3,4412,0
2017-10-25,12:20:00,11.3,11.3,11.29,11.295,4002,0
2017-10-25,12:25:00,11.3,11.335,11.3,11.335,8092,0
2017-10-25,12:30:00,11.335,11.35,11.335,11.35,1680,0
2017-10-25,12:35:00,11.36,11.37,11.325,11.36,10741,0
2017-10-25,12:40:00,11.345,11.345,11.31,11.315,14353,0
2017-10-25,12:45:00,11.325,11.335,11.325,11.335,4993,0
2017-10-25,12:50:00,11.325,11.325,11.29,11.29,80645,0
2017-10-25,12:55:00,11.29,11.305,11.29,11.3,11111,0
2017-10-25,13:00:00,11.3,11.3,11.275,11.28,17878,0
2017-10-25,13:05:00,11.27,11.29,11.265,11.285,15095,0
2017-10-25,13:10:00,11.285,11.285,11.26,11.28,14239,0
2017-10-25,13:15:00,11.265,11.285,11.26,11.27,11988,0
2017-10-25,13:20:00,11.26,11.27,11.26,11.27,1074,0
2017-10-25,13:25:00,11.265,11.265,11.245,11.245,5377,0
2017-10-25,13:30:00,11.25,11.25,11.25,11.25,471,0
2017-10-25,13:35:00,11.255,11.255,11.21,11.25,13469,0
2017-10-25,13:40:00,11.235,11.255,11.23,11.255,7001,0
2017-10-25,13:45:00,11.25,11.33,11.245,11.325,55620,0
2017-10-25,13:50:00,11.31,11.36,11.31,11.34,8891,0
2017-10-25,13:55:00,11.325,11.335,11.315,11.33,5414,0
2017-10-25,14:00:00,11.32,11.355,11.3,11.355,23733,0
2017-10-25,14:05:00,11.36,11.365,11.31,11.315,22624,0
2017-10-25,14:10:00,11.32,11.32,11.32,11.32,1010,0
2017-10-25,14:15:00,11.305,11.325,11.29,11.32,9083,0
2017-10-25,14:20:00,11.325,11.34,11.325,11.33,1808,0
2017-10-25,14:25:00,11.325,11.35,11.325,11.35,5207,0
2017-10-25,14:30:00,11.355,11.38,11.33,11.335,35041,0
2017-10-25,14:35:00,11.34,11.35,11.34,11.345,7377,0
2017-10-25,14:40:00,11.34,11.34,11.295,11.295,6435,0
2017-10-25,14:45:00,11.31,11.31,11.3,11.3,8135,0
2017-10-25,14:50:00,11.31,11.365,11.31,11.365,27507,0
2017-10-25,14:55:00,11.38,11.39,11.355,11.355,34230,0
2017-10-25,15:00:00,11.345,11.36,11.34,11.36,5942,0
2017-10-25,15:05:00,11.355,11.355,11.34,11.34,6227,0
2017-10-25,15:10:00,11.335,11.34,11.29,11.3,14540,0
2017-10-25,15:15:00,11.315,11.315,11.295,11.3,12246,0
2017-10-25,15:20:00,11.31,11.315,11.305,11.31,12775,0
2017-10-25,15:25:00,11.295,11.32,11.29,11.31,8304,0
2017-10-25,15:30:00,11.315,11.34,11.315,11.34,7300,0
2017-10-25,15:35:00,11.345,11.43,11.345,11.43,112655,0
2017-10-25,15:40:00,11.425,11.45,11.42,11.445,11348,0
2017-10-25,15:45:00,11.445,11.445,11.415,11.425,10531,0
2017-10-25,15:50:00,11.415,11.45,11.415,11.45,14896,0
2017-10-25,15:55:00,11.44,11.485,11.4,11.4,70329,0
2017-10-25,16:00:00,11.39,11.45,11.385,11.395,19107,0
2017-10-25,16:05:00,11.405,11.425,11.38,11.4,21197,0
2017-10-25,16:10:00,11.415,11.43,11.39,11.39,19057,0
2017-10-25,16:15:00,11.395,11.395,11.37,11.375,6915,0
2017-10-25,16:20:00,11.375,11.38,11.305,11.32,11520,0
2017-10-25,16:25:00,11.315,11.33,11.305,11.32,21253,0
2017-10-25,16:30:00,11.32,11.32,11.305,11.315,10283,0
2017-10-25,16:35:00,11.315,11.32,11.315,11.315,6243,0
2017-10-25,16:40:00,11.32,11.32,11.275,11.28,22613,0
2017-10-25,16:45:00,11.28,11.285,11.23,11.25,22841,0
2017-10-25,16:50:00,11.24,11.245,11.205,11.205,34332,0
2017-10-25,16:55:00,11.21,11.255,11.21,11.255,15101,0
2017-10-25,17:00:00,11.27,11.275,11.26,11.275,16592,0
2017-10-25,17:05:00,11.29,11.35,11.28,11.33,28997,0
2017-10-25,17:10:00,11.32,11.32,11.265,11.29,32102,0
2017-10-25,17:15:00,11.29,11.29,11.245,11.27,22525,0
2017-10-25,17:20:00,11.265,11.265,11.235,11.235,28172,0
2017-10-25,17:25:00,11.23,11.265,11.22,11.26,35348,0
2017-10-25,17:30:00,11.26,11.26,11.24,11.24,205246,0
2017-10-26,09:05:00,11.475,11.475,11.25,11.27,151016,0
2017-10-26,09:10:00,11.235,11.3,11.11,11.22,75686,0
2017-10-26,09:15:00,11.25,11.26,11.105,11.18,65098,0
2017-10-26,09:20:00,11.18,11.325,11.18,11.295,74470,0
2017-10-26,09:25:00,11.305,11.31,11.17,11.29,29442,0
2017-10-26,09:30:00,11.3,11.39,11.26,11.36,38733,0
2017-10-26,09:35:00,11.35,11.405,11.32,11.35,36183,0
2017-10-26,09:40:00,11.375,11.4,11.335,11.35,34950,0
2017-10-26,09:45:00,11.325,11.33,11.29,11.31,11271,0
2017-10-26,09:50:00,11.315,11.35,11.285,11.33,24282,0
2017-10-26,09:55:00,11.33,11.44,11.32,11.385,67252,0
2017-10-26,10:00:00,11.4,11.415,11.36,11.415,6244,0
2017-10-26,10:05:00,11.415,11.415,11.365,11.38,9947,0
2017-10-26,10:10:00,11.38,11.405,11.35,11.38,12495,0
2017-10-26,10:15:00,11.38,11.395,11.315,11.315,41483,0
2017-10-26,10:20:00,11.32,11.35,11.295,11.3,15333,0
2017-10-26,10:25:00,11.29,11.3,11.28,11.3,16539,0
2017-10-26,10:30:00,11.31,11.34,11.3,11.32,13236,0
2017-10-26,10:35:00,11.305,11.32,11.28,11.295,10781,0
2017-10-26,10:40:00,11.285,11.32,11.28,11.32,4840,0
2017-10-26,10:45:00,11.305,11.35,11.305,11.33,13304,0
2017-10-26,10:50:00,11.325,11.325,11.295,11.315,13109,0
2017-10-26,10:55:00,11.315,11.335,11.31,11.335,9343,0
2017-10-26,11:00:00,11.3,11.315,11.285,11.315,9954,0
2017-10-26,11:05:00,11.315,11.315,11.265,11.3,15855,0
2017-10-26,11:10:00,11.29,11.31,11.28,11.28,3391,0
2017-10-26,11:15:00,11.28,11.285,11.26,11.26,4234,0
2017-10-26,11:20:00,11.265,11.285,11.22,11.225,16088,0
2017-10-26,11:25:00,11.225,11.24,11.22,11.225,10395,0
2017-10-26,11:30:00,11.225,11.25,11.22,11.225,12651,0
2017-10-26,11:35:00,11.23,11.24,11.225,11.225,8492,0
2017-10-26,11:40:00,11.225,11.225,11.22,11.225,2148,0
2017-10-26,11:45:00,11.23,11.31,11.23,11.295,42102,0
2017-10-26,11:50:00,11.32,11.335,11.295,11.305,24366,0
2017-10-26,11:55:00,11.31,11.31,11.295,11.3,1967,0
2017-10-26,12:00:00,11.295,11.305,11.285,11.3,8980,0
2017-10-26,12:10:00,11.31,11.345,11.31,11.33,32520,0
2017-10-26,12:15:00,11.325,11.325,11.315,11.315,4067,0
2017-10-26,12:20:00,11.315,11.315,11.275,11.3,10179,0
2017-10-26,12:25:00,11.315,11.34,11.31,11.32,5584,0
2017-10-26,12:35:00,11.32,11.335,11.32,11.335,738,0
2017-10-26,12:40:00,11.32,11.345,11.32,11.345,3386,0
2017-10-26,12:45:00,11.34,11.34,11.305,11.305,9070,0
2017-10-26,12:50:00,11.305,11.305,11.305,11.305,134,0
2017-10-26,12:55:00,11.29,11.32,11.29,11.305,1172,0
2017-10-26,13:00:00,11.29,11.3,11.27,11.27,16024,0
2017-10-26,13:05:00,11.23,11.285,11.23,11.285,10026,0
2017-10-26,13:10:00,11.265,11.295,11.265,11.28,3715,0
