Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-10-26,09:05:00,91.35,91.52,91.23,91.31,45597,0
2017-10-26,09:10:00,91.31,91.49,91.26,91.38,17526,0
2017-10-26,09:15:00,91.37,91.38,91.17,91.31,31317,0
2017-10-26,09:20:00,91.32,91.48,91.29,91.46,19436,0
2017-10-26,09:25:00,91.47,91.71,91.39,91.54,30278,0
2017-10-26,09:30:00,91.56,91.71,91.49,91.69,14291,0
2017-10-26,09:35:00,91.68,91.85,91.66,91.84,19457,0
2017-10-26,09:40:00,91.85,91.96,91.81,91.92,30885,0
2017-10-26,09:45:00,91.92,91.93,91.85,91.88,22573,0
2017-10-26,09:50:00,91.87,91.88,91.76,91.82,18231,0
2017-10-26,09:55:00,91.82,91.82,91.7,91.74,13968,0
2017-10-26,10:00:00,91.74,91.91,91.72,91.88,23870,0
2017-10-26,10:05:00,91.88,91.93,91.85,91.87,14075,0
2017-10-26,10:10:00,91.88,91.91,91.84,91.9,11295,0
2017-10-26,10:15:00,91.9,91.97,91.88,91.95,25363,0
2017-10-26,10:20:00,91.92,91.99,91.91,91.95,19433,0
2017-10-26,10:25:00,91.95,91.95,91.85,91.88,13819,0
2017-10-26,10:30:00,91.89,91.97,91.89,91.93,12850,0
2017-10-26,10:35:00,91.94,92,91.9,91.9,13745,0
2017-10-26,10:40:00,91.91,91.91,91.83,91.83,10160,0
2017-10-26,10:45:00,91.82,91.82,91.68,91.79,17329,0
2017-10-26,10:50:00,91.79,91.9,91.79,91.83,19747,0
2017-10-26,10:55:00,91.84,91.88,91.81,91.82,11740,0
2017-10-26,11:00:00,91.83,91.84,91.78,91.82,7257,0
2017-10-26,11:05:00,91.83,91.87,91.81,91.81,8984,0
2017-10-26,11:10:00,91.81,91.83,91.78,91.81,7711,0
2017-10-26,11:15:00,91.81,91.91,91.8,91.88,25370,0
2017-10-26,11:20:00,91.88,91.9,91.86,91.9,12669,0
2017-10-26,11:25:00,91.9,91.91,91.85,91.87,15295,0
2017-10-26,11:30:00,91.87,91.9,91.85,91.9,9957,0
2017-10-26,11:35:00,91.9,91.91,91.85,91.85,23262,0
2017-10-26,11:40:00,91.85,91.85,91.69,91.7,8155,0
2017-10-26,11:45:00,91.69,91.74,91.68,91.74,15192,0
2017-10-26,11:50:00,91.73,91.83,91.73,91.79,10092,0
2017-10-26,11:55:00,91.79,91.86,91.69,91.69,10935,0
2017-10-26,12:00:00,91.69,91.74,91.67,91.69,6777,0
2017-10-26,12:05:00,91.7,91.76,91.56,91.59,12022,0
2017-10-26,12:10:00,91.59,91.64,91.56,91.6,7605,0
2017-10-26,12:15:00,91.61,91.64,91.49,91.49,16503,0
2017-10-26,12:20:00,91.49,91.53,91.49,91.5,5848,0
2017-10-26,12:25:00,91.51,91.66,91.51,91.57,13880,0
2017-10-26,12:30:00,91.57,91.68,91.57,91.65,9380,0
2017-10-26,12:35:00,91.64,91.65,91.61,91.64,5793,0
2017-10-26,12:40:00,91.64,91.64,91.53,91.53,8805,0
2017-10-26,12:45:00,91.53,91.53,91.51,91.52,9270,0
2017-10-26,12:50:00,91.51,91.53,91.45,91.45,11007,0
2017-10-26,12:55:00,91.44,91.45,91.37,91.43,11497,0
2017-10-26,13:00:00,91.43,91.46,91.4,91.46,4100,0
2017-10-26,13:05:00,91.46,91.46,91.38,91.38,9084,0
2017-10-26,13:10:00,91.38,91.47,91.38,91.42,10434,0
2017-10-26,13:15:00,91.43,91.47,91.4,91.44,4864,0
2017-10-26,13:20:00,91.44,91.51,91.44,91.51,8934,0
2017-10-26,13:25:00,91.48,91.5,91.45,91.47,14585,0
2017-10-26,13:30:00,91.47,91.52,91.47,91.51,2075,0
2017-10-26,13:35:00,91.51,91.54,91.5,91.5,2612,0
2017-10-26,13:40:00,91.49,91.49,91.41,91.47,11197,0
2017-10-26,13:45:00,91.45,91.46,91.38,91.45,9257,0
2017-10-26,13:50:00,91.46,91.82,91.42,91.77,65504,0
2017-10-26,13:55:00,91.78,91.83,91.66,91.73,26545,0
2017-10-26,14:00:00,91.73,91.78,91.64,91.65,13404,0
2017-10-26,14:05:00,91.66,91.76,91.63,91.66,10222,0
2017-10-26,14:10:00,91.66,91.68,91.62,91.62,6546,0
