Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-10-18,09:05:00,82.2,82.2,81.91,81.91,141,0
2017-10-18,09:15:00,81.97,81.97,81.97,81.97,80,0
2017-10-18,09:20:00,82.13,82.13,82.13,82.13,83,0
2017-10-18,09:25:00,82.2,82.56,82.2,82.46,74,0
2017-10-18,09:30:00,82.66,82.75,82.66,82.75,167,0
2017-10-18,09:40:00,83,83.12,82.85,82.85,169,0
2017-10-18,09:55:00,82.82,82.82,82.81,82.81,50,0
2017-10-18,10:15:00,83.19,83.36,83.19,83.25,437,0
2017-10-18,10:20:00,83.41,83.57,83.41,83.57,72,0
2017-10-18,10:25:00,83.47,83.47,83.43,83.43,95,0
2017-10-18,10:30:00,83.43,83.43,83.37,83.37,129,0
2017-10-18,10:40:00,83.33,83.33,83.28,83.28,107,0
2017-10-18,10:50:00,83.25,83.25,83.25,83.25,8,0
2017-10-18,10:55:00,83.25,83.25,83.25,83.25,2,0
2017-10-18,11:15:00,83.19,83.19,83.19,83.19,38,0
2017-10-18,11:20:00,83.3,83.58,83.3,83.46,205,0
2017-10-18,11:25:00,83.29,83.29,83.29,83.29,63,0
2017-10-18,11:35:00,83.52,83.52,83.52,83.52,46,0
2017-10-18,11:50:00,83.34,83.34,83.04,83.28,219,0
2017-10-18,11:55:00,83.07,83.07,83.07,83.07,43,0
2017-10-18,12:00:00,83.25,83.25,83.25,83.25,6,0
2017-10-18,12:25:00,83.17,83.17,83.17,83.17,50,0
2017-10-18,12:35:00,83.03,83.03,83.03,83.03,48,0
2017-10-18,12:50:00,83.15,83.15,82.96,82.96,194,0
2017-10-18,13:00:00,82.83,82.9,82.83,82.9,17,0
2017-10-18,13:05:00,82.96,82.96,82.88,82.95,196,0
2017-10-18,13:10:00,83.01,83.01,83.01,83.01,38,0
2017-10-18,13:15:00,82.86,83.01,82.86,83.01,71,0
2017-10-18,13:20:00,83.06,83.06,82.98,82.98,17,0
2017-10-18,13:30:00,82.94,82.94,82.94,82.94,25,0
2017-10-18,13:50:00,83.15,83.15,83.15,83.15,19,0
2017-10-18,13:55:00,83.05,83.05,83.01,83.01,129,0
2017-10-18,14:00:00,83.17,83.17,83.17,83.17,33,0
2017-10-18,14:15:00,83.01,83.01,83,83.01,326,0
2017-10-18,14:20:00,83.01,83.01,83,83,376,0
2017-10-18,14:25:00,83,83,83,83,50,0
2017-10-18,14:30:00,83,83.12,83,83,484,0
2017-10-18,14:55:00,83.21,83.21,83.21,83.21,39,0
2017-10-18,15:30:00,83.42,83.5,83.42,83.5,137,0
2017-10-18,15:35:00,83.55,83.65,83.55,83.65,56,0
2017-10-18,15:40:00,83.74,83.74,83.65,83.65,135,0
2017-10-18,15:50:00,83.8,83.83,83.74,83.74,80,0
2017-10-18,15:55:00,83.92,83.92,83.92,83.92,39,0
2017-10-18,16:00:00,83.86,83.9,83.84,83.89,177,0
2017-10-18,16:05:00,83.98,83.98,83.98,83.98,39,0
2017-10-18,16:10:00,83.93,83.93,83.93,83.93,74,0
2017-10-18,16:15:00,83.89,83.89,83.71,83.71,216,0
2017-10-18,16:35:00,83.69,83.81,83.69,83.81,81,0
2017-10-18,16:40:00,83.75,83.89,83.75,83.89,287,0
2017-10-18,16:45:00,83.83,83.83,83.77,83.77,134,0
2017-10-18,16:55:00,83.77,83.77,83.37,83.37,420,0
2017-10-18,17:00:00,83.59,83.59,83.59,83.59,36,0
2017-10-18,17:05:00,83.61,83.61,83.61,83.61,8,0
2017-10-18,17:10:00,83.53,83.53,83.25,83.25,206,0
2017-10-18,17:25:00,83.25,83.25,83.24,83.24,44,0
2017-10-18,17:30:00,83.42,83.83,83,83.83,2236,0
2017-10-19,09:05:00,83.38,83.61,83.38,83.61,36,0
2017-10-19,09:15:00,83.56,83.56,83.37,83.37,51,0
2017-10-19,09:40:00,83.25,83.25,83.25,83.25,110,0
2017-10-19,09:45:00,83.2,83.2,82.8,82.93,263,0
2017-10-19,09:50:00,82.73,82.73,82.54,82.54,139,0
2017-10-19,09:55:00,82.69,82.87,82.43,82.43,165,0
2017-10-19,10:05:00,82.45,82.83,82.45,82.83,350,0
2017-10-19,10:10:00,82.7,82.7,82.7,82.7,1,0
2017-10-19,10:15:00,82.56,82.56,82.56,82.56,18,0
2017-10-19,10:20:00,82.83,82.83,82.83,82.83,141,0
2017-10-19,10:30:00,82.9,82.9,82.9,82.9,4,0
2017-10-19,10:45:00,82.93,82.93,82.93,82.93,14,0
2017-10-19,10:50:00,82.91,82.91,82.91,82.91,35,0
2017-10-19,10:55:00,82.91,82.91,82.91,82.91,1,0
2017-10-19,11:00:00,82.91,83.22,82.91,83.21,271,0
2017-10-19,11:10:00,83.09,83.09,83.09,83.09,100,0
2017-10-19,11:15:00,83.09,83.09,83.09,83.09,1,0
2017-10-19,11:20:00,83.26,83.26,82.81,83.09,328,0
2017-10-19,11:25:00,82.87,82.87,82.87,82.87,1,0
2017-10-19,11:30:00,82.87,82.87,82.8,82.8,61,0
2017-10-19,11:55:00,83.05,83.05,83.05,83.05,5,0
2017-10-19,12:00:00,83.05,83.05,83.05,83.05,13,0
2017-10-19,12:05:00,83.05,83.05,82.9,82.9,117,0
2017-10-19,12:20:00,82.9,82.9,82.8,82.8,149,0
2017-10-19,12:50:00,82.81,82.81,82.62,82.62,423,0
2017-10-19,13:00:00,82.51,82.52,82.42,82.42,167,0
2017-10-19,13:05:00,82.42,82.42,82.38,82.38,47,0
2017-10-19,13:10:00,82.44,82.44,82.44,82.44,19,0
2017-10-19,13:15:00,82.21,82.21,82.16,82.16,25,0
2017-10-19,13:20:00,82.15,82.15,81.98,81.99,216,0
2017-10-19,13:45:00,82,82,82,82,30,0
2017-10-19,13:50:00,82.15,82.15,82.15,82.15,14,0
2017-10-19,13:55:00,82.17,82.18,82.17,82.18,99,0
2017-10-19,14:00:00,82.22,82.22,82.22,82.22,32,0
2017-10-19,14:30:00,82.28,82.29,82.28,82.29,161,0
2017-10-19,14:45:00,82.34,82.62,82.34,82.48,179,0
2017-10-19,15:00:00,82.6,82.75,82.6,82.75,256,0
2017-10-19,15:05:00,82.83,82.83,82.83,82.83,5,0
2017-10-19,15:20:00,82.83,82.86,82.83,82.86,135,0
2017-10-19,15:25:00,82.93,83,82.93,83,20,0
2017-10-19,15:50:00,82.86,83.05,82.85,83.04,266,0
2017-10-19,15:55:00,82.9,82.9,82.7,82.8,273,0
2017-10-19,16:00:00,82.73,82.73,82.73,82.73,4,0
2017-10-19,16:05:00,82.73,82.73,82.6,82.6,127,0
2017-10-19,16:20:00,82.72,82.79,82.72,82.79,111,0
2017-10-19,16:30:00,82.78,82.78,82.74,82.74,136,0
2017-10-19,16:55:00,82.73,82.78,82.73,82.78,97,0
2017-10-19,17:00:00,82.71,82.71,82.6,82.7,154,0
2017-10-19,17:05:00,82.53,82.53,82.5,82.5,133,0
2017-10-19,17:10:00,82.32,82.32,82.19,82.19,45,0
2017-10-19,17:15:00,82.43,82.43,82.42,82.42,6,0
2017-10-19,17:20:00,82.44,82.47,82.2,82.21,447,0
2017-10-19,17:25:00,82.2,82.2,82.04,82.04,59,0
2017-10-19,17:30:00,82.05,82.27,82.04,82.27,2508,0
2017-10-20,09:05:00,82.25,82.51,82.25,82.51,317,0
2017-10-20,09:15:00,82.74,82.74,82.74,82.74,15,0
2017-10-20,09:20:00,82.51,82.51,82.51,82.51,36,0
2017-10-20,09:40:00,82.76,82.76,82.76,82.76,24,0
2017-10-20,09:55:00,82.68,82.68,82.68,82.68,4,0
2017-10-20,10:00:00,82.79,82.89,82.79,82.89,55,0
2017-10-20,10:05:00,82.64,82.64,82.64,82.64,50,0
2017-10-20,10:15:00,82.85,82.85,82.85,82.85,4,0
2017-10-20,10:30:00,82.69,82.69,82.54,82.66,101,0
2017-10-20,10:45:00,82.67,82.83,82.67,82.83,230,0
2017-10-20,10:50:00,82.89,82.89,82.89,82.89,22,0
2017-10-20,10:55:00,82.72,82.72,82.72,82.72,50,0
2017-10-20,11:00:00,82.72,82.73,81.66,82.5,1468,0
2017-10-20,11:05:00,82.62,82.69,82.47,82.69,93,0
2017-10-20,11:15:00,82.81,82.81,82.81,82.81,30,0
2017-10-20,11:35:00,83,83,83,83,19,0
2017-10-20,11:40:00,83.1,83.26,83.1,83.26,122,0
2017-10-20,11:45:00,83.15,83.3,83.06,83.06,176,0
2017-10-20,11:55:00,83.25,83.25,83.25,83.25,3,0
2017-10-20,12:00:00,83.25,83.34,83.25,83.34,80,0
2017-10-20,12:10:00,83.34,83.6,83.34,83.6,392,0
2017-10-20,12:15:00,83.66,83.66,83.66,83.66,17,0
2017-10-20,12:20:00,83.67,83.7,83.47,83.47,50,0
2017-10-20,12:25:00,83.48,83.48,83.43,83.43,254,0
2017-10-20,12:30:00,83.18,83.18,83.18,83.18,1,0
2017-10-20,12:45:00,83.18,83.34,83.17,83.34,79,0
2017-10-20,12:50:00,83.2,83.27,83.2,83.27,13,0
2017-10-20,13:00:00,83.21,83.28,83.21,83.28,35,0
2017-10-20,13:05:00,83.33,83.36,83.33,83.36,13,0
2017-10-20,13:10:00,83.5,83.5,83.32,83.32,43,0
2017-10-20,13:15:00,83.38,83.38,83.38,83.38,60,0
2017-10-20,13:25:00,83.38,83.43,83.34,83.43,353,0
2017-10-20,13:55:00,83.35,83.35,83.01,83.01,257,0
2017-10-20,14:00:00,83.02,83.02,83.02,83.02,19,0
2017-10-20,14:30:00,83.22,83.22,83.17,83.17,141,0
2017-10-20,14:55:00,83.14,83.14,83,83,309,0
2017-10-20,15:05:00,82.87,82.89,82.87,82.87,227,0
2017-10-20,15:25:00,82.88,82.88,82.87,82.87,95,0
2017-10-20,15:30:00,83.07,83.07,83.07,83.07,1,0
2017-10-20,15:50:00,83.06,83.35,83.06,83.27,429,0
2017-10-20,15:55:00,83.21,83.21,83.21,83.21,32,0
2017-10-20,16:00:00,83.16,83.16,83.16,83.16,44,0
2017-10-20,16:25:00,83.18,83.33,83.18,83.33,99,0
2017-10-20,16:30:00,83.45,83.45,83.29,83.29,40,0
2017-10-20,16:35:00,83.29,83.3,82.98,82.98,384,0
2017-10-20,16:40:00,82.84,82.84,82.84,82.84,14,0
2017-10-20,16:45:00,82.93,83.1,82.93,83.1,124,0
2017-10-20,16:55:00,83.17,83.17,83.17,83.17,5,0
2017-10-20,17:00:00,83.16,83.16,83.16,83.16,8,0
2017-10-20,17:10:00,83.19,83.3,83.16,83.19,615,0
2017-10-20,17:15:00,83.16,83.16,83.06,83.06,160,0
2017-10-20,17:20:00,82.98,82.98,82.93,82.93,31,0
2017-10-20,17:25:00,82.98,83,82.81,82.89,167,0
2017-10-20,17:30:00,82.99,83.42,82.64,83.04,1569,0
2017-10-23,09:05:00,83.47,83.47,83.11,83.11,196,0
2017-10-23,09:10:00,83.43,83.43,82.64,82.64,82,0
2017-10-23,09:15:00,82.51,82.78,82.5,82.67,205,0
2017-10-23,09:20:00,83,83.47,83,83.47,51,0
2017-10-23,09:25:00,83.05,83.1,82.5,82.5,185,0
2017-10-23,09:30:00,82.77,83.07,82.77,83.07,119,0
2017-10-23,09:35:00,83.15,83.99,83.15,83.42,463,0
2017-10-23,09:40:00,83.06,83.07,83.06,83.07,486,0
2017-10-23,09:45:00,83.06,83.06,83.06,83.06,3,0
2017-10-23,09:50:00,83.06,83.06,83.06,83.06,189,0
2017-10-23,09:55:00,83.06,83.07,83.06,83.07,44,0
2017-10-23,10:05:00,83.06,83.17,83.06,83.17,91,0
2017-10-23,10:10:00,83.06,83.06,83.06,83.06,53,0
2017-10-23,10:15:00,83.16,83.32,83.16,83.32,166,0
2017-10-23,10:25:00,83.19,83.2,83.19,83.2,43,0
2017-10-23,10:30:00,83.44,83.44,83.44,83.44,5,0
2017-10-23,10:40:00,83.44,83.47,83.44,83.44,192,0
2017-10-23,10:50:00,83.16,83.72,83.16,83.72,107,0
2017-10-23,10:55:00,83.19,83.2,83.19,83.2,81,0
2017-10-23,11:10:00,83.15,83.15,82.79,82.9,436,0
2017-10-23,11:15:00,83.27,83.27,83.27,83.27,14,0
2017-10-23,11:20:00,82.53,82.53,82.53,82.53,50,0
2017-10-23,11:25:00,82.69,82.69,82.63,82.63,46,0
2017-10-23,11:30:00,82.5,82.5,82.32,82.32,60,0
2017-10-23,11:40:00,82.5,82.51,82.5,82.51,131,0
2017-10-23,11:50:00,82.66,82.68,82.66,82.68,132,0
2017-10-23,11:55:00,82.88,82.88,82.83,82.83,18,0
2017-10-23,12:10:00,82.68,82.68,82.68,82.68,29,0
2017-10-23,12:45:00,82.78,82.87,82.78,82.87,86,0
2017-10-23,12:55:00,82.87,82.87,82.87,82.87,7,0
2017-10-23,13:05:00,82.69,82.69,82.69,82.69,5,0
2017-10-23,13:10:00,82.56,82.58,82.56,82.58,48,0
2017-10-23,13:30:00,82.65,82.65,82.65,82.65,48,0
