Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-09-12,11:25:00,9.185,9.185,9.185,9.185,48,0
2017-09-12,13:20:00,9.2,9.2,9.2,9.2,70,0
2017-09-12,14:00:00,9.14,9.14,9.14,9.14,76,0
2017-09-12,14:15:00,9.141,9.141,9.14,9.14,381,0
2017-09-12,15:10:00,9.192,9.192,9.192,9.192,1100,0
2017-09-12,15:45:00,9.141,9.141,9.141,9.141,54,0
2017-09-12,15:55:00,9.141,9.141,9.141,9.141,145,0
2017-09-12,16:10:00,9.142,9.142,9.141,9.141,203,0
2017-09-12,16:15:00,9.1,9.1,9.1,9.1,1500,0
2017-09-12,16:20:00,9.054,9.054,9.054,9.054,397,0
2017-09-12,16:25:00,9.044,9.044,9.044,9.044,1700,0
2017-09-12,17:15:00,9.029,9.029,9.029,9.029,48,0
2017-09-12,17:20:00,8.945,8.945,8.9,8.9,2691,0
2017-09-12,17:30:00,8.925,8.925,8.925,8.925,406,0
2017-09-13,09:05:00,9,9,9,9,118,0
2017-09-13,10:45:00,8.999,9.103,8.999,9.103,3855,0
2017-09-13,10:50:00,9.1,9.1,9.1,9.1,250,0
2017-09-13,10:55:00,9.1,9.1,9.1,9.1,632,0
2017-09-13,11:00:00,9.1,9.1,9.1,9.1,100,0
2017-09-13,11:05:00,9.1,9.1,9.1,9.1,100,0
2017-09-13,11:10:00,9.1,9.1,9.1,9.1,3571,0
2017-09-13,11:15:00,9.056,9.056,9,9,1210,0
2017-09-13,11:20:00,9,9,9,9,100,0
2017-09-13,11:25:00,9.001,9.001,9.001,9.001,100,0
2017-09-13,11:30:00,9,9,9,9,100,0
2017-09-13,11:35:00,9.001,9.001,9.001,9.001,100,0
2017-09-13,11:40:00,9,9,9,9,146,0
2017-09-13,12:00:00,9,9,9,9,100,0
2017-09-13,12:05:00,9,9,9,9,200,0
2017-09-13,12:10:00,9,9,9,9,100,0
2017-09-13,12:15:00,9,9,9,9,100,0
2017-09-13,12:20:00,9,9,9,9,100,0
2017-09-13,12:30:00,9,9,9,9,100,0
2017-09-13,12:35:00,9,9,9,9,100,0
2017-09-13,12:45:00,9,9,9,9,100,0
2017-09-13,13:20:00,9.061,9.061,9.06,9.06,1000,0
2017-09-13,13:35:00,9.061,9.061,9.061,9.061,100,0
2017-09-13,13:40:00,9.06,9.06,9.06,9.06,100,0
2017-09-13,14:55:00,9.06,9.06,9.055,9.055,3365,0
2017-09-13,15:00:00,9,9,9,9,590,0
2017-09-13,15:05:00,9,9,9,9,100,0
2017-09-13,15:10:00,9,9,9,9,100,0
2017-09-13,15:15:00,9.001,9.001,9.001,9.001,100,0
2017-09-13,15:20:00,9,9,9,9,100,0
2017-09-13,15:25:00,9,9,9,9,100,0
2017-09-13,15:30:00,9.019,9.019,9.014,9.014,318,0
2017-09-13,15:35:00,9,9,9,9,100,0
2017-09-13,15:50:00,9,9,9,9,100,0
2017-09-13,15:55:00,9,9,9,9,900,0
2017-09-13,17:30:00,9,9,9,9,278,0
2017-09-14,09:20:00,8.925,8.925,8.901,8.901,1000,0
2017-09-14,10:00:00,8.951,8.951,8.949,8.949,606,0
2017-09-14,10:20:00,8.989,8.989,8.941,8.941,610,0
2017-09-14,11:05:00,8.991,8.991,8.991,8.991,1,0
2017-09-14,11:10:00,8.993,8.993,8.993,8.993,42,0
2017-09-14,11:30:00,8.944,8.944,8.944,8.944,42,0
2017-09-14,11:35:00,9,9,9,9,166,0
2017-09-14,11:50:00,8.996,9,8.996,9,167,0
2017-09-14,12:00:00,8.999,9,8.993,8.993,804,0
2017-09-14,13:20:00,9,9,9,9,40,0
2017-09-14,13:30:00,8.942,8.942,8.942,8.942,78,0
2017-09-14,13:45:00,8.941,8.941,8.941,8.941,224,0
2017-09-14,14:05:00,8.933,8.933,8.932,8.932,1248,0
2017-09-14,15:35:00,8.941,8.97,8.935,8.97,603,0
2017-09-14,16:05:00,8.93,8.948,8.86,8.948,10060,0
2017-09-14,16:25:00,8.876,8.876,8.876,8.876,70,0
2017-09-14,16:30:00,8.929,8.929,8.929,8.929,150,0
2017-09-14,17:15:00,8.929,8.929,8.86,8.86,6384,0
2017-09-14,17:20:00,8.861,8.861,8.86,8.86,4328,0
2017-09-14,17:30:00,8.861,8.925,8.861,8.925,280,0
2017-09-15,09:10:00,8.24,8.24,8.09,8.09,7933,0
2017-09-15,09:15:00,8.199,8.298,8.161,8.248,1798,0
2017-09-15,09:20:00,8.248,8.248,8.248,8.248,1000,0
2017-09-15,09:25:00,8.25,8.25,8.22,8.25,5507,0
2017-09-15,09:30:00,8.22,8.22,8.22,8.22,1313,0
2017-09-15,09:35:00,8.18,8.18,8.18,8.18,2000,0
2017-09-15,09:40:00,8.164,8.164,8.164,8.164,290,0
2017-09-15,09:50:00,8.15,8.164,8.15,8.15,783,0
2017-09-15,09:55:00,8.15,8.15,8.06,8.06,4326,0
2017-09-15,10:00:00,8.068,8.086,8.03,8.03,13792,0
2017-09-15,10:05:00,8.03,8.03,7.92,7.92,4466,0
2017-09-15,10:10:00,8.05,8.097,8.05,8.066,1642,0
2017-09-15,10:15:00,8.012,8.051,8,8.051,11630,0
2017-09-15,10:20:00,8.003,8.055,8,8,2948,0
2017-09-15,10:25:00,7.955,7.955,7.95,7.95,297,0
2017-09-15,10:30:00,8.027,8.027,8.027,8.027,61,0
2017-09-15,10:40:00,8,8,8,8,1000,0
2017-09-15,10:45:00,7.991,7.991,7.98,7.98,4993,0
2017-09-15,10:50:00,7.98,7.99,7.95,7.95,2533,0
2017-09-15,10:55:00,7.95,7.969,7.95,7.95,2843,0
2017-09-15,11:00:00,7.95,7.99,7.95,7.96,3204,0
2017-09-15,11:05:00,7.92,7.92,7.84,7.85,2414,0
2017-09-15,11:15:00,7.948,7.948,7.948,7.948,800,0
2017-09-15,11:25:00,7.9,7.9,7.9,7.9,647,0
2017-09-15,11:35:00,7.923,7.923,7.9,7.9,1155,0
2017-09-15,11:40:00,7.86,7.86,7.859,7.859,1000,0
2017-09-15,11:45:00,7.905,7.964,7.905,7.964,1500,0
2017-09-15,11:50:00,7.908,7.965,7.908,7.965,950,0
2017-09-15,11:55:00,7.939,7.96,7.939,7.96,266,0
2017-09-15,12:00:00,7.912,7.936,7.912,7.935,72,0
2017-09-15,12:05:00,7.959,7.959,7.959,7.959,10,0
2017-09-15,12:10:00,7.933,8.04,7.933,8.031,18279,0
2017-09-15,12:15:00,8.1,8.1,8.1,8.1,1222,0
2017-09-15,12:20:00,8.101,8.101,8.1,8.1,1022,0
2017-09-15,12:35:00,8.15,8.15,8.15,8.15,700,0
2017-09-15,12:40:00,8.1,8.1,8.1,8.1,3306,0
2017-09-15,12:45:00,8.05,8.05,8.05,8.05,5000,0
2017-09-15,12:50:00,7.961,8.049,7.961,8.049,1075,0
2017-09-15,12:55:00,8.05,8.05,8.05,8.05,250,0
2017-09-15,13:00:00,8.098,8.1,8.098,8.1,696,0
2017-09-15,13:05:00,8.1,8.1,8.001,8.001,2059,0
2017-09-15,13:10:00,8.169,8.169,8.001,8.001,335,0
2017-09-15,13:25:00,8.113,8.114,8.113,8.114,888,0
2017-09-15,13:35:00,8.08,8.08,8.08,8.08,2000,0
2017-09-15,13:40:00,8.08,8.08,8.08,8.08,44,0
2017-09-15,13:45:00,8.08,8.08,8.08,8.08,1956,0
2017-09-15,13:50:00,8.08,8.08,8.08,8.08,44,0
2017-09-15,13:55:00,8.09,8.09,8.09,8.09,160,0
2017-09-15,14:05:00,8.148,8.148,8.148,8.148,1240,0
2017-09-15,14:20:00,8.12,8.12,8.12,8.12,370,0
2017-09-15,14:25:00,8.1,8.15,8.1,8.15,3869,0
2017-09-15,14:45:00,8.174,8.181,8.174,8.177,1435,0
2017-09-15,14:50:00,8.15,8.15,8.056,8.056,1532,0
2017-09-15,14:55:00,8.147,8.147,8.11,8.144,667,0
2017-09-15,15:00:00,8.025,8.096,8.025,8.096,602,0
2017-09-15,15:10:00,8.011,8.011,8.01,8.011,420,0
2017-09-15,15:15:00,8.011,8.011,7.962,7.962,444,0
2017-09-15,15:30:00,7.981,8.124,7.96,8.124,3287,0
2017-09-15,15:35:00,8,8.02,8,8.02,542,0
2017-09-15,15:40:00,8,8,8,8,100,0
2017-09-15,15:45:00,8.01,8.01,8,8.01,2318,0
2017-09-15,15:55:00,8,8,8,8,600,0
2017-09-15,16:00:00,8.049,8.049,8.049,8.049,15,0
2017-09-15,16:05:00,8,8,8,8,850,0
2017-09-15,16:25:00,8,8,7.934,7.936,1783,0
2017-09-15,16:30:00,7.948,7.948,7.948,7.948,109,0
2017-09-15,16:40:00,8.006,8.006,7.95,7.95,601,0
2017-09-15,16:45:00,7.921,7.937,7.921,7.937,743,0
2017-09-15,16:50:00,8,8.048,8,8.048,500,0
2017-09-15,17:00:00,8,8.048,8,8.048,125,0
2017-09-15,17:05:00,7.963,8,7.95,8,1537,0
2017-09-15,17:10:00,8,8,7.999,7.999,223,0
2017-09-15,17:20:00,8.05,8.05,8.05,8.05,125,0
2017-09-15,17:25:00,7.985,8,7.97,8,995,0
2017-09-15,17:30:00,7.951,8.061,7.951,8.061,3038,0
2017-09-18,09:05:00,7.931,7.931,7.931,7.931,1250,0
2017-09-18,09:25:00,8.013,8.013,8,8,842,0
2017-09-18,09:45:00,8.015,8.015,8.015,8.015,143,0
