Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-10-25,09:05:00,74.81,74.81,74.36,74.36,415,0
2017-10-25,09:20:00,74.48,74.48,74.48,74.48,98,0
2017-10-25,09:25:00,74.57,74.57,74.57,74.57,1,0
2017-10-25,09:30:00,74.55,74.58,74.4,74.4,171,0
2017-10-25,09:40:00,74.52,74.6,74.52,74.6,10,0
2017-10-25,09:45:00,74.54,74.58,74.5,74.58,194,0
2017-10-25,09:55:00,74.39,74.39,74.39,74.39,7,0
2017-10-25,10:00:00,74.35,74.36,74.35,74.35,52,0
2017-10-25,10:05:00,74.3,74.3,74.3,74.3,47,0
2017-10-25,10:10:00,74.23,74.23,74.23,74.23,10,0
2017-10-25,10:15:00,74.1,74.1,74.02,74.06,225,0
2017-10-25,10:20:00,74.1,74.12,73.98,74.06,1488,0
2017-10-25,10:25:00,74.06,74.06,74.03,74.03,108,0
2017-10-25,10:30:00,73.9,74.02,73.9,73.94,234,0
2017-10-25,10:35:00,73.93,73.93,73.91,73.91,138,0
2017-10-25,10:40:00,73.86,73.94,73.86,73.93,474,0
2017-10-25,10:45:00,74.01,74.01,73.83,73.92,2455,0
2017-10-25,10:50:00,73.93,73.93,73.91,73.91,175,0
2017-10-25,10:55:00,73.94,74.06,73.94,74.06,640,0
2017-10-25,11:00:00,74.06,74.06,74.04,74.04,163,0
2017-10-25,11:05:00,73.97,74,73.97,74,142,0
2017-10-25,11:10:00,74.07,74.09,74.02,74.07,510,0
2017-10-25,11:15:00,73.96,74.03,73.88,73.88,827,0
2017-10-25,11:20:00,73.83,73.9,73.83,73.9,130,0
2017-10-25,11:25:00,73.87,73.87,73.87,73.87,26,0
2017-10-25,11:30:00,73.85,73.85,73.84,73.84,141,0
2017-10-25,11:40:00,73.83,73.88,73.81,73.88,217,0
2017-10-25,11:45:00,73.93,73.93,73.9,73.9,107,0
2017-10-25,11:50:00,73.88,73.88,73.78,73.78,781,0
2017-10-25,11:55:00,73.88,73.91,73.88,73.91,86,0
2017-10-25,12:00:00,73.91,73.91,73.91,73.91,36,0
2017-10-25,12:05:00,73.88,73.88,73.82,73.88,525,0
2017-10-25,12:10:00,73.85,73.85,73.72,73.74,1249,0
2017-10-25,12:15:00,73.73,73.8,73.73,73.73,141,0
2017-10-25,12:20:00,73.72,73.78,73.72,73.78,129,0
2017-10-25,12:30:00,73.96,73.96,73.92,73.92,47,0
2017-10-25,12:35:00,73.89,73.89,73.84,73.84,499,0
2017-10-25,12:40:00,73.75,73.78,73.75,73.78,188,0
2017-10-25,12:45:00,73.81,73.81,73.81,73.81,54,0
2017-10-25,12:55:00,73.88,73.91,73.88,73.91,57,0
2017-10-25,13:00:00,74.01,74.06,73.97,73.99,362,0
2017-10-25,13:05:00,73.79,74.03,73.79,74.03,130,0
2017-10-25,13:10:00,74.05,74.05,74.05,74.05,30,0
2017-10-25,13:15:00,74.04,74.04,74.04,74.04,28,0
2017-10-25,13:20:00,74.03,74.03,74.03,74.03,11,0
2017-10-25,13:25:00,74.03,74.03,74.03,74.03,81,0
2017-10-25,13:30:00,74.06,74.06,74.01,74.01,107,0
2017-10-25,13:35:00,73.96,73.96,73.96,73.96,58,0
2017-10-25,13:40:00,73.99,73.99,73.99,73.99,29,0
2017-10-25,13:45:00,73.93,73.93,73.85,73.85,179,0
2017-10-25,13:50:00,73.91,73.91,73.81,73.81,171,0
2017-10-25,14:00:00,73.8,73.81,73.78,73.81,132,0
2017-10-25,14:15:00,73.88,73.88,73.88,73.88,17,0
2017-10-25,14:20:00,73.88,73.99,73.88,73.99,74,0
2017-10-25,14:25:00,73.93,73.93,73.87,73.92,118,0
2017-10-25,14:30:00,74,74.03,73.94,73.94,534,0
2017-10-25,14:35:00,73.93,74.01,73.88,74.01,669,0
2017-10-25,14:40:00,73.92,73.92,73.89,73.89,165,0
2017-10-25,14:45:00,73.96,73.96,73.91,73.91,338,0
2017-10-25,14:55:00,73.96,74.01,73.96,73.97,579,0
2017-10-25,15:00:00,74,74.04,74,74.04,249,0
2017-10-25,15:05:00,74,74,73.96,73.96,326,0
