Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-10-26,09:05:00,76.99,77,76.65,76.65,2037,0
2017-10-26,09:10:00,76.67,76.77,76.51,76.66,3748,0
2017-10-26,09:15:00,76.67,76.67,76.52,76.59,3003,0
2017-10-26,09:20:00,76.6,76.62,76.57,76.6,355,0
2017-10-26,09:25:00,76.58,76.58,76.53,76.54,390,0
2017-10-26,09:30:00,76.56,76.62,76.55,76.62,413,0
2017-10-26,09:35:00,76.65,76.72,76.65,76.69,924,0
2017-10-26,09:40:00,76.7,76.97,76.67,76.84,1823,0
2017-10-26,09:45:00,76.79,76.82,76.79,76.82,82,0
2017-10-26,09:50:00,76.8,76.89,76.79,76.84,1194,0
2017-10-26,09:55:00,76.84,76.89,76.83,76.88,624,0
2017-10-26,10:00:00,76.91,76.94,76.87,76.87,871,0
2017-10-26,10:05:00,76.89,76.89,76.85,76.86,189,0
2017-10-26,10:10:00,76.84,76.84,76.69,76.7,980,0
2017-10-26,10:15:00,76.72,76.76,76.62,76.76,1170,0
2017-10-26,10:20:00,76.78,76.81,76.76,76.79,688,0
2017-10-26,10:25:00,76.78,76.78,76.71,76.71,409,0
2017-10-26,10:30:00,76.73,76.75,76.7,76.73,903,0
2017-10-26,10:35:00,76.74,76.74,76.61,76.61,1021,0
2017-10-26,10:40:00,76.62,76.64,76.56,76.6,561,0
2017-10-26,10:45:00,76.61,76.63,76.61,76.62,336,0
2017-10-26,10:50:00,76.64,76.71,76.64,76.68,758,0
2017-10-26,10:55:00,76.69,76.7,76.66,76.66,831,0
2017-10-26,11:00:00,76.65,76.65,76.65,76.65,52,0
2017-10-26,11:05:00,76.63,76.63,76.42,76.44,1267,0
2017-10-26,11:10:00,76.46,76.46,76.42,76.42,512,0
2017-10-26,11:15:00,76.4,76.4,76.29,76.34,2652,0
2017-10-26,11:20:00,76.33,76.33,76.29,76.33,526,0
2017-10-26,11:25:00,76.35,76.35,76.34,76.35,246,0
2017-10-26,11:30:00,76.36,76.36,76.31,76.31,300,0
2017-10-26,11:35:00,76.31,76.43,76.31,76.43,2217,0
2017-10-26,11:40:00,76.45,76.45,76.4,76.45,1883,0
2017-10-26,11:45:00,76.43,76.47,76.4,76.47,1043,0
2017-10-26,11:50:00,76.48,76.48,76.46,76.46,418,0
2017-10-26,11:55:00,76.48,76.48,76.44,76.45,488,0
2017-10-26,12:00:00,76.47,76.47,76.44,76.45,224,0
2017-10-26,12:05:00,76.44,76.46,76.41,76.45,754,0
2017-10-26,12:10:00,76.42,76.42,76.41,76.41,200,0
2017-10-26,12:15:00,76.44,76.44,76.31,76.38,1226,0
2017-10-26,12:20:00,76.36,76.36,76.33,76.35,777,0
2017-10-26,12:25:00,76.35,76.41,76.35,76.41,570,0
