Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-10-23,09:05:00,7.445,7.455,7.445,7.455,5181,0
2017-10-23,09:10:00,7.448,7.472,7.441,7.441,1087,0
2017-10-23,09:15:00,7.441,7.45,7.405,7.405,4481,0
2017-10-23,09:30:00,7.401,7.401,7.4,7.4,685,0
2017-10-23,09:40:00,7.4,7.4,7.4,7.4,815,0
2017-10-23,09:50:00,7.395,7.395,7.31,7.311,35053,0
2017-10-23,09:55:00,7.35,7.384,7.317,7.358,18690,0
2017-10-23,10:00:00,7.337,7.351,7.337,7.351,1285,0
2017-10-23,10:05:00,7.351,7.351,7.351,7.351,10,0
2017-10-23,10:10:00,7.355,7.355,7.343,7.344,3854,0
2017-10-23,10:15:00,7.343,7.343,7.32,7.325,4369,0
2017-10-23,10:25:00,7.315,7.325,7.311,7.325,8485,0
2017-10-23,10:30:00,7.311,7.311,7.311,7.311,400,0
2017-10-23,10:35:00,7.311,7.321,7.307,7.307,8653,0
2017-10-23,10:40:00,7.32,7.391,7.32,7.391,24127,0
2017-10-23,10:45:00,7.383,7.386,7.383,7.386,528,0
2017-10-23,10:55:00,7.373,7.373,7.34,7.359,7243,0
2017-10-23,11:00:00,7.356,7.361,7.347,7.361,2909,0
2017-10-23,11:05:00,7.356,7.356,7.353,7.353,520,0
2017-10-23,11:15:00,7.349,7.349,7.322,7.322,3221,0
2017-10-23,11:20:00,7.322,7.334,7.322,7.334,1994,0
2017-10-23,11:25:00,7.334,7.34,7.334,7.34,1147,0
2017-10-23,11:30:00,7.345,7.357,7.345,7.357,1552,0
2017-10-23,11:40:00,7.368,7.368,7.368,7.368,139,0
2017-10-23,11:45:00,7.375,7.375,7.365,7.365,2565,0
2017-10-23,11:50:00,7.364,7.366,7.346,7.357,2874,0
2017-10-23,11:55:00,7.356,7.357,7.346,7.357,429,0
2017-10-23,12:00:00,7.344,7.353,7.337,7.353,387,0
2017-10-23,12:10:00,7.336,7.336,7.336,7.336,100,0
2017-10-23,12:15:00,7.336,7.336,7.334,7.334,750,0
2017-10-23,12:20:00,7.334,7.334,7.334,7.334,711,0
2017-10-23,12:25:00,7.335,7.335,7.331,7.335,2328,0
2017-10-23,12:35:00,7.34,7.34,7.34,7.34,121,0
2017-10-23,12:40:00,7.335,7.335,7.335,7.335,1143,0
2017-10-23,12:45:00,7.33,7.33,7.323,7.323,2000,0
2017-10-23,12:55:00,7.32,7.32,7.32,7.32,648,0
2017-10-23,13:00:00,7.314,7.314,7.311,7.311,500,0
2017-10-23,13:05:00,7.322,7.327,7.322,7.327,2421,0
2017-10-23,13:10:00,7.354,7.373,7.354,7.373,8961,0
2017-10-23,13:15:00,7.37,7.37,7.369,7.369,1400,0
2017-10-23,13:20:00,7.36,7.36,7.36,7.36,258,0
2017-10-23,13:30:00,7.36,7.36,7.348,7.354,1346,0
2017-10-23,13:35:00,7.359,7.359,7.359,7.359,196,0
2017-10-23,13:40:00,7.351,7.351,7.351,7.351,202,0
2017-10-23,13:50:00,7.354,7.395,7.354,7.395,18873,0
2017-10-23,13:55:00,7.403,7.403,7.381,7.386,1546,0
2017-10-23,14:15:00,7.383,7.383,7.383,7.383,117,0
2017-10-23,14:20:00,7.381,7.381,7.38,7.38,1251,0
2017-10-23,14:35:00,7.38,7.387,7.38,7.387,1944,0
2017-10-23,14:45:00,7.381,7.381,7.376,7.376,3172,0
2017-10-23,14:50:00,7.367,7.375,7.344,7.375,15994,0
2017-10-23,14:55:00,7.381,7.381,7.376,7.376,1403,0
2017-10-23,15:00:00,7.393,7.393,7.393,7.393,670,0
2017-10-23,15:05:00,7.395,7.395,7.39,7.39,2140,0
2017-10-23,15:15:00,7.387,7.387,7.385,7.385,1141,0
2017-10-23,15:25:00,7.386,7.386,7.384,7.384,884,0
2017-10-23,15:30:00,7.388,7.388,7.388,7.388,67,0
2017-10-23,15:35:00,7.384,7.384,7.379,7.379,2392,0
2017-10-23,15:40:00,7.371,7.371,7.371,7.371,263,0
2017-10-23,15:50:00,7.371,7.371,7.371,7.371,160,0
2017-10-23,15:55:00,7.37,7.37,7.357,7.358,8526,0
2017-10-23,16:00:00,7.363,7.363,7.357,7.357,728,0
2017-10-23,16:05:00,7.35,7.35,7.347,7.347,887,0
2017-10-23,16:10:00,7.344,7.371,7.344,7.371,8411,0
2017-10-23,16:15:00,7.367,7.367,7.356,7.357,3156,0
2017-10-23,16:25:00,7.347,7.347,7.347,7.347,45,0
2017-10-23,16:30:00,7.348,7.354,7.347,7.354,1381,0
2017-10-23,16:35:00,7.354,7.354,7.354,7.354,1011,0
2017-10-23,16:40:00,7.35,7.356,7.348,7.356,3070,0
2017-10-23,16:50:00,7.35,7.367,7.35,7.367,5984,0
2017-10-23,16:55:00,7.367,7.37,7.356,7.367,4779,0
2017-10-23,17:00:00,7.358,7.358,7.355,7.355,798,0
2017-10-23,17:05:00,7.354,7.354,7.337,7.341,13017,0
2017-10-23,17:10:00,7.333,7.337,7.322,7.337,2206,0
2017-10-23,17:20:00,7.333,7.352,7.333,7.338,4790,0
2017-10-23,17:25:00,7.34,7.34,7.327,7.337,8932,0
2017-10-23,17:30:00,7.341,7.341,7.327,7.33,13726,0
2017-10-24,09:05:00,7.336,7.336,7.295,7.323,6919,0
2017-10-24,09:10:00,7.338,7.385,7.338,7.385,6034,0
2017-10-24,09:15:00,7.39,7.404,7.39,7.404,3461,0
2017-10-24,09:25:00,7.418,7.439,7.418,7.439,2055,0
2017-10-24,09:30:00,7.445,7.445,7.445,7.445,520,0
2017-10-24,09:35:00,7.445,7.445,7.445,7.445,18,0
2017-10-24,09:40:00,7.445,7.445,7.408,7.408,5307,0
2017-10-24,09:45:00,7.391,7.391,7.376,7.376,617,0
2017-10-24,09:50:00,7.366,7.371,7.366,7.37,924,0
2017-10-24,09:55:00,7.37,7.37,7.365,7.37,5036,0
2017-10-24,10:00:00,7.368,7.37,7.352,7.352,1481,0
2017-10-24,10:10:00,7.366,7.368,7.366,7.368,483,0
2017-10-24,10:15:00,7.369,7.369,7.369,7.369,200,0
2017-10-24,10:25:00,7.37,7.37,7.37,7.37,179,0
2017-10-24,10:30:00,7.36,7.362,7.35,7.362,3400,0
2017-10-24,10:35:00,7.35,7.35,7.347,7.347,1000,0
2017-10-24,10:50:00,7.33,7.33,7.329,7.33,1678,0
2017-10-24,10:55:00,7.327,7.33,7.327,7.33,3524,0
2017-10-24,11:00:00,7.331,7.337,7.331,7.337,1052,0
2017-10-24,11:15:00,7.355,7.355,7.355,7.355,136,0
2017-10-24,11:20:00,7.358,7.358,7.358,7.358,405,0
2017-10-24,11:25:00,7.363,7.363,7.363,7.363,466,0
2017-10-24,11:35:00,7.353,7.353,7.353,7.353,176,0
2017-10-24,11:50:00,7.37,7.371,7.351,7.351,830,0
2017-10-24,12:00:00,7.362,7.362,7.362,7.362,316,0
2017-10-24,12:10:00,7.37,7.37,7.37,7.37,178,0
2017-10-24,12:15:00,7.371,7.371,7.337,7.34,11866,0
2017-10-24,12:20:00,7.31,7.317,7.3,7.317,2315,0
2017-10-24,12:30:00,7.323,7.323,7.323,7.323,85,0
2017-10-24,12:40:00,7.326,7.326,7.312,7.312,506,0
2017-10-24,12:45:00,7.313,7.317,7.31,7.317,4298,0
2017-10-24,12:50:00,7.325,7.325,7.311,7.311,266,0
2017-10-24,13:00:00,7.319,7.319,7.319,7.319,17,0
2017-10-24,13:05:00,7.315,7.315,7.31,7.31,5993,0
2017-10-24,13:10:00,7.311,7.323,7.311,7.313,1094,0
2017-10-24,13:15:00,7.31,7.31,7.31,7.31,925,0
2017-10-24,13:20:00,7.31,7.31,7.31,7.31,540,0
2017-10-24,13:25:00,7.31,7.31,7.31,7.31,3417,0
2017-10-24,13:30:00,7.319,7.329,7.319,7.329,1610,0
2017-10-24,13:35:00,7.326,7.326,7.324,7.324,79,0
2017-10-24,13:45:00,7.337,7.337,7.337,7.337,302,0
2017-10-24,13:55:00,7.36,7.37,7.333,7.352,3697,0
2017-10-24,14:05:00,7.369,7.369,7.31,7.337,6921,0
2017-10-24,14:10:00,7.326,7.33,7.326,7.33,833,0
2017-10-24,14:40:00,7.319,7.319,7.319,7.319,210,0
2017-10-24,14:45:00,7.331,7.347,7.331,7.34,1275,0
2017-10-24,14:50:00,7.331,7.331,7.331,7.331,1,0
2017-10-24,14:55:00,7.345,7.35,7.345,7.346,5065,0
2017-10-24,15:00:00,7.351,7.351,7.35,7.351,2022,0
2017-10-24,15:20:00,7.353,7.353,7.326,7.326,1768,0
2017-10-24,15:25:00,7.324,7.324,7.324,7.324,14,0
2017-10-24,15:30:00,7.313,7.313,7.31,7.31,1820,0
2017-10-24,15:35:00,7.313,7.313,7.312,7.312,1014,0
2017-10-24,15:40:00,7.311,7.325,7.31,7.31,1814,0
2017-10-24,15:45:00,7.31,7.31,7.31,7.31,178,0
2017-10-24,15:50:00,7.307,7.363,7.307,7.315,14863,0
2017-10-24,15:55:00,7.329,7.329,7.329,7.329,200,0
2017-10-24,16:00:00,7.321,7.321,7.321,7.321,1359,0
2017-10-24,16:20:00,7.317,7.329,7.317,7.329,2300,0
2017-10-24,16:30:00,7.328,7.328,7.322,7.322,347,0
2017-10-24,16:35:00,7.33,7.338,7.322,7.323,14600,0
2017-10-24,16:40:00,7.333,7.34,7.33,7.339,1667,0
2017-10-24,16:50:00,7.332,7.332,7.324,7.324,3452,0
2017-10-24,16:55:00,7.335,7.335,7.335,7.335,43,0
2017-10-24,17:05:00,7.33,7.33,7.324,7.324,463,0
2017-10-24,17:15:00,7.333,7.333,7.333,7.333,1,0
2017-10-24,17:20:00,7.325,7.325,7.325,7.325,16,0
2017-10-24,17:25:00,7.327,7.327,7.322,7.322,1228,0
2017-10-24,17:30:00,7.324,7.324,7.302,7.302,10480,0
2017-10-25,09:05:00,7.351,7.383,7.351,7.359,4035,0
2017-10-25,09:10:00,7.359,7.359,7.333,7.333,4228,0
2017-10-25,09:15:00,7.333,7.365,7.333,7.365,2564,0
2017-10-25,09:20:00,7.357,7.357,7.325,7.325,4074,0
2017-10-25,09:25:00,7.351,7.368,7.351,7.368,1472,0
2017-10-25,09:30:00,7.35,7.35,7.35,7.35,1200,0
2017-10-25,09:45:00,7.365,7.366,7.365,7.366,910,0
2017-10-25,09:50:00,7.364,7.364,7.364,7.364,450,0
2017-10-25,10:00:00,7.367,7.406,7.367,7.4,21483,0
2017-10-25,10:05:00,7.406,7.406,7.385,7.385,1179,0
2017-10-25,10:10:00,7.385,7.385,7.381,7.381,564,0
2017-10-25,10:15:00,7.38,7.38,7.37,7.37,10946,0
2017-10-25,10:20:00,7.351,7.351,7.351,7.351,346,0
2017-10-25,10:25:00,7.351,7.351,7.35,7.35,799,0
2017-10-25,10:30:00,7.35,7.35,7.35,7.35,2736,0
2017-10-25,10:35:00,7.35,7.357,7.35,7.357,2088,0
2017-10-25,10:45:00,7.35,7.363,7.35,7.352,2472,0
2017-10-25,10:55:00,7.364,7.364,7.364,7.364,20,0
2017-10-25,11:05:00,7.351,7.351,7.351,7.351,319,0
2017-10-25,11:15:00,7.364,7.364,7.355,7.355,639,0
2017-10-25,11:25:00,7.355,7.355,7.355,7.355,60,0
