Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-10-24,09:05:00,64.95,65.13,64.72,65,1019,0
2017-10-24,09:10:00,65.04,65.12,64.99,65.04,990,0
2017-10-24,09:15:00,65.04,65.04,64.94,64.94,1019,0
2017-10-24,09:20:00,64.98,65.08,64.98,65.04,882,0
2017-10-24,09:25:00,65.04,65.04,64.93,65,460,0
2017-10-24,09:35:00,64.99,64.99,64.88,64.88,415,0
2017-10-24,09:40:00,64.86,64.86,64.71,64.77,1079,0
2017-10-24,09:45:00,64.73,64.73,64.59,64.59,854,0
2017-10-24,09:50:00,64.66,64.7,64.65,64.7,1001,0
2017-10-24,09:55:00,64.69,64.69,64.68,64.68,365,0
2017-10-24,10:00:00,64.73,64.78,64.73,64.77,453,0
2017-10-24,10:05:00,64.7,64.7,64.61,64.62,368,0
2017-10-24,10:10:00,64.6,64.6,64.6,64.6,56,0
2017-10-24,10:15:00,64.63,64.69,64.63,64.65,425,0
2017-10-24,10:20:00,64.62,64.66,64.62,64.66,310,0
2017-10-24,10:25:00,64.67,64.67,64.55,64.61,1259,0
2017-10-24,10:35:00,64.65,64.72,64.65,64.69,485,0
2017-10-24,10:40:00,64.63,64.63,64.62,64.62,452,0
2017-10-24,10:45:00,64.62,64.67,64.6,64.6,443,0
2017-10-24,10:50:00,64.62,64.65,64.61,64.61,258,0
2017-10-24,10:55:00,64.64,64.66,64.58,64.59,323,0
2017-10-24,11:00:00,64.6,64.64,64.57,64.58,442,0
2017-10-24,11:05:00,64.58,64.6,64.52,64.52,3486,0
2017-10-24,11:10:00,64.41,64.47,64.36,64.44,4000,0
2017-10-24,11:15:00,64.38,64.38,64.3,64.3,219,0
2017-10-24,11:20:00,64.31,64.31,64.02,64.13,1808,0
2017-10-24,11:25:00,64.17,64.19,64.02,64.12,1205,0
2017-10-24,11:30:00,64.1,64.1,63.93,63.95,1477,0
2017-10-24,11:35:00,63.9,64.02,63.9,64.02,308,0
2017-10-24,11:45:00,64.03,64.1,64.03,64.1,275,0
2017-10-24,12:00:00,64.03,64.03,63.76,63.9,770,0
2017-10-24,12:05:00,63.83,63.88,63.72,63.8,815,0
2017-10-24,12:10:00,63.79,63.87,63.79,63.87,465,0
2017-10-24,12:15:00,63.84,63.88,63.71,63.71,1076,0
2017-10-24,12:20:00,63.76,63.77,63.71,63.77,1474,0
2017-10-24,12:25:00,63.78,63.8,63.78,63.8,161,0
2017-10-24,12:30:00,63.75,63.8,63.75,63.8,56,0
2017-10-24,12:40:00,63.79,63.8,63.72,63.76,188,0
2017-10-24,12:50:00,63.79,63.8,63.79,63.8,182,0
2017-10-24,12:55:00,63.76,63.76,63.76,63.76,24,0
2017-10-24,13:00:00,63.74,63.74,63.65,63.65,292,0
2017-10-24,13:05:00,63.59,63.72,63.59,63.72,108,0
2017-10-24,13:10:00,63.66,63.71,63.66,63.71,223,0
2017-10-24,13:15:00,63.73,63.8,63.73,63.8,1091,0
2017-10-24,13:20:00,63.84,63.88,63.8,63.8,520,0
2017-10-24,13:25:00,63.82,63.93,63.82,63.93,485,0
2017-10-24,13:30:00,63.93,64.04,63.93,64,2345,0
