Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-10-19,09:05:00,49.825,49.825,49.74,49.74,652,0
2017-10-19,09:10:00,49.76,49.76,49.695,49.695,360,0
2017-10-19,09:35:00,49.77,49.77,49.665,49.67,76,0
2017-10-19,09:40:00,49.665,49.665,49.665,49.665,16,0
2017-10-19,09:45:00,49.665,49.665,49.665,49.665,105,0
2017-10-19,09:50:00,49.595,49.595,49.55,49.55,78,0
2017-10-19,09:55:00,49.51,49.51,49.43,49.5,894,0
2017-10-19,10:00:00,49.365,49.365,49.365,49.365,30,0
2017-10-19,10:05:00,49.365,49.365,49.365,49.365,7,0
2017-10-19,10:10:00,49.255,49.255,49.11,49.195,350,0
2017-10-19,10:15:00,49.105,49.13,49.06,49.13,449,0
2017-10-19,10:20:00,49.145,49.165,49.145,49.165,151,0
2017-10-19,10:25:00,49.155,49.165,49.155,49.165,166,0
2017-10-19,10:30:00,49.185,49.22,49.185,49.22,406,0
2017-10-19,10:35:00,49.22,49.22,49.215,49.215,475,0
2017-10-19,10:40:00,49.155,49.155,49.145,49.145,266,0
2017-10-19,10:50:00,49.18,49.18,49.18,49.18,13,0
2017-10-19,10:55:00,49.18,49.22,49.18,49.22,159,0
2017-10-19,11:00:00,49.22,49.22,49.22,49.22,97,0
2017-10-19,11:10:00,49.135,49.135,49.135,49.135,226,0
2017-10-19,11:20:00,49.135,49.135,49.05,49.05,71,0
2017-10-19,11:25:00,49.06,49.06,49.06,49.06,101,0
2017-10-19,11:35:00,49.085,49.11,49.085,49.11,91,0
2017-10-19,11:40:00,49.125,49.155,49.125,49.155,134,0
2017-10-19,11:45:00,49.115,49.115,49.075,49.11,225,0
2017-10-19,11:50:00,49.115,49.115,49.115,49.115,53,0
2017-10-19,12:00:00,49.125,49.125,49.12,49.12,46,0
2017-10-19,12:05:00,49.095,49.135,49.095,49.135,49,0
2017-10-19,12:15:00,49.155,49.155,49.05,49.055,526,0
2017-10-19,12:20:00,49.11,49.115,49.105,49.105,177,0
2017-10-19,12:25:00,49.055,49.055,48.895,48.95,719,0
2017-10-19,12:30:00,48.93,48.95,48.87,48.87,421,0
2017-10-19,12:35:00,48.865,48.865,48.86,48.86,131,0
2017-10-19,12:40:00,48.855,48.895,48.795,48.83,1559,0
2017-10-19,12:45:00,48.835,48.835,48.735,48.735,65,0
2017-10-19,12:50:00,48.72,48.72,48.72,48.72,21,0
2017-10-19,12:55:00,48.785,48.81,48.785,48.81,152,0
2017-10-19,13:00:00,48.845,48.845,48.83,48.83,140,0
2017-10-19,13:05:00,48.755,48.835,48.755,48.835,106,0
2017-10-19,13:10:00,48.83,48.83,48.83,48.83,18,0
2017-10-19,13:15:00,48.795,48.795,48.795,48.795,61,0
2017-10-19,13:35:00,48.785,48.795,48.785,48.79,202,0
2017-10-19,13:45:00,48.785,48.785,48.785,48.785,15,0
2017-10-19,13:55:00,48.81,48.81,48.785,48.785,70,0
2017-10-19,14:00:00,48.74,48.775,48.74,48.775,138,0
2017-10-19,14:10:00,48.735,48.74,48.735,48.74,77,0
2017-10-19,14:20:00,48.67,48.695,48.67,48.695,151,0
2017-10-19,14:25:00,48.71,48.71,48.71,48.71,20,0
2017-10-19,14:30:00,48.71,48.715,48.71,48.715,76,0
2017-10-19,14:35:00,48.735,48.81,48.735,48.81,572,0
2017-10-19,14:40:00,48.795,48.795,48.76,48.76,166,0
2017-10-19,14:45:00,48.79,48.79,48.665,48.665,938,0
2017-10-19,14:55:00,48.695,48.72,48.69,48.69,290,0
2017-10-19,15:00:00,48.695,48.695,48.6,48.64,585,0
2017-10-19,15:10:00,48.625,48.625,48.62,48.62,267,0
2017-10-19,15:30:00,48.65,48.65,48.65,48.65,14,0
2017-10-19,15:35:00,48.665,48.695,48.665,48.695,335,0
2017-10-19,15:45:00,48.68,48.685,48.555,48.675,2204,0
2017-10-19,15:50:00,48.675,48.675,48.595,48.61,603,0
2017-10-19,15:55:00,48.63,48.63,48.44,48.505,1776,0
2017-10-19,16:00:00,48.515,48.59,48.51,48.59,324,0
2017-10-19,16:05:00,48.55,48.55,48.55,48.55,29,0
2017-10-19,16:10:00,48.55,48.55,48.55,48.55,91,0
2017-10-19,16:15:00,48.585,48.64,48.585,48.625,98,0
2017-10-19,16:20:00,48.62,48.625,48.62,48.625,148,0
2017-10-19,16:25:00,48.65,48.71,48.495,48.65,1092,0
2017-10-19,16:30:00,48.69,48.7,48.55,48.6,958,0
2017-10-19,16:35:00,48.695,48.7,48.695,48.7,116,0
2017-10-19,16:40:00,48.63,48.63,48.63,48.63,83,0
2017-10-19,16:50:00,48.63,48.63,48.56,48.57,806,0
2017-10-19,16:55:00,48.59,48.785,48.58,48.785,876,0
2017-10-19,17:00:00,48.73,48.78,48.66,48.77,743,0
2017-10-19,17:05:00,48.725,48.77,48.725,48.77,151,0
2017-10-19,17:10:00,48.74,48.75,48.64,48.685,1684,0
2017-10-19,17:15:00,48.72,48.775,48.72,48.75,261,0
2017-10-19,17:20:00,48.745,48.89,48.68,48.74,2528,0
2017-10-19,17:25:00,48.715,48.715,48.545,48.545,446,0
2017-10-19,17:30:00,48.63,48.75,48.61,48.745,6645,0
2017-10-20,09:05:00,48.925,48.925,48.66,48.66,494,0
2017-10-20,09:10:00,48.7,48.85,48.7,48.805,657,0
2017-10-20,09:15:00,48.795,48.88,48.795,48.88,285,0
2017-10-20,09:20:00,48.845,48.85,48.845,48.85,103,0
2017-10-20,09:25:00,48.775,48.775,48.71,48.71,300,0
2017-10-20,09:30:00,48.64,48.64,48.57,48.57,166,0
2017-10-20,09:35:00,48.6,48.6,48.56,48.58,353,0
2017-10-20,09:40:00,48.58,48.83,48.58,48.78,734,0
2017-10-20,09:45:00,48.785,48.785,48.7,48.7,365,0
2017-10-20,09:55:00,48.68,48.745,48.68,48.71,419,0
2017-10-20,10:00:00,48.755,48.835,48.755,48.835,200,0
2017-10-20,10:15:00,48.85,48.85,48.85,48.85,28,0
2017-10-20,10:25:00,48.885,48.885,48.885,48.885,52,0
2017-10-20,10:35:00,48.85,48.97,48.81,48.97,1082,0
2017-10-20,10:40:00,48.955,49.01,48.955,49.01,497,0
2017-10-20,10:45:00,49.035,49.035,48.885,48.99,908,0
2017-10-20,10:50:00,49.01,49.01,49,49,344,0
2017-10-20,10:55:00,49.02,49.025,49.02,49.025,86,0
2017-10-20,11:00:00,49.005,49.01,48.775,49.01,3142,0
2017-10-20,11:05:00,49.005,49.01,49.005,49.01,362,0
2017-10-20,11:15:00,49.08,49.095,49.08,49.095,215,0
2017-10-20,11:25:00,49.11,49.11,49.055,49.055,567,0
2017-10-20,11:30:00,49.11,49.11,49.11,49.11,197,0
2017-10-20,11:35:00,49.14,49.14,49.14,49.14,25,0
