Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-10-26,09:05:00,91.09,91.09,90.28,90.38,10482,0
2017-10-26,09:10:00,90.45,90.67,90.22,90.5,7817,0
2017-10-26,09:15:00,90.48,90.49,90.38,90.45,2094,0
2017-10-26,09:20:00,90.41,90.46,90.34,90.41,4798,0
2017-10-26,09:25:00,90.34,90.41,90.34,90.36,4613,0
2017-10-26,09:30:00,90.39,90.52,90.34,90.4,4315,0
2017-10-26,09:35:00,90.42,90.43,90.21,90.26,4486,0
2017-10-26,09:40:00,90.26,90.26,90.03,90.04,2401,0
2017-10-26,09:45:00,90.08,90.09,89.95,90.06,7419,0
2017-10-26,09:50:00,90.05,90.08,89.82,89.85,6202,0
2017-10-26,09:55:00,89.82,90.06,89.82,89.95,4328,0
2017-10-26,10:00:00,89.95,90.01,89.93,90.01,1868,0
2017-10-26,10:05:00,90.03,90.08,90.02,90.04,1802,0
2017-10-26,10:10:00,90.06,90.08,89.95,89.99,4496,0
2017-10-26,10:15:00,90.01,90.01,89.92,90.01,2530,0
2017-10-26,10:20:00,90,90,89.93,89.98,1699,0
2017-10-26,10:25:00,89.96,90,89.82,89.82,3745,0
2017-10-26,10:30:00,89.83,89.89,89.83,89.83,1566,0
2017-10-26,10:35:00,89.82,89.91,89.82,89.91,3233,0
2017-10-26,10:40:00,89.93,89.96,89.9,89.95,3088,0
2017-10-26,10:45:00,89.94,89.94,89.92,89.92,906,0
2017-10-26,10:50:00,89.93,89.99,89.91,89.91,2848,0
2017-10-26,10:55:00,89.91,89.96,89.91,89.94,2592,0
2017-10-26,11:00:00,89.94,89.95,89.93,89.95,748,0
2017-10-26,11:05:00,89.93,89.93,89.7,89.7,7854,0
2017-10-26,11:10:00,89.71,89.73,89.64,89.64,3489,0
2017-10-26,11:15:00,89.64,89.7,89.59,89.63,3455,0
2017-10-26,11:20:00,89.64,89.7,89.63,89.7,883,0
2017-10-26,11:25:00,89.7,89.74,89.68,89.68,1960,0
2017-10-26,11:30:00,89.68,89.7,89.66,89.69,1531,0
2017-10-26,11:35:00,89.71,89.72,89.67,89.67,877,0
2017-10-26,11:40:00,89.68,89.71,89.64,89.66,2749,0
2017-10-26,11:45:00,89.65,89.67,89.63,89.65,1160,0
2017-10-26,11:50:00,89.63,89.69,89.63,89.69,2521,0
2017-10-26,11:55:00,89.69,89.71,89.68,89.69,3542,0
2017-10-26,12:00:00,89.69,89.72,89.69,89.71,2357,0
2017-10-26,12:05:00,89.72,89.72,89.69,89.69,3708,0
2017-10-26,12:10:00,89.69,89.69,89.64,89.64,1398,0
2017-10-26,12:15:00,89.63,89.69,89.6,89.69,1979,0
2017-10-26,12:20:00,89.68,89.74,89.66,89.73,2740,0
2017-10-26,12:25:00,89.7,89.78,89.69,89.78,2005,0
2017-10-26,12:30:00,89.78,89.8,89.74,89.74,946,0
2017-10-26,12:35:00,89.76,89.82,89.76,89.8,2190,0
2017-10-26,12:40:00,89.81,89.86,89.81,89.83,835,0
2017-10-26,12:45:00,89.85,89.87,89.8,89.8,1049,0
2017-10-26,12:50:00,89.79,89.9,89.79,89.9,970,0
2017-10-26,12:55:00,89.9,89.95,89.9,89.92,2364,0
2017-10-26,13:00:00,89.93,89.93,89.82,89.84,2810,0
2017-10-26,13:05:00,89.86,89.91,89.84,89.9,1254,0
2017-10-26,13:10:00,89.91,90.02,89.9,89.98,1862,0
2017-10-26,13:15:00,90,90.02,89.98,90,708,0
2017-10-26,13:20:00,90.02,90.05,89.98,89.99,1713,0
2017-10-26,13:25:00,89.98,90.03,89.98,90.02,978,0
2017-10-26,13:30:00,90.01,90.02,90,90,1675,0
2017-10-26,13:35:00,90.01,90.03,89.96,89.96,1675,0
2017-10-26,13:40:00,89.98,90.05,89.98,90.05,766,0
2017-10-26,13:45:00,90.06,90.15,90.04,90.06,2382,0
2017-10-26,13:50:00,90.14,90.31,90.14,90.23,4458,0
2017-10-26,13:55:00,90.25,90.32,90.24,90.28,5336,0
2017-10-26,14:00:00,90.28,90.38,90.28,90.37,1816,0
2017-10-26,14:05:00,90.38,90.46,90.38,90.39,1822,0
2017-10-26,14:10:00,90.39,90.61,90.39,90.5,3603,0
2017-10-26,14:15:00,90.52,90.59,90.5,90.54,3304,0
2017-10-26,14:20:00,90.55,90.61,90.51,90.58,2614,0
2017-10-26,14:25:00,90.56,90.64,90.56,90.64,1702,0
2017-10-26,14:30:00,90.61,90.8,90.57,90.79,3322,0
2017-10-26,14:35:00,90.72,90.72,90.61,90.63,3212,0
2017-10-26,14:40:00,90.63,90.67,90.52,90.52,2156,0
2017-10-26,14:45:00,90.55,90.56,90.47,90.5,3628,0
2017-10-26,14:50:00,90.5,90.52,90.42,90.42,3528,0
2017-10-26,14:55:00,90.39,90.47,90.39,90.45,3180,0
2017-10-26,15:00:00,90.42,90.52,90.23,90.3,25586,0
2017-10-26,15:05:00,90.38,90.58,89.88,90.58,70917,0
2017-10-26,15:10:00,90.62,90.92,90.35,90.91,21951,0
2017-10-26,15:15:00,90.89,91.32,90.77,91.32,24394,0
2017-10-26,15:20:00,91.27,91.38,91.13,91.14,18607,0
2017-10-26,15:25:00,91.19,91.23,90.89,91.04,10808,0
2017-10-26,15:30:00,91.07,91.1,90.6,90.67,6837,0
2017-10-26,15:35:00,90.66,90.86,90.6,90.83,6120,0
2017-10-26,15:40:00,90.86,91.11,90.85,91.11,6169,0
2017-10-26,15:45:00,91.13,91.21,91.01,91.01,3936,0
2017-10-26,15:50:00,91.02,91.09,90.94,90.99,7027,0
2017-10-26,15:55:00,90.99,91.5,90.99,91.3,24084,0
2017-10-26,16:00:00,91.31,91.64,91.31,91.41,8156,0
2017-10-26,16:05:00,91.41,91.59,91.22,91.28,6870,0
2017-10-26,16:10:00,91.3,91.3,91.12,91.21,4302,0
2017-10-26,16:15:00,91.23,91.28,91.06,91.06,2805,0
2017-10-26,16:20:00,91.07,91.08,90.91,90.94,6691,0
2017-10-26,16:25:00,90.97,91.02,90.94,91.01,4293,0
2017-10-26,16:30:00,91.02,91.05,90.93,90.99,4703,0
2017-10-26,16:35:00,90.99,91.02,90.97,91,3909,0
2017-10-26,16:40:00,91,91.07,90.99,91.05,13239,0
2017-10-26,16:45:00,91.05,91.1,90.98,91.03,14328,0
2017-10-26,16:50:00,91.04,91.15,90.99,91.01,13982,0
2017-10-26,16:55:00,91.02,91.02,90.87,90.98,13093,0
2017-10-26,17:00:00,90.99,91.01,90.89,90.91,9170,0
2017-10-26,17:05:00,90.9,90.97,90.87,90.88,10226,0
2017-10-26,17:10:00,90.89,90.92,90.87,90.9,7208,0
2017-10-26,17:15:00,90.91,90.93,90.89,90.89,7474,0
2017-10-26,17:20:00,90.89,90.94,90.89,90.92,13934,0
2017-10-26,17:25:00,90.92,90.93,90.9,90.9,12284,0
2017-10-26,17:30:00,90.91,91.11,90.87,91.11,205902,0
2017-10-27,09:05:00,89.3,89.76,89.03,89.43,132145,0
2017-10-27,09:10:00,89.43,90,89.37,89.94,41454,0
2017-10-27,09:15:00,89.98,90,89.6,89.76,22712,0
2017-10-27,09:20:00,89.76,89.94,89.7,89.7,19350,0
2017-10-27,09:25:00,89.7,90.25,89.29,90.19,60918,0
2017-10-27,09:30:00,90.19,90.5,90.07,90.48,20526,0
2017-10-27,09:35:00,90.49,91.12,90.49,91,69313,0
2017-10-27,09:40:00,91.01,91.06,90.81,90.95,12449,0
2017-10-27,09:45:00,90.99,91.1,90.93,90.98,8756,0
2017-10-27,09:50:00,91,91.05,90.93,91,9363,0
2017-10-27,09:55:00,91,91.35,90.97,91.32,15417,0
2017-10-27,10:00:00,91.36,91.97,91.34,91.97,10954,0
2017-10-27,10:05:00,91.85,92.67,91.78,92.59,34144,0
2017-10-27,10:10:00,92.58,93.05,92.56,92.92,21291,0
2017-10-27,10:15:00,92.92,93.01,92.65,92.98,13686,0
2017-10-27,10:20:00,92.92,92.92,92.35,92.39,27343,0
2017-10-27,10:25:00,92.34,92.51,92.2,92.51,26224,0
2017-10-27,10:30:00,92.51,92.6,92.25,92.46,22595,0
2017-10-27,10:35:00,92.51,92.53,92.43,92.53,18298,0
2017-10-27,10:40:00,92.53,92.73,92.5,92.62,12185,0
2017-10-27,10:45:00,92.62,92.65,92.4,92.47,7406,0
2017-10-27,10:50:00,92.49,92.5,92.33,92.35,3347,0
2017-10-27,10:55:00,92.32,92.35,92.19,92.23,7424,0
2017-10-27,11:00:00,92.26,92.44,92.24,92.4,4591,0
2017-10-27,11:05:00,92.44,92.45,92.34,92.34,2660,0
2017-10-27,11:10:00,92.33,92.42,92.3,92.33,5258,0
2017-10-27,11:15:00,92.34,92.37,92.24,92.27,8491,0
2017-10-27,11:20:00,92.3,92.33,92.27,92.29,4080,0
2017-10-27,11:25:00,92.28,92.3,92.23,92.3,4319,0
2017-10-27,11:30:00,92.31,92.55,92.31,92.43,10505,0
2017-10-27,11:35:00,92.43,92.45,92.34,92.41,5485,0
2017-10-27,11:40:00,92.44,92.56,92.43,92.47,11308,0
2017-10-27,11:45:00,92.45,92.59,92.44,92.54,4863,0
2017-10-27,11:50:00,92.54,92.55,92.34,92.34,6807,0
2017-10-27,11:55:00,92.32,92.5,92.2,92.5,9039,0
2017-10-27,12:00:00,92.51,92.54,92.38,92.48,8399,0
2017-10-27,12:05:00,92.52,92.7,92.52,92.67,8384,0
2017-10-27,12:10:00,92.69,92.69,92.55,92.62,4301,0
2017-10-27,12:15:00,92.61,92.64,92.51,92.57,2918,0
2017-10-27,12:20:00,92.58,92.6,92.53,92.55,2184,0
2017-10-27,12:25:00,92.59,92.6,92.48,92.53,3992,0
2017-10-27,12:30:00,92.56,92.57,92.52,92.54,1727,0
2017-10-27,12:35:00,92.56,92.59,92.5,92.59,2478,0
2017-10-27,12:40:00,92.62,92.62,92.47,92.48,1394,0
2017-10-27,12:45:00,92.47,92.49,92.4,92.4,1350,0
2017-10-27,12:50:00,92.38,92.38,92.32,92.32,695,0
2017-10-27,12:55:00,92.31,92.34,92.26,92.32,4411,0
2017-10-27,13:00:00,92.32,92.35,92.28,92.32,1206,0
2017-10-27,13:05:00,92.26,92.35,92.26,92.32,23554,0
2017-10-27,13:10:00,92.33,92.42,92.31,92.4,4750,0
2017-10-27,13:15:00,92.4,92.52,92.4,92.51,1796,0
2017-10-27,13:20:00,92.51,92.51,92.4,92.5,4123,0
2017-10-27,13:25:00,92.5,92.54,92.49,92.52,1952,0
2017-10-27,13:30:00,92.49,92.57,92.49,92.51,2061,0
2017-10-27,13:35:00,92.49,92.53,92.48,92.53,1018,0
2017-10-27,13:40:00,92.55,92.56,92.52,92.54,2471,0
2017-10-27,13:45:00,92.51,92.59,92.48,92.59,6130,0
2017-10-27,13:50:00,92.59,92.59,92.48,92.48,3123,0
2017-10-27,13:55:00,92.47,92.48,92.28,92.31,6985,0
2017-10-27,14:00:00,92.3,92.35,92.27,92.31,966,0
2017-10-27,14:05:00,92.31,92.37,92.22,92.25,3875,0
2017-10-27,14:10:00,92.25,92.25,92.03,92.07,5386,0
2017-10-27,14:15:00,92.07,92.16,92.07,92.14,1049,0
2017-10-27,14:20:00,92.14,92.15,92.1,92.1,1981,0
2017-10-27,14:25:00,92.09,92.13,92.09,92.13,1105,0
2017-10-27,14:30:00,92.1,92.1,91.6,91.62,9505,0
2017-10-27,14:35:00,91.65,91.84,91.65,91.79,3662,0
2017-10-27,14:40:00,91.84,91.84,91.68,91.82,3103,0
2017-10-27,14:45:00,91.79,91.79,91.68,91.73,2643,0
2017-10-27,14:50:00,91.71,91.71,91.52,91.52,2935,0
2017-10-27,14:55:00,91.51,91.58,91.48,91.53,4620,0
2017-10-27,15:00:00,91.54,91.56,91.33,91.46,5308,0
2017-10-27,15:05:00,91.47,91.54,91.43,91.46,2869,0
2017-10-27,15:10:00,91.48,91.49,91.37,91.47,2989,0
2017-10-27,15:15:00,91.51,91.51,91.32,91.32,5600,0
2017-10-27,15:20:00,91.29,91.36,91.17,91.27,3429,0
2017-10-27,15:25:00,91.25,91.25,91.04,91.1,11364,0
2017-10-27,15:30:00,91.11,91.11,90.88,91.01,4726,0
2017-10-27,15:35:00,91,91.1,90.9,91.02,5819,0
2017-10-27,15:40:00,91.01,91.04,90.88,91.01,8929,0
2017-10-27,15:45:00,91.01,91.39,91.01,91.37,5468,0
2017-10-27,15:50:00,91.32,91.35,91.12,91.19,5711,0
2017-10-27,15:55:00,91.16,91.25,91.11,91.17,5259,0
2017-10-27,16:00:00,91.17,91.17,90.86,90.94,11787,0
2017-10-27,16:05:00,90.94,91.05,90.89,91.01,8016,0
2017-10-27,16:10:00,91,91.06,90.96,90.96,6508,0
2017-10-27,16:15:00,90.95,90.95,90.67,90.74,6779,0
2017-10-27,16:20:00,90.77,90.77,90.43,90.51,13144,0
2017-10-27,16:25:00,90.48,90.77,90.48,90.77,5897,0
2017-10-27,16:30:00,90.79,90.83,90.72,90.8,6256,0
2017-10-27,16:35:00,90.81,90.81,90.68,90.72,5858,0
2017-10-27,16:40:00,90.73,90.77,90.62,90.65,6070,0
2017-10-27,16:45:00,90.63,90.69,90.41,90.5,7168,0
2017-10-27,16:50:00,90.49,90.49,90.36,90.39,7980,0
2017-10-27,16:55:00,90.4,90.41,90.23,90.33,8626,0
2017-10-27,17:00:00,90.37,90.37,90.22,90.33,10817,0
2017-10-27,17:05:00,90.33,90.41,90.31,90.39,9006,0
2017-10-27,17:10:00,90.38,90.45,90.27,90.31,9414,0
2017-10-27,17:15:00,90.31,90.41,90.31,90.39,10117,0
2017-10-27,17:20:00,90.39,90.4,90.34,90.37,6217,0
2017-10-27,17:25:00,90.36,90.37,90.21,90.23,11605,0
2017-10-27,17:30:00,90.24,90.24,90.03,90.03,187184,0
2017-10-30,09:05:00,90.21,90.51,90.03,90.05,23759,0
