Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-06-16,10:25:00,1.65,1.7,1.65,1.7,6826,0
2016-06-16,10:40:00,1.88,1.88,1.88,1.88,200,0
2016-06-16,10:50:00,1.9,1.9,1.9,1.9,100,0
2016-06-16,11:05:00,2.4,2.4,2.4,2.4,271,0
2016-06-16,11:10:00,2.5,2.5,2.5,2.5,100,0
2016-06-16,11:15:00,2.8,2.8,2.8,2.8,100,0
2016-06-16,11:25:00,3.2,3.2,3,3,55,0
2016-06-16,11:40:00,3,3.01,3,3.01,180,0
2016-06-16,11:55:00,2.5,2.5,2.5,2.5,100,0
2016-06-16,14:35:00,2.45,2.45,2.3,2.3,200,0
2016-06-17,09:30:00,2.201,2.201,2.201,2.201,127,0
2016-06-17,10:40:00,2.001,2.001,2.001,2.001,8,0
2016-06-17,11:50:00,2.15,2.15,2.15,2.15,4,0
2016-06-17,16:15:00,2.049,2.049,2.049,2.049,30,0
2016-06-20,09:15:00,2,2,2,2,70,0
2016-06-20,09:35:00,1.899,1.899,1.899,1.899,105,0
2016-06-20,11:10:00,1.8,1.8,1.8,1.8,100,0
2016-06-20,16:25:00,1.9,1.9,1.9,1.9,100,0
2016-06-22,15:30:00,2.51,2.51,2.51,2.51,1149,0
2016-06-22,15:40:00,2.701,2.701,2.701,2.701,350,0
2016-06-22,15:55:00,2.51,2.51,2.51,2.51,299,0
2016-06-22,16:35:00,2.499,2.499,2.499,2.499,350,0
2016-06-22,17:00:00,2.4,2.4,2.4,2.4,750,0
2016-06-23,15:45:00,2.4,2.4,2.4,2.4,100,0
2016-06-23,17:10:00,2.32,2.32,2.32,2.32,250,0
2016-06-23,17:30:00,2.318,2.318,2.318,2.318,250,0
2016-06-24,10:35:00,2.715,2.9,2.715,2.9,2303,0
2016-06-24,10:45:00,2.9,2.9,2.9,2.9,365,0
2016-06-24,13:50:00,2.7,2.9,2.7,2.9,1700,0
2016-06-24,15:00:00,2.87,2.87,2.87,2.87,49,0
2016-06-27,10:05:00,2.473,2.473,2.473,2.473,2000,0
2016-06-28,17:30:00,2.25,2.25,2.25,2.25,283,0
2016-07-01,09:05:00,2.02,2.02,2.02,2.02,100,0
2016-07-01,11:15:00,2.07,2.07,2.07,2.07,5000,0
2016-07-01,11:30:00,2.149,2.22,2.149,2.22,3000,0
2016-07-01,11:35:00,2.31,2.31,2.251,2.251,205,0
2016-07-01,11:55:00,2.201,2.201,2.201,2.201,627,0
2016-07-01,17:20:00,2.279,2.28,2.279,2.28,2836,0
2016-07-01,17:30:00,2.27,2.27,2.27,2.27,600,0
2016-07-06,09:05:00,2.255,2.255,2.255,2.255,2000,0
2016-07-06,11:40:00,2.24,2.24,2.24,2.24,600,0
2016-07-06,15:20:00,2.361,2.416,2.361,2.416,2543,0
2016-07-06,16:45:00,2.64,2.64,2.64,2.64,1041,0
2016-07-08,16:55:00,2.75,2.85,2.75,2.85,6389,0
2016-07-11,10:35:00,2.75,2.75,2.75,2.75,2000,0
2016-07-12,09:20:00,2.666,2.666,2.666,2.666,500,0
2016-07-12,09:40:00,2.66,2.67,2.66,2.67,1150,0
2016-07-12,11:50:00,2.561,2.561,2.561,2.561,250,0
2016-07-12,14:35:00,2.524,2.524,2.524,2.524,195,0
2016-07-12,16:10:00,2.477,2.477,2.477,2.477,213,0
2016-07-14,13:10:00,2.4,2.4,2.4,2.4,38,0
2016-07-14,17:25:00,2.4,2.4,2.4,2.4,1,0
2016-07-15,09:10:00,2.492,2.492,2.492,2.492,80,0
2016-07-18,09:25:00,2.43,2.43,2.43,2.43,629,0
2016-07-18,15:05:00,2.43,2.43,2.43,2.43,1,0
2016-07-18,15:50:00,2.43,2.43,2.43,2.43,1,0
2016-07-20,10:45:00,2.3,2.3,2.3,2.3,1000,0
2016-07-20,15:40:00,2.249,2.429,2.249,2.429,4376,0
2016-07-20,15:45:00,2.5,2.5,2.449,2.449,1012,0
2016-07-20,15:50:00,2.493,2.493,2.493,2.493,60,0
2016-07-20,16:10:00,2.514,2.514,2.514,2.514,100,0
2016-07-20,17:20:00,2.401,2.401,2.401,2.401,331,0
2016-07-21,09:35:00,2.399,2.399,2.399,2.399,148,0
2016-07-21,16:05:00,2.31,2.31,2.31,2.31,600,0
2016-07-22,09:05:00,2.4,2.4,2.4,2.4,24,0
2016-07-22,10:50:00,2.3,2.42,2.3,2.42,930,0
2016-07-25,15:00:00,2.33,2.33,2.33,2.33,500,0
2016-07-25,15:25:00,2.243,2.243,2.243,2.243,2000,0
2016-07-26,14:40:00,2.2,2.2,2.2,2.2,1000,0
2016-07-26,14:45:00,2.19,2.2,2.179,2.2,3517,0
2016-07-26,17:30:00,2.201,2.201,2.201,2.201,1000,0
2016-07-28,14:05:00,2.13,2.13,2.13,2.13,3000,0
2016-07-28,17:15:00,2.13,2.13,2.13,2.13,650,0
2016-08-01,13:15:00,1.95,1.95,1.95,1.95,857,0
2016-08-01,13:20:00,2.048,2.05,2.048,2.05,2264,0
2016-08-01,13:25:00,2.222,2.222,2.222,2.222,100,0
2016-08-02,12:25:00,2.091,2.091,2.091,2.091,320,0
2016-08-03,09:35:00,2.05,2.05,2.05,2.05,10,0
2016-08-03,16:50:00,2.01,2.01,2.01,2.01,50,0
2016-08-03,17:15:00,2.2,2.266,2.2,2.266,2202,0
2016-08-03,17:20:00,2.442,2.442,2.299,2.299,240,0
2016-08-03,17:25:00,2.25,2.25,2.2,2.2,1100,0
2016-08-08,12:25:00,2.15,2.15,2.15,2.15,16,0
2016-08-10,09:55:00,2,2,2,2,2500,0
2016-08-11,16:55:00,2,2,2,2,2000,0
2016-08-11,17:00:00,1.88,1.88,1.88,1.88,2450,0
2016-08-12,10:10:00,1.85,1.85,1.85,1.85,120,0
2016-08-12,14:20:00,1.776,1.776,1.776,1.776,2000,0
2016-08-12,14:25:00,1.78,1.78,1.78,1.78,500,0
2016-08-15,09:40:00,1.71,1.71,1.71,1.71,250,0
2016-08-15,09:50:00,1.683,1.683,1.683,1.683,2000,0
2016-08-15,17:15:00,1.573,1.573,1.573,1.573,80,0
2016-08-15,17:20:00,1.572,1.572,1.572,1.572,500,0
2016-08-16,15:50:00,1.57,1.57,1.57,1.57,10,0
2016-08-16,16:30:00,1.57,1.57,1.57,1.57,500,0
2016-08-17,16:05:00,1.5,1.6,1.5,1.6,2375,0
2016-08-17,16:10:00,1.617,1.65,1.617,1.65,125,0
2016-08-18,09:20:00,1.45,1.45,1.42,1.42,3601,0
2016-08-18,09:30:00,1.42,1.42,1.42,1.42,2880,0
2016-08-18,15:25:00,1.42,1.42,1.42,1.42,286,0
2016-08-19,09:10:00,1.4,1.4,1.4,1.4,7129,0
