Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-05-29,12:35:00,22.179,22.179,22.179,22.179,254,0
2015-05-29,12:40:00,22.169,22.169,22.169,22.169,152,0
2015-05-29,13:45:00,22.169,22.169,22.169,22.169,609,0
2015-06-01,12:35:00,23.214,23.214,23.214,23.214,62,0
2015-06-01,13:35:00,23.78,23.78,23.78,23.78,41,0
2015-06-01,15:05:00,24.041,24.041,24.041,24.041,117,0
2015-06-02,11:00:00,23.647,23.647,23.647,23.647,132,0
2015-06-02,11:10:00,24.041,24.041,24.041,24.041,101,0
2015-06-02,11:20:00,24.13,24.13,24.13,24.13,101,0
2015-06-02,16:10:00,23.449,23.449,23.449,23.449,86,0
2015-06-02,16:20:00,22.876,22.876,22.876,22.876,657,0
2015-06-03,09:05:00,23.351,23.351,23.351,23.351,2,0
2015-06-03,14:40:00,23.43,23.43,23.43,23.43,406,0
2015-06-03,14:45:00,23.43,23.43,23.43,23.43,617,0
2015-06-09,11:00:00,22.307,22.307,22.307,22.307,325,0
2015-06-09,14:35:00,21.895,21.895,21.895,21.895,365,0
2015-06-10,17:30:00,21.893,21.893,21.893,21.893,365,0
2015-06-11,14:55:00,22.205,22.205,22.205,22.205,183,0
2015-06-12,15:35:00,22.205,22.205,22.205,22.205,41,0
2015-06-16,14:25:00,21.676,21.676,21.676,21.676,203,0
2015-06-16,14:30:00,21.148,21.148,20.633,20.633,107,0
2015-06-16,17:20:00,20.691,20.691,20.691,20.691,716,0
2015-06-17,10:35:00,20.445,20.445,20.445,20.445,193,0
2015-06-17,12:30:00,20.219,20.219,20.219,20.219,22,0
2015-06-17,17:00:00,20.712,21.578,20.712,21.578,2034,0
2015-06-18,09:05:00,21.578,21.578,21.578,21.578,211,0
2015-06-19,13:20:00,21.566,21.566,21.566,21.566,101,0
2015-06-19,16:30:00,22.092,22.092,22.092,22.092,304,0
2015-06-22,09:30:00,21.553,21.553,21.553,21.553,1,0
2015-06-22,15:20:00,21.184,21.184,20.208,20.208,803,0
2015-06-24,11:00:00,20.196,20.196,19.704,19.704,71,0
2015-06-24,15:55:00,20.184,20.184,20.184,20.184,76,0
2015-06-24,16:00:00,20.675,20.675,20.675,20.675,346,0
2015-06-25,09:30:00,20.199,20.199,20.199,20.199,203,0
2015-06-26,10:15:00,20.692,20.692,20.692,20.692,195,0
2015-06-29,09:05:00,21.675,22.704,21.625,21.625,278,0
2015-06-29,09:20:00,22.15,22.15,22.15,22.15,91,0
2015-06-29,11:00:00,21.61,21.61,21.61,21.61,241,0
2015-06-29,14:40:00,22.137,22.137,22.137,22.137,925,0
2015-07-01,09:20:00,21.069,21.069,21.069,21.069,95,0
2015-07-01,09:30:00,20.556,20.556,20.556,20.556,80,0
2015-07-01,17:30:00,21.533,21.533,21.533,21.533,236,0
2015-07-02,16:05:00,20.495,20.495,20.495,20.495,101,0
2015-07-06,09:35:00,20.691,20.691,20.691,20.691,195,0
2015-07-08,13:00:00,20.198,20.198,20.198,20.198,101,0
2015-07-09,14:15:00,20.198,20.198,20.198,20.198,142,0
2015-07-09,14:20:00,20.198,20.198,20.198,20.198,467,0
2015-07-09,17:05:00,20.691,20.691,20.691,20.691,818,0
2015-07-10,11:00:00,20.678,20.678,20.678,20.678,101,0
2015-07-17,16:50:00,21.169,21.169,21.169,21.169,203,0
2015-07-20,13:25:00,21.169,21.169,21.169,21.169,117,0
2015-07-20,19:25:00,21.933,21.933,21.933,21.933,145,0
2015-07-23,12:20:00,21.196,21.196,21.196,21.196,101,0
2015-07-24,17:00:00,21.873,21.873,21.873,21.873,710,0
2015-07-27,15:30:00,21.676,21.676,21.676,21.676,406,0
2015-08-04,15:20:00,20.691,20.691,20.691,20.691,101,0
2015-08-05,17:30:00,19.706,19.706,19.213,19.213,101,0
2015-08-07,09:50:00,20.167,20.167,20.167,20.167,51,0
2015-08-07,15:35:00,20.659,20.659,20.659,20.659,298,0
2015-08-14,14:00:00,22.169,22.169,22.169,22.169,51,0
2015-08-14,15:30:00,22.169,22.169,22.169,22.169,53,0
2015-08-18,12:55:00,22.534,22.534,22.534,22.534,254,0
2015-08-18,17:30:00,23.605,23.605,23.605,23.605,317,0
2015-08-19,10:45:00,23.029,23.029,23.029,23.029,10,0
2015-08-19,17:00:00,22.515,22.515,22.515,22.515,106,0
2015-08-19,17:30:00,22.514,22.514,22.514,22.514,1131,0
2015-08-20,09:20:00,22.662,22.662,22.662,22.662,304,0
2015-08-20,16:55:00,22.662,22.662,22.662,22.662,203,0
2015-08-20,17:30:00,23.154,23.154,23.154,23.154,2158,0
2015-08-21,16:00:00,22.04,22.04,22.04,22.04,51,0
2015-08-21,16:50:00,21.503,21.503,20.979,20.979,189,0
2015-08-21,16:55:00,20.691,20.691,20.691,20.691,434,0
2015-08-24,09:05:00,19.706,19.706,19.706,19.706,406,0
2015-08-24,09:45:00,19.607,19.706,19.607,19.706,358,0
2015-08-24,10:35:00,19.46,19.46,19.46,19.46,967,0
2015-08-25,10:25:00,19.903,19.903,19.903,19.903,51,0
2015-08-25,15:30:00,19.459,19.459,19.459,19.459,213,0
2015-08-25,15:35:00,19.213,19.213,18.361,18.361,959,0
2015-08-25,15:40:00,18.721,18.721,18.721,18.721,507,0
2015-08-25,17:30:00,19.016,19.016,19.016,19.016,3760,0
2015-08-26,09:05:00,19.213,19.213,18.918,18.918,203,0
2015-08-26,09:10:00,18.913,18.913,18.913,18.913,304,0
2015-08-26,09:30:00,18.913,18.913,18.913,18.913,69,0
2015-08-26,09:55:00,18.913,18.913,18.913,18.913,254,0
2015-08-26,10:20:00,18.913,18.913,18.73,18.73,51,0
2015-08-26,10:30:00,18.73,18.73,18.73,18.73,193,0
