Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-10-26,09:05:00,15.46,15.48,15.43,15.48,226508,0
2017-10-26,09:10:00,15.475,15.485,15.455,15.475,83246,0
2017-10-26,09:15:00,15.475,15.475,15.42,15.45,78696,0
2017-10-26,09:20:00,15.445,15.45,15.415,15.415,144390,0
2017-10-26,09:25:00,15.415,15.415,15.39,15.395,61321,0
2017-10-26,09:30:00,15.39,15.4,15.39,15.395,100037,0
2017-10-26,09:35:00,15.4,15.41,15.395,15.405,72934,0
2017-10-26,09:40:00,15.41,15.42,15.395,15.4,42700,0
2017-10-26,09:45:00,15.4,15.42,15.395,15.415,52714,0
2017-10-26,09:50:00,15.42,15.435,15.405,15.425,41849,0
2017-10-26,09:55:00,15.42,15.425,15.4,15.405,28660,0
2017-10-26,10:00:00,15.4,15.42,15.4,15.415,34506,0
2017-10-26,10:05:00,15.415,15.415,15.395,15.395,55432,0
2017-10-26,10:10:00,15.39,15.405,15.39,15.405,24681,0
2017-10-26,10:15:00,15.405,15.41,15.405,15.405,20826,0
2017-10-26,10:20:00,15.405,15.405,15.395,15.4,24689,0
2017-10-26,10:25:00,15.395,15.4,15.385,15.395,25168,0
2017-10-26,10:30:00,15.39,15.405,15.39,15.395,34457,0
2017-10-26,10:35:00,15.395,15.405,15.39,15.395,22902,0
2017-10-26,10:40:00,15.4,15.4,15.395,15.4,9905,0
2017-10-26,10:45:00,15.4,15.41,15.395,15.4,54750,0
2017-10-26,10:50:00,15.395,15.405,15.395,15.4,40744,0
2017-10-26,10:55:00,15.4,15.405,15.4,15.4,22383,0
2017-10-26,11:00:00,15.4,15.4,15.39,15.395,29806,0
2017-10-26,11:05:00,15.4,15.405,15.395,15.395,17875,0
2017-10-26,11:10:00,15.395,15.4,15.395,15.4,20597,0
2017-10-26,11:15:00,15.405,15.405,15.395,15.395,32763,0
2017-10-26,11:20:00,15.39,15.395,15.385,15.385,28817,0
2017-10-26,11:25:00,15.39,15.395,15.385,15.385,18667,0
2017-10-26,11:30:00,15.39,15.395,15.39,15.395,16577,0
2017-10-26,11:35:00,15.395,15.395,15.37,15.375,33317,0
2017-10-26,11:40:00,15.37,15.375,15.37,15.37,11119,0
2017-10-26,11:45:00,15.365,15.365,15.36,15.36,29249,0
2017-10-26,11:50:00,15.36,15.365,15.36,15.365,61944,0
2017-10-26,11:55:00,15.37,15.38,15.37,15.38,60503,0
2017-10-26,12:00:00,15.38,15.385,15.38,15.385,12557,0
2017-10-26,12:05:00,15.385,15.385,15.375,15.385,12956,0
2017-10-26,12:10:00,15.39,15.39,15.375,15.375,52175,0
2017-10-26,12:15:00,15.375,15.375,15.36,15.365,59803,0
2017-10-26,12:20:00,15.36,15.365,15.345,15.365,25094,0
2017-10-26,12:25:00,15.36,15.375,15.355,15.37,27835,0
2017-10-26,12:30:00,15.375,15.38,15.365,15.38,57156,0
2017-10-26,12:35:00,15.38,15.385,15.375,15.385,7943,0
2017-10-26,12:40:00,15.38,15.4,15.375,15.395,48428,0
2017-10-26,12:45:00,15.395,15.395,15.38,15.385,50995,0
2017-10-26,12:50:00,15.385,15.405,15.385,15.405,18597,0
2017-10-26,12:55:00,15.405,15.405,15.395,15.395,10453,0
2017-10-26,13:00:00,15.395,15.395,15.385,15.385,32624,0
2017-10-26,13:05:00,15.38,15.385,15.38,15.385,21640,0
