Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-09-20,09:15:00,16.3,16.3,16.3,16.3,109,0
2017-09-20,10:45:00,16.32,16.35,16.32,16.35,245,0
2017-09-20,11:00:00,16.3,16.3,16.3,16.3,80,0
2017-09-20,11:10:00,16.22,16.22,16.22,16.22,346,0
2017-09-20,11:40:00,16.3,16.3,16.28,16.28,420,0
2017-09-20,11:50:00,16.25,16.25,16.23,16.23,1920,0
2017-09-20,12:05:00,16.3,16.3,16.3,16.3,80,0
2017-09-20,12:10:00,16.3,16.3,16.3,16.3,120,0
2017-09-20,12:45:00,16.23,16.23,16.23,16.23,100,0
2017-09-20,13:45:00,16.3,16.3,16.3,16.3,16,0
2017-09-20,15:05:00,16.3,16.3,16.3,16.3,120,0
2017-09-20,15:15:00,16.3,16.3,16.165,16.165,80,0
2017-09-20,15:45:00,16.24,16.24,16.16,16.16,560,0
2017-09-20,16:00:00,16.165,16.165,16.165,16.165,26,0
2017-09-20,16:15:00,16.3,16.3,16.3,16.3,50,0
2017-09-20,16:55:00,16.3,16.3,16.3,16.3,50,0
2017-09-20,17:20:00,16.19,16.19,16.19,16.19,80,0
2017-09-20,17:30:00,16.35,16.35,16.165,16.35,499,0
2017-09-21,09:05:00,16.15,16.15,16.15,16.15,12,0
2017-09-21,09:25:00,16.25,16.25,16.25,16.25,1000,0
2017-09-21,09:40:00,16.27,16.27,16.27,16.27,15,0
2017-09-21,09:50:00,16.26,16.26,16.26,16.26,254,0
2017-09-21,10:05:00,16.165,16.165,16.15,16.15,2586,0
2017-09-21,10:10:00,16.15,16.25,16.15,16.25,200,0
2017-09-21,10:50:00,16.23,16.23,16.23,16.23,150,0
2017-09-21,11:20:00,16.225,16.295,16.225,16.295,300,0
2017-09-21,13:05:00,16.185,16.19,16.185,16.185,101,0
2017-09-21,14:30:00,16.2,16.2,16.18,16.18,1022,0
2017-09-21,14:35:00,16.18,16.18,16.125,16.125,271,0
2017-09-21,15:40:00,16.12,16.12,16.12,16.12,130,0
2017-09-21,16:00:00,16.12,16.12,16.12,16.12,20,0
2017-09-21,16:35:00,16.175,16.175,16.07,16.07,1708,0
