Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-08-19,09:05:00,24.5,24.5,24.5,24.5,41,0
2015-08-19,09:50:00,24.5,24.5,24.5,24.5,400,0
2015-08-19,17:30:00,24.3,24.3,24.3,24.3,469,0
2015-08-20,09:05:00,24.3,24.3,24.3,24.3,45,0
2015-08-20,14:50:00,24.3,24.3,24.3,24.3,241,0
2015-08-20,15:05:00,24.3,24.3,24.3,24.3,159,0
2015-08-20,17:30:00,24,24,24,24,499,0
2015-08-21,09:05:00,24,24,24,24,39,0
2015-08-21,09:35:00,24,24,24,24,200,0
2015-08-21,09:40:00,23.8,23.8,23.8,23.8,400,0
2015-08-21,17:30:00,23.735,23.735,23.735,23.735,839,0
2015-08-25,10:40:00,24,24,24,24,200,0
2015-08-27,09:05:00,23.95,23.95,23.95,23.95,100,0
2015-08-27,09:20:00,23.945,23.95,23.945,23.95,635,0
2015-08-27,09:30:00,23.4,23.4,23.4,23.4,1735,0
2015-08-28,11:55:00,23.745,23.75,23.745,23.75,1170,0
2015-09-01,09:05:00,23.15,23.15,23.15,23.15,24,0
2015-09-01,10:20:00,23.55,23.55,23.55,23.55,90,0
2015-09-01,17:30:00,23.15,23.15,23.15,23.15,120,0
2015-09-02,09:05:00,23.15,23.15,23.15,23.15,30,0
2015-09-02,17:30:00,23.15,23.15,23.15,23.15,34,0
2015-09-03,09:05:00,23.15,23.15,23.15,23.15,24,0
2015-09-03,17:30:00,23.15,23.15,23.15,23.15,30,0
2015-09-04,09:05:00,23.15,23.15,23.15,23.15,15,0
2015-09-04,10:10:00,23.15,23.15,23.15,23.15,200,0
2015-09-04,13:10:00,23.15,23.5,23.15,23.5,515,0
2015-09-07,09:05:00,23.15,23.15,23.15,23.15,16,0
2015-09-07,11:45:00,23.15,23.15,23.15,23.15,80,0
2015-09-07,16:45:00,23.15,23.5,23.15,23.5,646,0
2015-09-07,17:30:00,23,23,23,23,768,0
2015-09-08,09:05:00,23,23,23,23,17,0
2015-09-08,10:15:00,23.6,23.6,23.6,23.6,49,0
2015-09-08,11:40:00,23.6,23.8,23.6,23.8,49,0
2015-09-08,15:45:00,23.5,23.5,23.5,23.5,40,0
2015-09-08,16:30:00,23.5,23.5,23.5,23.5,40,0
2015-09-08,17:30:00,23.5,23.5,23.5,23.5,207,0
2015-09-09,09:05:00,23.15,23.15,23.15,23.15,13,0
2015-09-09,10:25:00,23.5,23.5,23.5,23.5,99,0
2015-09-09,12:15:00,23.5,23.5,23.5,23.5,20,0
2015-09-09,14:50:00,23.58,23.58,23.58,23.58,300,0
2015-09-09,16:05:00,23.6,23.6,23.6,23.6,131,0
