Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-05-08,09:30:00,2.64,2.64,2.64,2.64,1000,0
2017-05-08,09:55:00,2.64,2.64,2.64,2.64,1500,0
2017-05-08,10:20:00,2.659,2.659,2.659,2.659,2781,0
2017-05-08,12:20:00,2.62,2.62,2.62,2.62,5000,0
2017-05-08,12:50:00,2.619,2.619,2.61,2.61,8667,0
2017-05-08,12:55:00,2.581,2.581,2.581,2.581,79,0
2017-05-08,13:20:00,2.585,2.585,2.585,2.585,419,0
2017-05-08,14:30:00,2.591,2.591,2.591,2.591,500,0
2017-05-08,16:40:00,2.591,2.591,2.591,2.591,81,0
2017-05-08,17:00:00,2.59,2.61,2.59,2.61,2214,0
2017-05-08,17:20:00,2.591,2.591,2.591,2.591,2500,0
2017-05-08,17:30:00,2.592,2.592,2.592,2.592,668,0
2017-05-09,09:05:00,2.58,2.58,2.58,2.58,146,0
2017-05-09,10:05:00,2.586,2.586,2.58,2.58,4285,0
2017-05-09,11:15:00,2.567,2.567,2.561,2.561,5319,0
2017-05-09,11:55:00,2.6,2.6,2.6,2.6,1729,0
2017-05-09,12:20:00,2.605,2.605,2.567,2.567,13754,0
2017-05-09,12:35:00,2.62,2.62,2.62,2.62,1000,0
2017-05-09,13:05:00,2.619,2.619,2.574,2.6,5691,0
2017-05-09,13:10:00,2.59,2.59,2.59,2.59,2000,0
2017-05-09,13:20:00,2.566,2.566,2.566,2.566,1945,0
2017-05-09,13:30:00,2.59,2.59,2.59,2.59,4473,0
2017-05-09,14:40:00,2.592,2.592,2.592,2.592,945,0
2017-05-09,16:25:00,2.6,2.6,2.6,2.6,500,0
2017-05-09,16:35:00,2.639,2.639,2.639,2.639,945,0
2017-05-09,16:45:00,2.601,2.601,2.581,2.581,4525,0
2017-05-10,09:05:00,2.58,2.581,2.58,2.58,4151,0
2017-05-10,09:20:00,2.6,2.6,2.6,2.6,30,0
2017-05-10,09:25:00,2.6,2.61,2.585,2.585,6768,0
2017-05-10,09:40:00,2.587,2.587,2.581,2.581,2936,0
2017-05-10,09:50:00,2.59,2.59,2.59,2.59,551,0
2017-05-10,10:05:00,2.597,2.597,2.59,2.59,469,0
2017-05-10,10:50:00,2.597,2.597,2.597,2.597,1000,0
2017-05-10,11:10:00,2.597,2.598,2.597,2.598,2549,0
2017-05-10,11:15:00,2.6,2.6,2.6,2.6,784,0
2017-05-10,11:25:00,2.6,2.6,2.6,2.6,2100,0
2017-05-10,11:35:00,2.584,2.584,2.584,2.584,544,0
2017-05-10,11:45:00,2.584,2.584,2.58,2.58,3538,0
2017-05-10,13:00:00,2.582,2.582,2.57,2.57,4871,0
2017-05-10,13:45:00,2.593,2.6,2.57,2.57,16322,0
2017-05-10,14:35:00,2.581,2.581,2.581,2.581,2500,0
2017-05-10,14:55:00,2.592,2.592,2.571,2.571,242,0
2017-05-10,15:40:00,2.571,2.571,2.56,2.56,11804,0
2017-05-10,17:05:00,2.565,2.565,2.565,2.565,643,0
2017-05-10,17:30:00,2.567,2.567,2.567,2.567,1555,0
2017-05-11,09:05:00,2.56,2.56,2.56,2.56,152,0
2017-05-11,09:10:00,2.56,2.56,2.55,2.55,19889,0
2017-05-11,10:50:00,2.54,2.54,2.54,2.54,2570,0
2017-05-11,10:55:00,2.544,2.56,2.544,2.56,4707,0
2017-05-11,12:00:00,2.55,2.591,2.55,2.591,5489,0
2017-05-11,13:20:00,2.55,2.55,2.55,2.55,451,0
2017-05-11,13:25:00,2.549,2.554,2.549,2.554,3709,0
2017-05-11,13:35:00,2.531,2.531,2.531,2.531,750,0
2017-05-11,14:00:00,2.532,2.532,2.532,2.532,1278,0
2017-05-11,14:35:00,2.568,2.568,2.568,2.568,136,0
2017-05-11,14:50:00,2.559,2.568,2.55,2.567,5174,0
2017-05-11,15:20:00,2.567,2.567,2.567,2.567,1132,0
2017-05-11,15:40:00,2.566,2.567,2.566,2.567,1645,0
2017-05-11,16:45:00,2.57,2.57,2.57,2.57,1154,0
2017-05-11,17:05:00,2.57,2.57,2.57,2.57,1846,0
2017-05-12,09:05:00,2.555,2.555,2.555,2.555,153,0
2017-05-12,09:40:00,2.57,2.57,2.555,2.555,5091,0
2017-05-12,11:20:00,2.563,2.563,2.563,2.563,4,0
2017-05-12,11:25:00,2.565,2.57,2.565,2.57,2996,0
2017-05-12,13:10:00,2.57,2.57,2.57,2.57,500,0
2017-05-12,13:20:00,2.572,2.572,2.572,2.572,446,0
2017-05-12,13:30:00,2.589,2.589,2.589,2.589,1000,0
2017-05-12,13:35:00,2.588,2.588,2.588,2.588,650,0
2017-05-12,14:35:00,2.58,2.58,2.572,2.572,4090,0
2017-05-12,15:20:00,2.571,2.571,2.57,2.57,2699,0
2017-05-12,17:00:00,2.58,2.58,2.58,2.58,806,0
2017-05-15,09:05:00,2.56,2.56,2.56,2.56,153,0
2017-05-15,09:20:00,2.57,2.57,2.57,2.57,1502,0
2017-05-15,09:50:00,2.571,2.571,2.562,2.562,4814,0
2017-05-15,09:55:00,2.57,2.57,2.57,2.57,19,0
2017-05-15,10:15:00,2.572,2.572,2.56,2.56,12295,0
2017-05-15,11:35:00,2.56,2.56,2.55,2.55,5985,0
2017-05-15,12:00:00,2.55,2.55,2.55,2.55,509,0
2017-05-15,12:10:00,2.55,2.55,2.55,2.55,524,0
2017-05-15,13:20:00,2.55,2.55,2.55,2.55,545,0
2017-05-15,13:30:00,2.56,2.56,2.55,2.55,2500,0
2017-05-15,14:10:00,2.55,2.55,2.55,2.55,504,0
2017-05-15,15:10:00,2.55,2.55,2.55,2.55,1431,0
2017-05-15,15:25:00,2.56,2.56,2.56,2.56,1222,0
2017-05-15,16:25:00,2.571,2.571,2.571,2.571,3106,0
2017-05-16,09:05:00,2.55,2.55,2.55,2.55,5620,0
2017-05-16,10:10:00,2.55,2.55,2.55,2.55,100,0
2017-05-16,10:20:00,2.55,2.551,2.55,2.551,2000,0
2017-05-16,14:20:00,2.55,2.55,2.55,2.55,9000,0
2017-05-16,17:30:00,2.556,2.556,2.549,2.549,2700,0
2017-05-17,09:05:00,2.53,2.53,2.52,2.52,5000,0
2017-05-17,10:00:00,2.528,2.539,2.528,2.539,10000,0
2017-05-17,10:40:00,2.513,2.513,2.513,2.513,400,0
2017-05-17,15:30:00,2.513,2.513,2.507,2.507,750,0
2017-05-17,16:05:00,2.516,2.516,2.506,2.506,2728,0
2017-05-17,16:35:00,2.516,2.516,2.51,2.51,3716,0
2017-05-18,09:05:00,2.489,2.489,2.489,2.489,10000,0
2017-05-18,09:55:00,2.476,2.476,2.476,2.476,150,0
2017-05-18,11:20:00,2.48,2.48,2.48,2.48,2500,0
2017-05-18,11:45:00,2.476,2.476,2.476,2.476,1850,0
2017-05-18,12:05:00,2.466,2.466,2.46,2.46,2300,0
2017-05-18,13:20:00,2.46,2.46,2.46,2.46,2100,0
2017-05-18,15:25:00,2.494,2.494,2.494,2.494,1125,0
