Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-02-13,09:05:00,5.421,5.421,5.421,5.421,400,0
2017-02-13,10:00:00,5.399,5.4,5.399,5.4,1696,0
2017-02-13,11:05:00,5.432,5.432,5.432,5.432,283,0
2017-02-13,11:20:00,5.432,5.432,5.432,5.432,717,0
2017-02-13,14:15:00,5.31,5.31,5.28,5.28,1000,0
2017-02-13,17:25:00,5.3,5.3,5.3,5.3,3850,0
2017-02-14,13:30:00,5.489,5.49,5.489,5.49,1500,0
2017-02-14,15:35:00,5.349,5.35,5.349,5.35,2500,0
2017-02-14,17:00:00,5.301,5.301,5.301,5.301,432,0
2017-02-14,17:15:00,5.389,5.389,5.389,5.389,130,0
2017-02-14,17:30:00,5.359,5.39,5.358,5.39,6000,0
2017-02-15,09:10:00,4.28,4.28,4.2,4.244,2850,0
2017-02-15,09:15:00,4.3,4.3,4.201,4.201,2750,0
2017-02-15,09:20:00,4.35,4.35,4.35,4.35,500,0
2017-02-15,09:25:00,4.387,4.387,4.387,4.387,213,0
2017-02-15,09:40:00,4.402,4.402,4.401,4.401,1607,0
2017-02-15,09:45:00,4.4,4.4,4.4,4.4,1500,0
2017-02-15,10:00:00,4.388,4.388,4.388,4.388,13,0
2017-02-15,10:05:00,4.379,4.379,4.379,4.379,150,0
2017-02-15,10:35:00,4.358,4.42,4.358,4.42,1738,0
2017-02-15,11:50:00,4.5,4.5,4.5,4.5,150,0
2017-02-15,12:05:00,4.566,4.6,4.566,4.6,2000,0
2017-02-15,12:35:00,4.6,4.6,4.6,4.6,170,0
2017-02-15,12:55:00,4.501,4.501,4.4,4.4,867,0
2017-02-15,13:45:00,4.6,4.6,4.6,4.6,200,0
2017-02-15,13:50:00,4.401,4.401,4.401,4.401,669,0
2017-02-15,13:55:00,4.401,4.401,4.401,4.401,331,0
2017-02-15,14:30:00,4.546,4.546,4.546,4.546,500,0
2017-02-15,14:45:00,4.557,4.557,4.557,4.557,207,0
2017-02-15,17:30:00,4.6,4.6,4.6,4.6,791,0
2017-02-16,09:05:00,4.64,4.64,4.64,4.64,220,0
2017-02-16,09:25:00,4.6,4.6,4.6,4.6,300,0
2017-02-16,12:40:00,4.639,4.639,4.639,4.639,142,0
2017-02-16,12:45:00,4.549,4.55,4.549,4.55,1899,0
2017-02-16,12:55:00,4.549,4.55,4.549,4.55,3851,0
2017-02-16,13:05:00,4.55,4.55,4.55,4.55,152,0
2017-02-17,11:25:00,4.471,4.471,4.47,4.47,666,0
2017-02-17,12:05:00,4.55,4.55,4.55,4.55,930,0
2017-02-17,12:20:00,4.702,4.702,4.702,4.702,350,0
2017-02-17,16:55:00,4.661,4.661,4.661,4.661,69,0
2017-02-20,11:55:00,4.551,4.551,4.55,4.55,1000,0
2017-02-20,12:40:00,4.6,4.6,4.6,4.6,150,0
2017-02-20,13:10:00,4.649,4.65,4.649,4.65,500,0
2017-02-21,09:20:00,4.6,4.6,4.6,4.6,1500,0
2017-02-21,12:40:00,4.6,4.6,4.6,4.6,190,0
2017-02-21,13:35:00,4.519,4.519,4.519,4.519,156,0
2017-02-22,15:20:00,4.679,4.679,4.679,4.679,56,0
2017-02-22,16:10:00,4.678,4.678,4.678,4.678,620,0
2017-02-22,17:30:00,4.501,4.501,4.501,4.501,442,0
2017-02-23,10:15:00,4.502,4.502,4.5,4.5,4000,0
