Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-10-24,09:05:00,35.275,35.395,35.265,35.395,505,0
2017-10-24,09:10:00,35.395,35.41,35.285,35.29,1068,0
2017-10-24,09:15:00,35.295,35.305,35.28,35.28,654,0
2017-10-24,09:20:00,35.28,35.28,35.28,35.28,52,0
2017-10-24,09:25:00,35.335,35.42,35.325,35.365,2181,0
2017-10-24,09:30:00,35.38,35.42,35.375,35.375,469,0
2017-10-24,09:35:00,35.38,35.385,35.345,35.345,341,0
2017-10-24,09:40:00,35.345,35.37,35.33,35.345,1373,0
2017-10-24,09:45:00,35.325,35.325,35.295,35.295,387,0
2017-10-24,09:50:00,35.315,35.315,35.305,35.305,178,0
2017-10-24,09:55:00,35.3,35.3,35.245,35.265,1198,0
2017-10-24,10:00:00,35.27,35.27,35.005,35.06,9266,0
2017-10-24,10:05:00,35.085,35.18,35.085,35.18,2379,0
2017-10-24,10:10:00,35.21,35.255,35.21,35.215,339,0
2017-10-24,10:15:00,35.23,35.265,35.23,35.265,440,0
2017-10-24,10:20:00,35.24,35.315,35.24,35.315,233,0
2017-10-24,10:30:00,35.345,35.345,35.345,35.345,33,0
2017-10-24,10:40:00,35.345,35.365,35.295,35.295,465,0
2017-10-24,10:45:00,35.295,35.3,35.295,35.3,94,0
2017-10-24,10:50:00,35.265,35.265,35.265,35.265,5,0
2017-10-24,10:55:00,35.305,35.305,35.28,35.28,80,0
2017-10-24,11:00:00,35.305,35.36,35.305,35.36,40,0
2017-10-24,11:05:00,35.375,35.375,35.375,35.375,50,0
2017-10-24,11:10:00,35.345,35.345,35.28,35.315,966,0
2017-10-24,11:20:00,35.32,35.32,35.23,35.275,922,0
2017-10-24,11:25:00,35.285,35.3,35.285,35.3,341,0
2017-10-24,11:30:00,35.295,35.3,35.295,35.295,134,0
2017-10-24,11:35:00,35.285,35.295,35.245,35.245,364,0
2017-10-24,11:50:00,35.29,35.29,35.29,35.29,188,0
2017-10-24,12:00:00,35.275,35.3,35.275,35.3,255,0
2017-10-24,12:05:00,35.3,35.3,35.3,35.3,4,0
2017-10-24,12:10:00,35.3,35.3,35.3,35.3,8,0
2017-10-24,12:15:00,35.3,35.3,35.3,35.3,197,0
2017-10-24,12:20:00,35.3,35.31,35.26,35.275,309,0
2017-10-24,12:35:00,35.28,35.28,35.275,35.275,78,0
2017-10-24,12:40:00,35.275,35.295,35.27,35.295,111,0
2017-10-24,12:50:00,35.295,35.295,35.295,35.295,102,0
2017-10-24,13:00:00,35.275,35.28,35.21,35.21,851,0
2017-10-24,13:05:00,35.22,35.225,35.17,35.17,667,0
2017-10-24,13:10:00,35.12,35.2,35.12,35.2,542,0
2017-10-24,13:15:00,35.235,35.235,35.215,35.215,109,0
