Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-10-26,09:05:00,18.44,18.5,18.41,18.5,23149,0
2017-10-26,09:10:00,18.5,18.505,18.265,18.275,27823,0
2017-10-26,09:15:00,18.27,18.27,18.12,18.21,34983,0
2017-10-26,09:20:00,18.21,18.265,18.21,18.265,6600,0
2017-10-26,09:25:00,18.285,18.285,18.225,18.25,5524,0
2017-10-26,09:30:00,18.255,18.33,18.205,18.325,7465,0
2017-10-26,09:35:00,18.36,18.38,18.345,18.345,5414,0
2017-10-26,09:40:00,18.34,18.465,18.33,18.385,35851,0
2017-10-26,09:45:00,18.385,18.395,18.375,18.39,4281,0
2017-10-26,09:50:00,18.37,18.37,18.335,18.35,11540,0
2017-10-26,09:55:00,18.345,18.345,18.33,18.335,2136,0
2017-10-26,10:00:00,18.345,18.45,18.345,18.45,6250,0
2017-10-26,10:05:00,18.45,18.495,18.445,18.47,4953,0
2017-10-26,10:10:00,18.47,18.47,18.45,18.47,2992,0
2017-10-26,10:15:00,18.435,18.46,18.435,18.46,528,0
2017-10-26,10:20:00,18.44,18.455,18.44,18.445,1923,0
2017-10-26,10:25:00,18.44,18.44,18.375,18.395,21739,0
2017-10-26,10:30:00,18.41,18.415,18.34,18.35,3260,0
2017-10-26,10:35:00,18.34,18.34,18.3,18.3,6155,0
2017-10-26,10:40:00,18.295,18.32,18.275,18.32,5301,0
2017-10-26,10:45:00,18.35,18.35,18.35,18.35,250,0
2017-10-26,10:50:00,18.35,18.365,18.28,18.28,12935,0
2017-10-26,10:55:00,18.275,18.285,18.23,18.23,14623,0
2017-10-26,11:00:00,18.235,18.245,18.19,18.2,4245,0
2017-10-26,11:05:00,18.195,18.195,18.155,18.155,7563,0
2017-10-26,11:10:00,18.15,18.16,17.93,17.975,106174,0
2017-10-26,11:15:00,17.995,18.105,17.995,18.07,17399,0
2017-10-26,11:20:00,18.045,18.045,17.99,18.02,13173,0
2017-10-26,11:25:00,18.03,18.04,17.93,17.985,10893,0
2017-10-26,11:30:00,17.94,17.945,17.845,17.87,33306,0
2017-10-26,11:35:00,17.85,17.885,17.82,17.84,39697,0
2017-10-26,11:40:00,17.85,17.96,17.85,17.96,9640,0
2017-10-26,11:45:00,17.975,18.005,17.925,17.925,7637,0
2017-10-26,11:50:00,17.945,17.96,17.91,17.91,10764,0
2017-10-26,11:55:00,17.925,17.98,17.925,17.98,5736,0
2017-10-26,12:00:00,17.97,18.005,17.8,17.955,34995,0
2017-10-26,12:05:00,17.96,17.99,17.935,17.96,7365,0
2017-10-26,12:10:00,17.93,17.935,17.89,17.935,10784,0
2017-10-26,12:15:00,17.95,17.98,17.95,17.955,4085,0
2017-10-26,12:20:00,17.93,17.93,17.895,17.915,6713,0
2017-10-26,12:25:00,17.935,17.97,17.88,17.935,12672,0
2017-10-26,12:30:00,17.94,17.955,17.925,17.955,2161,0
2017-10-26,12:35:00,17.935,17.955,17.935,17.955,275,0
2017-10-26,12:40:00,17.95,17.97,17.94,17.97,7476,0
2017-10-26,12:45:00,17.99,18.05,17.98,18.015,15100,0
2017-10-26,12:50:00,18.015,18.035,17.985,17.985,3887,0
2017-10-26,12:55:00,18,18.03,18,18.01,1064,0
2017-10-26,13:00:00,18.01,18.015,17.99,17.995,6138,0
2017-10-26,13:05:00,17.985,18,17.95,17.95,10153,0
2017-10-26,13:10:00,17.955,17.985,17.955,17.985,2814,0
2017-10-26,13:15:00,17.97,17.99,17.97,17.99,863,0
2017-10-26,13:20:00,17.985,17.99,17.97,17.99,1324,0
2017-10-26,13:25:00,17.99,17.99,17.98,17.99,1160,0
2017-10-26,13:35:00,17.98,18,17.965,17.975,27657,0
2017-10-26,13:40:00,17.97,18.02,17.955,18.02,18032,0
2017-10-26,13:45:00,18.035,18.05,18.02,18.05,4403,0
2017-10-26,13:50:00,18.09,18.15,18.075,18.075,13620,0
2017-10-26,13:55:00,18.055,18.055,18,18.015,5592,0
2017-10-26,14:00:00,18.01,18.015,18.005,18.015,7310,0
2017-10-26,14:05:00,18.005,18.02,17.935,17.96,11900,0
2017-10-26,14:10:00,17.97,17.98,17.935,17.965,6136,0
2017-10-26,14:15:00,17.97,17.98,17.945,17.965,10366,0
2017-10-26,14:20:00,17.99,17.99,17.9,17.93,8316,0
