Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-01-04,14:45:00,0.051,0.051,0.051,0.051,120,0
2016-01-05,13:25:00,0.052,0.052,0.052,0.052,400,0
2016-01-07,10:45:00,0.08,0.08,0.08,0.08,267,0
2016-01-08,17:35:00,0.061,0.061,0.061,0.061,100,0
2016-01-14,09:45:00,0.229,0.229,0.229,0.229,35,0
2016-01-15,17:10:00,0.061,0.061,0.061,0.061,15000,0
2016-01-19,16:40:00,0.05,0.05,0.05,0.05,2,0
2016-02-03,11:45:00,0.07,0.07,0.07,0.07,10,0
2016-02-09,10:30:00,0.07,0.07,0.07,0.07,21,0
2016-02-16,09:15:00,0.07,0.07,0.07,0.07,78,0
2016-02-24,10:40:00,0.07,0.07,0.07,0.07,5000,0
2016-02-24,15:45:00,0.07,0.07,0.07,0.07,5715,0
2016-02-29,18:45:00,0.07,0.07,0.07,0.07,30,0
2016-03-04,10:35:00,0.036,0.036,0.036,0.036,135,0
2016-03-04,13:20:00,0.036,0.036,0.036,0.036,3,0
2016-03-14,13:30:00,0.03,0.03,0.03,0.03,2,0
2016-03-16,08:45:00,0.03,0.03,0.03,0.03,1700,0
2016-03-16,10:30:00,0.03,0.03,0.03,0.03,25,0
2016-03-31,12:20:00,0.03,0.03,0.03,0.03,2500,0
2016-03-31,16:30:00,0.03,0.03,0.03,0.03,1,0
2016-04-04,12:30:00,0.03,0.03,0.03,0.03,50,0
2016-04-05,08:05:00,0.033,0.033,0.033,0.033,15152,0
2016-04-11,11:35:00,0.03,0.03,0.03,0.03,20,0
2016-04-15,11:25:00,0.03,0.03,0.03,0.03,3,0
2016-04-25,08:30:00,0.03,0.03,0.03,0.03,0,0
2016-04-27,18:05:00,0.149,0.17,0.149,0.17,20000,0
2016-04-27,18:35:00,0.1,0.1,0.081,0.081,20000,0
2016-04-28,08:05:00,0.13,0.13,0.13,0.13,30,0
2016-04-28,09:05:00,0.031,0.031,0.031,0.031,2500,0
2016-05-02,15:40:00,0.041,0.041,0.041,0.041,1,0
2016-05-17,16:45:00,0.031,0.031,0.031,0.031,600,0
2016-05-23,16:05:00,0.041,0.041,0.041,0.041,12,0
2016-05-27,11:10:00,0.041,0.041,0.041,0.041,22,0
2016-06-06,16:15:00,0.041,0.041,0.041,0.041,30,0
2016-06-14,12:20:00,0.041,0.041,0.041,0.041,406,0
2016-06-20,13:55:00,0.041,0.041,0.041,0.041,30,0
2016-06-27,08:05:00,0.041,0.041,0.041,0.041,100,0
2016-07-08,16:25:00,0.035,0.035,0.035,0.035,7,0
2016-07-20,09:00:00,0.034,0.034,0.034,0.034,300,0
2016-08-01,08:05:00,0.034,0.034,0.034,0.034,50,0
2016-08-31,10:55:00,0.04,0.04,0.04,0.04,100,0
2016-09-06,10:15:00,0.04,0.04,0.04,0.04,100,0
2016-09-06,15:55:00,0.04,0.04,0.04,0.04,400,0
2016-09-09,11:35:00,0.04,0.04,0.04,0.04,200,0
2016-09-12,09:05:00,0.04,0.04,0.04,0.04,20,0
2016-09-21,18:30:00,0.04,0.04,0.04,0.04,10,0
2016-09-22,09:00:00,0.04,0.04,0.04,0.04,2500,0
2016-09-22,14:15:00,0.032,0.032,0.032,0.032,15,0
2016-09-22,15:25:00,0.032,0.032,0.032,0.032,70,0
2016-09-22,16:00:00,0.032,0.032,0.032,0.032,40,0
2016-10-07,16:25:00,0.031,0.031,0.031,0.031,15,0
2016-10-17,13:05:00,0.031,0.031,0.031,0.031,110,0
2016-10-18,16:10:00,0.08,0.08,0.08,0.08,400,0
2016-10-19,08:10:00,0.079,0.079,0.079,0.079,5000,0
2016-11-01,10:20:00,0.031,0.031,0.031,0.031,20,0
2016-11-09,12:20:00,0.03,0.03,0.03,0.03,36,0
2016-11-09,14:55:00,0.03,0.03,0.03,0.03,10,0
2016-11-14,18:40:00,0.03,0.03,0.03,0.03,5000,0
2016-11-16,12:50:00,0.03,0.03,0.03,0.03,2,0
2016-11-17,15:35:00,0.03,0.03,0.03,0.03,4,0
2016-11-17,17:10:00,0.03,0.03,0.03,0.03,5,0
2016-11-23,14:25:00,0.073,0.073,0.073,0.073,2500,0
2016-11-23,14:45:00,0.073,0.073,0.073,0.073,10000,0
2016-11-24,14:55:00,0.03,0.03,0.03,0.03,125,0
2016-11-28,15:05:00,0.03,0.03,0.03,0.03,20,0
2016-12-02,09:50:00,0.03,0.03,0.03,0.03,20,0
2016-12-02,12:05:00,0.03,0.03,0.03,0.03,20,0
2016-12-08,09:45:00,0.03,0.03,0.03,0.03,50,0
2016-12-08,12:40:00,0.03,0.03,0.03,0.03,2750,0
2016-12-12,08:05:00,0.03,0.03,0.03,0.03,0,0
2016-12-13,13:05:00,0.075,0.075,0.075,0.075,1000,0
2016-12-13,16:20:00,0.03,0.03,0.03,0.03,200,0
2016-12-30,10:55:00,0.03,0.03,0.03,0.03,100,0
2017-01-02,08:05:00,0.03,0.03,0.03,0.03,7,0
2017-01-11,09:20:00,0.03,0.03,0.03,0.03,100,0
2017-01-13,11:50:00,0.03,0.03,0.03,0.03,2000,0
2017-01-13,14:05:00,0.03,0.03,0.03,0.03,1,0
2017-01-17,14:35:00,0.03,0.03,0.03,0.03,5,0
2017-01-19,08:25:00,0.03,0.03,0.03,0.03,36,0
2017-01-24,11:05:00,0.03,0.03,0.03,0.03,9,0
2017-01-26,14:10:00,0.03,0.03,0.03,0.03,6,0
2017-01-30,10:10:00,0.03,0.03,0.03,0.03,1,0
2017-01-30,12:55:00,0.03,0.03,0.03,0.03,83,0
2017-02-01,10:25:00,0.03,0.03,0.03,0.03,10,0
2017-02-01,16:50:00,0.085,0.085,0.085,0.085,5000,0
2017-02-01,16:55:00,0.1,0.1,0.1,0.1,388,0
2017-02-01,17:50:00,0.15,0.15,0.15,0.15,5000,0
2017-02-01,19:50:00,0.2,0.2,0.2,0.2,2500,0
2017-02-02,08:10:00,0.23,0.23,0.23,0.23,400,0
2017-02-02,08:35:00,0.23,0.23,0.2,0.2,5000,0
2017-02-02,08:45:00,0.24,0.25,0.24,0.25,4000,0
2017-02-02,09:55:00,0.25,0.25,0.25,0.25,4300,0
2017-02-02,10:00:00,0.299,0.299,0.299,0.299,3000,0
2017-02-02,11:10:00,0.17,0.17,0.17,0.17,3000,0
2017-02-02,12:40:00,0.29,0.29,0.29,0.29,2000,0
2017-02-02,15:05:00,0.23,0.23,0.23,0.23,1000,0
2017-02-02,18:30:00,0.18,0.18,0.18,0.18,3,0
2017-02-03,10:15:00,0.19,0.19,0.19,0.19,116,0
2017-02-03,12:10:00,0.329,0.329,0.329,0.329,500,0
2017-02-03,17:20:00,0.18,0.18,0.18,0.18,2222,0
2017-02-03,17:25:00,0.181,0.181,0.181,0.181,5000,0
2017-02-03,17:30:00,0.18,0.18,0.18,0.18,6000,0
2017-02-03,17:50:00,0.185,0.185,0.185,0.185,5000,0
2017-02-06,12:50:00,0.185,0.185,0.185,0.185,2000,0
2017-02-08,08:35:00,0.18,0.18,0.18,0.18,5500,0
2017-02-08,09:10:00,0.16,0.16,0.16,0.16,11578,0
2017-02-10,10:10:00,0.15,0.15,0.15,0.15,15000,0
2017-02-10,11:45:00,0.2,0.2,0.2,0.2,5000,0
2017-02-10,18:25:00,0.15,0.15,0.15,0.15,1035,0
2017-02-13,08:10:00,0.23,0.23,0.23,0.23,2858,0
2017-02-13,08:35:00,0.3,0.3,0.3,0.3,2858,0
2017-02-13,09:05:00,0.327,0.327,0.327,0.327,4000,0
2017-02-13,12:05:00,0.3,0.3,0.3,0.3,2403,0
2017-02-13,13:15:00,0.3,0.3,0.3,0.3,3597,0
2017-02-13,14:55:00,0.389,0.389,0.389,0.389,1000,0
