Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-10-26,09:05:00,47.025,47.03,46.855,47.03,1801,0
2017-10-26,09:10:00,46.995,47.17,46.995,47.17,812,0
2017-10-26,09:15:00,47.16,47.16,47.05,47.09,326,0
2017-10-26,09:20:00,47.08,47.12,47.065,47.1,1087,0
2017-10-26,09:25:00,47.095,47.17,47.095,47.155,59,0
2017-10-26,09:30:00,47.14,47.235,47.14,47.235,463,0
2017-10-26,09:45:00,47.335,47.335,47.32,47.32,233,0
2017-10-26,09:50:00,47.31,47.31,47.27,47.285,523,0
2017-10-26,09:55:00,47.275,47.275,47.225,47.24,2387,0
2017-10-26,10:00:00,47.28,47.405,47.28,47.405,569,0
2017-10-26,10:05:00,47.415,47.415,47.415,47.415,36,0
2017-10-26,10:10:00,47.475,47.475,47.41,47.41,961,0
2017-10-26,10:15:00,47.45,47.515,47.45,47.515,499,0
2017-10-26,10:20:00,47.535,47.635,47.535,47.635,1459,0
2017-10-26,10:25:00,47.62,47.625,47.61,47.61,463,0
2017-10-26,10:30:00,47.645,47.87,47.645,47.87,5695,0
2017-10-26,10:35:00,47.895,47.92,47.78,47.81,2798,0
2017-10-26,10:40:00,47.81,47.815,47.76,47.815,3718,0
2017-10-26,10:45:00,47.815,47.82,47.795,47.82,647,0
2017-10-26,10:50:00,47.82,47.82,47.76,47.77,6112,0
2017-10-26,10:55:00,47.76,47.76,47.66,47.66,3550,0
2017-10-26,11:00:00,47.685,47.685,47.63,47.66,1877,0
2017-10-26,11:05:00,47.66,47.72,47.66,47.715,2112,0
2017-10-26,11:10:00,47.705,47.705,47.66,47.66,798,0
2017-10-26,11:15:00,47.64,47.69,47.635,47.68,207,0
2017-10-26,11:20:00,47.68,47.68,47.655,47.68,1186,0
2017-10-26,11:25:00,47.66,47.66,47.6,47.6,1693,0
2017-10-26,11:30:00,47.6,47.6,47.56,47.585,406,0
2017-10-26,11:35:00,47.58,47.595,47.525,47.54,1476,0
