Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-04-02,12:00:00,0.223,0.223,0.223,0.223,15,0
2015-04-02,12:05:00,0.223,0.223,0.223,0.223,15,0
2015-04-07,09:05:00,0.231,0.231,0.231,0.231,1400,0
2015-04-08,09:05:00,0.34,0.34,0.34,0.34,500,0
2015-04-08,09:10:00,0.35,0.35,0.35,0.35,1127,0
2015-04-08,11:35:00,0.231,0.231,0.231,0.231,330,0
2015-04-08,12:45:00,0.348,0.348,0.348,0.348,200,0
2015-04-08,15:25:00,0.243,0.243,0.243,0.243,2531,0
2015-04-14,14:15:00,0.241,0.241,0.241,0.241,3,0
2015-04-14,14:20:00,0.241,0.241,0.241,0.241,3,0
2015-04-15,14:35:00,0.241,0.241,0.241,0.241,3873,0
2015-04-15,17:30:00,0.28,0.28,0.28,0.28,4273,0
2015-04-17,11:50:00,0.241,0.241,0.241,0.241,500,0
2015-04-17,11:55:00,0.241,0.241,0.241,0.241,500,0
2015-04-29,13:50:00,0.34,0.34,0.34,0.34,800,0
2015-04-30,13:45:00,0.299,0.299,0.299,0.299,500,0
2015-05-06,10:20:00,0.24,0.24,0.24,0.24,5000,0
2015-05-06,14:25:00,0.19,0.19,0.19,0.19,3150,0
2015-05-06,14:30:00,0.19,0.19,0.19,0.19,3000,0
2015-05-06,14:40:00,0.2,0.2,0.2,0.2,19650,0
2015-05-11,09:05:00,0.23,0.23,0.23,0.23,2000,0
2015-05-18,13:00:00,0.202,0.202,0.202,0.202,40,0
2015-05-29,10:05:00,0.202,0.202,0.202,0.202,20,0
2015-06-02,11:40:00,0.202,0.202,0.202,0.202,7000,0
2015-06-15,16:50:00,0.202,0.202,0.202,0.202,20,0
2015-06-16,16:40:00,0.202,0.202,0.202,0.202,300,0
2015-06-16,17:30:00,0.202,0.202,0.201,0.201,5100,0
2015-06-17,12:30:00,0.202,0.202,0.202,0.202,12,0
2015-06-23,10:35:00,0.265,0.265,0.265,0.265,3800,0
2015-06-23,17:05:00,0.28,0.28,0.28,0.28,9800,0
2015-06-26,12:15:00,0.24,0.24,0.24,0.24,5000,0
2015-06-26,13:10:00,0.275,0.275,0.275,0.275,7000,0
2015-07-01,14:30:00,0.213,0.213,0.213,0.213,100,0
2015-07-03,16:10:00,0.213,0.213,0.213,0.213,2000,0
2015-07-07,15:55:00,0.212,0.212,0.212,0.212,5000,0
2015-07-07,16:15:00,0.21,0.21,0.21,0.21,15000,0
2015-07-09,16:10:00,0.257,0.257,0.257,0.257,3000,0
2015-07-09,16:15:00,0.36,0.36,0.36,0.36,26000,0
2015-07-09,17:30:00,0.389,0.389,0.389,0.389,29100,0
2015-07-10,09:05:00,0.33,0.36,0.33,0.36,3000,0
2015-07-10,10:35:00,0.311,0.311,0.311,0.311,1000,0
2015-07-10,11:25:00,0.31,0.31,0.31,0.31,4000,0
2015-07-13,10:00:00,0.32,0.32,0.27,0.27,7000,0
2015-07-13,17:30:00,0.357,0.357,0.357,0.357,17000,0
2015-07-14,19:25:00,0.359,0.359,0.359,0.359,200,0
2015-07-21,11:55:00,0.252,0.252,0.252,0.252,20,0
2015-08-05,10:35:00,0.224,0.224,0.224,0.224,740,0
2015-08-10,10:15:00,0.225,0.225,0.225,0.225,8000,0
2015-09-02,10:35:00,0.23,0.23,0.23,0.23,2000,0
2015-09-07,12:50:00,0.206,0.206,0.206,0.206,4282,0
