Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-04-09,10:55:00,0.122,0.122,0.122,0.122,200,0
2015-04-10,16:10:00,0.122,0.122,0.122,0.122,14,0
2015-04-14,13:30:00,0.122,0.122,0.122,0.122,50,0
2015-04-14,13:35:00,0.122,0.122,0.122,0.122,50,0
2015-04-17,11:50:00,0.122,0.122,0.122,0.122,1000,0
2015-04-17,11:55:00,0.122,0.122,0.122,0.122,1000,0
2015-05-14,13:40:00,0.121,0.121,0.121,0.121,260,0
2015-05-28,16:15:00,0.121,0.121,0.121,0.121,100,0
2015-05-29,10:05:00,0.121,0.121,0.121,0.121,30,0
2015-05-29,17:30:00,0.13,0.13,0.13,0.13,30,0
2015-07-14,16:50:00,0.108,0.108,0.108,0.108,40,0
2015-07-21,11:55:00,0.106,0.106,0.106,0.106,100,0
2015-08-05,10:35:00,0.105,0.105,0.105,0.105,960,0
2015-08-19,16:20:00,0.104,0.104,0.103,0.103,14000,0
2015-09-22,16:05:00,0.15,0.15,0.15,0.15,20000,0
2015-10-22,14:10:00,0.102,0.102,0.102,0.102,74,0
2015-11-19,17:35:00,0.071,0.08,0.071,0.08,10004,0
2015-11-23,13:40:00,0.12,0.12,0.12,0.12,10000,0
2016-01-04,12:10:00,0.084,0.084,0.084,0.084,39,0
2016-01-05,09:45:00,0.084,0.084,0.084,0.084,5,0
2016-01-08,12:15:00,0.083,0.083,0.083,0.083,5000,0
2016-01-26,16:10:00,0.024,0.024,0.024,0.024,480,0
2016-01-27,19:15:00,0.085,0.085,0.085,0.085,3000,0
2016-02-08,16:25:00,0.035,0.035,0.035,0.035,50,0
2016-02-25,09:10:00,0.035,0.035,0.035,0.035,2,0
2016-02-25,15:25:00,0.035,0.035,0.035,0.035,7,0
2016-02-26,13:55:00,0.035,0.035,0.035,0.035,50,0
2016-03-30,10:20:00,0.035,0.035,0.035,0.035,10469,0
2016-03-31,10:30:00,0.18,0.18,0.18,0.18,10469,0
2016-03-31,17:00:00,0.15,0.15,0.15,0.15,3000,0
2016-04-05,12:55:00,0.096,0.096,0.095,0.095,418,0
2016-06-14,15:05:00,0.081,0.081,0.081,0.081,1,0
2016-06-20,11:10:00,0.11,0.11,0.11,0.11,5000,0
2016-06-20,12:10:00,0.11,0.11,0.11,0.11,18,0
2016-06-20,12:50:00,0.1,0.1,0.1,0.1,0,0
2016-06-27,10:35:00,0.1,0.1,0.1,0.1,5696,0
2016-07-04,12:55:00,0.07,0.07,0.07,0.07,100,0
2016-07-08,12:25:00,0.071,0.071,0.071,0.071,1000,0
2016-08-02,12:05:00,0.071,0.071,0.071,0.071,100,0
2016-08-18,13:55:00,0.082,0.082,0.082,0.082,10,0
2016-09-13,14:25:00,0.082,0.082,0.082,0.082,10,0
2016-09-19,15:35:00,0.082,0.082,0.082,0.082,33,0
2016-09-22,16:50:00,0.085,0.085,0.085,0.085,50,0
2016-09-23,11:45:00,0.082,0.082,0.082,0.082,10,0
2016-09-30,11:55:00,0.082,0.082,0.082,0.082,3,0
2016-10-04,10:30:00,0.082,0.082,0.082,0.082,1,0
2016-10-06,16:00:00,0.082,0.082,0.082,0.082,20,0
2016-10-25,15:50:00,0.082,0.082,0.082,0.082,5,0
2016-11-18,17:45:00,0.081,0.081,0.081,0.081,6000,0
2016-12-01,09:00:00,0.082,0.082,0.082,0.082,30,0
2016-12-12,10:15:00,0.082,0.082,0.082,0.082,30,0
2016-12-29,10:45:00,0.081,0.081,0.081,0.081,5,0
2016-12-29,18:15:00,0.07,0.07,0.07,0.07,70,0
2017-01-12,12:50:00,0.06,0.06,0.06,0.06,3,0
2017-01-18,10:35:00,0.07,0.07,0.07,0.07,1999,0
2017-01-31,16:25:00,0.07,0.07,0.07,0.07,50,0
2017-02-23,11:05:00,0.06,0.06,0.06,0.06,25,0
2017-02-24,11:45:00,0.055,0.055,0.055,0.055,150,0
2017-03-09,15:15:00,0.05,0.05,0.05,0.05,15,0
2017-03-10,17:10:00,0.07,0.07,0.06,0.06,3560,0
2017-03-14,08:35:00,0.12,0.12,0.12,0.12,5200,0
2017-03-14,13:25:00,0.12,0.12,0.12,0.12,1100,0
2017-03-15,16:15:00,0.12,0.12,0.12,0.12,2110,0
2017-03-16,15:40:00,0.105,0.105,0.105,0.105,10870,0
2017-04-03,09:15:00,0.095,0.095,0.095,0.095,2000,0
2017-05-02,08:05:00,0.085,0.085,0.085,0.085,100,0
2017-05-18,14:50:00,0.085,0.085,0.085,0.085,100,0
2017-06-08,10:25:00,0.104,0.104,0.104,0.104,5000,0
2017-06-08,12:20:00,0.105,0.105,0.105,0.105,9293,0
2017-06-08,12:25:00,0.136,0.15,0.136,0.15,1907,0
2017-06-19,09:20:00,0.122,0.122,0.122,0.122,100,0
2017-06-29,12:55:00,0.123,0.123,0.123,0.123,25,0
2017-07-17,11:10:00,0.133,0.133,0.133,0.133,2,0
