Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-04-02,14:05:00,2.5952,2.5962,2.5952,2.5962,1011,0
2015-04-02,17:30:00,2.597,2.597,2.597,2.597,1377,0
2015-04-08,13:25:00,2.6052,2.6052,2.6052,2.6052,1558,0
2015-04-13,09:05:00,2.659,2.659,2.659,2.659,28,0
2015-04-13,17:30:00,2.659,2.659,2.659,2.659,93,0
2015-04-15,15:55:00,2.4704,2.4704,2.4704,2.4704,1699,0
2015-04-15,16:00:00,2.4704,2.4704,2.4704,2.4704,1699,0
2015-04-22,10:15:00,2.6141,2.6141,2.6141,2.6141,123,0
2015-04-22,13:30:00,2.6141,2.6141,2.6141,2.6141,792,0
2015-04-22,13:35:00,2.6141,2.6141,2.6141,2.6141,669,0
2015-04-24,09:20:00,2.4892,2.4892,2.4883,2.4883,2227,0
2015-04-27,11:30:00,2.5143,2.5143,2.5143,2.5143,116,0
2015-04-27,12:25:00,2.5143,2.5153,2.5143,2.5153,1427,0
2015-04-27,12:30:00,2.6042,2.6042,2.6042,2.6042,5997,0
2015-04-28,09:20:00,2.6231,2.6231,2.6231,2.6231,1002,0
2015-04-28,12:55:00,2.6052,2.6052,2.6052,2.6052,8794,0
2015-04-29,16:50:00,2.6052,2.6052,2.6052,2.6052,1112,0
2015-04-30,11:45:00,2.6231,2.6231,2.6231,2.6231,62,0
2015-04-30,11:50:00,2.6231,2.6411,2.6231,2.6411,127,0
2015-04-30,15:40:00,2.632,2.632,2.632,2.632,1670,0
2015-04-30,17:30:00,2.633,2.633,2.633,2.633,2175,0
2015-05-04,10:10:00,2.5252,2.5252,2.5252,2.5252,89,0
2015-05-14,16:50:00,2.5252,2.5252,2.5243,2.5243,946,0
2015-05-14,17:30:00,2.5243,2.5243,2.5243,2.5243,2086,0
2015-05-18,10:55:00,2.6042,2.6042,2.6042,2.6042,241,0
2015-05-18,17:30:00,2.6052,2.6052,2.6052,2.6052,725,0
2015-05-20,16:40:00,2.6024,2.6052,2.6024,2.6052,2227,0
2015-05-20,17:30:00,2.606,2.606,2.606,2.606,2294,0
2015-05-21,12:20:00,2.5252,2.5252,2.5153,2.5153,3784,0
2015-05-26,13:45:00,2.5153,2.5153,2.5153,2.5153,244,0
2015-05-27,10:35:00,2.6042,2.6052,2.6042,2.6052,554,0
2015-05-27,17:30:00,2.6052,2.6052,2.6052,2.6052,1414,0
2015-05-28,16:00:00,2.6052,2.6052,2.6052,2.6052,722,0
2015-05-29,09:20:00,2.6653,2.6653,2.6653,2.6653,111,0
2015-05-29,17:30:00,2.6573,2.6573,2.6573,2.6573,334,0
2015-06-01,09:55:00,2.5611,2.5611,2.5611,2.5611,445,0
2015-06-01,17:20:00,2.5691,2.65,2.5691,2.65,979,0
2015-06-01,17:25:00,2.6663,2.6663,2.6663,2.6663,2757,0
2015-06-02,10:00:00,2.686,2.686,2.686,2.686,798,0
2015-06-02,11:40:00,2.695,2.7039,2.695,2.7039,1112,0
2015-06-02,17:30:00,2.7039,2.7039,2.7039,2.7039,2764,0
