Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-09-18,09:05:00,124.95,124.95,124.95,124.95,90,0
2017-09-18,09:30:00,124,124,124,124,15,0
2017-09-18,10:15:00,124,124,124,124,25,0
2017-09-18,10:35:00,124,124,124,124,60,0
2017-09-18,10:40:00,124,124,124,124,25,0
2017-09-18,10:45:00,123.35,123.35,123.3,123.3,100,0
2017-09-18,11:50:00,123.95,124,123.95,124,25,0
2017-09-18,12:05:00,124,124,124,124,19,0
2017-09-18,12:10:00,124,124,124,124,200,0
2017-09-18,12:15:00,123.95,123.95,123.95,123.95,54,0
2017-09-18,13:00:00,124.9,124.9,124.9,124.9,190,0
2017-09-18,13:35:00,125,125,124.1,124.85,93,0
2017-09-18,13:40:00,124.85,124.85,124.85,124.85,5,0
2017-09-18,13:50:00,125,125,125,125,30,0
2017-09-18,14:30:00,124.7,124.75,124.7,124.75,35,0
2017-09-18,15:45:00,124.75,124.75,124.75,124.75,10,0
2017-09-18,16:20:00,124.75,124.75,123.75,123.75,17,0
2017-09-18,16:50:00,123.75,123.75,123.75,123.75,3,0
2017-09-18,17:10:00,124.75,124.75,124.75,124.75,80,0
2017-09-18,17:15:00,124,124,124,124,2,0
2017-09-18,17:30:00,124.05,124.05,124.05,124.05,34,0
2017-09-19,09:20:00,124.1,124.1,124.1,124.1,15,0
2017-09-19,09:35:00,124.1,124.1,124.1,124.1,25,0
2017-09-19,09:40:00,124.5,124.5,124.5,124.5,5,0
2017-09-19,09:45:00,124.25,124.25,124.25,124.25,13,0
2017-09-19,09:55:00,124.1,124.1,124.05,124.05,117,0
2017-09-19,10:05:00,124.5,124.5,124.5,124.5,14,0
2017-09-19,10:45:00,124,124,124,124,44,0
2017-09-19,11:10:00,124.15,124.15,124.15,124.15,22,0
2017-09-19,11:20:00,124.25,124.25,124.25,124.25,24,0
2017-09-19,11:50:00,124.25,124.25,124.25,124.25,50,0
2017-09-19,12:05:00,124.25,124.25,124.25,124.25,30,0
2017-09-19,12:35:00,124.25,124.25,124.25,124.25,24,0
2017-09-19,13:00:00,124.25,124.25,124.25,124.25,40,0
2017-09-19,13:15:00,124.25,124.25,124.25,124.25,70,0
2017-09-19,13:25:00,124.25,124.25,124.25,124.25,28,0
2017-09-19,14:05:00,124.25,124.25,124.25,124.25,21,0
2017-09-19,14:35:00,124.25,124.25,124.25,124.25,5,0
2017-09-19,15:25:00,124.25,124.25,124.25,124.25,22,0
2017-09-19,15:30:00,124.25,124.25,124.25,124.25,230,0
2017-09-19,15:35:00,124.5,124.5,124.5,124.5,53,0
2017-09-19,15:40:00,124.3,124.3,124.3,124.3,44,0
2017-09-19,16:05:00,124.5,124.5,124.5,124.5,500,0
2017-09-19,16:25:00,124.5,124.5,124.5,124.5,43,0
2017-09-19,16:30:00,124.25,124.25,124.05,124.05,76,0
2017-09-19,17:05:00,124.5,124.5,124.5,124.5,39,0
2017-09-19,17:30:00,123.65,124.5,123.65,124.5,84,0
2017-09-20,09:25:00,124.5,124.5,121.55,121.55,350,0
2017-09-20,09:30:00,125,125.05,125,125,793,0
2017-09-20,09:40:00,125.7,126.8,125.7,126.8,50,0
2017-09-20,09:45:00,126.35,126.35,126.2,126.2,67,0
2017-09-20,09:55:00,126,126,125,125,451,0
2017-09-20,10:00:00,125.6,125.6,121.2,124.55,1158,0
2017-09-20,10:05:00,125.6,125.6,125.6,125.6,5,0
2017-09-20,10:45:00,125.2,125.2,125.2,125.2,39,0
2017-09-20,11:00:00,125.1,125.1,124.6,124.6,100,0
2017-09-20,11:05:00,125.2,125.2,125.2,125.2,21,0
2017-09-20,11:15:00,125.75,125.75,125.75,125.75,20,0
2017-09-20,11:50:00,125.15,125.15,124.6,124.6,129,0
2017-09-20,11:55:00,124.6,124.6,124.6,124.6,1,0
2017-09-20,12:00:00,125.5,125.5,125.5,125.5,16,0
2017-09-20,12:35:00,125.85,125.85,125.85,125.85,40,0
2017-09-20,12:55:00,125.9,125.9,125.8,125.8,35,0
2017-09-20,13:05:00,126,126,126,126,14,0
2017-09-20,13:15:00,125.8,125.8,125.8,125.8,6,0
2017-09-20,13:30:00,125.65,125.65,125.65,125.65,6,0
2017-09-20,14:40:00,126,126,126,126,90,0
2017-09-20,15:20:00,125.55,125.55,125.55,125.55,91,0
2017-09-20,15:25:00,126,126,126,126,20,0
2017-09-20,15:45:00,125.45,125.45,125.45,125.45,100,0
2017-09-20,15:50:00,126,126,126,126,36,0
2017-09-20,16:30:00,126,126,125.45,125.45,12,0
2017-09-20,16:40:00,125.75,125.75,125.75,125.75,13,0
2017-09-20,16:55:00,125.95,126,125.95,126,998,0
2017-09-20,17:10:00,125.95,125.95,125.9,125.9,46,0
2017-09-20,17:20:00,126,126,126,126,30,0
2017-09-20,17:25:00,125.85,125.85,125.85,125.85,29,0
2017-09-20,17:30:00,126,126,125.85,125.85,58,0
2017-09-21,09:05:00,126.75,126.75,126.75,126.75,1,0
2017-09-21,09:15:00,126.95,127.45,126.95,127.05,56,0
2017-09-21,09:20:00,127.45,127.55,127.4,127.5,186,0
2017-09-21,09:40:00,127.75,128.5,127.5,127.5,138,0
2017-09-21,09:45:00,128.5,130,128.5,130,77,0
2017-09-21,09:50:00,129.65,129.65,128.95,129,50,0
2017-09-21,09:55:00,131.7,131.7,131.65,131.65,10,0
2017-09-21,10:00:00,131.65,131.7,131.65,131.7,211,0
2017-09-21,10:05:00,132,132,131.55,131.55,174,0
2017-09-21,10:25:00,131.2,131.2,131.2,131.2,6,0
2017-09-21,10:50:00,131.05,131.05,131.05,131.05,15,0
2017-09-21,10:55:00,131,131,131,131,15,0
2017-09-21,11:00:00,129.9,129.9,129.9,129.9,162,0
2017-09-21,12:00:00,130.15,130.15,130.15,130.15,132,0
2017-09-21,12:15:00,129.6,129.6,129.6,129.6,7,0
2017-09-21,12:25:00,129.6,129.6,129.6,129.6,100,0
2017-09-21,12:40:00,130.5,130.5,129.8,129.8,51,0
2017-09-21,13:20:00,130.95,130.95,130.95,130.95,15,0
2017-09-21,13:35:00,130,130.2,130,130.2,15,0
2017-09-21,13:45:00,130.75,130.75,130.75,130.75,17,0
2017-09-21,14:05:00,130.8,130.8,130.8,130.8,20,0
2017-09-21,14:30:00,130.8,130.8,130.8,130.8,10,0
2017-09-21,14:35:00,130.8,130.8,130.8,130.8,220,0
2017-09-21,14:45:00,130.75,130.75,130.75,130.75,158,0
2017-09-21,15:30:00,131.75,131.9,131.75,131.9,625,0
2017-09-21,16:00:00,131.85,131.85,131.85,131.85,26,0
2017-09-21,16:35:00,130.95,130.95,130.95,130.95,10,0
2017-09-21,16:50:00,130.95,130.95,130.95,130.95,44,0
2017-09-21,17:00:00,131.4,131.4,131.4,131.4,30,0
2017-09-21,17:15:00,130.7,130.7,130.7,130.7,12,0
2017-09-21,17:30:00,130.85,130.85,130.35,130.35,13,0
2017-09-22,09:05:00,131.4,131.4,131.4,131.4,41,0
2017-09-22,09:25:00,131.4,131.4,131.4,131.4,52,0
2017-09-22,09:30:00,131.4,131.4,131.4,131.4,24,0
2017-09-22,09:40:00,131.4,131.75,131.4,131.75,18,0
2017-09-22,09:45:00,131.55,131.55,131.55,131.55,23,0
2017-09-22,10:05:00,131.55,131.7,131.55,131.7,50,0
2017-09-22,10:20:00,131.75,131.75,131.75,131.75,10,0
2017-09-22,10:30:00,131.6,131.6,131.6,131.6,9,0
2017-09-22,10:35:00,131.75,131.75,131.75,131.75,10,0
2017-09-22,10:45:00,131.75,131.75,131.75,131.75,30,0
2017-09-22,10:55:00,131.75,131.75,131.75,131.75,44,0
2017-09-22,11:10:00,131.75,131.75,131.75,131.75,9,0
2017-09-22,11:20:00,131.6,131.6,131.6,131.6,7,0
2017-09-22,11:25:00,131.75,131.75,131.75,131.75,37,0
2017-09-22,11:40:00,131.6,131.6,131.6,131.6,38,0
2017-09-22,11:55:00,131.5,131.5,131.5,131.5,76,0
2017-09-22,12:05:00,131.5,131.75,131.5,131.55,326,0
2017-09-22,12:10:00,131.75,131.75,131.75,131.75,38,0
2017-09-22,12:20:00,131.75,131.75,131.75,131.75,36,0
2017-09-22,12:30:00,131.55,131.55,131.1,131.1,59,0
2017-09-22,12:45:00,131.4,131.4,131.4,131.4,1,0
