Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-05-27,13:25:00,3.1,3.1,3.1,3.1,50,0
2016-06-03,11:30:00,3.245,3.245,3.245,3.245,500,0
2016-06-07,09:05:00,3.03,3.03,3.03,3.03,1500,0
2016-06-08,10:20:00,3.13,3.13,3.13,3.13,500,0
2016-06-08,11:40:00,3.14,3.14,3.14,3.14,500,0
2016-06-09,09:50:00,3.011,3.011,3.011,3.011,7,0
2016-06-17,10:50:00,3.21,3.21,3.21,3.21,3036,0
2016-06-17,11:00:00,3.25,3.25,3.25,3.25,1000,0
2016-06-20,11:10:00,3.41,3.41,3.41,3.41,500,0
2016-06-23,08:40:00,3.49,3.49,3.49,3.49,200,0
2016-06-27,09:15:00,3.5,3.5,3.5,3.5,370,0
2016-06-27,09:20:00,3.5,3.5,3.5,3.5,380,0
2016-06-29,15:15:00,3.71,3.71,3.71,3.71,500,0
2016-06-29,15:25:00,3.554,3.554,3.554,3.554,100,0
2016-06-30,12:40:00,3.846,3.846,3.846,3.846,200,0
2016-07-01,14:30:00,3.601,3.601,3.601,3.601,200,0
2016-07-05,14:05:00,3.74,3.74,3.74,3.74,50,0
2016-07-07,10:20:00,3.8,3.8,3.8,3.8,500,0
2016-07-07,10:55:00,3.849,3.849,3.849,3.849,100,0
2016-07-07,11:45:00,3.505,3.505,3.505,3.505,350,0
2016-07-07,12:05:00,3.849,3.849,3.849,3.849,180,0
2016-07-07,15:00:00,3.553,3.553,3.553,3.553,35,0
2016-07-07,15:35:00,3.75,3.75,3.75,3.75,800,0
2016-07-08,09:25:00,3.75,3.75,3.75,3.75,500,0
2016-07-08,10:25:00,3.85,3.85,3.85,3.85,300,0
2016-07-11,08:05:00,3.849,3.849,3.849,3.849,8,0
2016-07-11,15:45:00,3.569,3.569,3.569,3.569,100,0
2016-07-12,13:55:00,3.85,3.85,3.85,3.85,900,0
2016-07-12,15:55:00,3.85,3.85,3.85,3.85,1156,0
2016-07-12,16:20:00,3.835,3.835,3.835,3.835,500,0
2016-07-13,17:40:00,3.996,3.996,3.996,3.996,100,0
2016-07-13,17:55:00,3.63,3.63,3.63,3.63,57,0
2016-07-20,11:35:00,4.01,4.01,4.01,4.01,450,0
2016-07-20,16:50:00,4.148,4.148,4.148,4.148,500,0
2016-07-20,17:45:00,4,4,4,4,700,0
2016-07-21,10:25:00,4.149,4.149,4.149,4.149,200,0
2016-07-22,16:20:00,3.95,3.95,3.95,3.95,300,0
2016-07-27,08:45:00,4.044,4.044,4.044,4.044,300,0
2016-07-27,09:30:00,4,4,4,4,656,0
2016-07-27,13:35:00,3.746,3.746,3.701,3.701,600,0
2016-07-29,11:10:00,3.701,3.701,3.7,3.7,3570,0
2016-08-01,12:05:00,3.7,3.7,3.7,3.7,500,0
2016-08-04,15:50:00,3.6,3.6,3.6,3.6,500,0
2016-08-05,12:00:00,3.749,3.749,3.749,3.749,140,0
2016-08-08,13:00:00,3.75,3.75,3.75,3.75,2500,0
2016-08-08,17:00:00,3.75,3.75,3.75,3.75,952,0
2016-08-11,13:05:00,3.995,3.995,3.995,3.995,200,0
2016-08-15,09:05:00,3.83,3.83,3.83,3.83,644,0
2016-08-15,09:35:00,3.9,3.9,3.9,3.9,400,0
2016-08-17,11:55:00,3.81,3.81,3.81,3.81,600,0
2016-08-18,13:15:00,3.72,3.72,3.72,3.72,410,0
2016-08-18,13:35:00,3.9,3.9,3.9,3.9,1990,0
2016-08-18,16:15:00,3.801,3.801,3.801,3.801,500,0
2016-08-18,17:05:00,3.994,3.994,3.994,3.994,500,0
2016-08-18,17:10:00,3.81,3.81,3.81,3.81,56,0
2016-08-22,10:10:00,3.801,3.801,3.801,3.801,50,0
2016-08-22,14:20:00,4.07,4.15,4.07,4.15,2559,0
2016-08-22,14:35:00,4.31,4.31,4.31,4.31,225,0
2016-08-22,16:15:00,4.061,4.061,4.061,4.061,231,0
2016-08-22,17:10:00,4.06,4.06,4.06,4.06,2000,0
2016-08-25,10:05:00,4.437,4.437,4.437,4.437,1000,0
2016-08-25,14:55:00,4.111,4.111,4.111,4.111,45,0
2016-08-29,17:15:00,4.111,4.111,4.111,4.111,30,0
2016-08-30,08:35:00,4.25,4.25,4.25,4.25,505,0
2016-08-30,10:00:00,4.151,4.151,4.151,4.151,300,0
2016-08-31,08:05:00,4.161,4.161,4.161,4.161,250,0
