Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-10-13,09:05:00,79.18,79.26,79.18,79.26,220,0
2017-10-13,09:10:00,79.26,79.27,79.16,79.16,220,0
2017-10-13,09:15:00,79.07,79.07,78.83,78.83,117,0
2017-10-13,09:25:00,78.77,78.77,78.77,78.77,13,0
2017-10-13,09:45:00,78.63,78.63,78.63,78.63,20,0
2017-10-13,10:15:00,78.65,78.65,78.65,78.65,70,0
2017-10-13,10:40:00,78.74,78.74,78.74,78.74,2,0
2017-10-13,10:55:00,78.74,78.74,78.74,78.74,10,0
2017-10-13,11:35:00,78.74,78.74,78.73,78.73,33,0
2017-10-13,11:40:00,78.74,78.74,78.74,78.74,37,0
2017-10-13,11:55:00,78.74,78.74,78.74,78.74,50,0
2017-10-13,12:20:00,78.65,78.65,78.24,78.41,1597,0
2017-10-13,12:30:00,78.28,78.28,78.22,78.22,175,0
2017-10-13,12:35:00,78.11,78.59,78,78.58,1031,0
2017-10-13,12:40:00,78.53,78.53,78.53,78.53,75,0
2017-10-13,12:45:00,78.41,78.41,78.41,78.41,55,0
2017-10-13,12:50:00,78.41,78.41,78.41,78.41,17,0
2017-10-13,12:55:00,78.5,78.5,78.41,78.41,62,0
2017-10-13,13:00:00,78.47,78.47,78.45,78.45,25,0
2017-10-13,13:10:00,78.43,78.43,78.43,78.43,6,0
2017-10-13,13:20:00,78.36,78.52,78.36,78.52,169,0
2017-10-13,13:25:00,78.5,78.5,78.5,78.5,66,0
2017-10-13,13:35:00,78.51,78.51,78.51,78.51,73,0
2017-10-13,13:40:00,78.51,78.51,78.51,78.51,67,0
2017-10-13,13:45:00,78.59,78.59,78.59,78.59,37,0
2017-10-13,13:55:00,78.55,78.55,78.55,78.55,40,0
2017-10-13,14:20:00,78.57,78.57,78.55,78.55,30,0
2017-10-13,14:25:00,78.56,78.56,78.56,78.56,28,0
2017-10-13,14:35:00,78.56,78.56,78.56,78.56,36,0
2017-10-13,14:40:00,78.55,78.55,78.55,78.55,107,0
2017-10-13,14:50:00,78.46,78.46,78.46,78.46,104,0
2017-10-13,15:15:00,78.25,78.26,78.25,78.26,85,0
2017-10-13,15:20:00,78.26,78.26,78.05,78.05,414,0
2017-10-13,15:30:00,78.02,78.33,78.02,78.33,565,0
2017-10-13,15:45:00,78.21,78.4,78.21,78.4,245,0
2017-10-13,16:10:00,78.38,78.43,78.37,78.37,348,0
2017-10-13,16:20:00,78.36,78.36,78.27,78.27,202,0
2017-10-13,16:25:00,78.27,78.38,78.27,78.38,188,0
2017-10-13,16:40:00,78.41,78.69,78.41,78.69,382,0
2017-10-13,17:00:00,78.68,78.68,78.68,78.68,21,0
2017-10-13,17:05:00,78.62,78.76,78.62,78.76,67,0
2017-10-13,17:10:00,78.77,78.77,78.77,78.77,47,0
2017-10-13,17:15:00,78.67,78.79,78.67,78.79,228,0
2017-10-13,17:20:00,78.78,78.78,78.66,78.66,57,0
2017-10-13,17:25:00,78.66,78.66,78.54,78.54,229,0
2017-10-13,17:30:00,78.53,78.79,78.41,78.41,823,0
2017-10-16,09:05:00,78.94,78.94,78.52,78.52,110,0
2017-10-16,09:30:00,78.5,78.5,78.42,78.42,120,0
2017-10-16,10:15:00,78.53,78.53,78.5,78.5,90,0
2017-10-16,10:25:00,78.48,78.48,78.48,78.48,130,0
2017-10-16,10:35:00,78.58,78.58,78.58,78.58,1,0
2017-10-16,10:40:00,78.58,78.58,78.53,78.53,65,0
2017-10-16,11:00:00,78.57,78.58,78.57,78.58,80,0
2017-10-16,11:10:00,78.41,78.41,78.41,78.41,36,0
2017-10-16,11:35:00,78.41,78.41,78.41,78.41,40,0
2017-10-16,11:50:00,78.31,78.31,78.31,78.31,3,0
2017-10-16,12:10:00,78.31,78.31,78.24,78.24,50,0
2017-10-16,12:15:00,78.22,78.22,78.12,78.12,33,0
2017-10-16,12:35:00,78.08,78.08,78.08,78.08,4,0
2017-10-16,12:40:00,78.23,78.23,78.08,78.08,14,0
2017-10-16,12:45:00,78.08,78.08,78.08,78.08,7,0
2017-10-16,12:55:00,78.24,78.24,78.24,78.24,4,0
2017-10-16,13:05:00,78.24,78.24,78.23,78.23,22,0
2017-10-16,13:10:00,78.04,78.32,78.04,78.32,315,0
2017-10-16,13:15:00,78.3,78.3,78.3,78.3,11,0
2017-10-16,13:25:00,78.3,78.48,78.3,78.48,135,0
