Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-07-07,11:55:00,2.09,2.09,1.99,1.99,2010,0
2015-07-07,15:00:00,2.049,2.049,2.049,2.049,10,0
2015-07-07,17:05:00,1.951,1.951,1.951,1.951,20,0
2015-07-07,17:30:00,1.951,1.951,1.95,1.95,8782,0
2015-07-08,11:10:00,2.07,2.07,2.07,2.07,10,0
2015-07-08,12:10:00,2.075,2.075,2.075,2.075,10,0
2015-07-08,12:20:00,1.95,1.95,1.95,1.95,10,0
2015-07-08,14:50:00,1.951,1.951,1.951,1.951,14,0
2015-07-08,17:15:00,2.05,2.05,2.05,2.05,64,0
2015-07-13,15:30:00,2,2.039,2,2.039,4770,0
2015-07-16,09:05:00,1.949,1.949,1.949,1.949,5000,0
2015-07-16,11:50:00,1.949,1.949,1.949,1.949,2000,0
2015-07-16,12:55:00,1.87,1.87,1.87,1.87,100,0
2015-07-16,17:30:00,1.85,1.85,1.85,1.85,7108,0
2015-07-20,09:05:00,1.948,1.948,1.948,1.948,4000,0
2015-07-20,10:55:00,1.901,1.901,1.85,1.85,10000,0
2015-07-20,13:00:00,1.919,1.919,1.919,1.919,14200,0
2015-07-21,14:50:00,1.92,1.92,1.92,1.92,1500,0
2015-07-28,14:30:00,1.87,1.87,1.87,1.87,1000,0
2015-07-28,17:30:00,1.85,1.85,1.85,1.85,4334,0
2015-07-29,09:05:00,1.91,1.91,1.91,1.91,1000,0
2015-07-29,13:25:00,1.91,1.91,1.91,1.91,1998,0
2015-07-30,13:35:00,1.85,1.85,1.85,1.85,2733,0
2015-07-30,17:15:00,1.89,1.89,1.89,1.89,1000,0
2015-07-30,17:20:00,1.889,1.889,1.889,1.889,90,0
2015-07-30,17:25:00,1.791,1.86,1.791,1.86,2110,0
2015-07-30,17:30:00,1.93,1.93,1.93,1.93,5973,0
2015-07-31,13:15:00,1.91,1.91,1.91,1.91,10,0
2015-07-31,14:40:00,1.906,1.906,1.906,1.906,30,0
2015-08-03,14:45:00,1.831,1.831,1.83,1.83,1000,0
2015-08-03,17:30:00,1.83,1.83,1.83,1.83,2606,0
2015-08-04,09:05:00,1.83,1.83,1.83,1.83,200,0
2015-08-05,16:05:00,1.86,1.86,1.86,1.86,20,0
2015-08-06,16:15:00,1.86,1.86,1.86,1.86,1980,0
2015-08-07,09:05:00,1.8,1.8,1.8,1.8,900,0
2015-08-07,11:15:00,1.8,1.8,1.8,1.8,219,0
2015-08-07,11:20:00,1.9,1.9,1.9,1.9,10,0
2015-08-07,14:35:00,1.85,1.85,1.8,1.8,2643,0
2015-08-10,10:10:00,1.9,1.9,1.9,1.9,40,0
2015-08-10,10:45:00,1.928,1.928,1.928,1.928,200,0
2015-08-10,17:30:00,1.939,1.939,1.939,1.939,460,0
2015-08-12,09:05:00,2.01,2.01,2.01,2.01,10,0
2015-08-12,09:15:00,2,2,2,2,500,0
2015-08-12,11:45:00,1.9,1.9,1.9,1.9,2000,0
2015-08-12,12:55:00,1.81,1.9,1.81,1.9,1010,0
2015-08-12,13:55:00,1.81,1.81,1.81,1.81,7520,0
2015-08-13,10:20:00,1.771,1.771,1.771,1.771,500,0
2015-08-13,17:30:00,1.8,1.8,1.8,1.8,1500,0
2015-08-17,12:45:00,1.801,1.801,1.8,1.8,2000,0
2015-08-17,13:25:00,1.8,1.8,1.8,1.8,1000,0
2015-08-17,17:30:00,1.779,1.779,1.779,1.779,3568,0
2015-08-18,15:40:00,1.791,1.791,1.79,1.79,1301,0
2015-08-18,17:30:00,1.77,1.77,1.77,1.77,2903,0
2015-08-21,12:55:00,1.711,1.711,1.71,1.71,1750,0
2015-08-21,17:30:00,1.71,1.71,1.71,1.71,4042,0
2015-08-24,09:05:00,1.71,1.71,1.71,1.71,250,0
2015-08-24,14:40:00,1.302,1.302,1.302,1.302,100,0
2015-08-24,14:55:00,1.71,1.71,1.71,1.71,650,0
2015-08-25,09:20:00,1.64,1.64,1.64,1.64,4000,0
2015-08-27,10:05:00,1.65,1.65,1.65,1.65,318,0
2015-08-31,10:25:00,1.61,1.61,1.61,1.61,2000,0
2015-08-31,15:30:00,1.62,1.62,1.62,1.62,3000,0
2015-09-01,10:20:00,1.58,1.58,1.58,1.58,488,0
2015-09-08,16:05:00,1.501,1.501,1.501,1.501,12,0
2015-09-09,10:30:00,1.551,1.551,1.55,1.55,1600,0
2015-09-09,17:30:00,1.551,1.551,1.551,1.551,4248,0
2015-09-18,09:05:00,1.6,1.6,1.6,1.6,2453,0
2015-09-18,09:15:00,1.552,1.552,1.552,1.552,50,0
2015-09-18,10:45:00,1.6,1.6,1.6,1.6,600,0
2015-09-18,13:00:00,1.6,1.6,1.6,1.6,1947,0
2015-09-18,17:30:00,1.625,1.625,1.625,1.625,8756,0
2015-09-21,11:25:00,1.601,1.601,1.601,1.601,40,0
2015-09-21,14:55:00,1.601,1.601,1.601,1.601,20,0
2015-09-21,17:30:00,1.6,1.6,1.6,1.6,280,0
2015-09-24,13:05:00,1.562,1.562,1.561,1.561,1400,0
2015-09-24,16:40:00,1.61,1.61,1.61,1.61,604,0
2015-09-24,17:30:00,1.61,1.61,1.61,1.61,3796,0
2015-09-29,12:40:00,1.635,1.635,1.635,1.635,360,0
2015-09-29,12:45:00,1.649,1.649,1.649,1.649,200,0
2015-09-29,16:40:00,1.552,1.552,1.552,1.552,960,0
2015-10-01,14:40:00,1.552,1.552,1.552,1.552,400,0
2015-10-02,09:10:00,1.553,1.553,1.553,1.553,600,0
2015-10-02,14:50:00,1.553,1.553,1.553,1.553,1646,0
2015-10-05,15:45:00,1.648,1.648,1.648,1.648,380,0
2015-10-06,11:45:00,1.552,1.552,1.552,1.552,600,0
2015-10-08,12:25:00,1.552,1.552,1.55,1.55,4000,0
2015-10-08,17:30:00,1.55,1.55,1.55,1.55,7086,0
2015-10-09,09:05:00,1.599,1.6,1.599,1.6,306,0
2015-10-09,09:55:00,1.64,1.64,1.64,1.64,850,0
2015-10-09,11:30:00,1.62,1.62,1.62,1.62,1356,0
2015-10-12,10:40:00,1.646,1.646,1.646,1.646,10,0
2015-10-12,13:25:00,1.61,1.61,1.61,1.61,2010,0
2015-10-13,09:55:00,1.57,1.57,1.57,1.57,100,0
2015-10-13,13:05:00,1.61,1.61,1.61,1.61,680,0
2015-10-14,10:50:00,1.54,1.54,1.54,1.54,100,0
2015-10-22,11:05:00,1.64,1.64,1.576,1.576,750,0
2015-10-22,17:30:00,1.576,1.576,1.576,1.576,770,0
2015-10-23,09:05:00,1.66,1.66,1.66,1.66,1500,0
2015-10-23,09:25:00,1.601,1.601,1.6,1.6,1838,0
2015-10-23,09:30:00,1.67,1.67,1.67,1.67,280,0
2015-10-23,09:40:00,1.65,1.65,1.65,1.65,10,0
2015-10-23,11:30:00,1.571,1.571,1.57,1.57,700,0
2015-10-23,17:30:00,1.57,1.57,1.57,1.57,4904,0
2015-10-26,15:40:00,1.64,1.64,1.64,1.64,522,0
2015-10-27,10:50:00,1.639,1.639,1.639,1.639,10,0
2015-10-27,14:45:00,1.6,1.64,1.6,1.64,800,0
2015-10-28,11:20:00,1.571,1.571,1.57,1.57,4000,0
2015-10-28,17:30:00,1.57,1.57,1.57,1.57,1569,0
2015-10-29,16:40:00,1.64,1.64,1.64,1.64,100,0
2015-11-02,09:05:00,1.63,1.63,1.63,1.63,270,0
2015-11-02,17:20:00,1.599,1.599,1.599,1.599,250,0
2015-11-03,11:00:00,1.639,1.639,1.639,1.639,3000,0
2015-11-03,12:45:00,1.66,1.66,1.66,1.66,2000,0
2015-11-03,12:50:00,1.67,1.67,1.67,1.67,607,0
2015-11-03,13:30:00,1.67,1.67,1.67,1.67,3000,0
2015-11-03,14:55:00,1.66,1.66,1.601,1.601,1063,0
2015-11-03,17:30:00,1.688,1.688,1.678,1.678,20,0
2015-11-04,12:25:00,1.537,1.537,1.537,1.537,20,0
2015-11-04,17:30:00,1.56,1.56,1.56,1.56,53,0
2015-11-06,09:25:00,1.6,1.6,1.56,1.56,1547,0
2015-11-06,14:05:00,1.65,1.65,1.65,1.65,481,0
2015-11-10,09:05:00,1.536,1.536,1.536,1.536,600,0
2015-11-10,17:30:00,1.536,1.536,1.536,1.536,696,0
2015-11-11,11:00:00,1.537,1.537,1.537,1.537,350,0
2015-11-11,16:45:00,1.6,1.6,1.6,1.6,1000,0
2015-11-12,12:55:00,1.541,1.541,1.541,1.541,300,0
2015-11-13,09:05:00,1.536,1.536,1.536,1.536,200,0
2015-11-13,11:00:00,1.589,1.59,1.589,1.59,2300,0
2015-11-13,15:00:00,1.65,1.65,1.65,1.65,2000,0
2015-11-18,13:15:00,1.647,1.647,1.647,1.647,1280,0
2015-11-18,15:15:00,1.551,1.551,1.551,1.551,30,0
2015-11-20,15:35:00,1.599,1.6,1.599,1.6,690,0
2015-11-23,09:05:00,1.535,1.535,1.535,1.535,100,0
2015-11-23,17:30:00,1.535,1.535,1.535,1.535,1153,0
2015-11-24,09:50:00,1.536,1.536,1.536,1.536,300,0
2015-11-24,17:30:00,1.535,1.535,1.535,1.535,300,0
2015-11-25,11:50:00,1.541,1.541,1.541,1.541,21,0
2015-11-25,12:35:00,1.541,1.541,1.541,1.541,1500,0
2015-11-26,16:15:00,1.541,1.541,1.54,1.54,1500,0
2015-11-30,09:05:00,1.54,1.54,1.54,1.54,180,0
2015-11-30,09:45:00,1.535,1.535,1.535,1.535,1447,0
2015-11-30,17:10:00,1.511,1.511,1.511,1.511,240,0
2015-12-01,09:20:00,1.49,1.49,1.49,1.49,60,0
2015-12-01,14:20:00,1.539,1.539,1.539,1.539,300,0
