Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-04-08,10:35:00,2.412,2.412,2.412,2.412,500,0
2015-04-08,10:40:00,2.412,2.412,2.412,2.412,500,0
2015-04-09,11:00:00,2.413,2.467,2.413,2.467,10000,0
2015-04-10,15:20:00,2.416,2.416,2.416,2.416,1065,0
2015-04-10,15:25:00,2.413,2.413,2.413,2.413,3065,0
2015-04-13,11:10:00,2.366,2.366,2.366,2.366,1000,0
2015-04-13,11:55:00,2.37,2.37,2.308,2.308,11000,0
2015-04-14,09:05:00,2.366,2.366,2.366,2.366,1000,0
2015-04-14,09:10:00,2.366,2.366,2.366,2.366,1000,0
2015-04-17,14:35:00,2.366,2.366,2.366,2.366,50,0
2015-04-17,15:20:00,2.384,2.384,2.384,2.384,450,0
2015-04-20,10:30:00,2.366,2.366,2.366,2.366,480,0
2015-04-24,15:15:00,2.366,2.366,2.366,2.366,660,0
2015-04-27,11:05:00,2.366,2.366,2.366,2.366,1000,0
2015-04-27,13:40:00,2.365,2.365,2.365,2.365,2500,0
2015-04-27,17:30:00,2.32,2.32,2.32,2.32,6500,0
2015-04-30,09:05:00,2.325,2.325,2.315,2.315,5100,0
2015-04-30,09:10:00,2.309,2.309,2.309,2.309,1200,0
2015-04-30,09:25:00,2.307,2.307,2.307,2.307,1169,0
2015-04-30,11:00:00,2.307,2.307,2.307,2.307,1169,0
2015-04-30,13:00:00,2.263,2.263,2.263,2.263,1900,0
2015-04-30,13:15:00,2.26,2.26,2.253,2.253,16538,0
2015-05-04,11:40:00,2.304,2.304,2.304,2.304,2330,0
2015-05-05,16:00:00,2.281,2.281,2.281,2.281,2314,0
2015-05-06,09:55:00,2.281,2.281,2.281,2.281,1156,0
2015-05-06,15:45:00,2.281,2.281,2.281,2.281,513,0
2015-05-06,15:55:00,2.278,2.278,2.27,2.27,2600,0
2015-05-06,16:35:00,2.218,2.218,2,2,12400,0
2015-05-06,16:50:00,2.03,2.03,2.03,2.03,3000,0
2015-05-06,16:55:00,2.042,2.042,2.042,2.042,1306,0
2015-05-06,17:15:00,2.088,2.088,2.088,2.088,1306,0
2015-05-06,17:30:00,2.05,2.148,2.05,2.148,27081,0
2015-05-07,15:40:00,2.161,2.161,2.161,2.161,1246,0
2015-05-07,17:30:00,2.263,2.263,2.263,2.263,1248,0
2015-05-08,09:20:00,2.211,2.211,2.211,2.211,1179,0
2015-05-08,09:40:00,2.163,2.163,2.163,2.163,1204,0
2015-05-08,10:00:00,2.163,2.163,2.163,2.163,566,0
2015-05-08,10:20:00,2.16,2.16,2.16,2.16,1000,0
2015-05-08,13:45:00,2.165,2.165,2.165,2.165,4949,0
2015-05-11,11:40:00,2.16,2.16,2.16,2.16,1000,0
2015-05-14,13:10:00,2.166,2.166,2.16,2.16,4830,0
2015-05-15,11:15:00,2.18,2.18,2.18,2.18,2000,0
2015-05-18,09:40:00,2.13,2.13,2.13,2.13,484,0
2015-05-22,12:05:00,2.168,2.168,2.168,2.168,2488,0
2015-05-26,09:05:00,2.3,2.3,2.3,2.3,2000,0
2015-05-27,08:10:00,2.3,2.3,2.3,2.3,1000,0
2015-05-29,09:05:00,2.329,2.329,2.329,2.329,20,0
2015-06-01,09:45:00,2.273,2.273,2.273,2.273,100,0
2015-06-02,09:25:00,2.218,2.218,2.218,2.218,550,0
2015-06-02,14:10:00,2.268,2.268,2.268,2.268,2938,0
2015-06-03,14:25:00,2.264,2.264,2.264,2.264,2382,0
2015-06-05,12:25:00,2.262,2.262,2.262,2.262,1000,0
2015-06-05,15:05:00,2.312,2.312,2.312,2.312,500,0
2015-06-05,16:05:00,2.266,2.266,2.266,2.266,2566,0
2015-06-08,12:30:00,2.264,2.264,2.264,2.264,2356,0
2015-06-09,09:30:00,2.25,2.25,2.25,2.25,2000,0
2015-06-11,10:20:00,2.232,2.232,2.232,2.232,32,0
2015-06-15,09:30:00,2.251,2.251,2.251,2.251,2000,0
2015-06-18,09:05:00,2.258,2.258,2.25,2.25,3000,0
2015-06-18,09:15:00,2.19,2.19,2.19,2.19,120,0
2015-06-18,10:10:00,2.187,2.187,2.187,2.187,1200,0
2015-06-18,11:45:00,2.141,2.141,2.141,2.141,8320,0
2015-06-19,12:05:00,2.139,2.139,2.139,2.139,755,0
2015-06-19,12:20:00,2.19,2.19,2.19,2.19,1000,0
2015-06-19,13:05:00,2.137,2.188,2.137,2.188,2400,0
2015-06-19,16:40:00,2.138,2.138,2.138,2.138,1262,0
2015-06-19,17:00:00,2.133,2.133,2.13,2.13,10685,0
2015-06-22,09:55:00,2.182,2.182,2.182,2.182,150,0
2015-06-22,10:20:00,2.132,2.132,2.132,2.132,1400,0
2015-06-22,10:25:00,2.127,2.127,2.127,2.127,500,0
2015-06-22,12:35:00,2.127,2.127,2.127,2.127,800,0
2015-06-22,15:25:00,2.096,2.096,2.096,2.096,1800,0
2015-06-22,15:30:00,2.096,2.096,2.096,2.096,1259,0
2015-06-22,17:30:00,2.094,2.094,2.054,2.054,9791,0
2015-06-23,10:05:00,2.103,2.103,2.103,2.103,1500,0
2015-06-23,10:25:00,2.151,2.151,2.151,2.151,1269,0
2015-06-23,10:35:00,2.102,2.102,2.102,2.102,1400,0
2015-06-23,11:20:00,2.097,2.097,2.09,2.09,3300,0
2015-06-23,15:55:00,2.137,2.137,2.137,2.137,900,0
2015-06-23,16:30:00,2.088,2.088,2.088,2.088,11969,0
2015-06-24,09:30:00,2.051,2.051,2.05,2.05,4800,0
2015-06-24,10:10:00,2.047,2.047,2.047,2.047,1500,0
2015-06-24,10:55:00,2.033,2.033,2.03,2.03,11930,0
2015-06-25,09:25:00,2.076,2.1,2.076,2.1,2806,0
2015-06-25,10:15:00,2.073,2.073,2.073,2.073,1900,0
2015-06-25,10:25:00,2.07,2.07,2.03,2.03,3000,0
2015-06-25,11:10:00,2.03,2.03,2.03,2.03,3000,0
2015-06-25,11:25:00,2.027,2.03,2.027,2.03,3621,0
2015-06-25,12:05:00,2.07,2.07,2.07,2.07,1500,0
2015-06-25,16:45:00,2.058,2.058,2.058,2.058,600,0
2015-06-25,17:25:00,2.101,2.101,2.101,2.101,18993,0
2015-06-26,09:35:00,2.06,2.06,2.06,2.06,300,0
2015-06-26,10:30:00,2.107,2.107,2.107,2.107,3300,0
2015-06-30,12:45:00,2.11,2.11,2.11,2.11,1578,0
2015-07-01,12:55:00,2.113,2.113,2.113,2.113,2840,0
2015-07-02,12:20:00,2.124,2.124,2.124,2.124,2826,0
2015-07-08,10:40:00,2.134,2.134,2.134,2.134,1237,0
2015-07-08,10:45:00,2.1,2.1,2.1,2.1,8763,0
2015-07-09,12:45:00,2.148,2.148,2.148,2.148,1237,0
2015-07-09,15:35:00,2.2,2.2,2.2,2.2,1337,0
2015-07-15,13:20:00,2.25,2.25,2.25,2.25,1981,0
2015-07-15,13:25:00,2.3,2.3,2.3,2.3,5981,0
2015-07-17,10:00:00,2.197,2.197,2.197,2.197,1187,0
2015-07-17,12:20:00,2.194,2.194,2.194,2.194,1187,0
2015-07-17,12:40:00,2.197,2.197,2.197,2.197,16000,0
