Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-08-02,16:15:00,4.347,4.347,4.347,4.347,75,0
2016-08-03,17:30:00,4.315,4.315,4.315,4.315,149,0
2016-08-04,17:25:00,4.398,4.398,4.398,4.398,55,0
2016-08-05,17:30:00,4.363,4.363,4.363,4.363,145,0
2016-08-12,17:30:00,4.2,4.2,4.2,4.2,903,0
2016-08-15,12:30:00,4.3,4.3,4.3,4.3,1000,0
2016-08-17,13:05:00,4.299,4.33,4.299,4.33,3220,0
2016-08-18,10:45:00,4.45,4.45,4.45,4.45,247,0
2016-08-19,11:55:00,4.45,4.45,4.45,4.45,1000,0
2016-08-19,12:00:00,4.48,4.48,4.48,4.48,500,0
2016-08-19,13:00:00,4.48,4.48,4.48,4.48,500,0
2016-08-23,14:40:00,4.4,4.45,4.4,4.45,1000,0
2016-08-23,15:15:00,4.55,4.55,4.55,4.55,150,0
2016-08-23,17:05:00,4.6,4.6,4.6,4.6,2000,0
2016-08-26,11:25:00,4.699,4.699,4.699,4.699,432,0
2016-08-29,15:05:00,4.75,4.75,4.75,4.75,500,0
2016-08-29,16:20:00,4.8,4.8,4.8,4.8,3,0
2016-08-29,16:30:00,4.78,4.78,4.78,4.78,500,0
2016-08-31,12:10:00,4.75,4.75,4.75,4.75,143,0
2016-08-31,15:25:00,4.75,4.75,4.75,4.75,600,0
2016-09-06,15:50:00,4.77,4.77,4.77,4.77,200,0
2016-09-09,10:30:00,4.8,4.8,4.8,4.8,100,0
2016-09-12,12:05:00,4.601,4.699,4.6,4.699,2110,0
2016-09-12,13:10:00,4.551,4.551,4.46,4.46,2000,0
2016-09-12,17:30:00,4.46,4.46,4.46,4.46,549,0
2016-09-13,17:30:00,4.51,4.51,4.51,4.51,1573,0
2016-09-16,16:10:00,4.6,4.6,4.6,4.6,200,0
2016-09-20,11:00:00,4.401,4.401,4.4,4.4,1395,0
2016-09-22,15:30:00,4.449,4.449,4.449,4.449,113,0
2016-09-23,17:30:00,4.449,4.449,4.449,4.449,106,0
2016-09-26,11:10:00,4.351,4.351,4.351,4.351,273,0
2016-09-26,14:05:00,4.419,4.42,4.419,4.42,773,0
2016-09-26,14:10:00,4.55,4.55,4.55,4.55,2000,0
2016-09-28,12:05:00,4.55,4.55,4.55,4.55,1000,0
2016-09-28,13:25:00,4.6,4.6,4.6,4.6,2000,0
2016-09-29,11:35:00,4.739,4.75,4.739,4.75,5955,0
2016-09-29,17:30:00,4.7,4.7,4.7,4.7,1930,0
2016-09-30,12:25:00,4.601,4.601,4.6,4.6,2000,0
2016-09-30,14:00:00,4.699,4.699,4.699,4.699,47,0
2016-09-30,17:15:00,4.579,4.58,4.579,4.58,1718,0
2016-10-04,17:00:00,4.4,4.599,4.4,4.4,697,0
2016-10-04,17:05:00,4.599,4.6,4.599,4.6,2507,0
2016-10-05,15:00:00,4.6,4.6,4.6,4.6,109,0
2016-10-05,15:05:00,4.65,4.65,4.65,4.65,72,0
2016-10-05,15:35:00,4.7,4.7,4.7,4.7,1500,0
2016-10-06,15:25:00,4.745,4.75,4.745,4.75,4300,0
2016-10-06,15:30:00,4.75,4.75,4.75,4.75,70,0
2016-10-07,10:20:00,4.8,4.8,4.8,4.8,250,0
2016-10-07,13:25:00,4.8,4.8,4.8,4.8,82,0
2016-10-10,14:20:00,4.6,4.6,4.6,4.6,2000,0
2016-10-10,14:25:00,4.6,4.6,4.6,4.6,2000,0
2016-10-10,14:30:00,4.36,4.36,4.36,4.36,3000,0
2016-10-10,15:15:00,4.65,4.65,4.65,4.65,60,0
2016-10-10,16:15:00,4.451,4.451,4.451,4.451,346,0
2016-10-10,16:20:00,4.451,4.451,4.451,4.451,252,0
2016-10-10,16:25:00,4.451,4.452,4.451,4.451,1342,0
2016-10-12,16:30:00,4.649,4.649,4.649,4.649,100,0
2016-10-12,16:35:00,4.648,4.648,4.648,4.648,90,0
2016-10-13,09:05:00,4.648,4.648,4.648,4.648,650,0
2016-10-13,12:10:00,4.648,4.648,4.648,4.648,57,0
2016-10-18,17:30:00,4.398,4.398,4.398,4.398,558,0
2016-10-19,13:10:00,4.45,4.45,4.45,4.45,200,0
2016-10-19,13:45:00,4.5,4.5,4.5,4.5,49,0
2016-10-20,09:05:00,4.5,4.5,4.5,4.5,92,0
2016-10-21,16:00:00,4.5,4.5,4.5,4.5,209,0
2016-10-25,17:30:00,4.599,4.599,4.599,4.599,191,0
2016-10-26,11:30:00,4.6,4.6,4.6,4.6,2000,0
2016-10-26,12:00:00,4.551,4.551,4.45,4.45,4000,0
2016-10-26,13:35:00,4.596,4.7,4.596,4.7,5443,0
2016-10-26,13:45:00,4.85,4.851,4.85,4.85,3310,0
2016-10-26,15:40:00,4.702,4.702,4.58,4.58,4000,0
2016-10-27,11:20:00,4.65,4.65,4.65,4.65,16,0
2016-10-28,11:00:00,4.65,4.65,4.65,4.65,135,0
2016-10-31,09:35:00,4.799,4.799,4.799,4.799,1741,0
2016-10-31,12:50:00,4.799,4.799,4.799,4.799,138,0
2016-10-31,17:30:00,4.79,4.8,4.79,4.8,192,0
2016-11-01,10:10:00,4.85,4.85,4.85,4.85,700,0
2016-11-08,15:20:00,4.75,4.75,4.75,4.75,1800,0
2016-11-15,11:40:00,4.8,4.8,4.8,4.8,400,0
2016-11-22,12:35:00,4.6,4.6,4.6,4.6,24,0
2016-11-22,17:15:00,4.75,4.75,4.75,4.75,226,0
2016-11-23,12:55:00,4.85,4.85,4.85,4.85,226,0
2016-11-24,17:10:00,4.85,4.85,4.85,4.85,350,0
2016-11-28,15:25:00,4.7,4.7,4.7,4.7,300,0
2016-11-30,09:05:00,4.8,4.8,4.8,4.8,1000,0
2016-11-30,10:00:00,4.85,4.85,4.85,4.85,1900,0
2016-11-30,13:20:00,4.85,4.9,4.85,4.9,3150,0
2016-11-30,13:25:00,4.99,4.99,4.99,4.99,2000,0
2016-11-30,15:25:00,5,5,5,5,500,0
2016-11-30,15:50:00,4.822,4.822,4.5,4.5,10500,0
2016-11-30,17:25:00,4.651,4.651,4.65,4.65,458,0
2016-11-30,17:30:00,4.63,4.63,4.63,4.63,1000,0
2016-12-01,09:05:00,4.79,4.79,4.79,4.79,80,0
