Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-01-04,09:55:00,20.21,20.21,20.21,20.21,531,0
2017-01-04,15:00:00,19.796,19.796,19.796,19.796,135,0
2017-01-04,15:55:00,19.786,19.786,19.786,19.786,531,0
2017-01-05,09:25:00,19.513,19.513,19.513,19.513,5,0
2017-01-05,11:55:00,19.598,19.598,19.598,19.598,159,0
2017-01-05,16:35:00,19.796,19.796,19.796,19.796,187,0
2017-01-05,16:50:00,19.513,19.513,19.513,19.513,21,0
2017-01-05,16:55:00,19.503,19.503,19.503,19.503,478,0
2017-01-06,09:05:00,19.786,19.786,19.786,19.786,1061,0
2017-01-06,16:15:00,19.88,19.88,19.88,19.88,1061,0
2017-01-06,17:05:00,19.739,19.88,19.739,19.88,264,0
2017-01-06,17:15:00,19.88,19.88,19.88,19.88,886,0
2017-01-06,18:10:00,19.692,19.692,19.692,19.692,212,0
2017-01-09,09:55:00,19.692,19.692,19.692,19.692,849,0
2017-01-09,11:25:00,19.72,19.72,19.72,19.72,106,0
2017-01-09,16:15:00,19.814,19.814,19.814,19.814,159,0
2017-01-09,17:10:00,19.88,19.88,19.833,19.833,531,0
2017-01-09,17:50:00,19.975,19.975,19.975,19.975,212,0
2017-01-09,19:40:00,20.069,20.163,20.069,20.163,955,0
2017-01-10,09:35:00,19.927,19.927,19.927,19.927,212,0
2017-01-10,09:55:00,19.937,19.937,19.937,19.937,318,0
2017-01-10,10:05:00,20.154,20.154,20.154,20.154,1061,0
2017-01-10,10:10:00,20.21,20.238,20.21,20.238,265,0
2017-01-10,10:15:00,20.248,20.351,20.248,20.304,3465,0
2017-01-10,10:40:00,20.248,20.257,20.248,20.257,329,0
2017-01-10,12:00:00,20.257,20.257,20.257,20.257,637,0
2017-01-10,12:20:00,20.267,20.267,20.267,20.267,85,0
2017-01-10,12:30:00,20.257,20.257,20.257,20.257,212,0
2017-01-10,12:35:00,20.53,20.53,20.53,20.53,212,0
2017-01-10,12:50:00,20.53,20.53,20.53,20.53,106,0
2017-01-10,14:20:00,20.53,20.53,20.248,20.248,1061,0
2017-01-10,14:50:00,20.22,20.22,20.22,20.22,159,0
2017-01-10,16:25:00,20.22,20.22,20.22,20.22,531,0
2017-01-11,08:05:00,20.257,20.257,20.22,20.22,16,0
2017-01-11,10:05:00,20.229,20.229,20.229,20.229,106,0
2017-01-11,10:30:00,20.229,20.229,20.229,20.229,85,0
2017-01-11,10:40:00,20.229,20.229,20.229,20.229,80,0
2017-01-11,11:15:00,20.229,20.229,20.229,20.229,24,0
2017-01-11,12:35:00,20.493,20.587,20.493,20.587,3328,0
