Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-10-25,09:05:00,10.745,10.745,10.72,10.74,14254,0
2017-10-25,09:10:00,10.715,10.895,10.7,10.86,46408,0
2017-10-25,09:15:00,10.875,10.875,10.78,10.805,18470,0
2017-10-25,09:20:00,10.785,10.795,10.775,10.775,1170,0
2017-10-25,09:25:00,10.77,10.775,10.705,10.735,18498,0
2017-10-25,09:30:00,10.74,10.76,10.71,10.71,2548,0
2017-10-25,09:35:00,10.705,10.785,10.695,10.765,9300,0
2017-10-25,09:40:00,10.76,10.76,10.755,10.755,565,0
2017-10-25,09:45:00,10.745,10.76,10.73,10.755,2726,0
2017-10-25,09:50:00,10.75,10.78,10.7,10.7,11820,0
2017-10-25,09:55:00,10.695,10.705,10.64,10.67,10255,0
2017-10-25,10:00:00,10.695,10.71,10.69,10.69,2704,0
2017-10-25,10:05:00,10.67,10.67,10.645,10.65,4385,0
2017-10-25,10:10:00,10.625,10.625,10.55,10.565,9113,0
2017-10-25,10:15:00,10.565,10.565,10.505,10.515,17070,0
2017-10-25,10:20:00,10.54,10.595,10.54,10.545,5878,0
2017-10-25,10:25:00,10.54,10.56,10.535,10.55,768,0
2017-10-25,10:30:00,10.535,10.535,10.47,10.495,32109,0
2017-10-25,10:35:00,10.495,10.51,10.445,10.455,37038,0
2017-10-25,10:40:00,10.445,10.455,10.41,10.44,15108,0
2017-10-25,10:45:00,10.47,10.49,10.43,10.43,11711,0
2017-10-25,10:50:00,10.435,10.435,10.415,10.415,13552,0
2017-10-25,10:55:00,10.415,10.435,10.415,10.435,1096,0
2017-10-25,11:00:00,10.435,10.435,10.4,10.4,7208,0
2017-10-25,11:05:00,10.39,10.39,10.315,10.345,19340,0
2017-10-25,11:10:00,10.345,10.45,10.345,10.445,33232,0
2017-10-25,11:15:00,10.465,10.47,10.455,10.455,1459,0
2017-10-25,11:20:00,10.44,10.45,10.39,10.45,14339,0
2017-10-25,11:25:00,10.455,10.455,10.42,10.45,22508,0
2017-10-25,11:30:00,10.435,10.45,10.42,10.44,7111,0
2017-10-25,11:35:00,10.425,10.425,10.35,10.385,57026,0
2017-10-25,11:40:00,10.385,10.43,10.38,10.425,11524,0
2017-10-25,11:45:00,10.445,10.45,10.375,10.375,11761,0
2017-10-25,11:50:00,10.385,10.39,10.35,10.35,8132,0
2017-10-25,11:55:00,10.35,10.35,10.305,10.345,23471,0
2017-10-25,12:00:00,10.35,10.36,10.335,10.345,4364,0
2017-10-25,12:05:00,10.36,10.365,10.315,10.325,19473,0
2017-10-25,12:10:00,10.315,10.33,10.26,10.27,15785,0
2017-10-25,12:15:00,10.265,10.28,10.255,10.255,7856,0
2017-10-25,12:20:00,10.265,10.27,10.265,10.27,981,0
2017-10-25,12:25:00,10.255,10.255,10.21,10.22,25475,0
2017-10-25,12:30:00,10.22,10.245,10.205,10.24,15665,0
2017-10-25,12:35:00,10.245,10.255,10.215,10.215,14087,0
2017-10-25,12:40:00,10.205,10.205,10.13,10.15,33772,0
2017-10-25,12:45:00,10.155,10.19,10.13,10.19,14264,0
2017-10-25,12:50:00,10.17,10.185,10.115,10.125,15548,0
2017-10-25,12:55:00,10.13,10.185,10.125,10.17,31417,0
2017-10-25,13:00:00,10.17,10.2,10.16,10.185,18767,0
2017-10-25,13:05:00,10.185,10.265,10.185,10.215,50187,0
2017-10-25,13:10:00,10.235,10.28,10.22,10.22,9227,0
2017-10-25,13:15:00,10.23,10.275,10.23,10.255,10727,0
2017-10-25,13:20:00,10.25,10.25,10.21,10.215,10070,0
2017-10-25,13:25:00,10.2,10.21,10.13,10.15,36210,0
2017-10-25,13:30:00,10.155,10.155,10.01,10.105,67711,0
2017-10-25,13:35:00,10.11,10.13,10.1,10.13,19424,0
2017-10-25,13:40:00,10.14,10.145,10.115,10.125,6628,0
2017-10-25,13:45:00,10.115,10.125,10.065,10.1,10743,0
2017-10-25,13:50:00,10.09,10.135,10.09,10.125,26610,0
2017-10-25,13:55:00,10.115,10.115,10.075,10.085,15221,0
2017-10-25,14:00:00,10.07,10.085,10.055,10.085,13071,0
2017-10-25,14:05:00,10.1,10.135,10.085,10.09,30646,0
2017-10-25,14:10:00,10.09,10.145,10.085,10.145,13950,0
2017-10-25,14:15:00,10.14,10.18,10.115,10.115,16209,0
2017-10-25,14:20:00,10.12,10.17,10.12,10.135,12843,0
2017-10-25,14:25:00,10.155,10.155,10.13,10.15,10786,0
2017-10-25,14:30:00,10.15,10.15,10.115,10.115,8364,0
2017-10-25,14:35:00,10.115,10.13,10.09,10.09,7593,0
2017-10-25,14:40:00,10.11,10.15,10.095,10.125,18559,0
2017-10-25,14:45:00,10.11,10.14,10.105,10.13,7458,0
2017-10-25,14:50:00,10.13,10.135,10.09,10.09,3684,0
2017-10-25,14:55:00,10.085,10.085,10.065,10.07,25713,0
2017-10-25,15:00:00,10.055,10.09,10.055,10.075,7953,0
2017-10-25,15:05:00,10.065,10.07,10.01,10.015,29506,0
2017-10-25,15:10:00,10.02,10.035,9.939,10.005,71853,0
2017-10-25,15:15:00,10.015,10.02,9.995,9.995,12507,0
2017-10-25,15:20:00,10.01,10.01,9.95,9.972,30440,0
2017-10-25,15:25:00,9.965,9.978,9.94,9.955,18434,0
2017-10-25,15:30:00,9.96,9.968,9.939,9.944,32940,0
2017-10-25,15:35:00,9.941,9.941,9.908,9.911,34787,0
2017-10-25,15:40:00,9.906,9.936,9.906,9.93,41211,0
2017-10-25,15:45:00,9.931,9.936,9.914,9.919,24445,0
2017-10-25,15:50:00,9.92,9.936,9.915,9.932,21608,0
2017-10-25,15:55:00,9.925,9.994,9.921,9.973,26508,0
2017-10-25,16:00:00,9.98,10.02,9.97,10.005,36355,0
2017-10-25,16:05:00,10.02,10.02,9.977,9.994,12501,0
2017-10-25,16:10:00,9.985,10.025,9.985,10.015,28813,0
2017-10-25,16:15:00,10.025,10.1,10.015,10.095,36028,0
2017-10-25,16:20:00,10.075,10.075,10.03,10.065,23442,0
2017-10-25,16:25:00,10.08,10.22,10.06,10.16,54881,0
2017-10-25,16:30:00,10.15,10.15,10.05,10.05,10673,0
2017-10-25,16:35:00,10.05,10.12,10.05,10.12,8406,0
2017-10-25,16:40:00,10.12,10.16,10.105,10.105,32547,0
2017-10-25,16:45:00,10.095,10.095,10.025,10.035,15707,0
2017-10-25,16:50:00,10.045,10.07,10.03,10.06,17849,0
