Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-10-24,09:05:00,229.5,232.35,229.5,231.85,1118,0
2017-10-24,09:10:00,231.85,231.85,229.5,230.9,573,0
2017-10-24,09:15:00,230.9,235.5,230.9,234.3,1103,0
2017-10-24,09:20:00,234.35,237.7,234.35,237.7,229,0
2017-10-24,09:25:00,236,240,236,240,221,0
2017-10-24,09:30:00,241,243.9,238.7,243.75,823,0
2017-10-24,09:35:00,244.7,246.5,242.05,246.5,523,0
2017-10-24,09:40:00,245.1,249,242.25,248,1794,0
2017-10-24,09:45:00,246.05,253,246.05,253,615,0
2017-10-24,09:50:00,249.8,252.95,245,246.7,2580,0
2017-10-24,09:55:00,246.95,250.95,245.8,250,1102,0
2017-10-24,10:00:00,250,250,246,248.95,1192,0
2017-10-24,10:05:00,247.15,248.95,246,247.9,236,0
2017-10-24,10:10:00,247.9,248.8,246.7,248,261,0
2017-10-24,10:15:00,248,249.2,247.6,248,316,0
2017-10-24,10:20:00,249.2,250.35,248.3,250.05,757,0
2017-10-24,10:25:00,248.15,251.05,248.05,250.65,707,0
2017-10-24,10:30:00,250.3,251.6,248.85,251.6,876,0
2017-10-24,10:35:00,251.75,255.1,251.75,253.65,1146,0
2017-10-24,10:40:00,253,253,246.3,249.2,1104,0
2017-10-24,10:45:00,249.95,250.1,248,249,508,0
2017-10-24,10:50:00,249.45,249.5,247.6,249.5,357,0
2017-10-24,10:55:00,249.35,249.35,243,245.4,2330,0
2017-10-24,11:00:00,243.9,245.25,238.5,238.5,1335,0
2017-10-24,11:05:00,236.1,240,232.7,239.1,1448,0
2017-10-24,11:10:00,241,242,237,237.55,705,0
2017-10-24,11:15:00,237.65,238.9,235.4,236,407,0
2017-10-24,11:20:00,238.4,238.4,236,236.1,154,0
2017-10-24,11:25:00,237.25,239.5,237,239.5,260,0
2017-10-24,11:30:00,240,242,240,241.55,522,0
2017-10-24,11:35:00,241.7,245,240.85,242.9,1729,0
2017-10-24,11:40:00,242.75,242.75,240.2,241,663,0
2017-10-24,11:45:00,242.1,242.25,242,242,34,0
2017-10-24,11:50:00,241.7,242.65,241,242.35,246,0
2017-10-24,11:55:00,242.05,243,239.75,239.75,451,0
2017-10-24,12:00:00,240.95,240.95,240,240.3,139,0
2017-10-24,12:05:00,240,240,237,237,1014,0
2017-10-24,12:10:00,238.1,238.3,237,238.3,221,0
2017-10-24,12:15:00,238.95,241.95,238.95,239.9,1513,0
2017-10-24,12:20:00,240.75,240.75,240.75,240.75,26,0
2017-10-24,12:25:00,241.8,241.9,240.65,241.6,139,0
2017-10-24,12:30:00,241.7,241.7,237.1,237.1,559,0
2017-10-24,12:35:00,238.95,239.2,238.05,238.05,204,0
2017-10-24,12:40:00,239.35,239.4,238.45,238.55,190,0
2017-10-24,12:45:00,238.45,239.3,238.45,239.3,62,0
2017-10-24,12:50:00,238.45,239.4,238,239.4,481,0
2017-10-24,12:55:00,239.4,239.4,237.75,237.8,270,0
2017-10-24,13:00:00,237.8,237.8,237.8,237.8,100,0
2017-10-24,13:05:00,238.4,239.05,238.05,239.05,45,0
2017-10-24,13:10:00,238.45,239.05,238,238,216,0
2017-10-24,13:15:00,239.35,239.35,237.1,238.6,205,0
2017-10-24,13:20:00,237.15,237.15,236.7,236.7,199,0
2017-10-24,13:25:00,237.5,237.75,237.5,237.75,14,0
2017-10-24,13:30:00,238.25,238.25,238.25,238.25,15,0
2017-10-24,13:35:00,237,237,236.55,236.55,274,0
2017-10-24,13:40:00,238,238,236.7,236.7,20,0
2017-10-24,13:45:00,237.65,238.2,237.05,237.1,336,0
2017-10-24,13:50:00,236.6,237.8,235.5,237.8,1070,0
2017-10-24,13:55:00,238,238.15,235.2,236.5,752,0
2017-10-24,14:00:00,235.3,236,235.3,236,15,0
2017-10-24,14:05:00,236.55,236.8,236.5,236.8,152,0
2017-10-24,14:10:00,235.6,235.6,235.6,235.6,23,0
2017-10-24,14:15:00,235.65,236.8,235,235,391,0
2017-10-24,14:20:00,235,236.7,234,236.45,434,0
2017-10-24,14:25:00,235.95,235.95,235.95,235.95,11,0
2017-10-24,14:30:00,235.95,236,233.95,234.9,368,0
2017-10-24,14:35:00,233.6,235,233.6,235,173,0
2017-10-24,14:40:00,234.3,235,225.3,225.3,2352,0
2017-10-24,14:45:00,226.1,228.85,225.95,228.85,1195,0
2017-10-24,14:50:00,228.75,229,226.5,228.95,544,0
2017-10-24,14:55:00,228.05,228.05,225.8,227.4,218,0
2017-10-24,15:00:00,226.85,229.2,226.8,229.2,214,0
2017-10-24,15:05:00,229.9,230.25,229,229.1,1202,0
2017-10-24,15:10:00,229,229,228.5,228.5,200,0
2017-10-24,15:15:00,228,228.95,225,228.9,626,0
2017-10-24,15:20:00,228.75,228.8,228.75,228.8,20,0
2017-10-24,15:25:00,228.75,228.8,227,227,609,0
2017-10-24,15:30:00,227,228.8,227,227.65,923,0
2017-10-24,15:35:00,229,229.3,227.55,229.15,416,0
2017-10-24,15:40:00,227.45,230,227.45,230,205,0
2017-10-24,15:45:00,230.4,231.55,230.4,231.55,122,0
2017-10-24,15:50:00,231.7,231.7,231.7,231.7,98,0
2017-10-24,15:55:00,232.2,235,231.45,234.55,509,0
2017-10-24,16:00:00,235,236.5,233.15,235.95,1298,0
2017-10-24,16:05:00,236.3,237,236.3,237,179,0
2017-10-24,16:10:00,237,238,235,236.75,265,0
2017-10-24,16:15:00,234.25,237,233.15,237,452,0
2017-10-24,16:25:00,237.4,241.8,237.15,240,684,0
2017-10-24,16:30:00,243.95,243.95,242.2,242.2,50,0
2017-10-24,16:35:00,242.55,244,241.45,242.55,244,0
2017-10-24,16:40:00,242.3,242.75,242.3,242.75,153,0
2017-10-24,16:45:00,242.65,244.9,242.65,243.5,220,0
2017-10-24,16:50:00,243.25,246.3,243.25,245.95,644,0
2017-10-24,16:55:00,244.7,247.75,244.7,247.75,419,0
2017-10-24,17:00:00,247.3,247.75,244.15,244.15,431,0
2017-10-24,17:05:00,245.5,247.7,244.4,247.7,289,0
2017-10-24,17:10:00,245.65,248.7,245.65,248.3,347,0
2017-10-24,17:15:00,248.3,249,247.9,249,1134,0
2017-10-24,17:20:00,249,249.9,248.3,248.3,1273,0
2017-10-24,17:25:00,249,249.8,247.6,247.75,682,0
2017-10-24,17:30:00,247.75,249.65,247.7,248.9,1683,0
2017-10-25,09:05:00,246.95,247,243,245.45,2056,0
2017-10-25,09:10:00,244.8,245.05,240,242,1715,0
2017-10-25,09:15:00,242.05,245.9,240.8,245.25,645,0
2017-10-25,09:20:00,243.65,255,243.5,253.9,3793,0
2017-10-25,09:25:00,252,256.4,252,256.4,1068,0
2017-10-25,09:30:00,256,257.8,253.3,254.75,970,0
2017-10-25,09:35:00,253,253.05,251.2,253,381,0
2017-10-25,09:40:00,251.8,253.8,251.8,253.1,754,0
