Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-09-29,09:05:00,30.86,31.295,30.86,31.245,2590,0
2017-09-29,09:10:00,31.185,31.285,31.185,31.285,162,0
2017-09-29,09:15:00,31.22,31.22,31.22,31.22,20,0
2017-09-29,09:30:00,31.29,31.3,31.29,31.3,975,0
2017-09-29,09:40:00,31.3,31.3,31.3,31.3,1327,0
2017-09-29,09:45:00,31.3,31.3,31.3,31.3,77,0
2017-09-29,09:55:00,31.3,31.3,31.22,31.3,1732,0
2017-09-29,10:00:00,31.3,31.325,31.3,31.3,1559,0
2017-09-29,10:05:00,31.44,31.455,31.44,31.455,182,0
2017-09-29,10:10:00,31.395,31.395,31.39,31.39,181,0
2017-09-29,10:15:00,31.35,31.39,31.35,31.39,556,0
2017-09-29,10:20:00,31.36,31.36,31.36,31.36,63,0
2017-09-29,10:25:00,31.385,31.41,31.385,31.395,155,0
2017-09-29,10:30:00,31.4,31.495,31.4,31.495,321,0
2017-09-29,10:35:00,31.38,31.495,31.37,31.48,975,0
2017-09-29,10:45:00,31.4,31.4,31.4,31.4,66,0
2017-09-29,11:05:00,31.395,31.395,31.395,31.395,50,0
2017-09-29,11:10:00,31.37,31.37,31.37,31.37,2,0
2017-09-29,11:15:00,31.36,31.36,31.295,31.295,49,0
2017-09-29,11:20:00,31.235,31.275,31.235,31.275,69,0
2017-09-29,11:25:00,31.185,31.185,31.185,31.185,21,0
2017-09-29,11:30:00,31.22,31.275,31.22,31.275,227,0
2017-09-29,11:45:00,31.27,31.27,31.27,31.27,200,0
2017-09-29,11:50:00,31.295,31.385,31.295,31.385,190,0
2017-09-29,11:55:00,31.4,31.465,31.4,31.465,263,0
2017-09-29,12:00:00,31.475,31.475,31.475,31.475,60,0
2017-09-29,12:05:00,31.5,31.55,31.5,31.55,427,0
2017-09-29,12:15:00,31.55,31.55,31.5,31.5,143,0
2017-09-29,12:30:00,31.5,31.5,31.5,31.5,100,0
2017-09-29,12:35:00,31.48,31.55,31.48,31.55,264,0
2017-09-29,12:55:00,31.545,31.7,31.545,31.7,369,0
2017-09-29,13:00:00,31.68,31.75,31.68,31.75,481,0
2017-09-29,13:20:00,31.75,31.75,31.75,31.75,134,0
2017-09-29,13:25:00,31.75,31.75,31.75,31.75,10,0
2017-09-29,13:30:00,31.85,32.13,31.85,32.13,1520,0
2017-09-29,13:35:00,32.19,32.37,32.19,32.37,1216,0
2017-09-29,13:40:00,32.36,32.425,32.36,32.395,393,0
2017-09-29,13:45:00,32.395,32.42,32.34,32.35,852,0
2017-09-29,13:50:00,32.255,32.255,32.18,32.185,998,0
2017-09-29,13:55:00,32.1,32.1,31.85,31.985,2254,0
2017-09-29,14:00:00,32.02,32.035,31.9,32.035,466,0
2017-09-29,14:10:00,32.035,32.035,32.03,32.03,102,0
2017-09-29,14:20:00,32.03,32.54,32.03,32.5,3047,0
2017-09-29,14:25:00,32.5,32.735,32.5,32.735,1528,0
2017-09-29,14:40:00,32.64,32.64,32.64,32.64,296,0
2017-09-29,14:45:00,32.62,32.64,32.52,32.63,331,0
2017-09-29,14:50:00,32.54,32.54,32.5,32.5,490,0
2017-09-29,14:55:00,32.405,32.5,32.405,32.405,261,0
2017-09-29,15:05:00,32.465,32.49,32.465,32.49,104,0
2017-09-29,15:10:00,32.49,32.81,32.49,32.81,1514,0
2017-09-29,15:20:00,32.805,32.885,32.8,32.82,842,0
2017-09-29,15:25:00,32.82,33,32.8,32.995,1611,0
2017-09-29,15:30:00,32.915,32.915,32.915,32.915,300,0
2017-09-29,15:35:00,32.915,32.915,32.9,32.915,358,0
2017-09-29,15:40:00,32.9,32.9,32.9,32.9,51,0
2017-09-29,15:45:00,32.9,32.93,32.9,32.93,30,0
2017-09-29,15:50:00,32.915,32.945,32.91,32.91,300,0
2017-09-29,16:05:00,32.985,33,32.985,33,575,0
2017-09-29,16:15:00,33,33,33,33,256,0
2017-09-29,16:25:00,32.97,33,32.9,32.9,424,0
2017-09-29,16:30:00,32.9,32.9,32.9,32.9,66,0
2017-09-29,16:35:00,32.88,32.88,32.825,32.825,370,0
2017-09-29,16:40:00,32.9,32.9,32.9,32.9,50,0
2017-09-29,16:50:00,32.805,32.85,32.8,32.85,157,0
2017-09-29,16:55:00,32.89,32.89,32.89,32.89,191,0
2017-09-29,17:10:00,32.8,32.8,32.795,32.795,1010,0
2017-09-29,17:20:00,32.76,32.76,32.76,32.76,2,0
2017-09-29,17:25:00,32.755,32.755,32.585,32.585,561,0
2017-09-29,17:30:00,32.585,32.79,32.5,32.67,2399,0
2017-10-02,09:05:00,32.415,32.97,32.415,32.97,832,0
2017-10-02,09:40:00,32.635,32.635,32.635,32.635,59,0
2017-10-02,10:00:00,32.38,32.38,32.38,32.38,10,0
2017-10-02,10:05:00,32.5,32.545,32.5,32.545,196,0
2017-10-02,10:10:00,32.385,32.49,32.385,32.49,183,0
2017-10-02,10:25:00,32.455,32.455,32.455,32.455,50,0
2017-10-02,10:30:00,32.385,32.385,32.38,32.38,100,0
2017-10-02,10:55:00,32.385,32.385,32.26,32.3,985,0
2017-10-02,11:00:00,32.255,32.255,32.14,32.14,259,0
2017-10-02,11:05:00,32.25,32.275,32.25,32.255,237,0
2017-10-02,11:15:00,32.27,32.27,32.27,32.27,106,0
2017-10-02,11:20:00,32.27,32.27,32.27,32.27,54,0
2017-10-02,11:25:00,32.25,32.25,32.25,32.25,110,0
2017-10-02,11:30:00,32.125,32.125,32.11,32.11,100,0
2017-10-02,11:40:00,32.105,32.105,32.105,32.105,50,0
2017-10-02,11:55:00,32.03,32.03,32.03,32.03,150,0
2017-10-02,12:05:00,32.055,32.055,32.055,32.055,73,0
2017-10-02,12:10:00,32.07,32.07,32.07,32.07,76,0
2017-10-02,12:20:00,32.115,32.175,32.115,32.14,221,0
2017-10-02,12:30:00,32.14,32.14,32.14,32.14,87,0
2017-10-02,12:35:00,32.055,32.055,32.055,32.055,38,0
2017-10-02,12:40:00,32.14,32.14,32.14,32.14,21,0
2017-10-02,12:45:00,32.05,32.05,32.035,32.035,100,0
2017-10-02,13:15:00,32.09,32.13,32.09,32.13,475,0
2017-10-02,13:20:00,32.045,32.045,32.045,32.045,75,0
2017-10-02,13:25:00,32.165,32.19,32.16,32.19,457,0
2017-10-02,13:40:00,32.11,32.11,32.11,32.11,145,0
2017-10-02,13:45:00,32.055,32.055,32.055,32.055,223,0
2017-10-02,13:50:00,32.05,32.05,32.05,32.05,40,0
2017-10-02,14:20:00,31.96,31.995,31.865,31.865,1317,0
2017-10-02,14:25:00,31.865,31.865,31.86,31.86,163,0
2017-10-02,14:35:00,31.925,31.925,31.85,31.85,664,0
2017-10-02,14:50:00,31.8,31.955,31.8,31.94,981,0
2017-10-02,14:55:00,31.93,31.93,31.925,31.925,504,0
2017-10-02,15:05:00,31.87,31.985,31.87,31.985,210,0
2017-10-02,15:15:00,31.875,31.875,31.87,31.87,134,0
2017-10-02,15:20:00,31.83,31.83,31.83,31.83,105,0
2017-10-02,15:45:00,31.75,31.75,31.74,31.74,42,0
2017-10-02,15:50:00,31.735,31.735,31.735,31.735,104,0
2017-10-02,15:55:00,31.675,31.675,31.675,31.675,10,0
2017-10-02,16:00:00,31.675,31.81,31.675,31.71,477,0
2017-10-02,16:05:00,31.9,31.9,31.83,31.83,245,0
2017-10-02,16:20:00,31.89,31.895,31.89,31.895,190,0
2017-10-02,16:30:00,31.8,31.8,31.8,31.8,94,0
2017-10-02,16:40:00,31.76,31.76,31.735,31.735,49,0
2017-10-02,16:45:00,31.7,31.7,31.7,31.7,50,0
