Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-10-26,09:05:00,27.15,27.17,27.07,27.085,119236,0
2017-10-26,09:10:00,27.075,27.11,27.005,27.04,91161,0
2017-10-26,09:15:00,27.035,27.105,26.98,27.105,54317,0
2017-10-26,09:20:00,27.11,27.165,26.97,27.02,153984,0
2017-10-26,09:25:00,27.01,27.095,26.975,27.075,54030,0
2017-10-26,09:30:00,27.075,27.075,27.015,27.06,71383,0
2017-10-26,09:35:00,27.065,27.09,27.035,27.05,66362,0
2017-10-26,09:40:00,27.055,27.065,26.975,26.985,46421,0
2017-10-26,09:45:00,26.98,26.98,26.91,26.925,54654,0
2017-10-26,09:50:00,26.925,27,26.92,26.985,77587,0
2017-10-26,09:55:00,26.99,27.105,26.96,27.095,62228,0
2017-10-26,10:00:00,27.085,27.17,27.04,27.17,67825,0
2017-10-26,10:05:00,27.175,27.255,27.17,27.17,74298,0
2017-10-26,10:10:00,27.175,27.24,27.165,27.205,89227,0
2017-10-26,10:15:00,27.21,27.215,27.14,27.145,44438,0
2017-10-26,10:20:00,27.145,27.17,27.12,27.16,29885,0
2017-10-26,10:25:00,27.165,27.195,27.125,27.135,39194,0
2017-10-26,10:30:00,27.125,27.135,27.06,27.095,51986,0
2017-10-26,10:35:00,27.09,27.105,27.03,27.05,16284,0
2017-10-26,10:40:00,27.055,27.125,27.055,27.125,17400,0
2017-10-26,10:45:00,27.125,27.13,27.085,27.09,40262,0
2017-10-26,10:50:00,27.095,27.105,27.07,27.07,15021,0
2017-10-26,10:55:00,27.065,27.075,27.055,27.07,11310,0
2017-10-26,11:00:00,27.07,27.125,27.065,27.105,19304,0
2017-10-26,11:05:00,27.11,27.11,27.085,27.09,26621,0
2017-10-26,11:10:00,27.085,27.085,26.985,26.99,41414,0
2017-10-26,11:15:00,27,27.04,26.995,27.03,11312,0
2017-10-26,11:20:00,27.04,27.05,27.01,27.05,19835,0
2017-10-26,11:25:00,27.045,27.06,27,27,16580,0
2017-10-26,11:30:00,26.985,26.995,26.96,26.98,20845,0
2017-10-26,11:35:00,26.98,27.085,26.98,27.085,19979,0
2017-10-26,11:40:00,27.085,27.2,27.085,27.175,83946,0
2017-10-26,11:45:00,27.175,27.19,27.14,27.18,36911,0
2017-10-26,11:50:00,27.18,27.2,27.15,27.185,37822,0
2017-10-26,11:55:00,27.19,27.2,27.185,27.19,51409,0
2017-10-26,12:00:00,27.19,27.255,27.19,27.255,68640,0
2017-10-26,12:05:00,27.26,27.29,27.26,27.265,22143,0
2017-10-26,12:10:00,27.255,27.255,27.14,27.15,31999,0
2017-10-26,12:15:00,27.145,27.15,27.115,27.14,16632,0
2017-10-26,12:20:00,27.135,27.175,27.13,27.175,24995,0
2017-10-26,12:25:00,27.175,27.23,27.175,27.225,25836,0
2017-10-26,12:30:00,27.235,27.25,27.18,27.195,53104,0
2017-10-26,12:35:00,27.2,27.29,27.2,27.29,21687,0
