Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-10-26,09:05:00,67.17,67.49,67.17,67.46,1673,0
2017-10-26,09:10:00,67.46,67.64,67.29,67.35,4295,0
2017-10-26,09:15:00,67.33,67.43,67.31,67.42,1916,0
2017-10-26,09:20:00,67.45,67.48,67.31,67.46,2899,0
2017-10-26,09:25:00,67.45,67.59,67.44,67.52,2265,0
2017-10-26,09:30:00,67.49,67.61,67.49,67.6,2687,0
2017-10-26,09:35:00,67.67,67.79,67.6,67.72,1864,0
2017-10-26,09:40:00,67.69,67.79,67.65,67.79,2393,0
2017-10-26,09:45:00,67.81,67.88,67.78,67.88,474,0
2017-10-26,09:50:00,67.87,67.87,67.68,67.68,744,0
2017-10-26,09:55:00,67.68,67.77,67.55,67.67,6247,0
2017-10-26,10:00:00,67.62,67.77,67.62,67.77,1408,0
2017-10-26,10:05:00,67.73,67.87,67.73,67.86,1351,0
2017-10-26,10:10:00,67.83,67.91,67.77,67.88,1839,0
2017-10-26,10:15:00,67.88,67.91,67.87,67.91,986,0
2017-10-26,10:20:00,67.92,68.06,67.92,68.05,3082,0
2017-10-26,10:25:00,68.02,68.02,67.92,67.92,1472,0
2017-10-26,10:30:00,67.92,67.99,67.91,67.97,849,0
2017-10-26,10:35:00,67.95,68,67.92,67.94,1871,0
2017-10-26,10:40:00,67.94,67.94,67.86,67.86,1071,0
2017-10-26,10:45:00,67.84,67.85,67.8,67.85,1710,0
2017-10-26,10:50:00,67.84,67.92,67.84,67.86,1033,0
2017-10-26,10:55:00,67.87,67.93,67.86,67.89,1427,0
2017-10-26,11:00:00,67.86,67.92,67.86,67.92,484,0
2017-10-26,11:05:00,67.91,67.98,67.87,67.88,3068,0
2017-10-26,11:10:00,67.91,67.91,67.91,67.91,126,0
2017-10-26,11:15:00,67.88,67.95,67.85,67.95,978,0
2017-10-26,11:20:00,67.9,67.94,67.85,67.94,540,0
2017-10-26,11:25:00,67.92,67.92,67.84,67.86,725,0
2017-10-26,11:30:00,67.86,67.9,67.86,67.9,217,0
2017-10-26,11:35:00,67.9,67.9,67.82,67.82,1585,0
2017-10-26,11:40:00,67.81,67.84,67.8,67.84,856,0
2017-10-26,11:45:00,67.84,67.88,67.81,67.81,2365,0
2017-10-26,11:50:00,67.8,67.84,67.78,67.84,1165,0
2017-10-26,11:55:00,67.85,67.89,67.85,67.85,1523,0
2017-10-26,12:00:00,67.81,67.81,67.8,67.81,834,0
2017-10-26,12:05:00,67.79,67.81,67.64,67.64,2569,0
2017-10-26,12:10:00,67.68,67.7,67.68,67.7,555,0
2017-10-26,12:15:00,67.72,67.74,67.68,67.68,584,0
2017-10-26,12:20:00,67.67,67.7,67.66,67.66,1007,0
2017-10-26,12:25:00,67.67,67.78,67.67,67.7,1381,0
2017-10-26,12:30:00,67.73,67.73,67.65,67.65,1050,0
2017-10-26,12:35:00,67.68,67.76,67.68,67.76,2421,0
2017-10-26,12:40:00,67.77,67.77,67.74,67.76,852,0
2017-10-26,12:45:00,67.76,67.76,67.7,67.7,1036,0
2017-10-26,12:50:00,67.68,67.72,67.68,67.68,1507,0
2017-10-26,12:55:00,67.68,67.7,67.68,67.7,369,0
2017-10-26,13:00:00,67.69,67.69,67.65,67.65,1425,0
2017-10-26,13:05:00,67.64,67.64,67.56,67.57,1751,0
2017-10-26,13:10:00,67.59,67.74,67.52,67.52,1508,0
2017-10-26,13:15:00,67.52,67.55,67.5,67.51,1476,0
2017-10-26,13:20:00,67.49,67.53,67.49,67.53,1155,0
2017-10-26,13:25:00,67.54,67.61,67.54,67.61,5931,0
2017-10-26,13:30:00,67.58,67.58,67.57,67.57,3625,0
2017-10-26,13:35:00,67.57,67.57,67.51,67.51,1182,0
2017-10-26,13:40:00,67.46,67.46,67.43,67.43,1425,0
2017-10-26,13:45:00,67.45,67.68,67.39,67.66,3051,0
2017-10-26,13:50:00,67.55,67.72,67.55,67.65,4225,0
2017-10-26,13:55:00,67.64,67.64,67.49,67.5,766,0
2017-10-26,14:00:00,67.5,67.57,67.45,67.56,2018,0
2017-10-26,14:05:00,67.59,67.66,67.58,67.63,2279,0
2017-10-26,14:10:00,67.65,67.74,67.64,67.74,1969,0
2017-10-26,14:15:00,67.73,67.73,67.68,67.69,1115,0
2017-10-26,14:20:00,67.69,67.69,67.63,67.63,2377,0
2017-10-26,14:25:00,67.63,67.66,67.58,67.59,1147,0
2017-10-26,14:30:00,67.61,67.68,67.61,67.64,1928,0
2017-10-26,14:35:00,67.68,67.86,67.66,67.73,4929,0
2017-10-26,14:40:00,67.74,67.74,67.68,67.73,1526,0
2017-10-26,14:45:00,67.76,67.81,67.75,67.79,660,0
2017-10-26,14:50:00,67.77,67.83,67.77,67.82,1151,0
2017-10-26,14:55:00,67.79,67.81,67.74,67.79,806,0
2017-10-26,15:00:00,67.8,67.8,67.69,67.75,1946,0
2017-10-26,15:05:00,67.71,67.78,67.71,67.76,901,0
2017-10-26,15:10:00,67.77,67.78,67.76,67.78,1398,0
2017-10-26,15:15:00,67.78,67.81,67.78,67.79,1065,0
2017-10-26,15:20:00,67.77,67.78,67.74,67.74,1936,0
2017-10-26,15:25:00,67.76,67.78,67.73,67.78,2160,0
2017-10-26,15:30:00,67.79,67.84,67.79,67.83,813,0
2017-10-26,15:35:00,67.84,67.92,67.84,67.89,5601,0
2017-10-26,15:40:00,67.9,67.97,67.9,67.97,637,0
2017-10-26,15:45:00,67.98,68,67.96,67.96,1128,0
2017-10-26,15:50:00,67.97,67.98,67.91,67.97,3874,0
2017-10-26,15:55:00,67.98,68,67.95,67.98,1964,0
2017-10-26,16:00:00,67.99,68.06,67.96,68.04,4090,0
2017-10-26,16:05:00,68.06,68.14,67.95,67.97,1592,0
2017-10-26,16:10:00,67.96,68.03,67.96,68.03,1873,0
2017-10-26,16:15:00,68.06,68.07,67.97,67.97,857,0
2017-10-26,16:20:00,67.96,68.04,67.9,67.92,3372,0
2017-10-26,16:25:00,67.92,68,67.88,67.99,4398,0
2017-10-26,16:30:00,68.01,68.13,68,68.11,3541,0
2017-10-26,16:35:00,68.11,68.13,68.03,68.11,4745,0
2017-10-26,16:40:00,68.11,68.25,68.11,68.25,11711,0
2017-10-26,16:45:00,68.25,68.35,68.24,68.29,9125,0
