Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-08-24,09:10:00,1.368,1.368,1.25,1.25,5684,0
2015-08-24,10:20:00,1.27,1.27,1.27,1.27,4316,0
2015-08-24,16:15:00,1.27,1.27,1.27,1.27,18308,0
2015-08-25,09:05:00,1.32,1.32,1.32,1.32,2000,0
2015-08-25,10:35:00,1.364,1.365,1.364,1.365,2679,0
2015-08-25,10:40:00,1.37,1.37,1.37,1.37,2000,0
2015-08-25,11:10:00,1.43,1.43,1.43,1.43,1260,0
2015-08-25,11:30:00,1.401,1.401,1.401,1.401,300,0
2015-08-25,12:10:00,1.45,1.45,1.45,1.45,400,0
2015-08-25,13:10:00,1.45,1.45,1.45,1.45,100,0
2015-08-25,13:15:00,1.45,1.45,1.45,1.45,400,0
2015-08-25,14:55:00,1.402,1.402,1.402,1.402,1100,0
2015-08-25,17:20:00,1.42,1.42,1.42,1.42,321,0
2015-08-25,17:30:00,1.401,1.401,1.401,1.401,15718,0
2015-08-26,09:05:00,1.402,1.402,1.401,1.401,711,0
2015-08-26,09:30:00,1.48,1.48,1.48,1.48,500,0
2015-08-26,10:25:00,1.48,1.48,1.48,1.48,211,0
2015-08-26,14:35:00,1.5,1.5,1.5,1.5,1000,0
2015-08-26,16:00:00,1.5,1.5,1.5,1.5,800,0
2015-08-26,16:20:00,1.5,1.5,1.5,1.5,5622,0
2015-08-27,09:05:00,1.455,1.455,1.455,1.455,1000,0
2015-08-27,10:20:00,1.451,1.451,1.451,1.451,1100,0
2015-08-27,14:10:00,1.451,1.451,1.451,1.451,444,0
2015-08-27,15:45:00,1.494,1.494,1.494,1.494,92,0
2015-08-27,16:05:00,1.55,1.55,1.55,1.55,2000,0
2015-08-27,16:10:00,1.558,1.558,1.558,1.558,173,0
2015-08-27,17:30:00,1.549,1.549,1.549,1.549,5295,0
2015-08-28,09:05:00,1.59,1.59,1.59,1.59,140,0
2015-08-28,14:15:00,1.589,1.589,1.589,1.589,406,0
2015-08-31,09:05:00,1.58,1.58,1.58,1.58,2000,0
2015-08-31,15:50:00,1.5,1.5,1.5,1.5,7800,0
2015-09-01,10:30:00,1.547,1.58,1.547,1.58,5700,0
2015-09-01,11:00:00,1.58,1.58,1.58,1.58,1330,0
2015-09-01,11:55:00,1.52,1.52,1.52,1.52,8630,0
2015-09-03,09:15:00,1.58,1.6,1.5,1.5,2750,0
2015-09-03,09:20:00,1.6,1.6,1.6,1.6,50,0
2015-09-03,09:45:00,1.59,1.59,1.59,1.59,100,0
