Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-10-16,09:05:00,5.975,6.015,5.975,6.015,2524,0
2017-10-16,09:45:00,5.989,5.989,5.989,5.989,226,0
2017-10-16,09:50:00,5.985,5.986,5.985,5.986,229,0
2017-10-16,10:15:00,5.95,5.95,5.95,5.95,37,0
2017-10-16,10:20:00,5.976,5.991,5.976,5.991,1040,0
2017-10-16,10:30:00,5.969,5.969,5.963,5.963,1350,0
2017-10-16,10:35:00,5.965,5.965,5.965,5.965,85,0
2017-10-16,10:40:00,5.956,5.956,5.956,5.956,13,0
2017-10-16,10:45:00,5.956,5.956,5.954,5.954,161,0
2017-10-16,11:20:00,5.94,5.94,5.94,5.94,350,0
2017-10-16,11:25:00,5.94,5.95,5.94,5.95,2720,0
2017-10-16,11:30:00,5.955,5.955,5.955,5.955,437,0
2017-10-16,11:40:00,5.957,5.957,5.957,5.957,213,0
2017-10-16,11:45:00,5.961,5.97,5.958,5.97,5622,0
2017-10-16,12:00:00,5.959,5.959,5.953,5.953,724,0
2017-10-16,12:10:00,5.952,5.952,5.949,5.949,454,0
2017-10-16,12:20:00,5.949,5.949,5.942,5.942,1574,0
2017-10-16,12:25:00,5.94,5.94,5.94,5.94,10,0
2017-10-16,12:30:00,5.94,5.94,5.94,5.94,469,0
2017-10-16,12:35:00,5.94,5.94,5.94,5.94,520,0
2017-10-16,12:40:00,5.942,5.943,5.942,5.943,63,0
2017-10-16,13:00:00,5.945,5.945,5.94,5.94,864,0
2017-10-16,13:05:00,5.94,5.94,5.934,5.934,420,0
2017-10-16,13:10:00,5.936,5.936,5.936,5.936,713,0
2017-10-16,13:25:00,5.934,5.934,5.934,5.934,20,0
2017-10-16,13:55:00,5.934,5.934,5.934,5.934,11,0
2017-10-16,14:05:00,5.934,5.934,5.929,5.929,102,0
2017-10-16,14:10:00,5.922,5.922,5.922,5.922,282,0
2017-10-16,14:25:00,5.928,5.928,5.928,5.928,40,0
2017-10-16,14:35:00,5.927,5.927,5.927,5.927,714,0
2017-10-16,14:40:00,5.923,5.923,5.923,5.923,434,0
