Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-07-20,17:10:00,5.451,5.451,5.451,5.451,1000,0
2016-07-21,11:45:00,5.489,5.489,5.489,5.489,82,0
2016-07-21,15:10:00,5.4,5.4,5.4,5.4,37,0
2016-07-21,17:30:00,5.399,5.399,5.399,5.399,13,0
2016-07-25,11:30:00,5.498,5.498,5.498,5.498,150,0
2016-07-25,14:05:00,5.4,5.4,5.4,5.4,200,0
2016-07-25,16:50:00,5.224,5.224,5.224,5.224,82,0
2016-07-26,10:15:00,5.23,5.23,5.23,5.23,200,0
2016-07-27,09:30:00,5.373,5.373,5.373,5.373,335,0
2016-07-27,10:50:00,5.373,5.373,5.373,5.373,186,0
2016-07-27,14:05:00,5.373,5.373,5.373,5.373,115,0
2016-07-29,09:05:00,5.381,5.384,5.381,5.384,610,0
2016-07-29,09:30:00,5.408,5.408,5.408,5.408,1530,0
2016-07-29,11:30:00,5.3,5.3,5.3,5.3,300,0
2016-07-29,17:30:00,5.251,5.251,5.251,5.251,300,0
2016-08-01,09:15:00,5.55,5.687,5.55,5.687,1600,0
2016-08-01,10:10:00,5.551,5.551,5.551,5.551,210,0
2016-08-01,11:20:00,5.649,5.649,5.649,5.649,380,0
2016-08-01,11:35:00,5.648,5.653,5.648,5.653,2000,0
2016-08-01,12:20:00,5.501,5.501,5.501,5.501,400,0
2016-08-01,14:10:00,5.652,5.652,5.652,5.652,30,0
2016-08-01,15:30:00,5.503,5.503,5.496,5.496,2000,0
2016-08-01,16:20:00,5.65,5.65,5.65,5.65,370,0
2016-08-01,17:30:00,5.55,5.55,5.55,5.55,30,0
2016-08-02,09:05:00,5.43,5.7,5.43,5.7,1241,0
2016-08-02,15:35:00,5.607,5.607,5.607,5.607,122,0
2016-08-02,17:30:00,5.53,5.53,5.53,5.53,522,0
2016-08-03,11:05:00,5.398,5.398,5.398,5.398,500,0
2016-08-03,12:35:00,5.347,5.347,5.347,5.347,245,0
2016-08-03,12:45:00,5.419,5.419,5.419,5.419,932,0
2016-08-03,14:40:00,5.419,5.419,5.419,5.419,528,0
2016-08-03,17:15:00,5.42,5.42,5.42,5.42,5,0
2016-08-03,17:20:00,5.42,5.42,5.42,5.42,45,0
2016-08-03,17:30:00,5.42,5.42,5.42,5.42,435,0
2016-08-04,10:15:00,5.419,5.469,5.419,5.469,500,0
2016-08-04,11:20:00,5.283,5.283,5.282,5.282,310,0
2016-08-04,12:25:00,5.469,5.47,5.469,5.47,520,0
2016-08-04,12:30:00,5.55,5.55,5.55,5.55,395,0
2016-08-04,14:05:00,5.549,5.55,5.549,5.55,500,0
2016-08-04,17:30:00,5.56,5.56,5.56,5.56,689,0
2016-08-05,11:25:00,5.499,5.499,5.499,5.499,500,0
2016-08-05,12:25:00,5.5,5.5,5.5,5.5,174,0
2016-08-05,14:15:00,5.5,5.579,5.5,5.579,500,0
2016-08-05,17:30:00,5.5,5.5,5.5,5.5,414,0
2016-08-08,10:55:00,5.406,5.406,5.405,5.405,1200,0
2016-08-08,17:30:00,5.391,5.391,5.391,5.391,318,0
2016-08-09,09:25:00,5.36,5.36,5.36,5.36,513,0
2016-08-09,11:25:00,5.549,5.549,5.549,5.549,200,0
2016-08-09,14:30:00,5.539,5.539,5.344,5.344,409,0
2016-08-10,12:00:00,5.36,5.36,5.36,5.36,300,0
2016-08-10,13:45:00,5.36,5.36,5.36,5.36,200,0
2016-08-10,15:25:00,5.499,5.5,5.499,5.5,1068,0
2016-08-11,09:05:00,5.53,5.53,5.53,5.53,80,0
2016-08-11,16:10:00,5.357,5.357,5.357,5.357,160,0
2016-08-11,17:30:00,5.5,5.5,5.5,5.5,258,0
2016-08-16,09:05:00,5.524,5.524,5.524,5.524,400,0
2016-08-16,14:10:00,5.356,5.356,5.356,5.356,23,0
2016-08-16,15:20:00,5.522,5.522,5.522,5.522,1000,0
2016-08-16,17:30:00,5.515,5.515,5.515,5.515,247,0
2016-08-22,09:50:00,5.4,5.4,5.4,5.4,200,0
2016-08-22,13:30:00,5.355,5.355,5.355,5.355,250,0
2016-08-23,10:10:00,5.356,5.356,5.355,5.355,876,0
2016-08-23,10:25:00,5.4,5.4,5.4,5.4,200,0
2016-08-23,10:30:00,5.4,5.4,5.4,5.4,200,0
2016-08-23,11:35:00,5.4,5.4,5.4,5.4,200,0
2016-08-23,11:55:00,5.4,5.4,5.4,5.4,200,0
2016-08-23,12:20:00,5.38,5.38,5.38,5.38,200,0
2016-08-23,14:20:00,5.38,5.38,5.38,5.38,200,0
2016-08-24,09:05:00,5.32,5.32,5.32,5.32,55,0
2016-08-24,11:15:00,5.489,5.489,5.489,5.489,500,0
2016-08-24,11:20:00,5.489,5.49,5.489,5.49,439,0
2016-08-24,11:35:00,5.489,5.489,5.489,5.489,6,0
2016-08-24,11:40:00,5.488,5.489,5.488,5.489,500,0
2016-08-25,09:05:00,5.515,5.515,5.515,5.515,87,0
2016-08-25,17:30:00,5.544,5.544,5.544,5.544,523,0
2016-08-26,11:55:00,5.401,5.401,5.38,5.38,1909,0
2016-08-26,15:40:00,5.31,5.31,5.274,5.274,1091,0
2016-08-26,17:30:00,5.247,5.247,5.247,5.247,352,0
2016-08-29,10:25:00,5.242,5.242,5.241,5.241,2000,0
2016-08-29,11:00:00,5.37,5.37,5.37,5.37,202,0
2016-08-30,13:15:00,5.423,5.423,5.423,5.423,500,0
2016-08-30,13:20:00,5.424,5.424,5.424,5.424,2000,0
2016-08-30,15:05:00,5.305,5.305,5.305,5.305,200,0
2016-08-31,09:45:00,5.305,5.305,5.305,5.305,856,0
2016-08-31,10:10:00,5.245,5.245,5.2,5.2,1041,0
2016-08-31,10:15:00,5.11,5.11,5.105,5.105,400,0
2016-08-31,12:10:00,5,5,5,5,400,0
2016-08-31,13:35:00,5,5,4.995,4.995,1144,0
2016-08-31,16:10:00,4.95,4.95,4.95,4.95,60,0
2016-08-31,17:05:00,4.95,4.95,4.95,4.95,420,0
2016-09-02,12:10:00,4.803,4.803,4.803,4.803,2000,0
2016-09-02,12:15:00,4.756,4.944,4.756,4.944,1400,0
2016-09-02,12:20:00,5.099,5.099,5.099,5.099,21,0
2016-09-02,12:30:00,4.92,4.92,4.92,4.92,300,0
2016-09-02,16:15:00,4.801,4.801,4.801,4.801,245,0
2016-09-05,09:45:00,4.8,4.8,4.8,4.8,280,0
2016-09-05,11:45:00,4.88,4.88,4.88,4.88,300,0
2016-09-05,17:25:00,4.8,4.8,4.8,4.8,620,0
2016-09-06,09:05:00,4.65,4.65,4.65,4.65,1613,0
2016-09-06,11:40:00,4.599,4.6,4.599,4.6,1020,0
2016-09-06,13:25:00,4.599,4.6,4.599,4.6,1023,0
2016-09-06,13:30:00,4.6,4.6,4.6,4.6,277,0
2016-09-06,14:05:00,4.442,4.442,4.441,4.441,223,0
2016-09-06,14:30:00,4.442,4.442,4.442,4.442,22,0
2016-09-06,15:55:00,4.64,4.64,4.64,4.64,448,0
2016-09-06,16:00:00,4.589,4.589,4.589,4.589,248,0
2016-09-06,17:30:00,4.629,4.629,4.629,4.629,200,0
2016-09-07,12:50:00,4.44,4.44,4.439,4.439,400,0
2016-09-07,14:20:00,4.708,4.708,4.7,4.7,1140,0
2016-09-08,12:30:00,4.759,4.76,4.759,4.76,2499,0
2016-09-08,16:15:00,4.849,4.849,4.849,4.849,118,0
2016-09-08,17:05:00,4.886,4.886,4.886,4.886,697,0
2016-09-09,11:25:00,4.8,4.8,4.8,4.8,500,0
2016-09-09,13:10:00,4.9,4.988,4.9,4.988,4000,0
2016-09-09,13:15:00,5.122,5.2,5.122,5.2,3002,0
2016-09-09,17:30:00,4.981,5.15,4.981,5.05,4096,0
2016-09-12,13:35:00,5.05,5.05,5.05,5.05,349,0
2016-09-12,16:35:00,5.05,5.05,5.05,5.05,200,0
2016-09-12,17:30:00,5.1,5.1,5.1,5.1,499,0
2016-09-13,16:10:00,5.16,5.16,5.16,5.16,500,0
2016-09-13,17:30:00,5.21,5.21,5.21,5.21,1000,0
2016-09-14,11:00:00,5.287,5.287,5.287,5.287,586,0
2016-09-14,11:05:00,5.288,5.288,5.288,5.288,1140,0
2016-09-15,09:55:00,5.103,5.103,5.103,5.103,162,0
2016-09-15,10:20:00,5.121,5.121,5.121,5.121,591,0
2016-09-15,10:25:00,5.121,5.121,5.121,5.121,409,0
2016-09-15,10:50:00,5.199,5.2,5.199,5.2,591,0
2016-09-15,11:10:00,5.2,5.2,5.2,5.2,1720,0
2016-09-15,11:30:00,5.2,5.2,5.2,5.2,995,0
2016-09-15,15:15:00,5.349,5.35,5.349,5.35,300,0
2016-09-15,16:25:00,5.3,5.3,5.3,5.3,200,0
2016-09-15,16:30:00,5.3,5.3,5.3,5.3,610,0
2016-09-16,09:25:00,5.25,5.25,5.25,5.25,96,0
2016-09-16,17:00:00,5.108,5.108,5.108,5.108,94,0
2016-09-19,09:40:00,5.061,5.061,5.061,5.061,100,0
2016-09-19,10:50:00,5.16,5.16,5.16,5.16,81,0
2016-09-23,12:55:00,5.057,5.057,5.056,5.056,2300,0
2016-09-26,10:20:00,4.859,4.859,4.859,4.859,1,0
2016-09-27,11:20:00,5.05,5.05,5.05,5.05,275,0
2016-09-28,17:00:00,5.119,5.119,5.119,5.119,35,0
