Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-10-25,09:05:00,8.8,8.84,8.8,8.84,9270,0
2017-10-25,09:10:00,8.84,8.84,8.821,8.821,3732,0
2017-10-25,09:15:00,8.821,8.833,8.807,8.807,10554,0
2017-10-25,09:20:00,8.819,8.821,8.809,8.81,3934,0
2017-10-25,09:25:00,8.81,8.81,8.807,8.807,1094,0
2017-10-25,09:30:00,8.809,8.822,8.809,8.822,6055,0
2017-10-25,09:35:00,8.829,8.829,8.81,8.81,1742,0
2017-10-25,09:40:00,8.827,8.833,8.816,8.833,3134,0
2017-10-25,09:45:00,8.836,8.882,8.829,8.85,26476,0
2017-10-25,09:50:00,8.854,8.862,8.777,8.777,43094,0
2017-10-25,09:55:00,8.771,8.8,8.766,8.8,6633,0
2017-10-25,10:00:00,8.799,8.799,8.799,8.799,717,0
2017-10-25,10:05:00,8.782,8.79,8.782,8.79,1509,0
2017-10-25,10:10:00,8.784,8.79,8.782,8.782,6087,0
2017-10-25,10:15:00,8.781,8.781,8.763,8.763,11286,0
2017-10-25,10:20:00,8.766,8.767,8.763,8.763,4129,0
2017-10-25,10:25:00,8.752,8.758,8.752,8.755,1210,0
2017-10-25,10:30:00,8.753,8.77,8.75,8.77,3528,0
2017-10-25,10:35:00,8.771,8.828,8.746,8.76,56318,0
2017-10-25,10:40:00,8.773,8.773,8.755,8.773,2023,0
2017-10-25,10:45:00,8.764,8.764,8.76,8.76,1572,0
2017-10-25,10:50:00,8.761,8.775,8.761,8.775,549,0
2017-10-25,10:55:00,8.778,8.778,8.74,8.74,17978,0
2017-10-25,11:00:00,8.736,8.758,8.736,8.748,7771,0
2017-10-25,11:05:00,8.761,8.761,8.731,8.745,17790,0
2017-10-25,11:10:00,8.759,8.762,8.759,8.762,2652,0
2017-10-25,11:15:00,8.761,8.77,8.757,8.757,4214,0
2017-10-25,11:25:00,8.78,8.785,8.78,8.785,4000,0
2017-10-25,11:30:00,8.782,8.8,8.782,8.799,9431,0
2017-10-25,11:40:00,8.8,8.8,8.8,8.8,1842,0
