Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-03-20,09:05:00,623.02,623.02,623.02,623.02,42,0
2017-03-20,10:25:00,625.86,625.86,625.86,625.86,18,0
2017-03-20,10:50:00,625.91,625.91,625.91,625.91,18,0
2017-03-20,10:55:00,628,628,628,628,30,0
2017-03-20,12:35:00,629.99,629.99,629.99,629.99,15,0
2017-03-20,12:55:00,629.99,629.99,627.55,627.55,15,0
2017-03-20,13:05:00,633.98,633.98,633.98,633.98,3,0
2017-03-20,15:10:00,633.98,633.98,633.98,633.98,4,0
2017-03-20,15:40:00,631.99,633.98,631.99,633.98,12,0
2017-03-21,11:15:00,636.52,636.52,636.52,636.52,1,0
2017-03-21,12:00:00,639.96,640.91,639.96,640.91,19,0
2017-03-21,12:35:00,640.91,640.91,640.91,640.91,19,0
2017-03-21,12:50:00,640.96,640.96,640.96,640.96,1,0
2017-03-21,14:35:00,639.26,639.26,639.26,639.26,2,0
2017-03-21,16:40:00,639.26,639.26,639.26,639.26,3,0
2017-03-21,17:00:00,639.26,639.26,639.26,639.26,15,0
2017-03-22,10:15:00,631.09,631.09,631.04,631.04,10,0
2017-03-22,11:20:00,637.17,637.17,637.17,637.17,5,0
2017-03-23,09:05:00,637.42,637.42,637.42,637.42,2,0
2017-03-23,11:40:00,632.98,632.98,632.98,632.98,15,0
2017-03-23,13:50:00,637.37,637.42,637.37,637.42,31,0
2017-03-24,10:50:00,631.04,631.04,630.99,630.99,21,0
2017-03-24,15:25:00,631.04,631.04,631.04,631.04,12,0
2017-03-27,09:05:00,630.99,635.92,628,628,34,0
2017-03-27,13:15:00,632.98,632.98,632.98,632.98,24,0
2017-03-27,13:45:00,633.98,633.98,633.98,633.98,2,0
2017-03-27,13:55:00,632.98,632.98,632.98,632.98,5,0
2017-03-27,16:30:00,632.98,632.98,632.98,632.98,5,0
2017-03-27,17:15:00,632.98,632.98,632.98,632.98,5,0
2017-03-27,17:30:00,630.34,630.34,630.34,630.34,5,0
2017-03-28,09:05:00,634.48,634.48,630.34,630.34,2,0
2017-03-28,10:15:00,635.92,635.97,635.92,635.97,35,0
2017-03-28,11:20:00,637.42,642.15,637.42,642.15,40,0
2017-03-28,11:40:00,642.11,642.95,642.11,642.95,40,0
2017-03-28,12:35:00,635.97,635.97,634.48,634.48,32,0
2017-03-28,14:35:00,634.43,634.43,634.43,634.43,9,0
2017-03-28,14:45:00,634.43,634.43,634.43,634.43,18,0
2017-03-28,14:50:00,634.43,634.43,634.43,634.43,3,0
2017-03-28,15:05:00,634.43,634.43,634.43,634.43,4,0
2017-03-29,09:05:00,635.97,635.97,634.43,634.43,17,0
2017-03-29,16:55:00,633.93,633.93,628,628,39,0
2017-03-30,12:30:00,629.59,629.59,629.59,629.59,1,0
2017-03-30,14:25:00,633.98,633.98,633.98,633.98,1,0
2017-03-30,17:30:00,630.49,630.49,630.49,630.49,1,0
2017-03-31,09:05:00,630.99,638.27,630.99,638.27,2,0
2017-03-31,09:35:00,632.98,632.98,632.98,632.98,2,0
2017-03-31,10:50:00,637.22,639.86,637.22,639.86,42,0
2017-03-31,10:55:00,631.24,631.24,631.24,631.24,24,0
2017-03-31,11:00:00,639.86,642.15,639.86,642.15,47,0
2017-03-31,13:35:00,640.31,640.31,640.31,640.31,14,0
2017-03-31,14:05:00,640.26,640.26,640.26,640.26,14,0
2017-03-31,17:30:00,638.87,638.87,638.87,638.87,10,0
2017-04-03,09:05:00,640.31,640.31,640.31,640.31,2,0
2017-04-03,10:10:00,635.48,635.48,635.48,635.48,1,0
2017-04-03,11:25:00,637.97,637.97,637.97,637.97,1,0
2017-04-03,12:40:00,642.9,642.9,642.9,642.9,6,0
2017-04-04,16:05:00,640.11,640.11,640.11,640.11,7,0
2017-04-04,16:10:00,639.96,642.9,637.97,642.9,48,0
2017-04-04,17:30:00,637.97,637.97,637.97,637.97,2,0
2017-04-05,09:05:00,637.97,637.97,637.97,637.97,26,0
2017-04-05,11:05:00,638.97,638.97,637.97,637.97,15,0
2017-04-05,11:25:00,642.9,642.95,642.9,642.95,22,0
2017-04-05,11:55:00,645.69,645.69,645.69,645.69,5,0
2017-04-05,12:30:00,645.69,645.84,645.69,645.84,30,0
2017-04-05,14:00:00,647.69,647.94,647.69,647.94,30,0
2017-04-05,15:05:00,650.93,650.93,650.93,650.93,10,0
2017-04-06,09:05:00,640.91,640.91,640.91,640.91,12,0
2017-04-06,15:00:00,639.21,639.21,639.21,639.21,3,0
2017-04-06,17:30:00,644.95,644.95,644.95,644.95,1,0
2017-04-07,09:15:00,637.02,637.02,637.02,637.02,25,0
2017-04-07,09:20:00,630.99,630.99,630.99,630.99,15,0
2017-04-07,09:30:00,632.98,632.98,632.98,632.98,10,0
2017-04-07,10:10:00,634.98,634.98,634.98,634.98,1,0
2017-04-07,11:50:00,630.99,634.98,630.99,634.98,6,0
2017-04-07,14:00:00,634.98,637.42,634.98,637.42,19,0
2017-04-07,14:55:00,637.42,637.42,637.42,637.42,1,0
2017-04-07,17:30:00,635.03,635.03,635.03,635.03,10,0
2017-04-11,10:35:00,633.03,633.03,632.98,632.98,8,0
2017-04-12,09:05:00,632.98,632.98,632.98,632.98,2,0
2017-04-12,17:30:00,630.39,630.39,630.39,630.39,5,0
2017-04-13,09:15:00,637.72,637.72,637.72,637.72,3,0
2017-04-13,10:40:00,628.15,628.15,628.15,628.15,2,0
2017-04-13,17:30:00,632.98,632.98,632.98,632.98,4,0
2017-04-18,09:05:00,644.95,644.95,644.95,644.95,5,0
2017-04-18,09:40:00,638.97,638.97,638.97,638.97,21,0
2017-04-18,10:40:00,638.97,638.97,638.97,638.97,8,0
