Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-08-28,09:10:00,23.865,23.93,23.86,23.93,228,0
2017-08-28,09:45:00,23.93,23.995,23.93,23.995,28,0
2017-08-28,11:35:00,24.065,24.065,24.065,24.065,17,0
2017-08-28,12:50:00,24.065,24.065,24.065,24.065,8,0
2017-08-28,15:40:00,24.13,24.13,24.13,24.13,25,0
2017-08-28,15:45:00,24.155,24.315,24.155,24.315,300,0
2017-08-28,17:05:00,24.31,24.31,24.31,24.31,3,0
2017-08-28,17:30:00,24.005,24.005,23.75,23.75,28,0
2017-08-29,09:05:00,23.62,23.68,23.62,23.68,50,0
2017-08-29,09:10:00,23.67,23.67,23.51,23.51,640,0
2017-08-29,09:20:00,23.68,23.68,23.55,23.55,72,0
2017-08-29,09:45:00,23.59,23.59,23.59,23.59,3,0
2017-08-29,09:50:00,23.55,23.55,23.55,23.55,16,0
2017-08-29,10:15:00,23.615,23.615,23.615,23.615,26,0
2017-08-29,11:20:00,23.635,23.635,23.575,23.575,685,0
2017-08-29,11:30:00,23.73,23.905,23.73,23.905,977,0
2017-08-29,11:40:00,23.89,23.905,23.885,23.885,430,0
2017-08-29,11:45:00,23.9,23.91,23.9,23.9,651,0
2017-08-29,12:05:00,24.33,24.335,24.305,24.305,820,0
2017-08-29,12:15:00,24.295,24.305,24.295,24.305,450,0
2017-08-29,12:20:00,24.285,24.29,24.28,24.28,380,0
2017-08-29,12:40:00,24.28,24.28,24.28,24.28,216,0
2017-08-29,13:20:00,24.12,24.12,24.12,24.12,16,0
2017-08-29,13:35:00,24.495,24.495,24.495,24.495,48,0
2017-08-29,14:00:00,24.49,24.49,24.49,24.49,15,0
2017-08-29,15:55:00,24.595,24.595,24.595,24.595,3,0
2017-08-29,16:35:00,24.28,24.28,24.28,24.28,16,0
2017-08-29,16:45:00,24.42,24.6,24.42,24.425,429,0
2017-08-29,16:50:00,24.6,24.6,24.6,24.6,429,0
2017-08-29,16:55:00,24.6,24.6,24.6,24.6,312,0
2017-08-29,17:00:00,24.6,24.6,24.6,24.6,190,0
2017-08-29,17:10:00,24.6,24.6,24.6,24.6,16,0
2017-08-29,17:15:00,24.6,24.635,24.6,24.635,684,0
2017-08-29,17:20:00,24.94,24.94,24.94,24.94,7,0
2017-08-29,17:30:00,24.915,24.915,24.65,24.65,105,0
2017-08-30,09:05:00,24.7,24.7,24.7,24.7,7,0
2017-08-30,09:35:00,24.755,24.755,24.755,24.755,38,0
2017-08-30,10:50:00,24.885,25.045,24.885,25.045,300,0
2017-08-30,12:35:00,24.76,24.765,24.76,24.765,63,0
2017-08-30,13:15:00,24.885,24.89,24.885,24.89,201,0
2017-08-30,13:20:00,24.885,24.885,24.885,24.885,22,0
2017-08-30,13:30:00,24.855,24.855,24.855,24.855,12,0
2017-08-30,14:30:00,24.855,24.995,24.855,24.995,200,0
2017-08-30,15:40:00,24.84,24.84,24.84,24.84,50,0
2017-08-30,15:55:00,24.75,24.75,24.75,24.75,6,0
2017-08-30,16:00:00,24.75,24.75,24.75,24.75,37,0
2017-08-30,16:05:00,24.75,24.75,24.75,24.75,16,0
2017-08-30,16:10:00,24.765,24.765,24.75,24.75,251,0
2017-08-30,16:40:00,24.7,24.7,24.685,24.685,101,0
2017-08-30,16:45:00,24.685,24.805,24.685,24.805,131,0
2017-08-30,17:25:00,24.685,24.685,24.685,24.685,109,0
2017-08-30,17:30:00,24.68,24.68,24.68,24.68,327,0
2017-08-31,10:00:00,24.75,24.75,24.69,24.75,644,0
2017-08-31,11:00:00,24.69,24.69,24.685,24.685,76,0
2017-08-31,11:05:00,24.685,24.685,24.685,24.685,15,0
2017-08-31,11:35:00,24.685,24.685,24.685,24.685,28,0
2017-08-31,12:30:00,24.745,24.745,24.745,24.745,11,0
2017-08-31,13:00:00,24.685,24.685,24.685,24.685,22,0
2017-08-31,14:50:00,24.68,24.68,24.68,24.68,47,0
2017-08-31,15:10:00,24.745,24.75,24.685,24.685,646,0
2017-08-31,15:25:00,24.685,24.685,24.685,24.685,83,0
2017-08-31,15:50:00,24.75,24.75,24.75,24.75,176,0
2017-08-31,16:00:00,24.75,24.75,24.68,24.68,154,0
2017-08-31,16:30:00,24.75,24.75,24.68,24.68,247,0
2017-08-31,16:40:00,24.605,24.605,24.6,24.6,356,0
2017-08-31,16:45:00,24.6,24.6,24.6,24.6,98,0
2017-08-31,16:55:00,24.6,24.6,24.6,24.6,148,0
2017-08-31,17:10:00,24.6,24.6,24.6,24.6,74,0
2017-08-31,17:15:00,24.6,24.6,24.6,24.6,19,0
2017-08-31,17:20:00,24.6,24.6,24.6,24.6,18,0
2017-08-31,17:25:00,24.6,24.6,24.6,24.6,8,0
2017-08-31,17:30:00,24.6,24.605,24.6,24.605,294,0
2017-09-01,11:30:00,24.65,24.65,24.65,24.65,35,0
2017-09-01,15:35:00,24.65,24.65,24.6,24.605,449,0
2017-09-01,15:45:00,24.71,24.71,24.71,24.71,11,0
2017-09-01,15:55:00,24.645,24.645,24.645,24.645,34,0
2017-09-01,17:15:00,24.7,24.7,24.7,24.7,50,0
2017-09-01,17:30:00,24.7,24.7,24.7,24.7,412,0
2017-09-04,10:35:00,24.625,24.625,24.6,24.6,273,0
2017-09-04,11:15:00,24.6,24.6,24.6,24.6,8,0
2017-09-04,11:30:00,24.6,24.6,24.6,24.6,9,0
2017-09-04,11:40:00,24.605,24.605,24.6,24.6,17,0
2017-09-04,11:55:00,24.615,24.615,24.615,24.615,2,0
2017-09-04,13:10:00,24.605,24.605,24.605,24.605,12,0
2017-09-04,13:15:00,24.605,24.605,24.605,24.605,1,0
2017-09-04,14:30:00,24.605,24.605,24.6,24.6,164,0
2017-09-04,14:35:00,24.6,24.6,24.6,24.6,7,0
2017-09-04,15:05:00,24.6,24.6,24.6,24.6,196,0
2017-09-04,15:20:00,24.6,24.6,24.6,24.6,1,0
2017-09-04,16:00:00,24.6,24.6,24.6,24.6,29,0
2017-09-04,16:55:00,24.505,24.54,24.505,24.505,41,0
2017-09-04,17:00:00,24.56,24.56,24.56,24.56,1,0
2017-09-04,17:25:00,24.56,24.56,24.51,24.51,8,0
2017-09-04,17:30:00,24.515,24.745,24.515,24.645,138,0
2017-09-05,10:00:00,24.505,24.505,24.505,24.505,12,0
2017-09-05,10:25:00,24.5,24.5,24.4,24.4,1779,0
2017-09-05,10:30:00,24.4,24.4,24.2,24.205,776,0
2017-09-05,11:20:00,24.215,24.215,24.215,24.215,47,0
2017-09-05,13:20:00,24.415,24.415,24.415,24.415,100,0
2017-09-05,14:05:00,24.335,24.335,24.025,24.235,680,0
2017-09-05,14:15:00,24.135,24.135,24.135,24.135,216,0
2017-09-05,14:25:00,24.2,24.2,24.2,24.2,83,0
