Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-12-03,09:05:00,3.1427,3.1427,3.1417,3.1417,1050,0
2015-12-03,09:40:00,3.1427,3.1427,3.1427,3.1427,1116,0
2015-12-03,10:55:00,3.1417,3.1417,3.1417,3.1417,949,0
2015-12-03,11:00:00,3.1417,3.1417,3.1417,3.1417,312,0
2015-12-03,11:10:00,3.1227,3.1227,3.1227,3.1227,4202,0
2015-12-03,17:10:00,3.1331,3.1331,3.1227,3.1227,1575,0
2015-12-03,17:30:00,3.1227,3.1227,3.1227,3.1227,1119,0
2015-12-04,16:00:00,3.1893,3.1893,3.1893,3.1893,903,0
2015-12-04,16:50:00,3.1893,3.1893,3.1893,3.1893,2101,0
2015-12-09,15:20:00,3.1331,3.1331,3.1322,3.1322,315,0
2015-12-09,17:30:00,3.1322,3.1322,3.1322,3.1322,1999,0
2015-12-10,17:30:00,3.1331,3.1331,3.1331,3.1331,472,0
2015-12-11,11:20:00,3.2521,3.2521,3.2521,3.2521,525,0
2015-12-14,15:00:00,3.2845,3.2845,3.2845,3.2845,439,0
2015-12-14,16:10:00,3.2855,3.2855,3.2855,3.2855,32,0
2015-12-14,17:30:00,3.2845,3.2845,3.2845,3.2845,32,0
2015-12-16,17:10:00,3.2283,3.2283,3.2283,3.2283,21,0
2015-12-16,17:30:00,3.2273,3.2273,3.2273,3.2273,21,0
2015-12-17,14:20:00,3.2188,3.2188,3.2188,3.2188,1575,0
2015-12-21,12:55:00,3.1902,3.1902,3.1702,3.1702,709,0
2015-12-28,17:30:00,3.1417,3.1417,3.1417,3.1417,1747,0
2015-12-29,09:10:00,3.1427,3.1427,3.1427,3.1427,470,0
2015-12-29,17:30:00,3.1417,3.1417,3.1417,3.1417,470,0
2015-12-30,09:15:00,3.1427,3.1427,3.1427,3.1427,442,0
2015-12-30,09:20:00,3.1427,3.1427,3.1427,3.1427,1774,0
2015-12-30,09:40:00,3.2464,3.2464,3.1417,3.1417,945,0
2016-01-04,09:20:00,3.1417,3.1417,3.1322,3.1322,1319,0
2016-01-04,09:25:00,3.1322,3.1322,3.1322,3.1322,256,0
2016-01-04,13:30:00,3.1312,3.1312,3.1312,3.1312,210,0
2016-01-05,17:30:00,3.1312,3.1312,3.1312,3.1312,442,0
2016-01-11,09:50:00,3.134,3.134,3.134,3.134,79,0
2016-01-11,10:40:00,3.134,3.134,3.134,3.134,315,0
2016-01-11,17:30:00,3.134,3.134,3.134,3.134,394,0
2016-01-15,15:45:00,3.3321,3.3321,3.3321,3.3321,394,0
2016-01-18,09:05:00,3.3226,3.3226,3.3226,3.3226,525,0
2016-01-18,09:50:00,3.3226,3.3226,3.3226,3.3226,143,0
2016-01-19,11:05:00,3.313,3.313,3.313,3.313,133,0
2016-01-19,12:40:00,3.2369,3.2369,3.2369,3.2369,1050,0
2016-01-19,14:40:00,3.3226,3.3226,3.3226,3.3226,525,0
2016-01-20,11:40:00,3.2845,3.2845,3.2845,3.2845,173,0
2016-01-20,12:40:00,3.2283,3.2283,3.2283,3.2283,841,0
