Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-10-17,09:05:00,45.615,45.615,45.615,45.615,369,0
2017-10-17,09:10:00,45.41,45.41,45.41,45.41,99,0
2017-10-17,09:20:00,45.1,45.1,44.38,44.6,3970,0
2017-10-17,09:25:00,44.595,44.91,44.595,44.91,803,0
2017-10-17,09:35:00,44.705,44.83,44.7,44.7,320,0
2017-10-17,09:40:00,44.705,44.705,44.705,44.705,6,0
2017-10-17,09:50:00,44.69,44.91,44.65,44.65,1200,0
2017-10-17,10:00:00,44.725,44.81,44.725,44.81,457,0
2017-10-17,10:05:00,44.7,44.805,44.625,44.625,548,0
2017-10-17,10:10:00,44.655,44.655,44.655,44.655,80,0
2017-10-17,10:15:00,44.65,44.7,44.505,44.7,512,0
2017-10-17,10:20:00,44.505,44.505,44.505,44.505,50,0
2017-10-17,10:25:00,44.385,44.385,44.3,44.3,999,0
2017-10-17,10:35:00,44.305,44.305,44.305,44.305,144,0
2017-10-17,10:40:00,44.485,44.495,44.45,44.45,498,0
2017-10-17,10:45:00,44.555,44.71,44.555,44.71,479,0
2017-10-17,10:50:00,44.6,44.75,44.6,44.655,1442,0
2017-10-17,10:55:00,44.555,44.555,44.555,44.555,125,0
2017-10-17,11:00:00,44.7,44.745,44.7,44.745,461,0
2017-10-17,11:05:00,44.745,44.8,44.745,44.8,651,0
2017-10-17,11:10:00,44.8,44.8,44.8,44.8,30,0
2017-10-17,11:20:00,44.665,44.665,44.665,44.665,90,0
2017-10-17,11:30:00,44.665,44.665,44.665,44.665,10,0
2017-10-17,11:35:00,44.665,44.67,44.595,44.595,604,0
2017-10-17,11:40:00,44.645,44.77,44.645,44.77,153,0
2017-10-17,11:45:00,44.77,44.77,44.77,44.77,141,0
2017-10-17,12:05:00,44.75,44.77,44.75,44.77,230,0
2017-10-17,12:10:00,44.8,44.8,44.8,44.8,375,0
2017-10-17,12:15:00,44.8,44.8,44.8,44.8,300,0
2017-10-17,12:25:00,44.8,44.8,44.8,44.8,60,0
2017-10-17,12:30:00,44.8,44.995,44.8,44.995,1439,0
2017-10-17,12:35:00,44.965,45.29,44.96,45.29,214,0
2017-10-17,12:40:00,45.27,45.29,45.27,45.29,122,0
2017-10-17,12:50:00,45.2,45.29,45.2,45.29,705,0
2017-10-17,12:55:00,45.205,45.29,45.2,45.29,642,0
2017-10-17,13:05:00,45.29,45.29,45.29,45.29,158,0
2017-10-17,13:15:00,45.29,45.29,45.29,45.29,331,0
2017-10-17,13:20:00,45.22,45.3,45.22,45.3,429,0
2017-10-17,13:35:00,45.49,46.095,45.49,46.095,979,0
2017-10-17,13:45:00,46.2,46.2,46.2,46.2,25,0
2017-10-17,13:50:00,46.2,46.2,46.2,46.2,59,0
2017-10-17,14:00:00,46.115,46.115,46.115,46.115,18,0
2017-10-17,14:05:00,46.115,46.115,46.115,46.115,49,0
2017-10-17,14:15:00,46.055,46.2,46.03,46.2,1484,0
2017-10-17,14:25:00,46.025,46.025,46.005,46.015,404,0
2017-10-17,14:40:00,45.935,45.935,45.935,45.935,41,0
2017-10-17,14:45:00,45.91,46.06,45.91,45.915,279,0
2017-10-17,15:00:00,46.03,46.2,46.03,46.2,1013,0
2017-10-17,15:05:00,46.07,46.07,46.07,46.07,196,0
2017-10-17,15:25:00,46.175,46.175,46.175,46.175,118,0
2017-10-17,15:35:00,46.185,46.375,46.185,46.375,597,0
2017-10-17,15:50:00,46.26,46.26,46.235,46.235,571,0
2017-10-17,15:55:00,46.23,46.23,46.23,46.23,100,0
2017-10-17,16:00:00,46.205,46.205,46.205,46.205,147,0
2017-10-17,16:10:00,46.28,46.28,46.28,46.28,431,0
2017-10-17,16:15:00,46.265,46.38,46.265,46.38,2397,0
2017-10-17,16:20:00,46.375,46.375,46.375,46.375,128,0
2017-10-17,16:30:00,46.38,46.38,46.27,46.27,520,0
2017-10-17,16:40:00,46.355,46.355,46.355,46.355,8,0
2017-10-17,16:45:00,46.27,46.27,46.245,46.255,421,0
2017-10-17,16:50:00,46.165,46.165,46,46,364,0
2017-10-17,16:55:00,46,46,45.72,45.86,620,0
2017-10-17,17:05:00,45.94,45.94,45.94,45.94,228,0
2017-10-17,17:10:00,46.07,46.15,46.07,46.15,119,0
2017-10-17,17:15:00,46.23,46.23,46.23,46.23,14,0
2017-10-17,17:20:00,46.23,46.23,46.195,46.195,113,0
2017-10-17,17:30:00,46.23,46.45,46.195,46.45,1118,0
2017-10-18,09:05:00,46.335,46.335,46.3,46.325,1248,0
2017-10-18,09:10:00,46.34,46.35,46.3,46.35,634,0
2017-10-18,09:15:00,46.3,46.3,46.3,46.3,651,0
2017-10-18,09:20:00,46.3,46.3,46.095,46.135,1048,0
2017-10-18,09:25:00,46.01,46.01,45.755,45.755,986,0
2017-10-18,09:30:00,45.8,45.8,45.58,45.58,238,0
2017-10-18,09:35:00,45.525,45.69,45.525,45.675,449,0
2017-10-18,09:40:00,45.675,45.69,45.675,45.69,250,0
2017-10-18,09:45:00,45.7,45.7,45.7,45.7,214,0
2017-10-18,10:00:00,45.665,45.665,45.665,45.665,54,0
2017-10-18,10:10:00,45.77,45.77,45.77,45.77,149,0
2017-10-18,10:25:00,45.585,45.585,45.31,45.44,846,0
2017-10-18,10:30:00,45.355,45.38,45.355,45.38,120,0
2017-10-18,10:40:00,45.51,45.55,45.51,45.54,546,0
2017-10-18,11:00:00,45.585,45.585,45.585,45.585,117,0
2017-10-18,11:15:00,45.56,45.56,45.56,45.56,7,0
2017-10-18,11:30:00,45.805,45.84,45.805,45.84,145,0
2017-10-18,11:45:00,45.71,45.795,45.65,45.795,313,0
2017-10-18,11:50:00,45.825,45.825,45.825,45.825,115,0
2017-10-18,12:15:00,45.825,45.825,45.79,45.8,50,0
2017-10-18,12:20:00,45.8,45.8,45.79,45.79,414,0
2017-10-18,12:30:00,45.675,45.675,45.675,45.675,110,0
2017-10-18,12:35:00,45.64,45.785,45.64,45.785,155,0
2017-10-18,12:45:00,45.77,45.795,45.77,45.795,241,0
2017-10-18,12:55:00,45.8,45.8,45.8,45.8,194,0
2017-10-18,13:00:00,45.8,45.8,45.8,45.8,15,0
2017-10-18,13:05:00,45.78,45.8,45.78,45.8,317,0
2017-10-18,13:20:00,45.61,45.775,45.61,45.775,33,0
2017-10-18,13:35:00,45.74,45.74,45.74,45.74,3,0
2017-10-18,13:40:00,45.7,45.775,45.7,45.775,54,0
2017-10-18,13:45:00,45.77,45.77,45.77,45.77,150,0
2017-10-18,13:55:00,45.765,45.82,45.695,45.82,1132,0
2017-10-18,14:00:00,45.82,45.82,45.82,45.82,20,0
2017-10-18,14:10:00,45.695,45.695,45.695,45.695,11,0
2017-10-18,14:15:00,45.6,45.6,45.6,45.6,76,0
2017-10-18,14:30:00,45.695,45.695,45.695,45.695,1,0
2017-10-18,14:50:00,45.645,45.73,45.645,45.73,232,0
2017-10-18,14:55:00,45.685,45.685,45.54,45.54,474,0
