Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-10-04,09:05:00,2.719,2.719,2.719,2.719,3000,0
2017-10-04,09:20:00,2.7,2.7,2.694,2.694,1015,0
2017-10-04,09:45:00,2.689,2.706,2.689,2.706,15284,0
2017-10-04,09:50:00,2.7,2.7,2.695,2.695,2000,0
2017-10-04,09:55:00,2.68,2.68,2.68,2.68,4000,0
2017-10-04,10:00:00,2.683,2.694,2.683,2.683,7543,0
2017-10-04,10:05:00,2.682,2.682,2.682,2.682,987,0
2017-10-04,10:10:00,2.682,2.682,2.682,2.682,442,0
2017-10-04,10:15:00,2.69,2.69,2.69,2.69,100,0
2017-10-04,10:30:00,2.688,2.693,2.68,2.693,3586,0
2017-10-04,10:45:00,2.696,2.7,2.696,2.7,2500,0
2017-10-04,10:50:00,2.686,2.686,2.686,2.686,132,0
2017-10-04,10:55:00,2.69,2.69,2.69,2.69,200,0
2017-10-04,11:00:00,2.69,2.69,2.69,2.69,1200,0
2017-10-04,11:05:00,2.69,2.69,2.662,2.662,10150,0
2017-10-04,11:10:00,2.668,2.678,2.666,2.668,6123,0
2017-10-04,11:15:00,2.674,2.675,2.663,2.663,4836,0
2017-10-04,11:20:00,2.675,2.679,2.675,2.679,2676,0
2017-10-04,11:30:00,2.683,2.684,2.683,2.684,660,0
2017-10-04,11:35:00,2.684,2.685,2.68,2.685,4072,0
2017-10-04,11:40:00,2.672,2.672,2.672,2.672,2400,0
2017-10-04,11:45:00,2.68,2.68,2.667,2.667,5940,0
2017-10-04,11:55:00,2.666,2.675,2.664,2.675,2166,0
2017-10-04,12:00:00,2.67,2.67,2.67,2.67,757,0
2017-10-04,12:05:00,2.675,2.675,2.672,2.672,1957,0
2017-10-04,12:15:00,2.675,2.675,2.675,2.675,1100,0
2017-10-04,12:40:00,2.672,2.672,2.672,2.672,8585,0
2017-10-04,12:45:00,2.675,2.675,2.672,2.672,10636,0
2017-10-04,12:50:00,2.672,2.672,2.672,2.672,200,0
2017-10-04,13:00:00,2.675,2.69,2.663,2.663,37177,0
2017-10-04,13:05:00,2.662,2.668,2.655,2.668,8518,0
2017-10-04,13:15:00,2.662,2.663,2.662,2.663,1168,0
2017-10-04,13:20:00,2.67,2.67,2.67,2.67,1071,0
2017-10-04,13:25:00,2.667,2.667,2.662,2.667,2000,0
2017-10-04,13:30:00,2.655,2.655,2.655,2.655,400,0
2017-10-04,13:40:00,2.662,2.662,2.657,2.657,2585,0
2017-10-04,13:45:00,2.662,2.662,2.662,2.662,2040,0
2017-10-04,14:00:00,2.662,2.662,2.662,2.662,1103,0
2017-10-04,14:15:00,2.654,2.654,2.639,2.639,12182,0
2017-10-04,14:20:00,2.639,2.639,2.639,2.639,607,0
2017-10-04,14:25:00,2.639,2.639,2.639,2.639,710,0
2017-10-04,14:45:00,2.645,2.649,2.645,2.649,550,0
2017-10-04,14:50:00,2.64,2.658,2.64,2.64,4376,0
2017-10-04,15:00:00,2.641,2.642,2.64,2.64,2842,0
2017-10-04,15:05:00,2.65,2.65,2.65,2.65,1020,0
2017-10-04,15:15:00,2.65,2.65,2.65,2.65,132,0
2017-10-04,15:25:00,2.655,2.655,2.655,2.655,1115,0
2017-10-04,15:30:00,2.659,2.659,2.659,2.659,934,0
2017-10-04,15:45:00,2.655,2.655,2.655,2.655,2396,0
2017-10-04,15:50:00,2.656,2.656,2.656,2.656,5000,0
2017-10-04,16:20:00,2.656,2.656,2.656,2.656,1077,0
2017-10-04,16:30:00,2.653,2.653,2.653,2.653,40,0
2017-10-04,16:35:00,2.658,2.66,2.65,2.65,3800,0
2017-10-04,16:40:00,2.66,2.66,2.651,2.651,3320,0
2017-10-04,16:45:00,2.66,2.66,2.66,2.66,500,0
2017-10-04,16:50:00,2.66,2.66,2.642,2.642,5700,0
2017-10-04,16:55:00,2.642,2.642,2.642,2.642,1889,0
2017-10-04,17:00:00,2.65,2.658,2.65,2.658,4000,0
2017-10-04,17:05:00,2.65,2.658,2.65,2.655,9168,0
2017-10-04,17:10:00,2.65,2.651,2.65,2.65,4856,0
2017-10-04,17:15:00,2.655,2.655,2.655,2.655,250,0
2017-10-04,17:20:00,2.642,2.642,2.642,2.642,132,0
2017-10-04,17:25:00,2.65,2.654,2.642,2.642,315,0
2017-10-04,17:30:00,2.652,2.66,2.646,2.655,14898,0
2017-10-05,09:05:00,2.624,2.662,2.624,2.662,6750,0
2017-10-05,09:10:00,2.654,2.66,2.65,2.658,3374,0
2017-10-05,09:15:00,2.658,2.661,2.658,2.661,615,0
2017-10-05,09:20:00,2.661,2.671,2.661,2.671,4980,0
2017-10-05,09:25:00,2.658,2.658,2.657,2.657,1049,0
2017-10-05,09:35:00,2.657,2.68,2.657,2.672,5879,0
2017-10-05,09:40:00,2.679,2.684,2.677,2.677,4630,0
2017-10-05,09:45:00,2.679,2.68,2.672,2.68,22706,0
2017-10-05,09:50:00,2.678,2.678,2.678,2.678,1000,0
2017-10-05,09:55:00,2.678,2.678,2.678,2.678,600,0
2017-10-05,10:05:00,2.672,2.672,2.662,2.67,2075,0
2017-10-05,10:10:00,2.67,2.673,2.651,2.662,4971,0
2017-10-05,10:20:00,2.671,2.678,2.671,2.678,2660,0
2017-10-05,10:30:00,2.678,2.68,2.678,2.68,2000,0
2017-10-05,10:45:00,2.678,2.685,2.678,2.678,14762,0
2017-10-05,10:50:00,2.678,2.701,2.678,2.701,1062,0
2017-10-05,10:55:00,2.699,2.723,2.685,2.701,52816,0
2017-10-05,11:00:00,2.701,2.72,2.685,2.685,17284,0
2017-10-05,11:10:00,2.685,2.711,2.683,2.711,2600,0
2017-10-05,11:25:00,2.704,2.71,2.693,2.704,8511,0
2017-10-05,11:35:00,2.682,2.704,2.68,2.704,4446,0
2017-10-05,11:40:00,2.691,2.691,2.691,2.691,835,0
2017-10-05,11:45:00,2.704,2.71,2.704,2.71,2377,0
2017-10-05,11:50:00,2.699,2.699,2.691,2.691,400,0
2017-10-05,12:00:00,2.693,2.693,2.69,2.69,2500,0
2017-10-05,12:10:00,2.685,2.691,2.684,2.691,4588,0
2017-10-05,12:20:00,2.683,2.683,2.683,2.683,528,0
2017-10-05,12:25:00,2.69,2.69,2.69,2.69,366,0
2017-10-05,12:45:00,2.69,2.69,2.69,2.69,310,0
2017-10-05,12:50:00,2.69,2.695,2.69,2.695,700,0
2017-10-05,13:05:00,2.695,2.695,2.694,2.694,1253,0
2017-10-05,13:10:00,2.69,2.708,2.69,2.708,4350,0
2017-10-05,13:15:00,2.707,2.707,2.707,2.707,295,0
2017-10-05,13:20:00,2.719,2.719,2.719,2.719,143,0
2017-10-05,13:30:00,2.712,2.712,2.712,2.712,275,0
2017-10-05,13:35:00,2.702,2.702,2.702,2.702,47,0
2017-10-05,13:50:00,2.699,2.699,2.699,2.699,157,0
2017-10-05,13:55:00,2.686,2.686,2.68,2.68,4000,0
2017-10-05,14:00:00,2.686,2.693,2.686,2.693,600,0
2017-10-05,14:20:00,2.68,2.694,2.68,2.694,9120,0
2017-10-05,14:40:00,2.672,2.672,2.672,2.672,293,0
2017-10-05,14:45:00,2.671,2.69,2.666,2.68,12954,0
2017-10-05,14:50:00,2.682,2.69,2.682,2.688,2618,0
2017-10-05,15:05:00,2.699,2.699,2.697,2.697,8253,0
2017-10-05,15:15:00,2.679,2.69,2.679,2.69,752,0
2017-10-05,15:35:00,2.669,2.669,2.669,2.669,900,0
2017-10-05,15:40:00,2.67,2.67,2.67,2.67,1008,0
2017-10-05,15:45:00,2.679,2.679,2.679,2.679,365,0
2017-10-05,15:55:00,2.679,2.68,2.679,2.68,2984,0
2017-10-05,16:00:00,2.68,2.68,2.65,2.65,30007,0
2017-10-05,16:05:00,2.65,2.67,2.65,2.664,8699,0
2017-10-05,16:10:00,2.656,2.668,2.65,2.668,5001,0
2017-10-05,16:15:00,2.671,2.681,2.671,2.681,1600,0
2017-10-05,16:20:00,2.686,2.686,2.668,2.668,12389,0
2017-10-05,16:25:00,2.663,2.663,2.663,2.663,973,0
2017-10-05,16:30:00,2.663,2.663,2.663,2.663,2581,0
2017-10-05,16:35:00,2.668,2.668,2.668,2.668,330,0
2017-10-05,16:40:00,2.666,2.671,2.666,2.671,1034,0
2017-10-05,16:55:00,2.673,2.673,2.666,2.666,2855,0
2017-10-05,17:00:00,2.66,2.66,2.656,2.656,621,0
2017-10-05,17:05:00,2.655,2.655,2.645,2.652,9858,0
2017-10-05,17:10:00,2.652,2.652,2.645,2.652,5506,0
2017-10-05,17:15:00,2.65,2.66,2.65,2.66,10914,0
2017-10-05,17:20:00,2.659,2.667,2.659,2.667,14552,0
2017-10-05,17:25:00,2.675,2.675,2.667,2.667,694,0
2017-10-05,17:30:00,2.663,2.667,2.659,2.659,20796,0
2017-10-06,09:05:00,2.642,2.648,2.642,2.648,2131,0
2017-10-06,09:10:00,2.653,2.653,2.653,2.653,1500,0
2017-10-06,09:20:00,2.663,2.711,2.663,2.711,7931,0
2017-10-06,09:30:00,2.68,2.68,2.68,2.68,62,0
2017-10-06,09:40:00,2.667,2.667,2.667,2.667,500,0
2017-10-06,09:45:00,2.657,2.669,2.64,2.657,15785,0
2017-10-06,09:50:00,2.679,2.679,2.679,2.679,1000,0
2017-10-06,10:00:00,2.666,2.666,2.666,2.666,865,0
2017-10-06,10:20:00,2.665,2.671,2.665,2.671,850,0
2017-10-06,10:35:00,2.666,2.666,2.666,2.666,800,0
2017-10-06,10:45:00,2.679,2.679,2.679,2.679,2000,0
2017-10-06,10:55:00,2.673,2.673,2.67,2.67,1870,0
2017-10-06,11:15:00,2.66,2.67,2.64,2.667,18023,0
2017-10-06,11:20:00,2.673,2.681,2.673,2.681,680,0
2017-10-06,11:40:00,2.675,2.675,2.675,2.675,71,0
2017-10-06,12:25:00,2.658,2.671,2.62,2.67,36644,0
2017-10-06,12:30:00,2.662,2.662,2.644,2.65,27667,0
2017-10-06,12:35:00,2.648,2.648,2.647,2.647,352,0
2017-10-06,12:40:00,2.647,2.647,2.647,2.647,280,0
2017-10-06,12:50:00,2.668,2.668,2.668,2.668,200,0
2017-10-06,13:00:00,2.668,2.673,2.668,2.673,1274,0
2017-10-06,13:05:00,2.671,2.671,2.671,2.671,2585,0
2017-10-06,13:20:00,2.674,2.674,2.674,2.674,84,0
2017-10-06,14:05:00,2.655,2.655,2.655,2.655,435,0
2017-10-06,14:20:00,2.66,2.66,2.66,2.66,481,0
2017-10-06,14:30:00,2.65,2.662,2.65,2.662,2150,0
2017-10-06,14:50:00,2.663,2.663,2.663,2.663,2625,0
2017-10-06,15:00:00,2.643,2.643,2.642,2.642,3500,0
2017-10-06,15:05:00,2.654,2.654,2.654,2.654,109,0
2017-10-06,15:10:00,2.64,2.657,2.64,2.657,5213,0
2017-10-06,15:35:00,2.65,2.65,2.65,2.65,1878,0
2017-10-06,15:45:00,2.65,2.65,2.649,2.649,500,0
2017-10-06,16:05:00,2.644,2.644,2.644,2.644,1279,0
2017-10-06,16:10:00,2.664,2.665,2.663,2.663,2922,0
2017-10-06,16:15:00,2.65,2.65,2.65,2.65,199,0
2017-10-06,16:35:00,2.665,2.665,2.665,2.665,11005,0
