Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-10-16,09:05:00,1.86,1.86,1.86,1.86,8409,0
2017-10-16,09:10:00,1.86,1.86,1.86,1.86,1000,0
2017-10-16,09:15:00,1.859,1.859,1.859,1.859,1202,0
2017-10-16,09:20:00,1.851,1.851,1.851,1.851,2000,0
2017-10-16,09:25:00,1.855,1.855,1.855,1.855,2000,0
2017-10-16,09:30:00,1.855,1.855,1.854,1.854,2900,0
2017-10-16,09:40:00,1.854,1.854,1.854,1.854,4403,0
2017-10-16,09:45:00,1.855,1.855,1.85,1.85,9953,0
2017-10-16,09:50:00,1.846,1.846,1.846,1.846,600,0
2017-10-16,10:00:00,1.843,1.85,1.843,1.85,27416,0
2017-10-16,10:05:00,1.844,1.856,1.838,1.84,48902,0
2017-10-16,10:10:00,1.837,1.837,1.835,1.835,1238,0
2017-10-16,10:15:00,1.835,1.835,1.835,1.835,10342,0
2017-10-16,10:20:00,1.836,1.836,1.832,1.832,27000,0
2017-10-16,10:30:00,1.832,1.832,1.832,1.832,900,0
2017-10-16,10:35:00,1.83,1.83,1.83,1.83,37560,0
2017-10-16,10:40:00,1.83,1.835,1.83,1.835,21369,0
2017-10-16,10:45:00,1.83,1.834,1.827,1.83,45223,0
2017-10-16,10:55:00,1.836,1.836,1.834,1.834,5446,0
2017-10-16,11:05:00,1.83,1.833,1.83,1.833,5907,0
2017-10-16,11:10:00,1.835,1.836,1.835,1.835,19495,0
2017-10-16,11:15:00,1.835,1.835,1.831,1.831,15444,0
2017-10-16,11:25:00,1.831,1.832,1.827,1.827,1700,0
2017-10-16,11:45:00,1.833,1.833,1.833,1.833,150,0
2017-10-16,12:10:00,1.83,1.83,1.83,1.83,850,0
2017-10-16,12:15:00,1.826,1.826,1.824,1.824,3480,0
2017-10-16,12:20:00,1.829,1.833,1.829,1.833,7000,0
2017-10-16,12:40:00,1.827,1.84,1.827,1.84,8014,0
2017-10-16,12:50:00,1.837,1.837,1.837,1.837,300,0
2017-10-16,12:55:00,1.837,1.837,1.837,1.837,2000,0
2017-10-16,13:05:00,1.832,1.832,1.832,1.832,600,0
2017-10-16,13:10:00,1.829,1.829,1.829,1.829,400,0
2017-10-16,13:30:00,1.831,1.831,1.831,1.831,400,0
2017-10-16,13:40:00,1.838,1.839,1.838,1.839,3000,0
2017-10-16,14:15:00,1.838,1.838,1.838,1.838,1000,0
2017-10-16,14:20:00,1.832,1.832,1.832,1.832,2000,0
2017-10-16,14:35:00,1.831,1.831,1.831,1.831,1190,0
2017-10-16,14:55:00,1.83,1.83,1.83,1.83,382,0
2017-10-16,15:20:00,1.83,1.83,1.826,1.826,13436,0
2017-10-16,15:25:00,1.825,1.83,1.821,1.83,37610,0
2017-10-16,15:30:00,1.827,1.827,1.827,1.827,2108,0
2017-10-16,15:40:00,1.83,1.832,1.825,1.825,32135,0
2017-10-16,15:45:00,1.831,1.831,1.825,1.825,4895,0
2017-10-16,15:55:00,1.825,1.825,1.825,1.825,2,0
2017-10-16,16:05:00,1.83,1.835,1.82,1.82,27858,0
2017-10-16,16:15:00,1.829,1.83,1.829,1.829,2011,0
2017-10-16,16:25:00,1.83,1.83,1.824,1.824,9530,0
2017-10-16,16:30:00,1.83,1.832,1.83,1.832,3662,0
2017-10-16,16:35:00,1.827,1.827,1.827,1.827,100,0
2017-10-16,16:40:00,1.827,1.827,1.827,1.827,5015,0
