Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-10-18,09:05:00,28.985,29,28.985,29,11,0
2017-10-18,09:10:00,28.965,28.965,28.935,28.935,35,0
2017-10-18,09:20:00,28.975,28.99,28.975,28.99,278,0
2017-10-18,09:25:00,28.99,29.015,28.99,29.015,92,0
2017-10-18,09:30:00,29.065,29.065,29.065,29.065,298,0
2017-10-18,09:35:00,29.05,29.05,29.04,29.05,689,0
2017-10-18,09:40:00,29.04,29.04,29.025,29.025,161,0
2017-10-18,09:50:00,29.045,29.045,29.045,29.045,269,0
2017-10-18,09:55:00,29.06,29.06,29.045,29.045,190,0
2017-10-18,10:00:00,29.05,29.05,29.045,29.045,257,0
2017-10-18,10:05:00,29.075,29.075,29.045,29.06,1019,0
2017-10-18,10:10:00,29.05,29.07,29.045,29.05,1338,0
2017-10-18,10:15:00,29.05,29.05,28.985,28.985,1254,0
2017-10-18,10:20:00,28.98,28.98,28.95,28.95,711,0
2017-10-18,10:30:00,28.965,28.98,28.95,28.95,1162,0
2017-10-18,10:35:00,28.95,28.96,28.945,28.96,804,0
2017-10-18,10:40:00,28.98,28.98,28.97,28.98,319,0
2017-10-18,10:50:00,28.985,28.985,28.95,28.955,1417,0
2017-10-18,10:55:00,28.965,28.965,28.965,28.965,175,0
2017-10-18,11:00:00,28.96,28.96,28.96,28.96,505,0
2017-10-18,11:05:00,28.98,28.995,28.98,28.995,281,0
2017-10-18,11:10:00,29.005,29.005,28.965,28.965,2884,0
2017-10-18,11:15:00,28.96,28.96,28.9,28.9,2192,0
2017-10-18,11:20:00,28.905,28.905,28.9,28.9,1149,0
2017-10-18,11:25:00,28.91,28.955,28.91,28.955,1200,0
2017-10-18,11:30:00,28.96,28.96,28.96,28.96,42,0
2017-10-18,11:35:00,28.995,29.005,28.99,28.99,1177,0
2017-10-18,11:40:00,28.985,28.985,28.95,28.965,2682,0
2017-10-18,11:45:00,28.945,28.945,28.905,28.905,1022,0
2017-10-18,11:50:00,28.96,28.96,28.96,28.96,201,0
2017-10-18,11:55:00,28.97,28.985,28.97,28.975,1428,0
2017-10-18,12:00:00,28.965,28.965,28.935,28.935,1620,0
2017-10-18,12:05:00,28.92,28.92,28.87,28.885,2909,0
2017-10-18,12:10:00,28.895,28.895,28.85,28.87,965,0
2017-10-18,12:25:00,28.955,28.955,28.955,28.955,795,0
2017-10-18,12:30:00,28.97,28.97,28.88,28.935,5352,0
2017-10-18,12:35:00,28.94,29,28.94,29,3292,0
2017-10-18,12:40:00,29,29,28.985,28.995,2268,0
2017-10-18,12:45:00,28.995,28.995,28.995,28.995,185,0
2017-10-18,12:50:00,29.005,29.005,29.005,29.005,192,0
2017-10-18,13:00:00,29.07,29.07,29.065,29.07,363,0
2017-10-18,13:05:00,29.065,29.11,29.035,29.035,1630,0
2017-10-18,13:10:00,29.07,29.07,29.025,29.03,674,0
2017-10-18,13:25:00,29.07,29.07,28.95,28.975,5975,0
2017-10-18,13:45:00,29,29,28.985,28.985,404,0
2017-10-18,13:50:00,28.99,29,28.99,29,357,0
2017-10-18,14:00:00,29,29,28.985,29,1104,0
2017-10-18,14:05:00,29,29,28.975,28.975,812,0
2017-10-18,14:10:00,28.98,28.98,28.98,28.98,631,0
2017-10-18,14:25:00,28.98,28.98,28.955,28.96,1655,0
2017-10-18,14:35:00,28.975,28.975,28.955,28.955,868,0
2017-10-18,14:40:00,28.96,28.96,28.96,28.96,30,0
2017-10-18,14:50:00,28.955,28.955,28.94,28.94,363,0
2017-10-18,15:00:00,28.94,28.94,28.94,28.94,109,0
2017-10-18,15:10:00,28.95,28.95,28.95,28.95,175,0
2017-10-18,15:15:00,28.945,28.945,28.94,28.94,727,0
2017-10-18,15:25:00,28.94,28.94,28.895,28.895,5623,0
2017-10-18,15:30:00,28.905,28.905,28.895,28.895,628,0
2017-10-18,15:35:00,28.885,28.885,28.885,28.885,757,0
2017-10-18,15:45:00,28.89,28.905,28.89,28.905,375,0
2017-10-18,15:50:00,28.905,28.905,28.905,28.905,295,0
2017-10-18,15:55:00,28.9,28.9,28.895,28.9,977,0
2017-10-18,16:00:00,28.895,28.895,28.895,28.895,110,0
2017-10-18,16:05:00,28.9,28.91,28.9,28.91,836,0
2017-10-18,16:10:00,28.915,28.96,28.915,28.96,705,0
2017-10-18,16:15:00,28.95,28.965,28.95,28.965,434,0
2017-10-18,16:20:00,28.97,28.97,28.965,28.965,160,0
2017-10-18,16:25:00,28.965,28.965,28.955,28.955,431,0
2017-10-18,16:30:00,28.965,28.965,28.93,28.93,1507,0
2017-10-18,16:35:00,28.925,28.925,28.9,28.9,2653,0
2017-10-18,16:40:00,28.9,28.935,28.9,28.925,2189,0
2017-10-18,16:45:00,28.93,28.93,28.91,28.92,973,0
2017-10-18,16:50:00,28.93,28.93,28.93,28.93,250,0
2017-10-18,16:55:00,28.915,28.915,28.9,28.9,1547,0
2017-10-18,17:00:00,28.915,28.915,28.9,28.905,688,0
2017-10-18,17:10:00,28.93,28.93,28.92,28.92,1393,0
2017-10-18,17:20:00,28.93,28.93,28.93,28.93,59,0
2017-10-18,17:25:00,28.93,28.935,28.925,28.935,2550,0
2017-10-18,17:30:00,28.93,28.945,28.905,28.92,10351,0
2017-10-19,09:05:00,28.905,29.015,28.905,29.015,27,0
2017-10-19,09:10:00,28.945,28.945,28.9,28.9,154,0
2017-10-19,09:15:00,28.9,28.9,28.9,28.9,274,0
2017-10-19,09:20:00,28.9,28.95,28.9,28.925,484,0
2017-10-19,09:30:00,28.91,28.92,28.9,28.905,1603,0
2017-10-19,09:35:00,28.905,28.94,28.9,28.94,691,0
2017-10-19,09:50:00,28.93,28.93,28.93,28.93,246,0
2017-10-19,09:55:00,28.915,28.915,28.865,28.87,945,0
2017-10-19,10:00:00,28.825,28.825,28.825,28.825,459,0
2017-10-19,10:10:00,28.84,28.84,28.84,28.84,57,0
2017-10-19,10:15:00,28.815,28.815,28.815,28.815,81,0
2017-10-19,10:20:00,28.815,28.86,28.815,28.86,643,0
2017-10-19,10:30:00,28.88,28.9,28.875,28.9,962,0
2017-10-19,10:35:00,28.9,28.93,28.9,28.93,1033,0
2017-10-19,10:40:00,28.915,28.915,28.9,28.9,700,0
2017-10-19,10:45:00,28.9,28.91,28.9,28.91,965,0
2017-10-19,10:55:00,28.9,28.9,28.9,28.9,636,0
2017-10-19,11:15:00,28.89,28.89,28.885,28.885,310,0
2017-10-19,11:20:00,28.885,28.885,28.88,28.88,286,0
2017-10-19,11:35:00,28.885,28.9,28.885,28.9,545,0
2017-10-19,11:55:00,28.905,28.905,28.905,28.905,17,0
2017-10-19,12:00:00,28.895,28.895,28.885,28.885,418,0
2017-10-19,12:10:00,28.87,28.87,28.85,28.85,1775,0
2017-10-19,12:15:00,28.855,28.86,28.855,28.86,88,0
2017-10-19,12:25:00,28.85,28.85,28.845,28.845,1963,0
2017-10-19,12:50:00,28.84,28.855,28.83,28.855,1502,0
2017-10-19,12:55:00,28.87,28.87,28.87,28.87,229,0
2017-10-19,13:00:00,28.885,28.91,28.885,28.895,609,0
2017-10-19,13:05:00,28.895,28.895,28.895,28.895,191,0
2017-10-19,13:10:00,28.895,28.9,28.87,28.885,1408,0
2017-10-19,13:15:00,28.885,28.885,28.885,28.885,100,0
2017-10-19,13:25:00,28.88,28.89,28.88,28.89,645,0
2017-10-19,13:50:00,28.885,28.885,28.885,28.885,212,0
2017-10-19,14:00:00,28.9,28.905,28.9,28.9,989,0
2017-10-19,14:05:00,28.9,28.905,28.9,28.905,483,0
2017-10-19,14:10:00,28.91,28.925,28.91,28.925,877,0
2017-10-19,14:20:00,28.92,28.92,28.905,28.905,1247,0
2017-10-19,14:25:00,28.91,28.91,28.91,28.91,194,0
2017-10-19,14:30:00,28.915,28.945,28.875,28.885,2136,0
2017-10-19,14:35:00,28.885,28.885,28.885,28.885,16,0
2017-10-19,14:40:00,28.89,28.89,28.89,28.89,83,0
2017-10-19,14:45:00,28.885,28.885,28.885,28.885,81,0
2017-10-19,14:50:00,28.885,28.885,28.885,28.885,228,0
2017-10-19,15:05:00,28.885,28.885,28.875,28.875,1545,0
2017-10-19,15:10:00,28.88,28.88,28.88,28.88,466,0
2017-10-19,15:15:00,28.875,28.875,28.875,28.875,316,0
2017-10-19,15:20:00,28.875,28.875,28.875,28.875,333,0
2017-10-19,15:25:00,28.88,28.88,28.88,28.88,578,0
2017-10-19,15:35:00,28.91,28.93,28.91,28.915,2893,0
2017-10-19,15:40:00,28.895,28.895,28.895,28.895,2,0
2017-10-19,15:45:00,28.88,28.88,28.88,28.88,86,0
2017-10-19,15:55:00,28.88,28.9,28.875,28.9,1580,0
2017-10-19,16:00:00,28.9,28.9,28.9,28.9,80,0
2017-10-19,16:05:00,28.91,28.915,28.91,28.91,1158,0
2017-10-19,16:25:00,28.915,28.915,28.915,28.915,651,0
2017-10-19,16:35:00,28.92,28.925,28.885,28.885,1397,0
2017-10-19,16:50:00,28.865,28.865,28.85,28.85,3125,0
2017-10-19,16:55:00,28.855,28.86,28.855,28.86,1574,0
2017-10-19,17:10:00,28.855,28.855,28.85,28.85,1028,0
2017-10-19,17:15:00,28.845,28.845,28.81,28.82,10394,0
2017-10-19,17:20:00,28.82,28.86,28.82,28.845,2956,0
2017-10-19,17:25:00,28.845,28.845,28.84,28.845,262,0
2017-10-19,17:30:00,28.845,28.85,28.825,28.85,10152,0
2017-10-20,09:05:00,28.875,28.875,28.875,28.875,175,0
2017-10-20,09:15:00,28.93,28.93,28.93,28.93,35,0
2017-10-20,09:25:00,28.92,28.92,28.92,28.92,282,0
2017-10-20,09:35:00,28.955,28.96,28.91,28.91,170,0
2017-10-20,09:40:00,28.955,28.955,28.93,28.93,170,0
2017-10-20,09:45:00,28.93,28.955,28.93,28.93,224,0
2017-10-20,09:50:00,28.95,28.95,28.95,28.95,39,0
2017-10-20,10:10:00,28.965,28.965,28.95,28.955,544,0
2017-10-20,10:15:00,28.95,28.95,28.89,28.92,1085,0
2017-10-20,11:15:00,28.91,28.93,28.91,28.92,792,0
2017-10-20,11:20:00,28.93,28.93,28.895,28.895,542,0
2017-10-20,11:45:00,28.895,28.895,28.875,28.885,529,0
2017-10-20,11:55:00,28.875,28.875,28.875,28.875,10,0
2017-10-20,12:00:00,28.875,28.89,28.875,28.89,115,0
2017-10-20,12:30:00,28.91,28.91,28.91,28.91,10,0
2017-10-20,12:45:00,28.905,28.905,28.89,28.89,2171,0
2017-10-20,12:55:00,28.895,28.9,28.88,28.895,953,0
2017-10-20,13:10:00,28.95,28.95,28.865,28.89,2633,0
2017-10-20,13:15:00,28.86,28.86,28.86,28.86,46,0
2017-10-20,13:20:00,28.865,28.865,28.865,28.865,374,0
2017-10-20,13:25:00,28.88,28.88,28.88,28.88,321,0
2017-10-20,13:30:00,28.9,28.9,28.885,28.895,2426,0
2017-10-20,13:35:00,28.9,28.9,28.9,28.9,791,0
2017-10-20,13:40:00,28.9,28.9,28.87,28.87,3727,0
2017-10-20,13:45:00,28.88,28.88,28.88,28.88,406,0
2017-10-20,13:50:00,28.9,28.9,28.885,28.885,1182,0
2017-10-20,14:00:00,28.9,28.9,28.9,28.9,1436,0
2017-10-20,14:10:00,28.91,28.91,28.89,28.89,1277,0
2017-10-20,14:15:00,28.9,28.91,28.895,28.895,1447,0
2017-10-20,14:20:00,28.895,28.895,28.895,28.895,202,0
2017-10-20,14:35:00,28.905,28.905,28.905,28.905,126,0
2017-10-20,14:40:00,28.91,28.92,28.91,28.92,252,0
2017-10-20,14:45:00,28.91,28.925,28.91,28.925,113,0
2017-10-20,14:50:00,28.925,28.925,28.895,28.895,676,0
2017-10-20,15:00:00,28.905,28.915,28.905,28.915,507,0
2017-10-20,15:05:00,28.915,28.915,28.915,28.915,126,0
2017-10-20,15:10:00,28.915,28.93,28.895,28.9,1752,0
2017-10-20,15:15:00,28.905,28.905,28.875,28.875,1579,0
2017-10-20,15:20:00,28.87,28.87,28.87,28.87,78,0
2017-10-20,15:35:00,28.865,28.865,28.835,28.835,1532,0
2017-10-20,15:45:00,28.845,28.845,28.845,28.845,210,0
2017-10-20,15:50:00,28.845,28.845,28.845,28.845,362,0
2017-10-20,15:55:00,28.845,28.845,28.84,28.84,879,0
2017-10-20,16:00:00,28.845,28.845,28.735,28.735,4824,0
2017-10-20,16:05:00,28.765,28.865,28.765,28.85,1318,0
