Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-10-25,09:05:00,21.17,21.205,21.17,21.205,2841,0
2017-10-25,09:10:00,21.23,21.23,21.095,21.145,5239,0
2017-10-25,09:15:00,21.15,21.15,21.085,21.115,3257,0
2017-10-25,09:20:00,21.065,21.155,21.065,21.155,923,0
2017-10-25,09:25:00,21.165,21.245,21.165,21.21,5984,0
2017-10-25,09:30:00,21.225,21.27,21.225,21.27,2575,0
2017-10-25,09:35:00,21.28,21.3,21.28,21.28,759,0
2017-10-25,09:40:00,21.275,21.29,21.245,21.245,6087,0
2017-10-25,09:45:00,21.245,21.265,21.245,21.245,671,0
2017-10-25,09:50:00,21.28,21.29,21.275,21.275,797,0
2017-10-25,09:55:00,21.295,21.3,21.295,21.3,234,0
2017-10-25,10:00:00,21.27,21.27,21.21,21.21,1605,0
2017-10-25,10:05:00,21.235,21.27,21.235,21.255,942,0
2017-10-25,10:10:00,21.27,21.28,21.265,21.275,1366,0
2017-10-25,10:15:00,21.27,21.29,21.265,21.27,2290,0
2017-10-25,10:20:00,21.29,21.295,21.27,21.295,983,0
2017-10-25,10:25:00,21.295,21.295,21.245,21.245,1219,0
2017-10-25,10:30:00,21.21,21.22,21.2,21.22,2233,0
2017-10-25,10:35:00,21.22,21.22,21.22,21.22,275,0
2017-10-25,10:40:00,21.225,21.225,21.215,21.22,1214,0
2017-10-25,10:45:00,21.2,21.2,21.195,21.195,718,0
2017-10-25,10:50:00,21.205,21.23,21.195,21.225,5307,0
2017-10-25,10:55:00,21.205,21.205,21.205,21.205,265,0
2017-10-25,11:00:00,21.235,21.24,21.235,21.24,809,0
2017-10-25,11:05:00,21.255,21.255,21.22,21.22,1445,0
2017-10-25,11:10:00,21.24,21.24,21.24,21.24,860,0
2017-10-25,11:15:00,21.26,21.26,21.26,21.26,247,0
2017-10-25,11:20:00,21.255,21.275,21.255,21.275,1106,0
2017-10-25,11:25:00,21.265,21.295,21.25,21.25,1426,0
2017-10-25,11:30:00,21.255,21.27,21.255,21.27,853,0
2017-10-25,11:35:00,21.28,21.3,21.27,21.27,4548,0
2017-10-25,11:40:00,21.295,21.295,21.27,21.27,3718,0
2017-10-25,11:45:00,21.265,21.275,21.245,21.245,2085,0
2017-10-25,11:50:00,21.255,21.275,21.255,21.275,1243,0
2017-10-25,12:00:00,21.25,21.25,21.21,21.21,955,0
2017-10-25,12:05:00,21.215,21.25,21.215,21.25,1384,0
2017-10-25,12:15:00,21.235,21.255,21.23,21.255,714,0
2017-10-25,12:20:00,21.235,21.275,21.235,21.275,846,0
2017-10-25,12:25:00,21.275,21.3,21.27,21.27,4337,0
2017-10-25,12:30:00,21.265,21.265,21.265,21.265,30,0
2017-10-25,12:35:00,21.265,21.265,21.265,21.265,179,0
2017-10-25,12:40:00,21.255,21.26,21.245,21.26,562,0
2017-10-25,12:50:00,21.275,21.28,21.245,21.245,3203,0
2017-10-25,12:55:00,21.26,21.26,21.245,21.245,1453,0
2017-10-25,13:00:00,21.26,21.26,21.26,21.26,83,0
2017-10-25,13:05:00,21.27,21.27,21.27,21.27,271,0
2017-10-25,13:10:00,21.27,21.27,21.235,21.27,834,0
2017-10-25,13:15:00,21.27,21.27,21.255,21.265,2315,0
2017-10-25,13:20:00,21.265,21.265,21.25,21.255,1297,0
2017-10-25,13:25:00,21.25,21.26,21.25,21.26,976,0
2017-10-25,13:30:00,21.26,21.26,21.245,21.245,3173,0
2017-10-25,13:35:00,21.27,21.27,21.22,21.22,1084,0
2017-10-25,13:40:00,21.205,21.205,21.165,21.165,1266,0
2017-10-25,13:45:00,21.17,21.23,21.17,21.21,1631,0
2017-10-25,13:50:00,21.23,21.23,21.23,21.23,1025,0
2017-10-25,13:55:00,21.215,21.215,21.215,21.215,368,0
2017-10-25,14:00:00,21.22,21.225,21.22,21.225,276,0
2017-10-25,14:10:00,21.23,21.275,21.23,21.24,4599,0
2017-10-25,14:20:00,21.215,21.235,21.215,21.235,984,0
2017-10-25,14:25:00,21.235,21.275,21.235,21.235,6832,0
2017-10-25,14:30:00,21.22,21.22,21.205,21.205,462,0
2017-10-25,14:35:00,21.21,21.225,21.205,21.225,1460,0
2017-10-25,14:40:00,21.23,21.27,21.23,21.27,2889,0
2017-10-25,14:45:00,21.245,21.27,21.245,21.25,1735,0
2017-10-25,14:50:00,21.275,21.275,21.25,21.25,2061,0
2017-10-25,14:55:00,21.27,21.28,21.25,21.25,7274,0
