Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-10-25,09:05:00,63.89,63.89,63.83,63.83,760,0
2017-10-25,09:10:00,63.7,63.7,63.7,63.7,200,0
2017-10-25,09:15:00,63.58,63.67,63.52,63.52,356,0
2017-10-25,09:20:00,63.57,63.6,63.53,63.56,744,0
2017-10-25,09:30:00,63.58,63.62,63.57,63.6,2032,0
2017-10-25,09:35:00,63.64,63.64,63.64,63.64,478,0
2017-10-25,09:40:00,63.68,63.69,63.63,63.69,566,0
2017-10-25,09:45:00,63.61,63.68,63.61,63.68,238,0
2017-10-25,09:50:00,63.7,63.72,63.7,63.72,94,0
2017-10-25,09:55:00,63.71,63.71,63.65,63.65,60,0
2017-10-25,10:00:00,63.63,63.63,63.57,63.61,1219,0
2017-10-25,10:05:00,63.61,63.63,63.55,63.55,737,0
2017-10-25,10:10:00,63.56,63.56,63.43,63.52,2081,0
2017-10-25,10:15:00,63.52,63.52,63.43,63.48,503,0
2017-10-25,10:20:00,63.47,63.47,63.33,63.38,717,0
2017-10-25,10:25:00,63.38,63.41,63.37,63.37,551,0
2017-10-25,10:30:00,63.35,63.35,63.3,63.34,554,0
2017-10-25,10:35:00,63.33,63.33,63.26,63.3,976,0
2017-10-25,10:40:00,63.29,63.31,63.28,63.28,322,0
2017-10-25,10:45:00,63.29,63.34,63.29,63.34,503,0
2017-10-25,10:50:00,63.36,63.38,63.34,63.37,464,0
2017-10-25,10:55:00,63.37,63.42,63.37,63.41,305,0
2017-10-25,11:00:00,63.41,63.41,63.4,63.41,316,0
2017-10-25,11:05:00,63.39,63.39,63.34,63.34,83,0
2017-10-25,11:10:00,63.35,63.35,63.3,63.35,762,0
2017-10-25,11:15:00,63.39,63.39,63.3,63.32,1227,0
2017-10-25,11:20:00,63.36,63.37,63.36,63.36,114,0
2017-10-25,11:25:00,63.36,63.39,63.34,63.35,532,0
2017-10-25,11:30:00,63.34,63.36,63.34,63.36,123,0
2017-10-25,11:35:00,63.4,63.42,63.38,63.38,336,0
2017-10-25,11:40:00,63.4,63.46,63.4,63.46,591,0
2017-10-25,11:45:00,63.49,63.49,63.4,63.42,166,0
2017-10-25,11:50:00,63.44,63.45,63.44,63.45,422,0
2017-10-25,11:55:00,63.49,63.49,63.45,63.45,266,0
2017-10-25,12:00:00,63.47,63.49,63.46,63.49,149,0
2017-10-25,12:05:00,63.48,63.5,63.47,63.48,872,0
2017-10-25,12:10:00,63.49,63.51,63.45,63.45,579,0
2017-10-25,12:15:00,63.42,63.42,63.39,63.39,300,0
2017-10-25,12:20:00,63.42,63.48,63.42,63.48,821,0
2017-10-25,12:25:00,63.5,63.5,63.46,63.46,615,0
2017-10-25,12:30:00,63.44,63.44,63.41,63.41,291,0
2017-10-25,12:35:00,63.41,63.41,63.4,63.4,90,0
2017-10-25,12:40:00,63.35,63.38,63.35,63.37,366,0
2017-10-25,12:45:00,63.38,63.41,63.38,63.39,674,0
2017-10-25,12:50:00,63.39,63.39,63.39,63.39,53,0
2017-10-25,12:55:00,63.39,63.39,63.38,63.38,135,0
2017-10-25,13:00:00,63.38,63.38,63.35,63.35,996,0
2017-10-25,13:05:00,63.35,63.35,63.27,63.27,703,0
2017-10-25,13:10:00,63.27,63.27,63.1,63.16,6373,0
2017-10-25,13:15:00,63.14,63.14,63.08,63.08,691,0
2017-10-25,13:20:00,63.08,63.1,63.08,63.1,685,0
2017-10-25,13:25:00,63.11,63.13,63.11,63.13,811,0
2017-10-25,13:30:00,63.13,63.17,63.11,63.17,1290,0
2017-10-25,13:35:00,63.16,63.21,63.16,63.21,1240,0
2017-10-25,13:40:00,63.18,63.18,63.18,63.18,31,0
2017-10-25,13:45:00,63.19,63.22,63.19,63.22,632,0
2017-10-25,13:50:00,63.21,63.23,63.2,63.23,1134,0
2017-10-25,13:55:00,63.21,63.22,63.18,63.18,646,0
2017-10-25,14:00:00,63.2,63.22,63.2,63.2,965,0
2017-10-25,14:05:00,63.2,63.21,63.2,63.21,154,0
2017-10-25,14:10:00,63.22,63.24,63.22,63.24,1016,0
2017-10-25,14:15:00,63.24,63.27,63.24,63.27,1806,0
2017-10-25,14:20:00,63.27,63.27,63.26,63.27,987,0
2017-10-25,14:25:00,63.27,63.27,63.27,63.27,84,0
2017-10-25,14:30:00,63.28,63.29,63.28,63.29,631,0
2017-10-25,14:35:00,63.29,63.31,63.28,63.29,1673,0
2017-10-25,14:40:00,63.29,63.3,63.29,63.3,495,0
2017-10-25,14:45:00,63.29,63.29,63.22,63.22,2443,0
2017-10-25,14:50:00,63.21,63.28,63.21,63.28,1528,0
2017-10-25,14:55:00,63.28,63.29,63.28,63.29,134,0
2017-10-25,15:00:00,63.29,63.31,63.27,63.27,1830,0
2017-10-25,15:05:00,63.28,63.28,63.27,63.27,475,0
2017-10-25,15:10:00,63.28,63.31,63.28,63.3,1188,0
2017-10-25,15:15:00,63.31,63.31,63.25,63.25,1041,0
2017-10-25,15:20:00,63.27,63.3,63.27,63.29,1179,0
2017-10-25,15:25:00,63.27,63.29,63.27,63.28,819,0
2017-10-25,15:30:00,63.29,63.3,63.25,63.27,2651,0
2017-10-25,15:35:00,63.28,63.3,63.28,63.28,1116,0
2017-10-25,15:40:00,63.29,63.3,63.29,63.29,554,0
2017-10-25,15:45:00,63.3,63.38,63.28,63.38,1543,0
2017-10-25,15:50:00,63.38,63.46,63.38,63.46,203,0
2017-10-25,15:55:00,63.44,63.45,63.39,63.39,906,0
2017-10-25,16:00:00,63.41,63.43,63.41,63.41,756,0
2017-10-25,16:05:00,63.43,63.52,63.43,63.48,785,0
2017-10-25,16:10:00,63.47,63.5,63.46,63.46,353,0
2017-10-25,16:15:00,63.47,63.47,63.36,63.36,1381,0
2017-10-25,16:20:00,63.38,63.43,63.38,63.39,334,0
2017-10-25,16:25:00,63.38,63.41,63.36,63.41,515,0
2017-10-25,16:30:00,63.41,63.42,63.35,63.36,523,0
2017-10-25,16:35:00,63.38,63.43,63.38,63.41,1114,0
2017-10-25,16:40:00,63.4,63.4,63.34,63.35,643,0
