Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-04-08,17:15:00,1.28,1.3,1.28,1.3,16200,0
2015-04-10,09:05:00,1.279,1.279,1.279,1.279,6,0
2015-04-10,10:35:00,1.285,1.285,1.285,1.285,16,0
2015-04-13,09:05:00,1.283,1.283,1.283,1.283,1000,0
2015-04-13,11:05:00,1.283,1.283,1.283,1.283,13,0
2015-04-13,17:00:00,1.338,1.338,1.338,1.338,135,0
2015-04-13,17:30:00,1.283,1.283,1.283,1.283,1160,0
2015-04-15,09:05:00,1.283,1.283,1.283,1.283,2,0
2015-04-15,10:45:00,1.319,1.319,1.319,1.319,1200,0
2015-04-15,14:25:00,1.303,1.303,1.303,1.303,1334,0
2015-04-17,15:50:00,1.302,1.302,1.302,1.302,1000,0
2015-04-17,17:30:00,1.287,1.287,1.287,1.287,1312,0
2015-04-20,14:50:00,1.261,1.261,1.261,1.261,13,0
2015-04-20,16:40:00,1.261,1.261,1.261,1.261,5,0
2015-04-20,17:30:00,1.305,1.305,1.305,1.305,2018,0
2015-04-21,14:10:00,1.269,1.269,1.269,1.269,226,0
2015-04-22,10:35:00,1.296,1.296,1.296,1.296,1333,0
2015-04-22,14:30:00,1.281,1.281,1.281,1.281,1348,0
2015-04-22,14:35:00,1.281,1.281,1.281,1.281,15,0
2015-04-23,09:40:00,1.281,1.281,1.281,1.281,80,0
2015-04-23,09:45:00,1.281,1.281,1.281,1.281,80,0
2015-04-24,09:05:00,1.261,1.261,1.261,1.261,1,0
2015-04-24,09:35:00,1.261,1.261,1.261,1.261,13,0
2015-04-24,14:20:00,1.261,1.261,1.261,1.261,20,0
2015-04-24,17:30:00,1.294,1.294,1.294,1.294,278,0
2015-04-30,10:25:00,1.263,1.263,1.263,1.263,12,0
2015-05-04,11:05:00,1.263,1.263,1.263,1.263,6,0
2015-05-07,12:35:00,1.261,1.261,1.261,1.261,26,0
2015-05-07,14:15:00,1.261,1.261,1.261,1.261,33,0
2015-05-07,15:55:00,1.261,1.261,1.261,1.261,63,0
2015-05-08,08:05:00,1.261,1.261,1.261,1.261,1,0
2015-05-08,14:55:00,1.26,1.26,1.26,1.26,1000,0
2015-05-08,16:15:00,1.26,1.26,1.26,1.26,1011,0
2015-05-11,09:25:00,1.26,1.26,1.26,1.26,1000,0
2015-05-11,12:25:00,1.261,1.261,1.261,1.261,19,0
2015-05-11,12:50:00,1.26,1.26,1.26,1.26,1000,0
2015-05-11,15:55:00,1.261,1.261,1.261,1.261,6,0
2015-05-11,16:45:00,1.26,1.26,1.26,1.26,4025,0
2015-05-13,09:05:00,1.261,1.261,1.26,1.26,2002,0
2015-05-13,09:20:00,1.26,1.26,1.26,1.26,4002,0
2015-05-14,10:35:00,1.261,1.261,1.261,1.261,2,0
2015-05-14,10:50:00,1.26,1.26,1.26,1.26,1000,0
2015-05-14,14:45:00,1.251,1.251,1.251,1.251,100,0
2015-05-14,15:55:00,1.251,1.251,1.251,1.251,1106,0
2015-05-22,12:25:00,1.268,1.268,1.268,1.268,26,0
2015-05-22,14:05:00,1.267,1.267,1.26,1.26,7426,0
2015-05-29,09:40:00,1.261,1.261,1.261,1.261,80,0
2015-06-01,16:20:00,1.232,1.232,1.232,1.232,300,0
2015-06-02,13:55:00,1.232,1.232,1.232,1.232,40,0
2015-06-03,09:05:00,1.28,1.28,1.28,1.28,4000,0
2015-06-03,09:20:00,1.28,1.28,1.28,1.28,16000,0
2015-06-04,17:30:00,1.239,1.239,1.239,1.239,84,0
2015-06-08,14:20:00,1.243,1.243,1.243,1.243,13,0
2015-06-08,15:25:00,1.243,1.243,1.243,1.243,2013,0
2015-06-09,09:15:00,1.176,1.176,1.176,1.176,34,0
2015-06-10,11:45:00,1.182,1.182,1.182,1.182,12,0
2015-06-11,17:15:00,1.185,1.185,1.185,1.185,2000,0
2015-06-15,11:25:00,1.131,1.131,1.131,1.131,80,0
2015-06-16,09:10:00,1.134,1.134,1.134,1.134,4,0
2015-06-17,11:50:00,1.131,1.131,1.131,1.131,2,0
2015-06-18,12:25:00,1.131,1.131,1.131,1.131,20,0
2015-06-18,16:00:00,1.131,1.131,1.131,1.131,40,0
2015-06-19,10:55:00,1.131,1.131,1.131,1.131,26,0
2015-06-19,13:30:00,1.168,1.168,1.168,1.168,2026,0
2015-06-22,11:25:00,1.173,1.173,1.173,1.173,2,0
2015-06-22,15:50:00,1.181,1.181,1.181,1.181,102,0
2015-06-23,11:55:00,1.23,1.23,1.23,1.23,3666,0
2015-06-24,14:40:00,1.184,1.184,1.184,1.184,26,0
2015-06-25,10:50:00,1.182,1.182,1.182,1.182,26,0
2015-06-29,09:05:00,1.188,1.188,1.188,1.188,12,0
2015-06-30,10:05:00,1.208,1.216,1.208,1.216,1519,0
2015-06-30,10:10:00,1.223,1.24,1.223,1.24,1500,0
2015-06-30,11:40:00,1.25,1.25,1.25,1.25,5000,0
2015-06-30,16:50:00,1.251,1.251,1.251,1.251,2,0
2015-06-30,17:30:00,1.253,1.277,1.253,1.277,12617,0
2015-07-07,12:35:00,1.253,1.253,1.253,1.253,120,0
2015-07-13,09:35:00,1.251,1.251,1.251,1.251,23,0
2015-07-13,14:40:00,1.25,1.25,1.25,1.25,10000,0
2015-07-13,17:15:00,1.25,1.25,1.25,1.25,12653,0
2015-07-15,13:25:00,1.25,1.25,1.25,1.25,1185,0
2015-07-15,14:10:00,1.243,1.25,1.243,1.25,19905,0
2015-07-16,11:45:00,1.25,1.25,1.25,1.25,11710,0
2015-07-17,17:20:00,1.29,1.29,1.29,1.29,460,0
2015-07-20,14:05:00,1.253,1.253,1.253,1.253,12,0
2015-07-21,16:50:00,1.253,1.253,1.253,1.253,20,0
2015-07-22,14:05:00,1.253,1.253,1.253,1.253,2000,0
2015-07-23,10:00:00,1.253,1.253,1.253,1.253,66,0
2015-07-23,17:25:00,1.251,1.251,1.251,1.251,74,0
2015-07-29,13:30:00,1.251,1.251,1.251,1.251,26,0
2015-08-03,14:50:00,1.25,1.25,1.25,1.25,2000,0
2015-08-05,12:20:00,1.251,1.251,1.251,1.251,2,0
2015-08-06,10:25:00,1.251,1.251,1.251,1.251,12,0
2015-08-07,09:05:00,1.251,1.251,1.251,1.251,100,0
2015-08-10,14:45:00,1.25,1.25,1.25,1.25,4000,0
2015-08-10,14:55:00,1.25,1.25,1.25,1.25,16000,0
2015-08-13,12:40:00,1.271,1.271,1.271,1.271,13,0
2015-08-13,13:40:00,1.271,1.271,1.271,1.271,33,0
2015-08-14,13:20:00,1.274,1.274,1.274,1.274,4,0
2015-08-19,15:30:00,1.276,1.276,1.276,1.276,259,0
2015-08-19,16:20:00,1.275,1.275,1.275,1.275,3259,0
2015-08-20,09:30:00,1.192,1.192,1.192,1.192,4,0
2015-08-26,14:10:00,1.124,1.124,1.124,1.124,4,0
2015-08-27,11:35:00,1.124,1.124,1.124,1.124,13,0
2015-08-27,15:10:00,1.183,1.183,1.183,1.183,930,0
2015-08-27,16:55:00,1.22,1.22,1.22,1.22,1685,0
2015-08-31,09:05:00,1.188,1.188,1.188,1.188,54,0
2015-09-01,17:30:00,1.188,1.188,1.188,1.188,52,0
2015-09-10,17:15:00,1.211,1.211,1.211,1.211,10,0
2015-09-15,16:05:00,1.206,1.206,1.206,1.206,18,0
2015-09-17,10:20:00,1.239,1.239,1.239,1.239,2392,0
2015-09-18,10:30:00,1.25,1.25,1.25,1.25,10600,0
2015-09-21,12:35:00,1.208,1.208,1.208,1.208,2,0
2015-09-25,09:45:00,1.209,1.209,1.209,1.209,3,0
2015-09-25,10:15:00,1.209,1.209,1.209,1.209,8,0
2015-09-25,11:40:00,1.244,1.244,1.244,1.244,19,0
2015-09-30,12:05:00,1.244,1.249,1.244,1.249,12000,0
2015-10-01,09:40:00,1.26,1.26,1.26,1.26,9,0
2015-10-01,17:25:00,1.26,1.26,1.26,1.26,75,0
2015-10-05,14:40:00,1.263,1.263,1.263,1.263,14,0
2015-10-09,12:00:00,1.259,1.259,1.259,1.259,176,0
2015-10-09,14:00:00,1.259,1.259,1.259,1.259,178,0
2015-10-14,11:15:00,1.261,1.261,1.261,1.261,66,0
2015-10-14,13:10:00,1.261,1.261,1.261,1.261,198,0
2015-10-15,16:15:00,1.251,1.251,1.251,1.251,40,0
2015-10-19,08:05:00,1.25,1.25,1.25,1.25,2132,0
2015-11-02,12:50:00,1.28,1.28,1.28,1.28,850,0
2015-11-02,13:20:00,1.276,1.276,1.276,1.276,76,0
2015-11-02,14:35:00,1.276,1.276,1.276,1.276,1,0
2015-11-03,17:40:00,1.276,1.276,1.276,1.276,500,0
2015-11-06,11:05:00,1.26,1.26,1.26,1.26,1600,0
2015-11-06,13:45:00,1.257,1.257,1.257,1.257,25,0
2015-11-09,09:20:00,1.257,1.257,1.257,1.257,33,0
2015-11-10,12:10:00,1.257,1.257,1.257,1.257,6,0
2015-11-10,19:05:00,1.257,1.257,1.257,1.257,11,0
2015-11-12,09:15:00,1.329,1.329,1.329,1.329,70,0
2015-11-12,09:25:00,1.258,1.258,1.258,1.258,1000,0
2015-11-13,08:20:00,1.348,1.348,1.348,1.348,500,0
2015-11-13,12:00:00,1.417,1.417,1.417,1.417,500,0
2015-11-13,17:25:00,1.578,1.619,1.578,1.619,642,0
2015-11-13,19:20:00,1.677,1.677,1.677,1.677,500,0
2015-11-16,09:30:00,1.35,1.35,1.35,1.35,1000,0
2015-11-16,09:45:00,1.384,1.384,1.384,1.384,100,0
2015-11-16,15:15:00,1.255,1.255,1.255,1.255,650,0
2015-11-16,15:20:00,1.251,1.251,1.251,1.251,450,0
2015-11-16,16:10:00,1.251,1.251,1.251,1.251,16,0
2015-11-17,09:30:00,1.25,1.25,1.25,1.25,1000,0
