Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-10-19,09:05:00,15.96,15.96,15.96,15.96,100,0
2017-10-19,09:10:00,15.99,15.99,15.905,15.96,930,0
2017-10-19,09:15:00,15.96,15.97,15.96,15.97,470,0
2017-10-19,09:20:00,15.96,15.96,15.92,15.92,1427,0
2017-10-19,09:25:00,15.93,15.975,15.93,15.975,1067,0
2017-10-19,09:35:00,16.025,16.025,15.985,15.99,3593,0
2017-10-19,09:45:00,16.015,16.015,16.015,16.015,50,0
2017-10-19,09:55:00,15.955,15.96,15.95,15.96,1924,0
2017-10-19,10:00:00,15.96,15.96,15.96,15.96,2423,0
2017-10-19,10:05:00,15.945,15.96,15.945,15.96,2953,0
2017-10-19,10:10:00,15.96,15.96,15.96,15.96,175,0
2017-10-19,10:15:00,15.96,15.96,15.96,15.96,248,0
2017-10-19,10:20:00,15.975,16.02,15.975,16.02,185,0
2017-10-19,10:30:00,15.985,15.985,15.985,15.985,60,0
2017-10-19,11:30:00,16,16.02,16,16.02,330,0
2017-10-19,12:10:00,16,16,16,16,100,0
2017-10-19,12:30:00,16.03,16.03,15.99,15.99,7077,0
2017-10-19,12:35:00,15.98,15.98,15.975,15.975,64,0
2017-10-19,12:40:00,15.975,15.975,15.975,15.975,35,0
2017-10-19,12:50:00,15.965,15.965,15.965,15.965,32,0
2017-10-19,12:55:00,15.965,15.965,15.965,15.965,190,0
2017-10-19,13:00:00,15.965,15.965,15.965,15.965,47,0
2017-10-19,13:05:00,15.86,15.96,15.86,15.96,12285,0
2017-10-19,13:10:00,15.96,15.97,15.96,15.97,1805,0
2017-10-19,13:15:00,15.97,15.97,15.97,15.97,408,0
2017-10-19,13:20:00,15.96,15.965,15.96,15.965,941,0
2017-10-19,13:25:00,15.97,15.97,15.97,15.97,439,0
2017-10-19,13:30:00,15.97,15.995,15.97,15.995,1128,0
2017-10-19,13:50:00,15.98,15.98,15.98,15.98,326,0
2017-10-19,13:55:00,15.96,15.96,15.96,15.96,36,0
2017-10-19,14:05:00,16,16.015,16,16.015,6017,0
2017-10-19,14:20:00,16.02,16.02,16.02,16.02,352,0
2017-10-19,14:25:00,16.03,16.03,16.025,16.025,892,0
2017-10-19,14:45:00,16.015,16.015,16.005,16.005,1112,0
2017-10-19,14:55:00,15.99,15.99,15.99,15.99,600,0
2017-10-19,15:10:00,15.975,15.99,15.965,15.965,1553,0
2017-10-19,15:30:00,16.04,16.04,16.04,16.04,152,0
