Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-10-26,09:05:00,95.5,95.87,95.49,95.62,54553,0
2017-10-26,09:10:00,95.61,95.81,95.44,95.75,24389,0
2017-10-26,09:15:00,95.75,95.94,95.7,95.88,9071,0
2017-10-26,09:20:00,95.89,96.02,95.84,95.84,9243,0
2017-10-26,09:25:00,95.84,95.92,95.82,95.9,13212,0
2017-10-26,09:30:00,95.9,95.94,95.85,95.94,18965,0
2017-10-26,09:35:00,95.97,96.1,95.97,96.03,8094,0
2017-10-26,09:40:00,96.04,96.16,96.02,96.13,5424,0
2017-10-26,09:45:00,96.12,96.18,96.05,96.18,10537,0
2017-10-26,09:50:00,96.17,96.2,96.01,96.11,13350,0
2017-10-26,09:55:00,96.11,96.14,96.05,96.12,5964,0
2017-10-26,10:00:00,96.12,96.24,96.02,96.24,10561,0
2017-10-26,10:05:00,96.24,96.29,96.2,96.21,12532,0
2017-10-26,10:10:00,96.22,96.22,95.83,95.98,41191,0
2017-10-26,10:15:00,95.98,96.09,95.98,96.01,7996,0
2017-10-26,10:20:00,96.01,96.01,95.88,95.88,5599,0
2017-10-26,10:25:00,95.88,95.91,95.66,95.73,12860,0
2017-10-26,10:30:00,95.74,95.89,95.74,95.89,14328,0
2017-10-26,10:35:00,95.89,95.9,95.82,95.86,10535,0
2017-10-26,10:40:00,95.87,95.94,95.82,95.94,9513,0
2017-10-26,10:45:00,95.96,96.07,95.92,96.06,3345,0
2017-10-26,10:50:00,96.06,96.06,94.61,95.66,351674,0
2017-10-26,10:55:00,95.64,95.71,95.25,95.42,65784,0
2017-10-26,11:00:00,95.46,95.67,95.31,95.66,26832,0
2017-10-26,11:05:00,95.68,95.89,95.63,95.85,28762,0
2017-10-26,11:10:00,95.85,96,95.79,95.86,17325,0
2017-10-26,11:15:00,95.88,95.96,95.76,95.89,14960,0
2017-10-26,11:20:00,95.9,95.91,95.71,95.72,11644,0
2017-10-26,11:25:00,95.73,95.85,95.72,95.8,9146,0
2017-10-26,11:30:00,95.8,95.8,95.69,95.78,6956,0
2017-10-26,11:35:00,95.78,95.87,95.69,95.82,11757,0
2017-10-26,11:40:00,95.83,95.91,95.81,95.87,9239,0
2017-10-26,11:45:00,95.86,96.04,95.84,95.96,11470,0
2017-10-26,11:50:00,95.98,96.01,95.94,95.96,6759,0
2017-10-26,11:55:00,95.97,96.13,95.97,96.07,21135,0
2017-10-26,12:00:00,96.03,96.05,95.87,95.96,11818,0
2017-10-26,12:05:00,95.98,96.03,95.91,95.95,5587,0
2017-10-26,12:10:00,95.95,95.98,95.92,95.96,2419,0
2017-10-26,12:15:00,95.97,96.09,95.95,96.06,19632,0
2017-10-26,12:20:00,96.06,96.09,96,96.02,4781,0
2017-10-26,12:25:00,96.03,96.21,96.03,96.11,19177,0
2017-10-26,12:30:00,96.11,96.15,96.03,96.05,6097,0
2017-10-26,12:35:00,96.05,96.06,95.9,95.98,12550,0
2017-10-26,12:40:00,95.97,96.05,95.92,96.03,8177,0
2017-10-26,12:45:00,96.03,96.03,95.95,95.95,2945,0
2017-10-26,12:50:00,95.94,96,95.93,95.96,12584,0
2017-10-26,12:55:00,95.97,95.99,95.94,95.97,3642,0
2017-10-26,13:00:00,95.96,95.96,95.88,95.9,3208,0
2017-10-26,13:05:00,95.95,95.95,95.82,95.88,3235,0
2017-10-26,13:10:00,95.88,95.95,95.85,95.95,4464,0
2017-10-26,13:15:00,95.96,96.06,95.92,96.01,5734,0
2017-10-26,13:20:00,95.99,96,95.95,95.95,3030,0
2017-10-26,13:25:00,95.96,96.03,95.95,96.03,2844,0
2017-10-26,13:30:00,96.03,96.1,96.02,96.1,4007,0
2017-10-26,13:35:00,96.08,96.08,95.99,96,3113,0
2017-10-26,13:40:00,95.99,95.99,95.91,95.91,5698,0
2017-10-26,13:45:00,95.94,95.94,95.86,95.87,4625,0
2017-10-26,13:50:00,95.88,96.3,95.88,96.23,31963,0
2017-10-26,13:55:00,96.21,96.27,96.09,96.18,16554,0
2017-10-26,14:00:00,96.18,96.18,96.09,96.09,9371,0
2017-10-26,14:05:00,96.1,96.23,96.02,96.1,15957,0
2017-10-26,14:10:00,96.1,96.19,96.1,96.16,18318,0
2017-10-26,14:15:00,96.18,96.24,96.15,96.23,5587,0
2017-10-26,14:20:00,96.23,96.25,96.17,96.19,6127,0
2017-10-26,14:25:00,96.2,96.27,96.2,96.26,10074,0
2017-10-26,14:30:00,96.24,96.32,96.19,96.28,19123,0
2017-10-26,14:35:00,96.27,96.39,96.25,96.34,16291,0
2017-10-26,14:40:00,96.34,96.36,96.25,96.32,8421,0
