Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-10-19,09:05:00,82.01,82.15,82.01,82.15,560,0
2017-10-19,09:15:00,82.25,82.38,82.25,82.38,214,0
2017-10-19,09:35:00,82.2,82.21,82.08,82.08,313,0
2017-10-19,09:45:00,82.1,82.15,82.09,82.15,105,0
2017-10-19,09:55:00,82.13,82.13,82.02,82.02,1507,0
2017-10-19,10:00:00,82.03,82.03,82.03,82.03,100,0
2017-10-19,10:05:00,82.02,82.07,82,82.07,2939,0
2017-10-19,10:10:00,82.1,82.1,82.1,82.1,131,0
2017-10-19,10:20:00,82.23,82.26,82.14,82.14,979,0
2017-10-19,10:25:00,82.17,82.17,82.17,82.17,22,0
2017-10-19,10:30:00,82.13,82.13,82.08,82.08,205,0
2017-10-19,10:35:00,82.08,82.17,82.08,82.17,330,0
2017-10-19,10:40:00,82.17,82.17,82.17,82.17,98,0
2017-10-19,10:55:00,82.19,82.19,82.16,82.17,178,0
2017-10-19,11:00:00,82.17,82.17,82.14,82.17,319,0
2017-10-19,11:05:00,82.12,82.14,82.12,82.14,89,0
2017-10-19,11:10:00,82.1,82.1,82.08,82.1,236,0
2017-10-19,11:15:00,82.13,82.13,82.09,82.09,201,0
2017-10-19,11:20:00,82.08,82.08,82.08,82.08,58,0
2017-10-19,11:25:00,82.08,82.1,82.03,82.03,307,0
2017-10-19,11:30:00,82.08,82.08,82.08,82.08,144,0
2017-10-19,11:40:00,82.11,82.11,82.11,82.11,49,0
2017-10-19,11:45:00,82.11,82.12,82.11,82.12,193,0
2017-10-19,12:05:00,82.07,82.07,82.05,82.05,322,0
2017-10-19,12:10:00,82.07,82.07,82.05,82.05,76,0
2017-10-19,12:15:00,82.04,82.04,82.03,82.03,204,0
2017-10-19,12:25:00,82.02,82.05,82.02,82.05,283,0
2017-10-19,12:30:00,82.05,82.08,82.05,82.05,263,0
2017-10-19,12:35:00,82.11,82.11,82.11,82.11,56,0
2017-10-19,12:40:00,82.15,82.15,82.15,82.15,49,0
2017-10-19,12:45:00,82.15,82.15,82.08,82.08,102,0
2017-10-19,12:50:00,82.08,82.08,82.08,82.08,118,0
2017-10-19,13:00:00,82.07,82.07,82.07,82.07,140,0
2017-10-19,13:05:00,82.1,82.1,82.07,82.07,133,0
2017-10-19,13:10:00,82,82.07,82,82.03,575,0
2017-10-19,13:15:00,82.07,82.07,82,82.05,1382,0
2017-10-19,13:20:00,82.01,82.05,82.01,82.05,134,0
2017-10-19,13:25:00,82.06,82.1,82.06,82.08,338,0
