Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-03-02,17:00:00,28.001,28.001,28.001,28.001,25,0
2016-06-30,16:40:00,29.95,29.95,29.95,29.95,19,0
2016-08-02,15:35:00,29.9,29.9,29.9,29.9,31,0
2016-08-09,16:40:00,29.89,29.89,29.89,29.89,169,0
2016-09-01,08:55:00,29.05,29.05,29.05,29.05,33,0
2016-10-14,08:15:00,28.799,28.799,28.799,28.799,6,0
2016-11-03,15:15:00,22.9,22.9,22.9,22.9,80,0
2016-11-07,10:50:00,19,19,19,19,520,0
2016-11-07,11:00:00,19,19,19,19,480,0
2016-11-17,13:05:00,11.5,11.5,11.5,11.5,56,0
