Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-10-26,09:05:00,20.675,20.675,20.61,20.64,4886,0
2017-10-26,09:10:00,20.59,20.705,20.59,20.705,4409,0
2017-10-26,09:15:00,20.7,20.74,20.625,20.685,9827,0
2017-10-26,09:20:00,20.685,20.685,20.6,20.62,1764,0
2017-10-26,09:25:00,20.635,20.635,20.575,20.6,4736,0
2017-10-26,09:30:00,20.61,20.62,20.61,20.615,1019,0
2017-10-26,09:35:00,20.615,20.67,20.615,20.645,10073,0
2017-10-26,09:40:00,20.64,20.665,20.64,20.665,648,0
2017-10-26,09:45:00,20.68,20.685,20.675,20.675,1669,0
2017-10-26,09:50:00,20.675,20.675,20.645,20.645,5798,0
2017-10-26,09:55:00,20.64,20.695,20.61,20.675,15890,0
2017-10-26,10:00:00,20.67,20.71,20.66,20.71,3379,0
2017-10-26,10:05:00,20.71,20.735,20.69,20.73,13952,0
2017-10-26,10:10:00,20.745,20.745,20.72,20.72,2475,0
2017-10-26,10:15:00,20.715,20.73,20.715,20.72,970,0
2017-10-26,10:20:00,20.715,20.73,20.715,20.725,554,0
2017-10-26,10:25:00,20.72,20.74,20.72,20.74,933,0
2017-10-26,10:30:00,20.74,20.765,20.74,20.76,7970,0
2017-10-26,10:35:00,20.755,20.76,20.735,20.735,5927,0
2017-10-26,10:40:00,20.725,20.73,20.7,20.71,1619,0
2017-10-26,10:45:00,20.715,20.715,20.68,20.685,1790,0
2017-10-26,10:50:00,20.7,20.715,20.695,20.7,2228,0
2017-10-26,10:55:00,20.7,20.715,20.7,20.7,1398,0
2017-10-26,11:00:00,20.69,20.69,20.67,20.68,2641,0
2017-10-26,11:05:00,20.675,20.675,20.65,20.655,5270,0
2017-10-26,11:10:00,20.655,20.655,20.655,20.655,454,0
2017-10-26,11:15:00,20.66,20.685,20.66,20.685,926,0
2017-10-26,11:20:00,20.685,20.695,20.66,20.665,3300,0
2017-10-26,11:25:00,20.675,20.68,20.64,20.645,2473,0
2017-10-26,11:30:00,20.65,20.68,20.65,20.68,741,0
2017-10-26,11:35:00,20.675,20.685,20.675,20.685,349,0
2017-10-26,11:40:00,20.685,20.71,20.685,20.71,967,0
2017-10-26,11:45:00,20.71,20.725,20.71,20.725,1018,0
2017-10-26,11:50:00,20.725,20.735,20.715,20.73,6868,0
2017-10-26,11:55:00,20.735,20.735,20.705,20.705,1155,0
2017-10-26,12:00:00,20.705,20.705,20.7,20.7,1019,0
2017-10-26,12:05:00,20.69,20.69,20.465,20.53,178376,0
2017-10-26,12:10:00,20.545,20.625,20.545,20.61,43789,0
2017-10-26,12:15:00,20.61,20.68,20.58,20.58,57098,0
2017-10-26,12:20:00,20.56,20.63,20.56,20.625,8066,0
2017-10-26,12:25:00,20.625,20.68,20.625,20.68,23433,0
2017-10-26,12:30:00,20.675,20.715,20.675,20.7,13407,0
2017-10-26,12:35:00,20.725,20.75,20.715,20.715,11065,0
2017-10-26,12:40:00,20.705,20.705,20.67,20.68,12259,0
2017-10-26,12:45:00,20.685,20.7,20.685,20.685,3701,0
2017-10-26,12:50:00,20.665,20.675,20.65,20.65,4961,0
