Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-10-19,12:05:00,1.1,1.1,1.1,1.1,32,0
2016-10-26,08:15:00,1.05,1.05,1.05,1.05,85,0
2016-10-28,10:40:00,0.955,0.955,0.955,0.955,16,0
2016-11-01,19:50:00,0.91,0.91,0.91,0.91,2,0
2016-11-03,09:05:00,1,1,1,1,500,0
2016-11-10,15:15:00,1.03,1.03,1.03,1.03,150,0
2016-11-14,12:05:00,0.98,0.98,0.98,0.98,948,0
2016-11-21,09:50:00,0.891,0.891,0.891,0.891,400,0
2016-11-22,14:35:00,0.9,0.9,0.875,0.875,20,0
2016-11-24,14:05:00,0.88,0.88,0.875,0.875,10,0
2016-12-09,09:15:00,0.9,0.9,0.9,0.9,170,0
2016-12-14,13:10:00,0.91,0.91,0.901,0.901,3,0
2016-12-16,11:55:00,0.902,0.902,0.901,0.901,10,0
2016-12-22,13:05:00,0.901,0.901,0.901,0.901,1110,0
2016-12-22,13:10:00,0.875,0.875,0.875,0.875,1000,0
2016-12-22,13:40:00,0.899,0.9,0.899,0.9,6053,0
2017-01-02,18:35:00,0.835,0.835,0.835,0.835,20,0
2017-01-06,09:45:00,1,1.1,1,1.1,1888,0
2017-01-09,08:05:00,1.3,1.3,1.3,1.3,916,0
2017-01-09,08:20:00,1.35,1.35,1.35,1.35,1195,0
2017-01-09,09:50:00,1.44,1.44,1.44,1.44,750,0
2017-01-09,09:55:00,1.44,1.444,1.44,1.444,310,0
2017-01-09,10:55:00,1.55,1.55,1.55,1.55,1000,0
2017-01-09,11:00:00,1.549,1.549,1.549,1.549,200,0
2017-01-09,11:20:00,1.549,1.549,1.549,1.549,200,0
2017-01-09,12:15:00,1.408,1.408,1.408,1.408,711,0
2017-01-09,15:55:00,1.49,1.49,1.49,1.49,355,0
2017-01-09,16:15:00,1.355,1.355,1.355,1.355,739,0
2017-01-09,18:40:00,1.355,1.355,1.355,1.355,11,0
2017-01-10,08:10:00,1.478,1.5,1.478,1.5,2650,0
2017-01-10,10:25:00,1.5,1.55,1.5,1.55,2000,0
2017-01-10,13:10:00,1.45,1.45,1.45,1.45,470,0
2017-01-10,13:50:00,1.45,1.45,1.45,1.45,864,0
2017-01-10,14:50:00,1.48,1.48,1.48,1.48,210,0
2017-01-10,16:15:00,1.52,1.52,1.52,1.52,500,0
2017-01-11,08:30:00,1.48,1.48,1.48,1.48,340,0
2017-01-11,13:20:00,1.298,1.298,1.298,1.298,771,0
2017-01-12,11:55:00,1.18,1.18,1.18,1.18,5,0
2017-01-13,11:55:00,1.15,1.15,1.15,1.15,6,0
2017-01-16,15:25:00,1.009,1.009,1.009,1.009,700,0
2017-01-18,18:05:00,1.01,1.01,1.01,1.01,300,0
2017-01-19,10:05:00,0.93,0.93,0.93,0.93,600,0
2017-01-19,10:45:00,0.93,0.93,0.93,0.93,0,0
2017-01-20,08:05:00,0.93,0.93,0.93,0.93,200,0
2017-01-20,12:10:00,0.93,0.93,0.93,0.93,355,0
2017-01-23,12:40:00,0.95,0.95,0.95,0.95,250,0
2017-01-23,15:20:00,1.091,1.253,1.091,1.253,1716,0
2017-01-23,15:25:00,1.3,1.3,1.3,1.3,550,0
2017-01-23,16:10:00,1.493,1.493,1.493,1.493,670,0
2017-01-23,16:25:00,1.56,1.56,1.56,1.56,1440,0
2017-01-23,18:45:00,1.5,1.5,1.5,1.5,330,0
2017-01-24,15:20:00,1.45,1.45,1.45,1.45,324,0
2017-01-24,16:55:00,1.46,1.46,1.46,1.46,900,0
2017-01-24,18:00:00,1.48,1.48,1.48,1.48,120,0
2017-01-27,09:15:00,1.26,1.26,1.26,1.26,120,0
2017-01-31,16:40:00,1.1,1.1,1.1,1.1,100,0
2017-02-06,12:30:00,1.25,1.25,1.25,1.25,250,0
2017-02-15,12:20:00,1.15,1.15,1.15,1.15,18,0
2017-02-15,16:05:00,1.09,1.09,1.09,1.09,5,0
2017-02-22,16:15:00,1.14,1.14,1.14,1.14,400,0
2017-02-28,11:40:00,1.061,1.061,1.061,1.061,1800,0
2017-02-28,12:10:00,1.061,1.061,1.061,1.061,1670,0
2017-03-13,09:25:00,1.151,1.151,1.151,1.151,750,0
2017-03-13,15:55:00,1.15,1.15,1.15,1.15,3,0
2017-03-14,11:40:00,1.25,1.25,1.25,1.25,100,0
2017-03-14,17:15:00,1.25,1.25,1.25,1.25,240,0
2017-03-14,18:10:00,1.25,1.25,1.25,1.25,40,0
2017-03-17,13:50:00,1.11,1.11,1.11,1.11,100,0
2017-03-23,15:35:00,1.15,1.15,1.15,1.15,10,0
2017-03-30,17:20:00,1.06,1.06,1.06,1.06,1000,0
2017-03-31,11:20:00,1.16,1.16,1.16,1.16,800,0
2017-03-31,12:00:00,1.26,1.26,1.26,1.26,500,0
2017-04-03,08:05:00,1.285,1.285,1.185,1.185,100,0
2017-04-07,10:25:00,1.299,1.299,1.299,1.299,300,0
2017-04-07,18:45:00,1.35,1.35,1.35,1.35,1069,0
2017-04-10,14:20:00,1.25,1.25,1.25,1.25,800,0
2017-04-11,12:55:00,1.22,1.22,1.22,1.22,40,0
2017-04-13,18:35:00,1.32,1.32,1.32,1.32,758,0
2017-04-18,08:05:00,1.32,1.32,1.32,1.32,200,0
2017-04-18,08:10:00,1.152,1.152,1.152,1.152,0,0
2017-04-26,09:50:00,1.02,1.02,1.02,1.02,758,0
2017-05-05,12:55:00,1.05,1.05,1.05,1.05,18,0
2017-05-05,13:50:00,1.05,1.05,1.05,1.05,3,0
2017-05-08,08:15:00,1.05,1.05,1.05,1.05,100,0
2017-05-08,17:55:00,1.05,1.05,1.05,1.05,100,0
2017-05-09,09:10:00,1,1,1,1,300,0
2017-05-09,13:00:00,1.01,1.01,1.01,1.01,15,0
2017-05-12,11:50:00,0.964,0.964,0.964,0.964,329,0
2017-05-30,13:20:00,0.97,0.97,0.97,0.97,400,0
2017-06-06,11:30:00,1.14,1.14,1.14,1.14,500,0
2017-06-06,19:25:00,1.251,1.251,1.251,1.251,350,0
2017-06-08,11:55:00,1.08,1.08,1.08,1.08,568,0
2017-06-09,15:35:00,1.3,1.3,1.3,1.3,500,0
2017-06-09,18:30:00,1.2,1.2,1.2,1.2,834,0
2017-06-20,10:30:00,1.12,1.12,1.12,1.12,45,0
2017-06-20,12:05:00,1.29,1.29,1.29,1.29,100,0
2017-06-21,19:55:00,1.19,1.19,1.19,1.19,50,0
2017-07-03,12:10:00,1.096,1.096,1.096,1.096,1142,0
2017-07-06,10:55:00,1.193,1.193,1.193,1.193,972,0
2017-07-10,09:50:00,1.093,1.093,1.093,1.093,20,0
2017-07-11,17:05:00,0.991,0.991,0.991,0.991,400,0
2017-07-14,13:15:00,1.21,1.21,1.21,1.21,100,0
2017-07-14,14:35:00,1.2,1.2,1.2,1.2,1000,0
2017-07-17,08:10:00,1.4,1.4,1.4,1.4,850,0
2017-07-17,08:35:00,1.298,1.298,1.298,1.298,771,0
2017-07-17,16:00:00,1.38,1.38,1.38,1.38,500,0
2017-07-17,16:10:00,1.38,1.38,1.38,1.38,100,0
2017-07-17,16:15:00,1.386,1.386,1.386,1.386,100,0
2017-07-17,18:25:00,1.39,1.39,1.39,1.39,1000,0
2017-07-17,19:20:00,1.4,1.4,1.4,1.4,25,0
2017-07-18,11:25:00,1.385,1.385,1.385,1.385,196,0
2017-07-19,14:05:00,1.201,1.201,1.201,1.201,20,0
