Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-04-02,13:15:00,321.8,321.8,321.8,321.8,4,0
2015-04-02,13:20:00,321.8,321.8,321.8,321.8,4,0
2015-04-08,12:00:00,341.36,341.36,341.36,341.36,10,0
2015-04-10,11:55:00,337.45,337.45,337.45,337.45,20,0
2015-04-13,13:20:00,340.37,340.37,340.37,340.37,15,0
2015-04-13,13:25:00,340.37,340.37,340.37,340.37,15,0
2015-04-15,09:35:00,325.71,325.71,325.71,325.71,31,0
2015-04-21,16:20:00,326.69,326.69,326.69,326.69,11,0
2015-04-21,16:25:00,326.69,326.69,326.69,326.69,11,0
2015-04-23,16:50:00,326.69,326.69,326.69,326.69,10,0
2015-04-23,16:55:00,326.69,326.69,326.69,326.69,10,0
2015-04-27,16:20:00,334.51,334.51,334.51,334.51,31,0
2015-04-29,09:05:00,339.4,339.4,339.4,339.4,51,0
2015-04-29,11:40:00,339.39,339.39,339.39,339.39,26,0
2015-04-29,11:45:00,339.4,339.4,339.4,339.4,10,0
2015-04-29,11:50:00,339.4,339.4,339.4,339.4,42,0
2015-04-29,11:55:00,340.38,340.38,340.38,340.38,10,0
2015-04-29,14:30:00,341.36,341.36,341.36,341.36,159,0
2015-05-05,16:40:00,341.85,341.85,341.85,341.85,16,0
2015-05-06,09:35:00,341.36,341.36,341.36,341.36,10,0
2015-05-06,09:40:00,341.36,341.36,341.36,341.36,10,0
2015-05-06,11:45:00,341.36,341.36,341.36,341.36,31,0
2015-05-07,11:15:00,341.36,341.85,341.36,341.85,102,0
2015-05-13,15:25:00,332.55,332.55,332.55,332.55,4,0
2015-05-13,16:10:00,332.55,332.55,332.55,332.55,16,0
2015-05-14,09:20:00,332.55,332.55,332.55,332.55,8,0
2015-05-20,09:55:00,341.36,341.36,341.36,341.36,31,0
2015-05-26,16:35:00,341.31,341.31,341.31,341.31,20,0
2015-05-26,17:05:00,341.31,341.31,341.31,341.31,22,0
2015-05-27,16:25:00,332.65,332.65,332.65,332.65,31,0
2015-05-27,18:50:00,340.38,340.38,340.38,340.38,39,0
2015-05-29,10:00:00,335.49,335.49,335.49,335.49,16,0
2015-05-29,10:40:00,341.36,341.36,341.36,341.36,88,0
2015-06-01,10:10:00,334.61,334.61,334.61,334.61,31,0
2015-06-03,11:10:00,340.37,340.37,340.37,340.37,14,0
2015-06-08,09:05:00,333.61,333.61,333.61,333.61,4,0
2015-06-09,12:30:00,341.35,341.35,341.35,341.35,27,0
