Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-08-30,09:05:00,33.715,33.715,33.715,33.715,32,0
2017-08-30,11:35:00,33.7,33.7,33.7,33.7,94,0
2017-08-30,12:10:00,33.82,33.82,33.82,33.82,22,0
2017-08-30,12:50:00,33.7,33.7,33.7,33.7,250,0
2017-08-30,13:00:00,33.7,33.77,33.7,33.77,359,0
2017-08-30,13:20:00,33.7,33.7,33.7,33.7,44,0
2017-08-30,14:10:00,33.705,33.705,33.705,33.705,6,0
2017-08-30,14:55:00,33.8,33.8,33.8,33.8,100,0
2017-08-30,15:15:00,33.8,33.8,33.8,33.8,133,0
2017-08-30,16:40:00,33.8,33.8,33.8,33.8,55,0
2017-08-30,16:45:00,33.775,33.775,33.775,33.775,26,0
2017-08-30,16:50:00,33.755,33.9,33.755,33.9,382,0
2017-08-30,17:00:00,34.02,34.02,34.02,34.02,24,0
2017-08-30,17:30:00,33.9,33.9,33.9,33.9,175,0
2017-08-31,11:55:00,34.38,34.38,34.375,34.375,214,0
2017-08-31,14:10:00,34.365,34.365,34.365,34.365,55,0
2017-08-31,14:55:00,34.29,34.55,34.29,34.55,1289,0
2017-08-31,15:00:00,34.375,34.375,34.375,34.375,67,0
2017-08-31,15:15:00,34.565,34.57,34.205,34.545,789,0
2017-08-31,16:15:00,34.69,34.69,34.69,34.69,47,0
2017-08-31,16:25:00,34.5,34.5,34.5,34.5,44,0
2017-08-31,16:40:00,34.5,34.5,34.5,34.5,23,0
2017-08-31,17:00:00,34.51,34.51,34.51,34.51,100,0
2017-08-31,17:20:00,34.655,34.655,34.655,34.655,33,0
2017-08-31,17:30:00,34.51,34.655,34.44,34.44,452,0
2017-09-01,11:00:00,34.55,34.55,34.5,34.5,285,0
2017-09-01,12:10:00,34.495,34.5,34.495,34.5,1099,0
2017-09-01,13:20:00,34.5,34.5,34.5,34.5,73,0
2017-09-01,17:00:00,34.505,34.66,34.505,34.66,109,0
2017-09-01,17:05:00,34.66,34.66,34.66,34.66,38,0
2017-09-01,17:15:00,34.66,34.66,34.66,34.66,4,0
2017-09-01,17:25:00,34.66,34.66,34.66,34.66,54,0
2017-09-01,17:30:00,34.66,34.66,34.66,34.66,22,0
2017-09-04,09:15:00,34.515,34.515,34.515,34.515,24,0
2017-09-04,09:35:00,34.535,34.535,34.535,34.535,150,0
2017-09-04,10:35:00,34.505,34.505,34.5,34.5,1600,0
2017-09-04,10:45:00,34.795,34.795,34.795,34.795,43,0
2017-09-04,13:20:00,34.57,34.57,34.57,34.57,40,0
2017-09-04,14:15:00,34.5,34.5,34.5,34.5,100,0
2017-09-04,14:45:00,34.795,34.795,34.795,34.795,79,0
2017-09-04,15:15:00,34.505,34.505,34.5,34.5,959,0
2017-09-04,15:40:00,34.795,34.795,34.795,34.795,29,0
2017-09-04,16:55:00,34.635,34.635,34.635,34.635,6,0
2017-09-04,17:30:00,34.635,34.635,34.635,34.635,1,0
2017-09-05,09:15:00,34.795,34.8,34.795,34.8,238,0
2017-09-05,09:50:00,34.695,34.695,34.695,34.695,17,0
2017-09-05,10:15:00,34.55,34.55,34.5,34.5,1242,0
2017-09-05,10:25:00,34.5,34.5,34.5,34.5,18,0
