Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-10-25,09:05:00,58,58.33,57.91,58.03,8479,0
2017-10-25,09:10:00,57.97,58.02,57.47,57.52,8619,0
2017-10-25,09:15:00,57.52,57.57,57.09,57.29,8070,0
2017-10-25,09:20:00,57.29,57.39,57.24,57.3,2254,0
2017-10-25,09:25:00,57.31,57.36,57.19,57.19,6331,0
2017-10-25,09:30:00,57.21,57.25,57.16,57.16,3268,0
2017-10-25,09:35:00,57.15,57.19,57.1,57.17,2279,0
2017-10-25,09:40:00,57.18,57.2,57.06,57.07,4969,0
2017-10-25,09:45:00,57.08,57.17,57,57.17,2608,0
2017-10-25,09:50:00,57.16,57.16,57.1,57.13,1133,0
2017-10-25,09:55:00,57.11,57.11,57.03,57.03,1127,0
2017-10-25,10:00:00,57.03,57.06,56.97,57.02,4597,0
2017-10-25,10:05:00,57.03,57.11,56.98,57,1832,0
2017-10-25,10:10:00,57,57,56.83,56.9,8443,0
2017-10-25,10:15:00,56.92,57,56.88,56.98,2567,0
2017-10-25,10:20:00,56.97,56.97,56.89,56.95,1992,0
2017-10-25,10:25:00,56.97,57.02,56.95,56.99,1328,0
2017-10-25,10:30:00,57,57.13,56.97,57.12,2075,0
2017-10-25,10:35:00,57.09,57.09,57.04,57.05,1187,0
2017-10-25,10:40:00,57.05,57.07,57.02,57.07,1874,0
2017-10-25,10:45:00,57.09,57.17,57.09,57.17,800,0
2017-10-25,10:50:00,57.19,57.23,57.12,57.2,1703,0
2017-10-25,10:55:00,57.2,57.21,57.18,57.2,2280,0
2017-10-25,11:00:00,57.17,57.19,57.17,57.19,554,0
2017-10-25,11:05:00,57.18,57.21,57.14,57.21,2101,0
2017-10-25,11:10:00,57.2,57.21,57.2,57.2,1294,0
2017-10-25,11:15:00,57.2,57.2,57.1,57.13,1628,0
2017-10-25,11:20:00,57.15,57.2,57.14,57.18,1206,0
2017-10-25,11:25:00,57.2,57.21,57.17,57.18,1880,0
2017-10-25,11:30:00,57.18,57.21,57.18,57.19,545,0
2017-10-25,11:35:00,57.18,57.18,57.17,57.17,630,0
2017-10-25,11:40:00,57.16,57.16,57.11,57.16,2103,0
2017-10-25,11:45:00,57.16,57.16,57.07,57.11,1597,0
2017-10-25,11:50:00,57.11,57.16,57.11,57.15,1609,0
