Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-07-10,09:05:00,86.89,86.89,86.89,86.89,100,0
2017-07-10,09:15:00,86.04,86.04,86.04,86.04,40,0
2017-07-10,10:20:00,86.04,86.04,86.04,86.04,7,0
2017-07-10,10:30:00,86.89,86.89,86.89,86.89,45,0
2017-07-10,10:40:00,86.06,86.06,86.05,86.05,50,0
2017-07-10,12:05:00,86.89,86.9,86.89,86.9,154,0
2017-07-10,12:10:00,86.95,86.95,86.95,86.95,5,0
2017-07-10,12:25:00,86.95,86.95,86.95,86.95,50,0
2017-07-10,14:50:00,86.95,86.95,86.95,86.95,6,0
2017-07-10,15:05:00,86.95,86.95,86.95,86.95,6,0
2017-07-10,15:15:00,86.5,86.5,86.49,86.49,15,0
2017-07-10,15:35:00,86.95,86.95,86.95,86.95,60,0
2017-07-10,16:45:00,87.47,87.47,87.47,87.47,15,0
2017-07-10,16:50:00,86.7,86.7,86.7,86.7,171,0
2017-07-10,17:25:00,87.46,87.46,87.46,87.46,6,0
2017-07-10,17:30:00,86,86,86,86,181,0
2017-07-11,14:35:00,86.69,86.69,86.69,86.69,49,0
2017-07-11,14:45:00,85.37,85.37,85.37,85.37,104,0
2017-07-11,15:00:00,85.38,85.38,85.37,85.37,25,0
2017-07-11,15:30:00,85.36,85.36,85.36,85.36,37,0
2017-07-11,16:05:00,85.37,85.37,85.37,85.37,2,0
2017-07-11,16:20:00,85.37,85.37,85.37,85.37,8,0
2017-07-11,16:25:00,85.37,85.37,85.37,85.37,31,0
2017-07-11,16:40:00,85.36,85.36,84.27,84.27,105,0
2017-07-11,17:05:00,85.24,85.37,85.24,85.37,231,0
2017-07-11,17:30:00,85.06,85.06,85.06,85.06,0,0
2017-07-12,09:05:00,86.89,86.89,86.89,86.89,25,0
2017-07-12,10:05:00,86.49,86.49,86.49,86.49,15,0
2017-07-12,13:25:00,86.31,86.31,86.31,86.31,5,0
2017-07-12,14:30:00,85.5,85.5,85.5,85.5,26,0
2017-07-12,15:15:00,86.92,86.92,86.92,86.92,100,0
2017-07-12,15:20:00,87.02,87.02,87.02,87.02,60,0
2017-07-12,15:25:00,87.37,87.37,87.37,87.37,125,0
2017-07-12,15:35:00,87.49,87.5,87.46,87.5,302,0
2017-07-12,15:40:00,86.9,86.9,86.9,86.9,28,0
2017-07-12,16:05:00,87.77,87.77,87,87.02,189,0
2017-07-12,16:30:00,87.9,87.9,87.9,87.9,48,0
2017-07-12,17:10:00,87.9,87.9,87.9,87.9,30,0
2017-07-12,17:30:00,87.79,87.79,87.79,87.79,0,0
2017-07-13,09:10:00,87.7,87.7,87.5,87.5,100,0
2017-07-13,10:15:00,88.68,88.94,88.68,88.94,51,0
2017-07-13,10:30:00,88.5,88.5,88.5,88.5,90,0
2017-07-13,10:35:00,88.5,88.5,88.5,88.5,190,0
2017-07-13,11:15:00,88.5,88.5,88.5,88.5,150,0
2017-07-13,11:45:00,89,89,89,89,17,0
2017-07-13,11:50:00,88.4,88.4,88.4,88.4,18,0
2017-07-13,12:00:00,88.98,88.98,88.98,88.98,6,0
2017-07-13,12:25:00,88.55,88.94,88.55,88.94,51,0
2017-07-13,13:05:00,88.94,88.94,88.94,88.94,18,0
2017-07-13,14:30:00,88.91,88.91,88.91,88.91,55,0
2017-07-13,14:55:00,88.91,88.91,88.91,88.91,4,0
2017-07-13,15:20:00,88.89,89,88.89,89,670,0
2017-07-13,16:35:00,88.98,88.98,88.98,88.98,18,0
2017-07-13,17:15:00,88.53,88.53,88.53,88.53,3,0
2017-07-13,17:20:00,88.6,88.6,88.6,88.6,70,0
2017-07-13,17:30:00,88.37,88.37,88.37,88.37,0,0
2017-07-14,11:20:00,88.8,88.8,88.8,88.8,100,0
2017-07-14,11:35:00,88,88,88,88,50,0
2017-07-14,14:00:00,89,89,89,89,150,0
2017-07-14,14:20:00,88.99,89,88.99,89,165,0
2017-07-14,15:30:00,89.69,89.69,89.69,89.69,7,0
2017-07-14,16:10:00,88.9,88.9,88.9,88.9,160,0
2017-07-14,16:20:00,88.89,88.9,88.89,88.9,400,0
2017-07-14,16:25:00,88.9,88.9,88.9,88.9,230,0
2017-07-14,16:50:00,89.6,89.6,89.6,89.6,19,0
2017-07-14,17:05:00,89.2,89.2,89.2,89.2,60,0
2017-07-14,17:30:00,88.45,88.45,88.45,88.45,0,0
2017-07-17,09:05:00,89.99,90,89.99,90,140,0
2017-07-17,09:10:00,89.79,89.79,89.79,89.79,8,0
2017-07-17,09:50:00,90.12,90.12,90.12,90.12,22,0
2017-07-17,10:40:00,90.1,90.1,90.1,90.1,7,0
2017-07-17,12:10:00,89.98,89.98,89.98,89.98,15,0
2017-07-17,15:40:00,89.75,89.75,89.75,89.75,28,0
2017-07-17,16:10:00,89.67,89.67,89.57,89.57,51,0
2017-07-17,16:35:00,89.29,89.29,89.29,89.29,156,0
2017-07-17,16:45:00,89.32,89.32,88.17,88.17,64,0
2017-07-17,17:05:00,89.24,89.24,89.24,89.24,30,0
2017-07-17,17:30:00,89.41,89.41,89.41,89.41,0,0
2017-07-18,09:05:00,88.8,88.8,88.17,88.17,122,0
2017-07-18,09:10:00,87.75,87.75,87.75,87.75,1,0
2017-07-18,10:10:00,88.59,88.88,88.59,88.88,60,0
2017-07-18,10:55:00,89.12,89.12,89.12,89.12,26,0
2017-07-18,11:10:00,88.51,88.51,88.51,88.51,35,0
2017-07-18,11:25:00,88.51,88.51,88.5,88.5,90,0
2017-07-18,12:30:00,87.75,87.75,87.75,87.75,56,0
2017-07-18,12:55:00,88.22,88.22,88.22,88.22,1,0
2017-07-18,15:50:00,88.39,88.4,88.39,88.4,314,0
2017-07-18,16:30:00,88.89,88.89,88.89,88.89,7,0
2017-07-18,17:30:00,88.32,88.32,88.32,88.32,0,0
2017-07-19,10:25:00,89.76,89.76,89.76,89.76,60,0
2017-07-19,11:50:00,88.5,88.5,88.5,88.5,24,0
2017-07-19,12:25:00,89.88,89.88,89.88,89.88,60,0
2017-07-19,12:30:00,87.86,87.86,87.86,87.86,50,0
2017-07-19,14:50:00,88.97,88.97,88.97,88.97,24,0
2017-07-19,15:15:00,88.99,88.99,88.99,88.99,3,0
2017-07-19,15:55:00,88.99,88.99,88.99,88.99,7,0
2017-07-19,16:40:00,88.54,88.54,88.53,88.53,50,0
2017-07-19,17:30:00,88.67,88.67,88.67,88.67,0,0
2017-07-20,09:30:00,89.53,89.53,89.53,89.53,75,0
2017-07-20,10:10:00,89.56,89.56,89.55,89.55,23,0
2017-07-20,11:00:00,89.13,89.13,89.13,89.13,1,0
2017-07-20,12:00:00,89.13,89.13,89.13,89.13,117,0
2017-07-20,12:30:00,89.75,89.75,89.75,89.75,1,0
2017-07-20,13:05:00,89,89,89,89,1,0
2017-07-20,13:35:00,89,89,89,89,1,0
2017-07-20,14:05:00,89,89,89,89,1,0
2017-07-20,14:35:00,89,89,89,89,1,0
2017-07-20,15:05:00,89,89,89,89,1,0
2017-07-20,15:25:00,89,89,89,89,11,0
2017-07-20,15:30:00,89,89,89,89,1,0
2017-07-20,15:50:00,89,89,89,89,6,0
2017-07-20,15:55:00,89,89,89,89,1,0
2017-07-20,16:20:00,89,89,89,89,1,0
2017-07-20,16:40:00,88.68,88.68,88.52,88.52,194,0
2017-07-20,16:50:00,88.48,88.48,88.48,88.48,1,0
2017-07-20,17:00:00,88,88,88,88,99,0
2017-07-20,17:30:00,88.96,88.96,88.39,88.39,52,0
2017-07-21,09:05:00,84.2,84.2,84.2,84.2,126,0
