Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-06-19,09:15:00,11.201,11.201,11.201,11.201,1,0
2017-06-19,09:50:00,11.307,11.307,11.307,11.307,195,0
2017-06-19,11:10:00,11.307,11.307,11.307,11.307,516,0
2017-06-19,11:50:00,11.307,11.307,11.307,11.307,132,0
2017-06-19,12:00:00,11.268,11.268,11.23,11.23,1059,0
2017-06-19,12:35:00,11.302,11.302,11.302,11.302,33,0
2017-06-19,16:10:00,11.235,11.235,11.235,11.235,414,0
2017-06-19,16:15:00,11.238,11.238,11.238,11.238,310,0
2017-06-19,16:30:00,11.22,11.22,11.22,11.22,26,0
2017-06-19,17:30:00,11.162,11.172,11.152,11.172,128,0
2017-06-20,09:10:00,11.109,11.109,11.075,11.075,867,0
2017-06-20,09:35:00,11.201,11.201,11.201,11.201,103,0
2017-06-20,10:45:00,11.186,11.186,11.186,11.186,8,0
2017-06-20,11:30:00,11.186,11.186,11.186,11.186,33,0
2017-06-20,11:55:00,11.056,11.056,11.056,11.056,103,0
2017-06-20,12:10:00,11.186,11.186,11.186,11.186,130,0
2017-06-20,17:30:00,11.046,11.046,11.046,11.046,602,0
2017-06-21,10:00:00,11.07,11.07,11.065,11.065,620,0
2017-06-21,11:45:00,11.201,11.21,11.201,11.21,465,0
2017-06-21,12:15:00,11.273,11.273,11.273,11.273,207,0
2017-06-21,12:35:00,11.268,11.268,11.268,11.268,207,0
2017-06-21,12:55:00,11.297,11.307,11.297,11.307,600,0
2017-06-21,13:05:00,11.306,11.306,11.306,11.306,310,0
2017-06-21,13:10:00,11.307,11.307,11.307,11.307,916,0
2017-06-21,13:20:00,11.326,11.326,11.326,11.326,207,0
2017-06-21,13:40:00,11.491,11.491,11.491,11.491,310,0
2017-06-21,13:45:00,11.49,11.49,11.49,11.49,414,0
2017-06-21,13:50:00,11.351,11.351,11.346,11.346,967,0
2017-06-21,14:00:00,11.346,11.346,11.346,11.346,481,0
2017-06-21,14:40:00,11.365,11.365,11.365,11.365,72,0
2017-06-21,14:50:00,11.409,11.409,11.409,11.409,352,0
2017-06-21,15:05:00,11.409,11.413,11.409,11.413,310,0
2017-06-21,15:10:00,11.413,11.433,11.413,11.433,62,0
2017-06-21,15:25:00,11.433,11.433,11.433,11.433,88,0
2017-06-21,15:35:00,11.433,11.433,11.433,11.433,1,0
2017-06-21,15:45:00,11.413,11.413,11.413,11.413,155,0
